"NetC","Comune di Barletta","","","","","","",""
"Stat","Via Casardi - C. Sportivo","","","","","","",""
,NO2,NOX,O3
10/01/2012 19.00,"62,13294472","91,7051604","16,41673929"
10/01/2012 20.00,"66,80061472","105,40188712","12,65581916"
10/01/2012 21.00,"60,14872848","86,1022356","17,5069629"
10/01/2012 22.00,"59,02613592","82,34555712","17,83962516"
10/01/2012 23.00,"35,39488664","45,44273344","32,24424735"
11/01/2012 0.00,"22,84233896","29,54053384","41,40245445"
11/01/2012 1.00,"15,5522233","20,52526264","44,88189405"
11/01/2012 2.00,"14,32702708","19,12","41,6125479"
11/01/2012 3.00,"12,04545278","16,96767116","42,1553076"
11/01/2012 4.00,"11,62213024","16,0630313","41,2818966"
11/01/2012 5.00,"14,55233334","20,01101112","38,6213247"
11/01/2012 6.00,"16,60016755","22,28979008","37,7041434"
11/01/2012 7.00,"28,69755216","36,8658456","27,34460715"
11/01/2012 8.00,"42,52658928","58,05258376","20,47259025"
11/01/2012 9.00,"36,52204888","50,91724832","34,9533177"
11/01/2012 10.00,"32,46468928","45,34868216","44,60578605"
11/01/2012 11.00,"22,01061896","32,58388336","55,57609155"
11/01/2012 12.00,"18,7999312","27,012736","56,96532975"
11/01/2012 13.00,"17,73185741","26,82790296","59,4158082"
11/01/2012 14.00,"19,76344536","31,23957528","60,54779115"
11/01/2012 15.00,"14,6906283","23,27160208","66,1275468"
11/01/2012 16.00,"14,1712029","21,29113336","59,0913813"
11/01/2012 17.00,"4,93843214","17,267272","46,08775185"
11/01/2012 18.00,,,
11/01/2012 19.00,"46,34523568","57,28986784","34,8665352"
11/01/2012 20.00,"79,0759224","112,18960184","9,76042179"
11/01/2012 21.00,"64,00483096","83,21064152","18,687165"
11/01/2012 22.00,"55,32328024","73,22134016","19,01050662"
11/01/2012 23.00,"39,47497992","50,02625632","26,448114"
12/01/2012 0.00,"26,49519584","33,88085032","32,92174935"
12/01/2012 1.00,"19,35894264","26,03805576","36,22203795"
12/01/2012 2.00,"14,45624004","20,65560368","37,3669086"
12/01/2012 3.00,,,"37,5059601"
12/01/2012 4.00,"12,53372213","18,4261199","36,88154505"
12/01/2012 5.00,"14,41014172","21,3734832",
12/01/2012 6.00,"19,90369056","27,88818344","29,25154785"
12/01/2012 7.00,"28,87611384","37,88008512","22,63816275"
12/01/2012 8.00,"40,39629624","57,23287112","15,75073248"
12/01/2012 9.00,"44,39782544","73,18698152","17,48491616"
12/01/2012 10.00,"40,54369232","67,7480872","25,38695355"
12/01/2012 11.00,"29,72148552","49,2175568","36,78231375"
12/01/2012 12.00,"29,40527896","51,49702408","38,7946104"
12/01/2012 13.00,"25,43038392","42,62960784","45,9858273"
12/01/2012 14.00,"24,8356372","40,4040016","50,86031055"
12/01/2012 15.00,"20,6666168","32,17014568","57,8469801"
12/01/2012 16.00,"33,726246","48,12874928","46,90725795"
12/01/2012 17.00,"64,40671424","87,20855704","18,0512787"
12/01/2012 18.00,"73,1551276","95,1778304","12,14534055"
12/01/2012 19.00,"75,40553248","106,80649968","8,88421779"
12/01/2012 20.00,"88,63789176","174,45602328","5,63997074"
12/01/2012 21.00,"79,50575912","156,68166976","7,21484169"
12/01/2012 22.00,"73,63429392","130,04829368","6,94550073"
12/01/2012 23.00,"57,589918","74,25112424","16,32586704"
13/01/2012 0.00,"50,97179768","68,91538232","10,06824231"
13/01/2012 1.00,"52,70538896","83,18534576","6,71801088"
13/01/2012 2.00,"38,7120728","49,71433264","20,9748714"
13/01/2012 3.00,"16,33720637","24,474556","48,7555257"
13/01/2012 4.00,"11,83054206","19,787288","52,92525525"
13/01/2012 5.00,"14,40039626","22,64322328","49,8875685"
13/01/2012 6.00,"20,1517152","29,01720032","48,2006364"
13/01/2012 7.00,"28,63003944","37,51433864","41,16129885"
13/01/2012 8.00,"40,82678304","52,93339496","31,03771125"
13/01/2012 9.00,"54,87332928","83,678202","22,75630665"
13/01/2012 10.00,"38,63155848","59,33010568","41,52446865"
13/01/2012 11.00,"26,14004184","42,39808376","55,0928028"
13/01/2012 12.00,"22,202144","37,26983208","60,5336466"
