TARANTO - Carcere,,,
,SO2,NO2,PM10
15/01/2011 5.00,"0,794476","16,622496",
15/01/2011 6.00,"0,913647","21,91131","24,664221"
15/01/2011 7.00,"0,84684","16,782782",
15/01/2011 8.00,"3,143597","34,060041","24,42001"
15/01/2011 9.00,"2,833029","40,433904",
15/01/2011 10.00,"2,127029","33,81475","35,89743"
15/01/2011 11.00,"2,26877","23,074857",
15/01/2011 12.00,"2,9522","29,9367","36,630032"
15/01/2011 13.00,"5,341046","27,274775",
15/01/2011 14.00,"1,950077","11,732109","32,722832"
15/01/2011 15.00,"1,29644","9,238902",
15/01/2011 16.00,"0,650026","9,436178","28,571421"
15/01/2011 17.00,"0,74753","10,406332",
15/01/2011 18.00,"0,776419","14,142905","19,53602"
15/01/2011 19.00,"0,650026","13,871654",
15/01/2011 20.00,"0,650026","11,791166","17,094"
15/01/2011 21.00,"0,650026","13,892413",
15/01/2011 22.00,"0,650026","11,440736","15,14041"
15/01/2011 23.00,"0,650026","11,071499",
16/01/2011 0.00,"0,650026","11,313549","17,094"
16/01/2011 1.00,,"12,47514",
16/01/2011 2.00,"0,650026",,"15,62881"
16/01/2011 3.00,"0,727668","11,719779",
16/01/2011 4.00,"0,650026","11,783374","17,094"
16/01/2011 5.00,"0,650026","11,148713",
16/01/2011 6.00,"0,650026","10,874215","14,40781"
16/01/2011 7.00,"0,650026","10,691215",
16/01/2011 8.00,"0,650026","10,721069","15,87301"
16/01/2011 9.00,"0,659054","9,985829",
16/01/2011 10.00,"1,244078","9,515997","17,3382"
16/01/2011 11.00,"1,854379","8,036425",
16/01/2011 12.00,"1,950077","8,711318","16,36141"
16/01/2011 13.00,"1,42464","8,798277",
16/01/2011 14.00,"1,937438","7,423179","16,36141"
16/01/2011 15.00,"1,197131","5,918946",
16/01/2011 16.00,"0,659054","6,792414","18,31501"
16/01/2011 17.00,"0,650026","7,438754",
16/01/2011 18.00,"0,650026","10,763902","12,94261"
16/01/2011 19.00,"0,650026","11,151317",
16/01/2011 20.00,"0,650026","11,848922","16,84981"
16/01/2011 21.00,"0,650026","12,462161",
16/01/2011 22.00,"0,733085","13,650364","14,40781"
16/01/2011 23.00,"0,650026","11,400506",
17/01/2011 0.00,"0,650026","13,728239","16,36141"
17/01/2011 1.00,"0,650026","12,666575",
17/01/2011 2.00,"0,650026","11,607515","13,91941"
17/01/2011 3.00,"0,650026","12,337568",
17/01/2011 4.00,"0,650026","8,357648","15,14041"
17/01/2011 5.00,"0,650026","10,959872",
17/01/2011 6.00,"1,170046","18,434975","13,67521"
17/01/2011 7.00,"1,101432","26,992487",
17/01/2011 8.00,"4,107802","45,550111","16,11721"
17/01/2011 9.00,"3,92092","45,39761",
17/01/2011 10.00,"2,925117","26,80624","20,26862"
17/01/2011 11.00,"4,615183","24,227372",
17/01/2011 12.00,"4,826442","22,00735","24,17581"
17/01/2011 13.00,"0,585926","19,145544",
17/01/2011 14.00,"0,598565","15,529684","11,96581"
17/01/2011 15.00,"1,472489","20,121543",
17/01/2011 16.00,"0,669888","25,214404","19,0476"
17/01/2011 17.00,"0,651832","32,858867",
17/01/2011 18.00,"1,709929","37,072398","31,50182"
17/01/2011 19.00,"0,650026","18,394736",
17/01/2011 20.00,"0,650026","17,909985","33,455421"
17/01/2011 21.00,"2,397873","33,266391",
17/01/2011 22.00,"4,266697","44,833034","52,014641"
17/01/2011 23.00,"2,734622","30,773182",
18/01/2011 0.00,"1,139351","21,641353","49,572651"
18/01/2011 1.00,,"19,248715",
18/01/2011 2.00,"1,585341",,"38,58363"
18/01/2011 3.00,"1,056292","16,22145",
18/01/2011 4.00,"1,023791","14,413518","33,699631"
18/01/2011 5.00,"0,810727","14,876855",
18/01/2011 6.00,"0,655442","13,46542","29,79241"
18/01/2011 7.00,"0,94976","20,959325",
