"NetC","ARPA Puglia","","","","","","","","","","","","","","",""
"Stat","Caldarola","","","","","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10,BENZENE,CH4
05/01/2011 21.00,"6,93169097","123,38472512","634,5926088","2,71305783","0,6632577","71,30000305","7,4388465","1155,06083"
05/01/2011 22.00,"5,96725055","118,32299192","556,8896936","2,43986067","0,28507553","71,30000305","7,100694","1151,07223"
05/01/2011 23.00,"4,62714762","95,63368944","367,7324744","1,91601725",,"71,30000305","5,0366925","1265,06191"
06/01/2011 0.00,"4,42486733","92,48376504","400,8052944","2,0154302","0,40165734","71,30000305","3,989691","1225,0147"
06/01/2011 1.00,,"100,38131928","514,2283848","2,43022262","1,17807743","56,79999161","5,8035105","1290,16363"
06/01/2011 2.00,"4,33456384",,,"2,18285584","1,07432147","56,79999161","6,013521","1336,93462"
06/01/2011 3.00,"3,24008674","70,78332984","236,818408",,"0,39590576","56,79999161","5,0519475","1325,16923"
06/01/2011 4.00,"2,35691886","53,25816728","120,741844","1,44525706",,"56,79999161","3,668319","1185,5599"
06/01/2011 5.00,"2,36233743","35,52014176","54,6596824","1,10854993",,"56,79999161","2,188584","1091,59848"
06/01/2011 6.00,"1,95236033","34,14830088","55,1629208","1,01814243","0,79962992","56,79999161","1,289556","1078,41797"
06/01/2011 7.00,"1,90179","41,5474732","85,62364288","1,03832489",,"56,79999161","1,2493845","1067,99322"
06/01/2011 8.00,"1,96319646","44,4495068","101,74505328","1,08658968",,"56,79999161","1,4599035","1065,04489"
06/01/2011 9.00,"2,41832532","47,0491576","119,13616552","1,3468332","1,3755525","56,79999161","1,8738225","1085,95662"
06/01/2011 10.00,"2,41471395","59,71766808","121,68212736","1,40907915","6,58872491","56,79999161","3,2406705","1134,2814"
06/01/2011 11.00,"2,36414363","53,51125872","99,8644292","1,43803057","13,31282852","56,79999161","4,4834445","1184,31383"
06/01/2011 12.00,"2,4941803","38,40531152","62,19900432","1,19445586","26,50961985","56,79999161","4,885668","1128,44746"
06/01/2011 13.00,"2,34427653","22,3272844","35,23100912","1,02927983","41,2820163","56,79999161","3,3047415","1109,03954"
06/01/2011 14.00,"2,38401072","20,47520648","31,82516352","0,96999648","45,98824125","56,79999161","2,1179025","1096,80571"
06/01/2011 15.00,"2,57545385","20,26626312","30,97434264","0,88124678","49,0131201","56,79999161","1,562112","1065,1081"
06/01/2011 16.00,"2,30815574","10,86578319","18,80613182","0,86003795","56,6926731","56,79999161","1,0378485","1054,81614"
06/01/2011 17.00,"1,88011773","29,7238564","39,2749656","0,91327845","39,4085517","56,79999161","1,01054205","1040,69679"
06/01/2011 18.00,"1,80606793","51,73057488","81,86633344","1,12182044","16,62104924","56,79999161","1,245825","1068,52193"
06/01/2011 19.00,"2,65311502","77,41546512","162,34487992","1,38301111","0,80629122","56,79999161","2,6019945","1123,42888"
06/01/2011 20.00,"2,56822908","80,40057512","198,0518432","1,49814457",,"56,79999161","2,9243835","1193,49937"
06/01/2011 21.00,"2,46167087","80,41225744","183,1898672","1,42922317",,"56,79999161","3,2813505","1087,19534"
06/01/2011 22.00,"2,18534282","54,88958128","87,8778144","1,15977731","14,89876574","56,79999161","2,1026475","1058,4931"
06/01/2011 23.00,"1,87831154","23,1112044","36,7302848","1,00218659","37,84066125","56,79999161","1,449225","1043,35651"
07/01/2011 0.00,"1,59837008","22,2753736","37,75622576","0,96347947","43,28441775","56,79999161","1,00057545","1026,84792"
07/01/2011 1.00,"1,82232264","10,67239586","19,89558368","0,91082962","51,56997195",,"0,84202515","1023,08227"
07/01/2011 2.00,"1,50264903","9,8677211","18,56489669","0,89139859","49,3599708",,"0,78059835","1028,95002"
07/01/2011 3.00,"1,92526846","7,9053399","15,19665248","0,87725782","52,51636005",,"0,8352621","1023,89959"
07/01/2011 4.00,"1,56405549","6,44133871","13,63379706","0,86141964","51,76336725",,"0,8175663","1023,87264"
07/01/2011 5.00,"1,70492829","6,22329806","13,31863254","0,85502146","50,49203355",,"0,7727166","1028,08713"
07/01/2011 6.00,"1,86386302","8,79697816","16,48065799","0,85435042","47,5200222",,"0,71581545","1024,41409"
07/01/2011 7.00,"1,64352183","19,76268056","30,9574788","0,90707832","34,85961255",,"0,81476955","1033,23458"
07/01/2011 8.00,"1,90720858","31,6070808","51,29792752","1,02300048","22,0909143",,"1,1659905","1046,22203"
07/01/2011 9.00,"1,96861504","42,92451472","84,1840216","1,24540481","17,27251449",,"1,94247","1055,87209"
07/01/2011 10.00,"1,90179","31,48247576","62,1639956","1,16344939","24,5716569",,"2,4860565","1052,78068"
07/01/2011 11.00,"2,3316342","34,3650452","72,35302448","1,13378849","29,01486105",,"1,896705","1043,41629"
07/01/2011 12.00,"1,99570588","28,13525208","52,7051404","1,054558","35,50044645",,"2,0426445","1022,51779"
07/01/2011 13.00,"1,78620185","29,16318152","57,28866328","1,05175385","41,506374",,"1,696356","1019,15394"
07/01/2011 14.00,"1,87289296","36,03930712","66,58278056","1,1008085","37,13666565",,"1,758393","1014,44112"
07/01/2011 15.00,"2,09142694","24,83605784","42,05180144","0,95550038","44,5660656",,"1,353627","1007,67324"
07/01/2011 16.00,"1,9740326","31,17227288","49,12809432","1,04579021","38,242953",,"1,0934784","1013,54099"
07/01/2011 17.00,"2,35691886","50,79740416","76,08828856","1,22873832","22,1579463",,"1,5534675","1019,47979"
07/01/2011 18.00,"1,87108677","63,01038064","102,42337352","1,19903664","12,7287384",,"1,9582335","1021,21292"
07/01/2011 19.00,"1,82051746","48,24060128","74,29456488","1,18497509","22,84648065",,"2,544534","1031,39806"
07/01/2011 20.00,"1,74466248","47,42423464","72,87958928","1,18908288","24,5175126",,"2,1473955","1038,5305"
07/01/2011 21.00,"1,95958408","39,72786104","64,36625632","1,15389173","25,17380775",,"1,6419465","1043,9009"
07/01/2011 22.00,"1,53877083","36,52730688","57,10319928","1,12118901","25,645725",,"1,453293","1044,88384"
07/01/2011 23.00,,,,,,,,
08/01/2011 0.00,,,,,,,,
08/01/2011 1.00,,,,,,,,
08/01/2011 2.00,,,,,,,,
08/01/2011 3.00,,,,,,,,
08/01/2011 4.00,,,,,,,,
08/01/2011 5.00,,,,,,,,
08/01/2011 6.00,,,,,,,,
08/01/2011 7.00,,,,,,,,
08/01/2011 8.00,,,,,,,,
08/01/2011 9.00,,,,,,,,
08/01/2011 10.00,,,,,,,,
08/01/2011 11.00,,,,,,,,
08/01/2011 12.00,,,,,,,,
08/01/2011 13.00,,,,,,,,
08/01/2011 14.00,,,,,,,,
08/01/2011 15.00,,,,,,,,
08/01/2011 16.00,,,,,,,,
08/01/2011 17.00,,,,,,,,
08/01/2011 18.00,,,,,,,,
08/01/2011 19.00,,,,,,,,
08/01/2011 20.00,,,,,,,,
08/01/2011 21.00,,,,,,,,
08/01/2011 22.00,,,,,,,,
08/01/2011 23.00,,,,,,,,
09/01/2011 0.00,,,,,,,,
09/01/2011 1.00,,,,,,"44,5",,
09/01/2011 2.00,,,,,,"44,5",,
09/01/2011 3.00,,,,,,"44,5",,
09/01/2011 4.00,,,,,,"44,5",,
09/01/2011 5.00,,,,,,"44,5",,
09/01/2011 6.00,,,,,,"44,5",,
09/01/2011 7.00,,,,,,"44,5",,
09/01/2011 8.00,,,,,,"44,5",,
09/01/2011 9.00,,,,,,"44,5",,
09/01/2011 10.00,,,,,,"44,5",,
09/01/2011 11.00,,,,,,"44,5",,
09/01/2011 12.00,,,,,,"44,5",,
09/01/2011 13.00,,,,,,"44,5",,
09/01/2011 14.00,,,,,,"44,5",,
09/01/2011 15.00,,,,,,"44,5",,
09/01/2011 16.00,,,,,,"44,5",,
09/01/2011 17.00,,,,,,"44,5",,
09/01/2011 18.00,,,,,,"44,5",,
09/01/2011 19.00,,,,,,"44,5",,
09/01/2011 20.00,,,,,,"44,5",,
09/01/2011 21.00,,,,,,"44,5",,
09/01/2011 22.00,,,,,,"44,5",,
09/01/2011 23.00,,,,,,"44,5",,
10/01/2011 0.00,,,,,,"44,5",,
10/01/2011 1.00,,,,,,"42,09999084",,
10/01/2011 2.00,,,,,,"42,09999084",,
