MANDURIA,,,,
,NO2,CO,O3,PM10
14/01/2011 15.00,"28,18328","0,598055","55,60131",
14/01/2011 16.00,"39,845962","0,793113","40,029676",
14/01/2011 17.00,"47,363223","1,127831","29,750577",
14/01/2011 18.00,"55,347754","1,386429","21,174971",
14/01/2011 19.00,"62,523676","1,55465","17,239234",
14/01/2011 20.00,"62,133018","1,846677","23,506067",
14/01/2011 21.00,"74,658782","2,679205","24,263709",
14/01/2011 22.00,"57,308833","2,177776","14,598708",
14/01/2011 23.00,"50,751974","2,32437","13,505264",
15/01/2011 0.00,"41,330708","1,430154","3,777305",
15/01/2011 1.00,"35,357926","1,921977","4,375147",
15/01/2011 2.00,,"1,558268","3,811158",
15/01/2011 3.00,"23,805546",,"3,321645",
15/01/2011 4.00,"22,187116","0,780681",,
15/01/2011 5.00,"22,183215","0,779826","2,394752",
15/01/2011 6.00,"24,431134","0,901414","3,105662",
15/01/2011 7.00,"39,014014","1,10858","2,773228",
15/01/2011 8.00,"63,738486","2,368516","6,375852",
15/01/2011 9.00,"79,107889","3,087314","8,682587",
15/01/2011 10.00,"58,447066","1,702453","8,349476",
15/01/2011 11.00,"23,706926","0,652335","43,938999",
15/01/2011 12.00,"15,750971","0,526128","58,883702",
15/01/2011 13.00,"23,674478","0,68424","55,394808",
15/01/2011 14.00,"28,664799","0,667475","56,891796",
15/01/2011 15.00,"12,860613","0,515478","58,833588",
15/01/2011 16.00,"16,484269","0,547939","54,011594",
15/01/2011 17.00,"19,468079","0,709045","53,100277",
15/01/2011 18.00,"27,49282","0,855739","38,399979",
15/01/2011 19.00,"24,280583","0,827512","34,910445",
15/01/2011 20.00,"22,152067","0,743474","34,926686",
15/01/2011 21.00,"21,466788","0,611492","35,049239",
15/01/2011 22.00,"12,307712","0,482034","39,961963",
15/01/2011 23.00,"11,483569","0,425238","36,121689",
16/01/2011 0.00,"14,50371","0,428232","31,194059",
16/01/2011 1.00,"12,011803","0,366219","28,897475",
16/01/2011 2.00,,"0,371138","28,43234",
16/01/2011 3.00,"10,17661",,"28,418796",
16/01/2011 4.00,"9,88589","0,3311",,
