"NetC","Comune Bari","","","","","","","",""
"Stat","Piazza Kennedy","","","","","","","",""
,NO2,NOx,O3,PM10,
11/01/2011 21.00,"41,49458728","45,94369656","21,065604","22,5",
11/01/2011 22.00,"35,82449392","40,52231616","24,80924145","22,5",
11/01/2011 23.00,"24,13553928","26,53123704","33,3035325","22,5",
12/01/2011 0.00,"19,30907768","20,63485848","34,73699985","22,5",
12/01/2011 1.00,"18,52387664","19,84208592","35,61029115",,
12/01/2011 2.00,"18,70557782","19,611862","33,49646895",,
12/01/2011 3.00,,,"33,0648906",,
12/01/2011 4.00,"12,51310312","12,78654971","34,0583607",,
12/01/2011 5.00,"13,61142858","13,95544709","30,8258223",,
12/01/2011 6.00,"13,43134494","13,53393139",,"20,20000076",
12/01/2011 7.00,"28,32117496","30,738268","13,34984175","20,20000076",
12/01/2011 8.00,"40,35893576","51,29047072","4,89957038","20,20000076",
12/01/2011 9.00,"58,95745688","153,83739768","0,59827257","20,20000076",
12/01/2011 10.00,"72,34661928","236,0522696","2,62664493","20,20000076",
12/01/2011 11.00,"55,65923776","113,48203736","14,013279","20,20000076",
12/01/2011 12.00,"38,25963624","53,15811232","23,7007197","20,20000076",
12/01/2011 13.00,"18,9732693","25,34449688","39,59426625","20,20000076",
12/01/2011 14.00,"19,03329271","23,84810832","40,9516044","20,20000076",
12/01/2011 15.00,"17,27791993","22,17826312","42,47648265","20,20000076",
12/01/2011 16.00,"20,37658552","23,71356088","38,2640202","20,20000076",
12/01/2011 17.00,"29,3870576","33,75859704","30,79703445","20,20000076",
12/01/2011 18.00,"39,85925368","45,0358216","23,5145463","20,20000076",
12/01/2011 19.00,"52,56218016","61,58033848","10,29839948","20,20000076",
12/01/2011 20.00,"30,16577696","36,47902888","25,81117035","20,20000076",
12/01/2011 21.00,"36,57078576","47,0169404","16,08988448","20,20000076",
12/01/2011 22.00,"32,2585948","38,2607452","16,72115235","20,20000076",
12/01/2011 23.00,"27,7095644","30,6312916","19,73874945","20,20000076",
13/01/2011 0.00,"19,77306272","21,4843792","22,844346","20,20000076",
13/01/2011 1.00,"15,55417927","17,17194542","26,47797915",,
13/01/2011 2.00,"14,89145139","15,86037842","24,68571105",,
13/01/2011 3.00,"14,6043015","15,08219442","23,88180585",,
13/01/2011 4.00,"12,9787191","13,33289989","24,4216728",,
13/01/2011 5.00,"17,92360424","18,24356979","20,00783505",,
