
Stat, San Pietro In Lama,,,,,
Parm,NO2,NOX,CO,O3,PM10,BENZENE



11/01/2011 16.00,"10,4","16,2","0,1","72,1","15,1","0,7"
11/01/2011 17.00,"14,5",21,"0,2","66,1",,"0,6"
11/01/2011 18.00,"50,7","67,1","0,3","29,5",22,1
11/01/2011 19.00,"76,2","112,4","0,4","13,9",,"1,9"
11/01/2011 20.00,50,"67,5","0,4","20,4","42,5","2,8"
11/01/2011 21.00,"67,7","99,7","0,4","9,8",,"3,2"
11/01/2011 22.00,"60,1","78,5","0,6","12,2",42,"2,7"
11/01/2011 23.00,"61,3","90,9","0,6","5,7",,"3,6"
12/01/2011 0.00,"48,7","65,6","0,7","6,2","42,5","3,5"
12/01/2011 1.00,"38,3","47,7","0,6","8,8",,"3,9"
12/01/2011 2.00,,,"0,6",,"46,9","3,2"
12/01/2011 3.00,"19,7","21,7",,"12,4",,"3,2"
12/01/2011 4.00,"16,9","18,3","0,4","15,1","32,7","2,5"
12/01/2011 5.00,"14,6","16,6","0,4","12,9",,"2,4"
12/01/2011 6.00,"20,2","24,5","0,5","9,1","32,7","2,4"
12/01/2011 7.00,"25,6","40,4","0,6","5,2",,3
12/01/2011 8.00,"43,4","172,3","0,9","3,1",43,"3,1"
12/01/2011 9.00,"60,6","262,5","1,3",4,,"4,2"
12/01/2011 10.00,71,"144,6","0,8","19,5","47,4",6
12/01/2011 11.00,"38,1","57,2","0,5","39,6",,"3,2"
12/01/2011 12.00,"30,4","47,1","0,4","42,7","32,2","2,4"
12/01/2011 13.00,"35,2","54,5","0,4","60,6",,2
12/01/2011 14.00,"24,5","37,5","0,4","59,5","32,2","1,4"
12/01/2011 15.00,27,"44,5","0,4","61,5",,"1,5"
12/01/2011 16.00,"27,8","39,8","0,4","61,7","20,5","1,4"
12/01/2011 17.00,"49,6","63,5","0,5","42,6",,"1,7"
12/01/2011 18.00,"56,7","72,7","0,6","27,4","34,7","2,5"
12/01/2011 19.00,64,"86,1","0,7","21,1",,"3,1"
12/01/2011 20.00,"62,4","84,9","0,7","18,7","52,3","3,3"
12/01/2011 21.00,"69,7","94,7","0,7","13,3",,"3,5"
12/01/2011 22.00,"64,5","85,2","0,7","14,9","49,3","3,4"
12/01/2011 23.00,"51,3","59,5","0,6","21,5",,"3,2"
13/01/2011 0.00,"44,1","51,6","0,6","23,9","33,7","2,3"
13/01/2011 1.00,"26,4","30,5","0,4","31,6",,"2,2"
13/01/2011 2.00,"20,1","23,4","0,4","33,1",19,"1,3"
13/01/2011 3.00,"14,3","16,2","0,4","35,8",,"1,1"
13/01/2011 4.00,"12,3","14,3","0,3","35,9","18,1","1,1"
13/01/2011 5.00,"11,6","13,2","0,3","37,2",,"1,1"
13/01/2011 6.00,15,"17,4","0,4","31,2","21,5","1,1"
13/01/2011 7.00,"20,9","24,7","0,4","25,1",,"1,2"
13/01/2011 8.00,39,"54,5","0,5","12,1",22,"1,4"
13/01/2011 9.00,"44,3","73,4","0,7","12,4",,2
13/01/2011 10.00,34,"57,3","0,6","24,7","14,2","2,3"
13/01/2011 11.00,"27,1","44,7","0,5","33,6",,"2,2"
13/01/2011 12.00,"19,2",33,"0,4","49,5","17,1","1,8"
13/01/2011 13.00,"18,9","30,7","0,4","54,1",,"1,5"
13/01/2011 14.00,"25,2","40,9","0,5","53,3","22,5","1,7"
13/01/2011 15.00,"22,2","34,2","0,5","59,9",,2
13/01/2011 16.00,"24,3","34,2","0,5","56,5","26,4","1,7"
13/01/2011 17.00,"37,7","47,9","0,5","41,7",,"1,8"
13/01/2011 18.00,"55,5","69,6","0,6","24,3","30,8","2,4"
13/01/2011 19.00,51,"63,5","0,6","25,1",,"2,7"
13/01/2011 20.00,"60,1","79,9","0,7","16,9","39,6","2,7"
13/01/2011 21.00,"59,4","79,9","0,8","15,8",,3
13/01/2011 22.00,"57,4","78,9","1,1","15,1","53,2","4,5"
13/01/2011 23.00,"47,5",61,"1,1","13,3",,"5,3"
14/01/2011 0.00,"44,3","56,8","1,1","12,7","61,5","4,4"
14/01/2011 1.00,"33,5","37,9",1,"12,6",,"3,9"
14/01/2011 2.00,,,"0,8",,62,"3,7"
14/01/2011 3.00,30,"33,1",,"19,8",,3
14/01/2011 4.00,"33,7","37,1","0,7","12,1","63,5","2,8"
14/01/2011 5.00,"29,2","31,6","0,8","11,9",,"2,7"
14/01/2011 6.00,"28,6","33,4","0,9","8,9","44,4","3,2"
14/01/2011 7.00,"32,3",43,"0,9","6,4",,"3,6"
14/01/2011 8.00,"40,8","68,3",1,"5,2","45,9","3,2"
14/01/2011 9.00,"52,7","146,4","1,1","4,7",,"3,6"
14/01/2011 10.00,"57,3","139,9","0,9","18,6","45,9","6,1"
14/01/2011 11.00,37,"59,9","0,5","39,8",,"3,5"
14/01/2011 12.00,"24,7","37,1","0,4","54,9","30,3","2,1"
14/01/2011 13.00,"19,5","29,7","0,4","65,7",,"1,8"
14/01/2011 14.00,"20,6","31,2","0,4","69,1","28,8","1,6"
14/01/2011 15.00,25,"35,6","0,4","66,1",,"1,9"
14/01/2011 16.00,25,"33,9","0,4","64,5","13,2","1,8"
14/01/2011 17.00,"29,6","39,5","0,4","56,5",,"1,6"
14/01/2011 18.00,"48,8",58,"0,5","33,1","35,7",2
14/01/2011 19.00,"61,7","75,2","0,6",22,,"2,5"
14/01/2011 20.00,"82,9","116,4","0,8","8,5","35,7",3
14/01/2011 21.00,"80,6","115,7","0,9","8,4",,"4,1"
14/01/2011 22.00,"82,1","177,2","1,1","5,4","59,6","4,4"
14/01/2011 23.00,"58,5","95,1","1,1","7,2",,5
15/01/2011 0.00,"44,3","54,7",1,"10,9","68,9","5,9"
15/01/2011 1.00,"46,2","59,5","0,9","9,6",,"4,7"
15/01/2011 2.00,"51,4","78,6","0,9","5,6","73,7","4,7"
15/01/2011 3.00,"49,9","69,8","0,7","5,8",,"4,2"
15/01/2011 4.00,"45,5","71,1","0,8","4,2","57,6","3,6"
15/01/2011 5.00,40,"49,2","0,8","5,2",,"3,3"
15/01/2011 6.00,"35,6","44,9","0,9","4,4",63,"3,8"
15/01/2011 7.00,"38,8","57,8","0,9","4,4",,"4,2"
15/01/2011 8.00,"33,7","53,4","0,8","5,9","64,5","4,1"
15/01/2011 9.00,48,"112,2","0,9",7,,"3,8"
15/01/2011 10.00,"66,5","171,6",1,"7,9","62,5","4,5"
15/01/2011 11.00,"56,8","96,5","0,7","34,2",,"5,1"
15/01/2011 12.00,"27,5","38,5","0,4","65,4","38,1",4
15/01/2011 13.00,18,"23,4","0,4","77,3",,"2,1"
15/01/2011 14.00,"16,4","21,4","0,4","81,8","30,3","2,1"
15/01/2011 15.00,20,"26,4","0,4",80,,"1,6"
15/01/2011 16.00,"17,4","22,4","0,5","71,7","29,8","1,7"
15/01/2011 17.00,"16,3","21,9","0,5","64,4",,"1,8"
15/01/2011 18.00,"17,2","22,1","0,5","68,7","33,7","2,3"
15/01/2011 19.00,"21,1","27,2","0,5","58,9",,"1,9"
15/01/2011 20.00,"23,5","31,4","0,5","46,5","41,5","2,1"
15/01/2011 21.00,"28,5","36,6","0,5","38,7",,"1,9"
15/01/2011 22.00,"27,8","35,7","0,5","41,1","27,8","2,3"
15/01/2011 23.00,"19,4","24,7","0,5",46,,"1,7"
16/01/2011 0.00,"17,5","21,7","0,4","43,5","34,2","1,3"
16/01/2011 1.00,"20,9","24,8","0,4","35,7",,"1,3"
16/01/2011 2.00,,,"0,4",,"36,6","1,2"
16/01/2011 3.00,"19,7","23,4",,33,,"1,2"
16/01/2011 4.00,"18,6","20,8","0,4","32,9","31,7","1,2"
16/01/2011 5.00,"18,8",21,"0,4","30,1",,"1,2"
16/01/2011 6.00,20,"22,5","0,3","31,4","31,7","1,2"
16/01/2011 7.00,"20,3","23,3","0,4","30,6",,"1,1"
16/01/2011 8.00,"21,3","24,8","0,4",29,"31,7","1,2"
16/01/2011 9.00,"16,5","21,9","0,4","32,6",,"1,2"
16/01/2011 10.00,15,"21,7","0,4","46,3","25,4","1,3"
16/01/2011 11.00,"10,2","15,6","0,3",72,,"1,2"
16/01/2011 12.00,"8,5","13,8","0,3","77,9","12,2",1
16/01/2011 13.00,"10,2","17,5","0,3","77,7",,"1,1"
16/01/2011 14.00,"10,1","15,7","0,3","80,9","15,6","1,4"
16/01/2011 15.00,"7,1","10,3","0,3","82,3",,"1,2"
16/01/2011 16.00,"7,3","10,7","0,3","82,6","16,6","1,1"
16/01/2011 17.00,"10,7",15,"0,3","80,3",,1
16/01/2011 18.00,"16,1","20,3","0,4","72,2","17,6",1
16/01/2011 19.00,"20,9","26,1","0,5","60,4",,"1,6"
16/01/2011 20.00,"27,7",37,"0,6","48,8","23,4",2
16/01/2011 21.00,"32,4","42,5","0,6","44,1",,"2,3"
16/01/2011 22.00,"29,8","38,9","0,6","47,5","36,1","2,7"
16/01/2011 23.00,"30,1","34,9","0,6","36,1",,"2,7"
17/01/2011 0.00,38,"44,1","0,6","26,2","48,4","2,7"
17/01/2011 1.00,"33,1","39,5","0,5",20,,"2,4"
17/01/2011 2.00,"20,2","23,3","0,4","29,5","41,5","1,9"
17/01/2011 3.00,"13,3","15,2","0,4","36,7",,"1,5"
17/01/2011 4.00,"12,7","14,7","0,3","34,4","36,6","1,2"
17/01/2011 5.00,"12,8","14,8","0,3","32,7",,"1,3"
17/01/2011 6.00,"16,5","18,6","0,4","28,5","25,9","1,2"
17/01/2011 7.00,"25,8","31,5","0,4","20,1",,"1,2"
17/01/2011 8.00,"40,5","57,7","0,5","14,5",20,"1,4"
17/01/2011 9.00,"41,1","66,9","0,6",18,,"1,7"
17/01/2011 10.00,"40,7","71,6","0,6","21,4","26,4","3,4"
17/01/2011 11.00,"26,4","42,4","0,4","48,4",,"2,2"
17/01/2011 12.00,"20,3","31,2","0,4","65,4","14,7","1,6"
