BARI - JAPIGIA,,,,,,,
,Japigia,,,,,,
,SO2,NO2,NOX,CO,PM10,BENZENE,CH4



07/01/2011 18.00,"4,10419096","54,25623128","61,26386424","0,56421067","13,07637978","1,24886685","461,65448"
07/01/2011 19.00,"5,41327133","55,777342","64,10555512","0,4365756","13,07542992","1,31602241","550,46061"
07/01/2011 20.00,"5,65703097","54,27309512","60,79957328","0,4891404","13,07569981","1,1551086","623,34517"
07/01/2011 21.00,"5,57758293","36,1223644","40,9208152","0,42034249","13,07773018","1,2779022","628,68715"
07/01/2011 22.00,"5,89898443","38,6571028","43,11919456","0,40476061","13,07610035","0,96158977","624,31929"
07/01/2011 23.00,"5,87912343","31,71478376","37,43326984","0,46036257","13,07339001","1,14326665","624,66817"
08/01/2011 0.00,"5,51258036","20,98397056","24,16781384","0,4313098","13,07421017","0,94196167","620,66928"
08/01/2011 1.00,"4,92033448","39,1412212","43,94797008","0,48553123",,"0,84690573","640,66961"
08/01/2011 2.00,,"57,22445832","72,50086032","0,54038409",,"1,29120354","670,58754"
08/01/2011 3.00,"4,56282033",,,"0,54811619",,"1,00441361","646,44328"
08/01/2011 4.00,"5,19479024","47,77726632","52,08131216","0,4535578",,"1,15673072","664,51105"
08/01/2011 5.00,"5,04311689","34,50001328","38,16088144","0,44892227",,"0,99792515","690,84267"
08/01/2011 6.00,"5,3527822","35,10741744","45,50175688",,"13,27118969","1,40118294","684,82939"
08/01/2011 7.00,"5,13339903","62,1265204","140,65689184","1,07703901","13,27023983","1,68537749","708,84086"
08/01/2011 8.00,"5,84481596","65,34265736","174,91258976","0,91871434","13,26996994","2,60349458","712,85298"
08/01/2011 9.00,"6,94444314","81,78411744","267,4281896","1,24491201","13,27227974","1,89252208","713,41452"
08/01/2011 10.00,"5,85384386","66,43806128","134,86976496","1,22159803","13,27213955","2,60008864","652,48596"
08/01/2011 11.00,"5,93509708","31,68103696","43,71709608","0,73685668","13,27064991","2,21321371","622,10253"
08/01/2011 12.00,"6,20955284","27,42532648","36,35549456","0,53006801","13,2672596","1,51018907","581,12971"
08/01/2011 13.00,"4,95644713","23,74065392","31,38159864","0,50714897","13,2707901","1,57199114","564,99842"
08/01/2011 14.00,"3,82612486","22,99310016","30,2960224","0,52777995","13,27132988","1,26005893","478,98823"
08/01/2011 15.00,"6,07051978","21,414878","27,47769616","0,4495537","13,2707901","1,19922911","558,53777"
08/01/2011 16.00,"6,11024279","20,25328064","24,95638","0,4946823","13,26821041","1,41707966","560,84371"
08/01/2011 17.00,"5,22187498","21,44342416","25,04716176","0,47657587","13,26970005","1,72820132","577,12396"
08/01/2011 18.00,"3,64014505","31,62394464","35,9080292","0,54290864","13,26766968","1,08081573","544,49437"
08/01/2011 19.00,"5,37896385","41,5046444","47,00495216","0,49343925","13,27227974","1,33370295","598,45317"
08/01/2011 20.00,"5,23270806","40,79339952","45,25271888","0,50748449","13,26957035","1,15202607","495,7232"
08/01/2011 21.00,"5,20020678","46,8103488","51,66495504","0,49663484","13,2707901","1,13823759","477,262891"
08/01/2011 22.00,"5,13339903","61,5450812","70,89650112","0,52710891","13,27213955","1,07416455","496,52778"
08/01/2011 23.00,"4,39579944","55,14787336","63,99529008","0,4790014","13,27145958","1,08681705","617,51907"
09/01/2011 0.00,"2,52787859","47,57998616","53,11369656","0,45683262","13,27132988","1,06572956","618,68919"
09/01/2011 1.00,"5,37174213","40,78951816","46,18525864","0,39975111",,"0,89767844","621,7463"
09/01/2011 2.00,"5,528831","40,5247444","46,15283112","0,41789715",,"0,84577076","625,8819"
09/01/2011 3.00,"4,95283577","29,14111704","32,6694836","0,36781613",,"0,9127636","624,40553"
09/01/2011 4.00,"5,49271835","25,96002704","30,48278656","0,3714253",,"1,08860189","623,10311"
09/01/2011 5.00,"5,4782739","24,32211224","28,55807176","0,34322065",,"0,80602945","626,05144"
09/01/2011 6.00,"6,02176785","19,32010992","22,436364","0,31227359","15,26183033","0,78348155","637,51156"
09/01/2011 7.00,"5,55952712","24,10924928","29,78242096","0,31899914","15,26521969","0,82533211","666,95713"
09/01/2011 8.00,"4,08432997","31,23458496","41,0349616","0,3770674","15,2649498","0,92979632","639,24322"
09/01/2011 9.00,"5,66605888","38,21063168","67,94718376","0,51314522","15,25953007","1,16208319","651,95725"
09/01/2011 10.00,"5,56313848","46,48068176","93,5793028","1,28881853","15,2625103","2,3358456","662,11152"
09/01/2011 11.00,"6,39372645","56,27832424","117,26336152","2,69653347","15,26319027","5,4178641","686,02597"
09/01/2011 12.00,"6,10663244","46,20554496","81,02069408","0,96265931","15,26319027","4,23047592","706,68094"
09/01/2011 13.00,"5,95676528","38,98028816","60,4429088","0,72987483","15,26508999","2,52839014","678,76417"
09/01/2011 14.00,"6,4822024","34,31443456","47,61971752","0,82474777","15,26360035","2,72726246","622,5744"
09/01/2011 15.00,"5,89356788","31,87833624","40,70164264","0,59511928","15,26630974","2,50405943","593,84962"
09/01/2011 16.00,"4,56823789","31,83158784","38,21535432","0,49797692","15,26305008","1,55479774","512,04314"
09/01/2011 17.00,"5,79606403","55,04015128","67,24421784","0,59371779","15,2625103","1,46623026","619,20761"
09/01/2011 18.00,"5,94593118","51,90058992","63,42465368","0,63076013","15,26943016","1,61919519","638,35877"
09/01/2011 19.00,"5,98926657","42,2820636","48,63005656","0,53866804","15,26793957","1,34311122","623,96061"
09/01/2011 20.00,"5,66967025","59,99022368","77,69394792","0,60111437","15,26739025","1,23994471","624,45894"
09/01/2011 21.00,"6,43706184","94,65899008","262,1818528","1,01962198","15,26603985","1,72933731","667,3261"
09/01/2011 22.00,"6,81082663","88,46684424","248,6169776","0,94356612","15,26875019","4,41312607","757,33567"
09/01/2011 23.00,"5,98384901","66,37834952","138,63101312","0,70375903","15,27023983","2,3556354","697,43758"
10/01/2011 0.00,"5,27062691","57,09597192","95,89179032","0,54213858","15,26657963","1,68878444","672,93366"
10/01/2011 1.00,"4,77046733","34,35336288","43,19185056","0,39424765",,"1,14229338","634,22415"
10/01/2011 2.00,,"39,19703248","49,18904888","0,41943495",,"0,90059825","637,74088"
10/01/2011 3.00,"6,13732753",,,"0,42545101",,"1,05064439","648,63652"
10/01/2011 4.00,"5,90620716","56,5028504","64,60101168","0,47600386",,"1,11341974","669,33706"
10/01/2011 5.00,"6,09218697","43,89921408","49,47435752","0,48468311",,"1,21139548","695,00081"
10/01/2011 6.00,"5,48549663","45,45147128","80,3670004",,"10,52204037","1,24675759","715,74447"
10/01/2011 7.00,"5,36271321","46,90896976","101,82417184","0,46182231","10,52054977","1,73241882","711,09437"
10/01/2011 8.00,"6,05246295","64,09280208","193,2657248","0,90013376","10,52340031","1,20766411","663,55016"
10/01/2011 9.00,"7,27306736","64,87412176","155,59544344","0,57446616","10,52285957","1,97297898","682,21034"
10/01/2011 10.00,"7,12139504","52,44570112","99,46365488","0,50067856","10,52530003","1,18836145","689,76859"
10/01/2011 11.00,"9,56801939","37,411148","68,3414764","0,45817353","10,52033997","1,2654114","625,06703"
10/01/2011 12.00,"10,60805241","28,86856144","54,45087288","0,42083645","10,52435017","1,25178665","580,7137"
10/01/2011 13.00,"8,55145162","26,17677136","44,65483648","0,39408921","10,52556992","0,96077922","591,94842"
10/01/2011 14.00,"7,17195214","24,55183904","32,4269464","0,41608208","10,52474976","0,9041669","605,03485"
10/01/2011 15.00,"6,82707727","28,65959896","38,0869444","0,44314387","10,52149963","0,97829807","541,72538"
10/01/2011 16.00,"6,57428972","26,69851792","32,87571192","0,42351828","10,52583981","0,93012074","603,50213"
10/01/2011 17.00,"6,8234659","36,91666656","42,56798408","0,43103253","10,52503014","0,88616193","604,6453"
10/01/2011 18.00,"6,32872388","63,19727864","74,54880352","0,53922025","10,52245045","1,02339286","474,31461"
10/01/2011 19.00,"5,31576747","42,09256528","47,5989532","0,43513566","10,52190971","1,23459224","605,31366"
10/01/2011 20.00,"5,92968054","52,56898688","58,44555712","0,52219727","10,52204037","1,3132643","595,2961"
10/01/2011 21.00,"6,02357303","60,7157512","69,89004344","0,5424939","10,52420998","1,25373218","608,69711"
10/01/2011 22.00,"5,94051464","37,392984","42,36307504","0,49401243","10,52474976","1,17262744","574,70434"
10/01/2011 23.00,"5,87551105","21,13194024","24,30010512","0,4179554","10,52245045","0,85566515","603,24586"
11/01/2011 0.00,"4,79935724","13,82103922","16,25887364","0,33410802","10,52692986","1,13434553","601,27165"
11/01/2011 1.00,"6,17344018","15,02935057","17,4598735","0,32661241",,"0,72573425","602,38493"
11/01/2011 2.00,"4,09155169","23,9405344","28,08467968","0,42148652",,"0,81608555","606,83903"
11/01/2011 3.00,"5,53244237","21,80163736","24,43499672","0,39020394",,"0,96694224","584,5896"
11/01/2011 4.00,"6,10482624","25,68487112","28,09764304","0,34625781",,"0,76872081","690,06112"
