NetC,Provincia di TARANTO,,,,,,
Stat,Massafra (TA) Via Frappietro,,,,,,
Parm,CO,SO2,NOX,NO,NO2,O3,BENZENE
PtId,1,2,3,4,5,6,7
Unit,mg/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K
Arch,2,2,2,2,2,2,2
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver
08/01/2013 21.00,,"2,317752","28,176626","8,228786","41,2866","39,118241","3,310081"
08/01/2013 22.00,,"2,49208","22,815552","6,376294","33,871192","40,609103","2,780478"
08/01/2013 23.00,,"2,303299","13,535823","3,011781","21,277959","50,753779","2,021287"
09/01/2013 0.00,,"2,532727","24,558817","9,977234","31,681685","26,941239","2,064103"
09/01/2013 1.00,,"2,574276","12,253805","3,090025","18,704924","35,044311","1,688779"
09/01/2013 2.00,,"2,56976","5,328186","1,515407","7,869646","48,667406","1,001999"
09/01/2013 3.00,,"2,584212","5,904757","1,586038","8,864468","43,723456","0,812532"
09/01/2013 4.00,,"2,547178","3,345463","0,900023","5,02017","54,859806","0,729036"
09/01/2013 5.00,,"2,561631","3,555741","0,657678","5,79435","55,592151","0,677881"
09/01/2013 6.00,,"2,586921","12,116449","4,289914","16,601074","47,152883","0,752987"
09/01/2013 7.00,,"2,596857","59,950374","42,872493","48,926529","11,898242","2,826141"
09/01/2013 8.00,,"2,593244","61,063503","43,080994","50,73641","8,037187","5,11495"
09/01/2013 9.00,,"2,56705","68,472448","51,198553","52,45738","11,111835","2,242587"
09/01/2013 10.00,,"2,3864","33,58688","20,229795","33,224861","30,360529","2,368491"
09/01/2013 11.00,,"2,128068","19,643045","11,107329","20,544649","54,936655","1,354695"
09/01/2013 12.00,,"1,839027","15,335061","7,366404","18,039117","65,091487","1,075528"
09/01/2013 13.00,,"1,969998","13,37744","6,023983","16,353185","70,56588","1,256859"
09/01/2013 14.00,,"1,991676","21,3792","10,975799","24,065789","64,613384","1,599232"
09/01/2013 15.00,,"1,994387","16,195171","6,332308","21,271459","71,928371","1,614996"
09/01/2013 16.00,,"2,156973","22,507586","7,869708","30,990574","60,074897","1,87245"
09/01/2013 17.00,,"2,254524","23,580676","5,820969","36,187256","53,707634","1,920045"
09/01/2013 18.00,,"2,29788","49,834635","24,996788","56,998632","27,570542","3,420171"
09/01/2013 19.00,,"2,239169","61,912085","38,034857","60,102495","15,841238","3,313386"
09/01/2013 20.00,,"2,311429","98,733539","79,528149","66,891013","5,335035","4,670776"
09/01/2013 21.00,,"2,548985","91,538624","72,170209","64,414035","7,456043","4,430205"
09/01/2013 22.00,,"2,309622","55,335456","32,965467","55,297121","11,056091","3,023134"
09/01/2013 23.00,,"2,64202","27,89174","12,713252","33,86081","22,042077","2,375407"
10/01/2013 0.00,,"2,412594","23,505746","9,038722","31,106748","29,205005","1,482989"
10/01/2013 1.00,,"2,465885","17,502969","6,059511","24,192325","31,362318","1,615911"
10/01/2013 2.00,,"2,511951","11,885814","2,821032","18,413553","36,363724","1,578231"
10/01/2013 3.00,,"2,601374",,,,"40,540675","1,513499"
10/01/2013 4.00,,"2,469499","6,038384","0,881413","10,201267",,"1,84199"
10/01/2013 5.00,,"2,697119","6,88764","1,075545","11,528344","57,260391","1,686898"
10/01/2013 6.00,,"2,610406","8,048917","1,359764","13,314215","61,429762","1,085292"
10/01/2013 7.00,,"2,635698","24,594093","7,658658","35,306647","40,498441","2,4019"
10/01/2013 8.00,,"2,573373","40,756019","19,956152","47,361939","21,827514","2,324506"
10/01/2013 9.00,,"2,654666","47,574134","24,610218","53,266598","14,031917","4,478308"
10/01/2013 10.00,,"2,443304","44,927677","21,716442","52,642979","15,766058","3,55894"
10/01/2013 11.00,,"2,724216","45,540206","22,58347","52,484648","13,955049","3,030151"
10/01/2013 12.00,,"2,530016","30,494429","11,662659","40,452718","27,447211","2,333913"
10/01/2013 13.00,,"2,570663","35,054092","16,398349","41,910867","28,564729","2,850091"
10/01/2013 14.00,,"2,291557","27,759467","11,788274","35,026959","42,891442","2,242841"
10/01/2013 15.00,,"2,309622","27,128622","10,347732","36,030204","47,962934","2,055459"
10/01/2013 16.00,,"2,295171","35,089022","13,767216","46,014745","30,556497","2,448275"
10/01/2013 17.00,,"2,348462","40,368706","18,219542","49,285394","24,348895","2,395289"
10/01/2013 18.00,,"2,651955","39,99665","17,862152","49,121861","21,05124","2,716254"
10/01/2013 19.00,,"2,397238","39,601532","17,352939","49,147156","26,001952","2,728509"
10/01/2013 20.00,,"2,468596","31,736789","12,646837","41,319695","40,680066","1,879619"
10/01/2013 21.00,,"2,847962","29,86563","8,75112","43,716864","34,768939","2,070103"
10/01/2013 22.00,,"2,612212","22,458064","7,450993","31,538287","31,267735","2,163617"
10/01/2013 23.00,,"2,200328","16,785988","4,11524","25,803624","29,862177","2,190872"
11/01/2013 0.00,,"2,15065","9,842729","2,505517","14,988472","33,696188","1,927876"
11/01/2013 1.00,,"2,34214","4,550154","1,589421","6,267425","60,304641","0,909605"
11/01/2013 2.00,,"2,430658","3,115852","0,922862","4,545797","67,317224","0,552841"
11/01/2013 3.00,,"2,472208","1,980348","0,654716","2,784585","71,092963","0,495686"
11/01/2013 4.00,,"2,457756","2,640013","0,640758","4,068182","63,205292","0,478092"
11/01/2013 5.00,,"2,542663","5,019891","1,465075","7,356987","54,012572","0,555536"
11/01/2013 6.00,,"2,365624","6,813702","1,702347","10,425149","50,125334","0,627336"
11/01/2013 7.00,,"2,357495","26,3004","10,471225","34,256023","23,517719","1,324032"
11/01/2013 8.00,,"2,410787","70,19468","56,051404","48,306776","6,611356","2,116936"
11/01/2013 9.00,,"2,194909","85,335061","68,124319","58,752048","5,061359","2,66637"
11/01/2013 10.00,,"2,263556","79,231575","62,597293","55,554114","8,03972","2,799191"
11/01/2013 11.00,,"2,48937","32,221787","17,544529","34,73299","34,84497","2,629047"
11/01/2013 12.00,,"2,004322","22,387187","10,282171","27,058681","48,740902","1,139599"
11/01/2013 13.00,,"2,000709","19,438194","8,207217","24,599848","52,051206","1,277657"
11/01/2013 14.00,,"2,003419","21,83741","10,232686","26,082681","52,822413","1,646981"
11/01/2013 15.00,,"2,254524","15,278424","5,464006","20,849651","65,385428","1,271402"
11/01/2013 16.00,,"2,208458","26,330935","9,695131","35,505226","53,500694","1,515025"
11/01/2013 17.00,,"2,191296","40,646136","16,646627","52,229605","29,638319","2,153294"
11/01/2013 18.00,,"2,400851","50,039143","22,243423","61,614523","19,288401","3,065543"
11/01/2013 19.00,,"2,391818","38,923214","15,315616","50,97522","24,640325","3,11858"
11/01/2013 20.00,,"2,119035","35,674075","14,863067","45,452769","29,727855","2,815717"
11/01/2013 21.00,,"2,191296","19,641689","5,509261","29,128784","52,726116","1,928079"
11/01/2013 22.00,,"2,358398","23,627826","6,458347","35,299514","45,00315","2,06868"
11/01/2013 23.00,,"2,374656","16,996942","4,360546","25,83089","49,499423","2,013609"
12/01/2013 0.00,,"2,388206","12,376242","2,85952","19,292864","54,900346","1,199246"
12/01/2013 1.00,,"2,345752","8,901224","2,048737","13,887879","52,441467","0,995643"
12/01/2013 2.00,,"2,384592","3,13315","0,709699","4,905957","66,944722","0,740681"
12/01/2013 3.00,,"2,418013",,,,"72,23837","0,582538"
12/01/2013 4.00,,"2,492983",,,,,"0,607556"
12/01/2013 5.00,,"2,481241",,,,"53,250661","0,662728"
12/01/2013 6.00,,"2,4975",,,,"56,069394","0,679864"
12/01/2013 7.00,,"2,504725",,,,"54,562471","0,742563"
12/01/2013 8.00,,"2,438788",,,,"37,486288","1,153075"
12/01/2013 9.00,,"2,485757",,,,"39,30912","1,382866"
12/01/2013 10.00,,"2,490274",,,,"50,857679","1,579706"
12/01/2013 11.00,,"2,180457",,,,"58,343275","1,184856"
12/01/2013 12.00,,"2,358398",,,,"60,481177","1,219485"
12/01/2013 13.00,,"2,175941",,,,"62,29641","1,3251"
12/01/2013 14.00,,"2,103681",,,,"74,704015","1,327185"
12/01/2013 15.00,,"2,272443",,,,"76,761359","1,389832"
12/01/2013 16.00,,"2,370141",,,,"75,025825","1,5195"
12/01/2013 17.00,,"2,241879",,,,"60,373069","1,786004"
12/01/2013 18.00,,"2,304203",,,,"50,065365","2,009541"
12/01/2013 19.00,,"2,343043",,,,"20,517418","3,523651"
12/01/2013 20.00,,"2,32859",,,,"11,097479","3,407814"
12/01/2013 21.00,,"2,706152",,,,"10,525622","3,146547"
12/01/2013 22.00,,"2,754927",,,,"7,215306","4,524582"
12/01/2013 23.00,,"3,26075",,,,"7,746613","3,886211"
13/01/2013 0.00,,"3,26075",,,,"37,411117","2,170634"
13/01/2013 1.00,,"2,974418",,,,"52,757375","1,586571"
13/01/2013 2.00,,"2,926545",,,,"47,685027","1,377933"
13/01/2013 3.00,,"3,250814",,,,"32,955403","1,351237"
13/01/2013 4.00,,"3,187586",,,,"28,214188","1,830956"
13/01/2013 5.00,,"3,240878",,,,"27,818878","2,189347"
13/01/2013 6.00,,"3,34114",,,,"18,231696","1,601622"
13/01/2013 7.00,,"3,331204",,,,"25,090536","1,473531"
13/01/2013 8.00,,"3,391721",,,,"17,119246","2,25118"
13/01/2013 9.00,,"3,269782",,,,"25,93859","2,16082"
13/01/2013 10.00,,"3,251717",,,,"28,780967","3,202279"
13/01/2013 11.00,,"3,124358",,,,"47,712919","2,663574"
13/01/2013 12.00,,"3,277008",,,,"64,13783","1,696356"
13/01/2013 13.00,,"3,193909",,,,"72,773893","1,453496"
13/01/2013 14.00,,"3,218296",,,,"76,429686","1,903824"
13/01/2013 15.00,,"3,058421",,,,"80,236688","1,867314"
13/01/2013 16.00,,"3,221007",,,,"72,033104","1,762817"
13/01/2013 17.00,,"3,129778",,,,"67,233617","1,53867"
