,Regione Puglia,,,,,,
,Liceo Scientifico Via dei Mandorli,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE


14/01/2007 13.00,"3,984187","108,93816936",,"2,46039845",,,
14/01/2007 14.00,"3,24731049","67,87091408",,"2,06673563",,,
14/01/2007 15.00,"2,80843635","52,22117496",,"1,9559884",,,
14/01/2007 16.00,"3,13894711","32,58826184",,"1,80357029",,,
14/01/2007 17.00,"3,20215976","23,76531872",,"1,85772065",,,
14/01/2007 18.00,"3,38818432","20,59981152",,"1,7349646",,,
14/01/2007 19.00,"3,49293633","23,44603384",,"1,68658215",,,
14/01/2007 20.00,"3,35748109","21,5680292",,"1,72801421",,,
14/01/2007 21.00,"2,99807329","25,14236024",,"1,80139873",,,
14/01/2007 22.00,"3,33400262","24,96196304",,"1,85282299",,,
14/01/2007 23.00,"3,01252181","30,71801992",,"1,83335235",,,
15/01/2007 0.00,"4,07087811","40,48321576",,"1,83919715",,,
15/01/2007 1.00,"4,55129264","37,34367352",,"1,86099896",,,
15/01/2007 2.00,"3,76204064","26,92174392",,"1,74487875",,,
15/01/2007 3.00,"4,29844305","22,73610824",,"1,73614941",,,
15/01/2007 4.00,"4,5946382","16,87622211",,"1,70727838",,,
15/01/2007 5.00,"4,21355813","18,82174138",,"1,66288372",,,
15/01/2007 6.00,"4,22981182","30,63236232",,"1,69159864",,,
15/01/2007 7.00,"4,45918295","51,66308128",,"1,78915574",,,
15/01/2007 8.00,"5,0046153","64,0369908",,"1,94319204",,,
15/01/2007 9.00,"5,31525897","80,88987504",,"2,08162666",,,
15/01/2007 10.00,"5,23218024","92,9354368",,"2,0979786",,,
15/01/2007 11.00,"4,83484546","59,89030256",,"1,93936036",,,
15/01/2007 12.00,"4,07990907","25,71213624",,"1,7783725",,,
15/01/2007 13.00,"3,74217354","23,15793368",,"1,81577483",,,
15/01/2007 14.00,"2,87526138","40,39365768",,"1,89437388",,,
15/01/2007 15.00,"3,08115303","28,71150976",,"1,90535284",,,
15/01/2007 16.00,"3,5904646","29,32799592",,"1,91645296",,,
15/01/2007 17.00,"3,51822099","36,91406624",,"1,88422207",,,
15/01/2007 18.00,"3,91916815","57,55152504",,"2,00054033",,,
15/01/2007 19.00,"4,31469776","56,12257272",,"2,02159188",,,
15/01/2007 20.00,"3,75481587","50,98040168",,"1,83698482",,,
15/01/2007 21.00,"4,13228457","67,37253216",,"1,9800806",,,
15/01/2007 22.00,"3,98057461","45,84213112",,"1,96965385",,,
15/01/2007 23.00,"3,92639292","26,91786256",,"1,86012987",,,
16/01/2007 0.00,"3,36289966","25,8756696",,"1,81439314",,,
16/01/2007 1.00,,"21,98333472",,"1,81557794",,,
16/01/2007 2.00,"4,56754735",,,"1,783269",,,
16/01/2007 3.00,"4,31831014","18,58033035",,,,,
16/01/2007 4.00,"4,3435948","15,21884315",,"1,75056628",,,
16/01/2007 5.00,"4,11602986","17,73931421",,"1,6925854",,,
16/01/2007 6.00,"4,56935252","38,5260352",,"1,69096605",,,
16/01/2007 7.00,"4,26232124","53,9006184",,"1,80416327",,,
16/01/2007 8.00,"4,66868698","69,2972852",,"1,86558091",,,
16/01/2007 9.00,"4,73189963","68,02536544",,"2,06104927",,,
16/01/2007 10.00,"4,36165468","63,98508",,"2,02052591",,,
16/01/2007 11.00,"4,60728052","63,94485152",,"1,90310206",,,
16/01/2007 12.00,"4,19549722","48,83244176",,"1,81439314",,,
16/01/2007 13.00,"3,87221021","63,18559632",,"1,92229777",,,
16/01/2007 14.00,"4,37249183","69,4192708",,"1,92601062",,,
16/01/2007 15.00,"4,28941209","30,99575704",,"1,78054523",,,
16/01/2007 16.00,"4,10338753","38,56626368",,"1,81881664",,,
16/01/2007 17.00,"3,84150698","52,59885232",,"1,88603947",,,
16/01/2007 18.00,"4,0022479","74,46930256",,"1,90566972",,,
16/01/2007 19.00,"4,87277244","94,1904736",,"2,02020903",,,
16/01/2007 20.00,"5,1509077","66,19797144",,"1,93023608",,,
16/01/2007 21.00,"4,29302447","61,50873408",,"1,94283555",,,
16/01/2007 22.00,"4,39777649","69,57760352",,"1,92478621",,,
16/01/2007 23.00,"4,29844305","50,14068952",,"2,04430239",,,
17/01/2007 0.00,"4,22620045","26,07683112",,"1,88402519",,,
17/01/2007 1.00,"3,7331436","25,1099136",,"1,77639783",,,
17/01/2007 2.00,"3,78010154","15,7769311",,"1,73022538",,,
17/01/2007 3.00,"4,44834681","13,50046374",,"1,6757593",,,
17/01/2007 4.00,"3,89207731","13,41480614",,"1,66892774",,,
