"NetC","Comune Bari","","","","","","","","","","",""
"Stat","Corso Cavour","","","","","","","","","","",""
,CO,PM10,BENZENE
19/01/2011 4.00,"0,44108881","29,7924099","1,86365555"
19/01/2011 5.00,"0,43497489",,"1,78017612"
19/01/2011 6.00,"0,41587355","29,05982971","1,9825754"
19/01/2011 7.00,"0,45983715",,"1,75755194"
19/01/2011 8.00,"0,59904766","22,71062088","1,93145182"
19/01/2011 9.00,"1,1166793",,"3,75091364"
19/01/2011 10.00,"1,17630982","23,68741989","5,52987445"
19/01/2011 11.00,"0,95452062",,"4,82198244"
19/01/2011 12.00,"0,86910049","38,58362961","4,27482017"
19/01/2011 13.00,"0,91598475",,"4,00669829"
19/01/2011 14.00,"1,00272715","37,6068306","4,44239024"
19/01/2011 15.00,"0,89457438",,"4,69801421"
19/01/2011 16.00,"0,82827539","31,50181961","3,81468056"
19/01/2011 17.00,"0,92330444",,"3,74987732"
19/01/2011 18.00,"1,02472818","44,68864059","4,41329794"
19/01/2011 19.00,"1,26372327",,"5,5335926"
19/01/2011 20.00,"1,28842709","43,71184158","6,41914738"
19/01/2011 21.00,"1,47951389",,"5,82345794"
19/01/2011 22.00,"1,17477086","52,7472496","5,79550366"
19/01/2011 23.00,"0,93261862",,"4,40755494"
20/01/2011 0.00,"1,286513","51,77045059","4,95101534"
20/01/2011 1.00,"1,03579684",,"6,75805246"
20/01/2011 2.00,"0,71856501","49,08423996","3,64261026"
20/01/2011 3.00,,,"3,07309738"
20/01/2011 4.00,"0,60903521","50,30524063","3,19912605"
20/01/2011 5.00,"0,38182759",,"2,86393505"
20/01/2011 6.00,"0,29955645","39,31623077","1,69793337"
20/01/2011 7.00,"0,40391482",,"1,57538792"
20/01/2011 8.00,"0,51052397","30,28083038","0,70908494"
20/01/2011 9.00,"0,73607962",,
20/01/2011 10.00,"0,98279517","33,21123123","0,16547607"
20/01/2011 11.00,"0,83694416",,"0,45589364"
20/01/2011 12.00,"0,68049514","32,23442078","0,38466398"
20/01/2011 13.00,"0,62508774",,"0,30797099"
20/01/2011 14.00,"0,67254052","27,10622025","0,25963603"
20/01/2011 15.00,"0,56703579",,"0,27846782"
20/01/2011 16.00,"0,44311591","26,61782074","0,21528771"
20/01/2011 17.00,"0,47627763",,
20/01/2011 18.00,"0,54710031","15,14041042",
