,,lecce,,
,,GUAGNANO,,
Parm,SO2,NO2,NOX,PM10



21/01/2009 11.00,"0,0","7,9","24,6","64,5"
21/01/2009 12.00,"0,1","7,9","24,2","64,5"
21/01/2009 13.00,"0,1","8,0","24,3","64,5"
21/01/2009 14.00,"0,1","6,6","22,5","64,5"
21/01/2009 15.00,"0,2","6,4","23,2","64,5"
21/01/2009 16.00,"0,1","7,8","24,8","64,5"
21/01/2009 17.00,"0,1","7,3","23,2","64,5"
21/01/2009 18.00,"0,1","7,6","23,9","64,5"
21/01/2009 19.00,"0,2","9,1","25,8","64,5"
21/01/2009 20.00,"0,2","9,3","26,2","64,5"
21/01/2009 21.00,"0,3","9,3","26,2","64,5"
21/01/2009 22.00,"0,3","9,8","27,3","64,5"
21/01/2009 23.00,"0,2","8,4","25,2","64,5"
22/01/2009 0.00,"0,2","6,6","24,1","64,5"
22/01/2009 1.00,,"5,0","22,0","51,2"
22/01/2009 2.00,"0,3",,,"51,2"
22/01/2009 3.00,"0,4","4,3","21,9","51,2"
22/01/2009 4.00,"0,3","4,4","21,3","51,2"
22/01/2009 5.00,"0,2","4,2","21,3","51,2"
22/01/2009 6.00,"0,1","4,2","21,3","51,2"
22/01/2009 7.00,"0,1","4,4","21,8","51,2"
22/01/2009 8.00,"0,3","5,8","23,6","51,2"
22/01/2009 9.00,"0,3","9,4","28,5","51,2"
22/01/2009 10.00,"0,5","9,1","27,3","51,2"
22/01/2009 11.00,"0,4","9,0","26,9","51,2"
22/01/2009 12.00,"0,5","8,6","26,3","51,2"
22/01/2009 13.00,"0,6","9,6","26,9","51,2"
22/01/2009 14.00,"0,6","8,9","25,8","51,2"
22/01/2009 15.00,"0,4","7,5","24,6","51,2"
22/01/2009 16.00,"0,6","9,4","26,7","51,2"
22/01/2009 17.00,"0,5","7,7","25,5","51,2"
22/01/2009 18.00,"0,4","5,4","23,2","51,2"
22/01/2009 19.00,"0,4","7,1","24,9","51,2"
22/01/2009 20.00,"0,5","8,5","27,4","51,2"
22/01/2009 21.00,"0,7","13,1","31,9","51,2"
22/01/2009 22.00,"0,5","7,3","25,2","51,2"
22/01/2009 23.00,"0,5","9,4","27,5","51,2"
23/01/2009 0.00,"0,4","7,9","25,8","51,2"
23/01/2009 1.00,"0,3","6,5","24,4","20,7"
23/01/2009 2.00,"0,3","5,2","22,9","20,7"
23/01/2009 3.00,"0,3","4,9","22,1","20,7"
23/01/2009 4.00,"0,2","4,8","21,9","20,7"
23/01/2009 5.00,"0,3","4,5","21,0","20,7"
23/01/2009 6.00,"0,4","4,4","19,9","20,7"
23/01/2009 7.00,"0,3","5,9","20,5","20,7"
23/01/2009 8.00,"0,3","4,9","17,6","20,7"
23/01/2009 9.00,"0,2","5,1","16,1","20,7"
23/01/2009 10.00,,,,"20,7"
23/01/2009 11.00,"0,4",,,"20,7"
23/01/2009 12.00,"0,4","7,7","10,7","20,7"
23/01/2009 13.00,"0,4","9,1","14,1","20,7"
23/01/2009 14.00,"0,5","9,8","15,5","20,7"
23/01/2009 15.00,"0,9","17,2","25,6","20,7"
23/01/2009 16.00,"0,8","16,4","26,8","20,7"
23/01/2009 17.00,"0,6","12,5","22,4","20,7"
23/01/2009 18.00,"0,4","9,3","18,5","20,7"
23/01/2009 19.00,"0,4","8,7","16,6","20,7"
23/01/2009 20.00,"0,5","10,2","17,2","20,7"
23/01/2009 21.00,"0,5","11,6","18,9","20,7"
23/01/2009 22.00,"0,7","13,3","20,5","20,7"
23/01/2009 23.00,"0,6","15,8","22,0","20,7"
24/01/2009 0.00,"1,0","18,5","25,0","20,7"
24/01/2009 1.00,,"12,2","17,1","41,4"
24/01/2009 2.00,"0,8",,,"41,4"
24/01/2009 3.00,"0,6","4,2","9,1","41,4"
24/01/2009 4.00,"1,0","3,2","8,8","41,4"
24/01/2009 5.00,"1,3","3,4","9,3","41,4"
24/01/2009 6.00,"1,5","3,6","9,6","41,4"
24/01/2009 7.00,"1,0","5,3","11,7","41,4"
24/01/2009 8.00,"1,0","8,8","15,3","41,4"
24/01/2009 9.00,"0,9","6,7","12,6","41,4"
24/01/2009 10.00,"0,6","8,8","15,9","41,4"
24/01/2009 11.00,"1,0","8,0","16,9","41,4"
24/01/2009 12.00,"1,5","10,5","25,6","41,4"
24/01/2009 13.00,"1,6","14,0","26,4","41,4"
24/01/2009 14.00,"2,0","21,1","38,5","41,4"
24/01/2009 15.00,"1,8","14,4","27,8","41,4"
24/01/2009 16.00,"2,1","15,3","29,8","41,4"
24/01/2009 17.00,"1,3","10,1","23,4","41,4"
24/01/2009 18.00,"1,4","12,5","27,3","41,4"
24/01/2009 19.00,"1,9","18,7","35,3","41,4"
24/01/2009 20.00,"1,9","15,1","31,2","41,4"
24/01/2009 21.00,"1,5","15,7","31,2","41,4"
24/01/2009 22.00,"1,7","19,2","39,1","41,4"
24/01/2009 23.00,"1,6","18,5","37,8","41,4"
25/01/2009 0.00,"0,9","13,0","28,0","41,4"
25/01/2009 1.00,"0,4","9,3","24,0","17,3"
25/01/2009 2.00,"0,6","5,7","19,9","17,3"
25/01/2009 3.00,"0,8","4,5","18,3","17,3"
25/01/2009 4.00,"0,4","6,0","19,7","17,3"
25/01/2009 5.00,"0,7","3,6","15,9","17,3"
25/01/2009 6.00,"0,8","3,4","15,3","17,3"
25/01/2009 7.00,"0,7","4,1","15,2","17,3"
25/01/2009 8.00,"0,5","6,1","16,4","17,3"
25/01/2009 9.00,"0,7","5,2","14,7","17,3"
25/01/2009 10.00,"0,8","3,3","12,5","17,3"
25/01/2009 11.00,"0,8","4,2","14,3","17,3"
25/01/2009 12.00,"0,8","4,2","14,9","17,3"
25/01/2009 13.00,"0,7","4,5","14,7","17,3"
25/01/2009 14.00,"0,7","4,3","15,1","17,3"
25/01/2009 15.00,"0,3","4,8","16,3","17,3"
25/01/2009 16.00,"0,7","6,8","20,1","17,3"
25/01/2009 17.00,"0,9","8,6","21,9","17,3"
25/01/2009 18.00,"1,5","11,2","25,5","17,3"
25/01/2009 19.00,"1,4","10,9","28,0","17,3"
25/01/2009 20.00,"0,8","10,6","26,2","17,3"
25/01/2009 21.00,"0,8","9,0","23,5","17,3"
25/01/2009 22.00,"0,8","7,7","19,5","17,3"
25/01/2009 23.00,"0,6","7,5","18,5","17,3"
26/01/2009 0.00,"0,8","7,8","16,0","17,3"
26/01/2009 1.00,,"6,4","12,8","28,9"
26/01/2009 2.00,"0,7",,,"28,9"
26/01/2009 3.00,"0,5","5,3","9,6","28,9"
26/01/2009 4.00,"0,4","4,9","8,6","28,9"
26/01/2009 5.00,"0,5","4,4","7,2","28,9"
26/01/2009 6.00,"0,6","4,2","6,2","28,9"
26/01/2009 7.00,"1,2","5,7","7,4","28,9"
26/01/2009 8.00,"1,1","11,9","17,6","28,9"
26/01/2009 9.00,"1,1","11,1","21,5","28,9"
26/01/2009 10.00,"1,2","13,9","22,5","28,9"
26/01/2009 11.00,"1,8","15,4","24,6","28,9"
26/01/2009 12.00,"1,8","4,9","11,8","28,9"
26/01/2009 13.00,"0,8","8,1","17,8","28,9"
26/01/2009 14.00,"0,6","6,2","15,4","28,9"
26/01/2009 15.00,"0,8","5,9","15,2","28,9"
26/01/2009 16.00,"0,9","6,8","16,4","28,9"
26/01/2009 17.00,"0,8","8,5","19,2","28,9"
26/01/2009 18.00,"1,4","10,5","22,1","28,9"
26/01/2009 19.00,"1,6","12,4","25,2","28,9"
26/01/2009 20.00,"1,0","14,9","28,0","28,9"
26/01/2009 21.00,"1,0","13,3","25,2","28,9"
26/01/2009 22.00,"0,8","11,4","21,9","28,9"
26/01/2009 23.00,"0,7","8,9","18,9","28,9"
27/01/2009 0.00,"0,6","6,7","17,3","28,9"
27/01/2009 1.00,"0,6","4,6","15,9","38,7"
27/01/2009 2.00,"0,5","4,2","15,8","38,7"
27/01/2009 3.00,"0,7","3,9","15,9","38,7"
27/01/2009 4.00,"0,8","4,2","16,4","38,7"
27/01/2009 5.00,"0,7","5,4","17,9","38,7"
27/01/2009 6.00,"0,7","6,3","17,8","38,7"
27/01/2009 7.00,"1,0","7,1","17,8","38,7"
27/01/2009 8.00,"0,7","7,2","16,7","38,7"
27/01/2009 9.00,"0,8","14,0","25,3","38,7"
27/01/2009 10.00,"0,9","9,6","18,4","38,7"
27/01/2009 11.00,"0,7","6,9","15,2","38,7"
27/01/2009 12.00,"1,0","4,5","14,5","38,7"
27/01/2009 13.00,"0,6","4,6","16,5","38,7"
27/01/2009 14.00,"0,7","4,4","15,9","38,7"
27/01/2009 15.00,"0,7","4,3","14,7","38,7"
27/01/2009 16.00,"0,7","3,3","13,3","38,7"
27/01/2009 17.00,"0,7","3,9","13,7","38,7"
27/01/2009 18.00,"0,6","5,1","16,1","38,7"
27/01/2009 19.00,"1,2","14,1","25,2","38,7"
27/01/2009 20.00,"1,2","18,9","29,3","38,7"
27/01/2009 21.00,"1,6","29,3","46,8","38,7"
27/01/2009 22.00,"1,8","32,7","53,1","38,7"
27/01/2009 23.00,"1,4","23,6","35,7","38,7"
28/01/2009 0.00,"1,2","16,9","24,3","38,7"
28/01/2009 1.00,,"15,6","17,9","29,1"
28/01/2009 2.00,"0,9",,,"29,1"
28/01/2009 3.00,"0,9","10,4","10,8","29,1"
28/01/2009 4.00,"1,1","13,5","15,5","29,1"
28/01/2009 5.00,"1,1","13,5","18,2","29,1"
28/01/2009 6.00,"0,9","12,0","13,6","29,1"
28/01/2009 7.00,"0,9","7,5","6,6","29,1"
28/01/2009 8.00,"0,7","12,7","14,8","29,1"
28/01/2009 9.00,"1,3","18,8","28,1","29,1"
28/01/2009 10.00,"1,7","17,8","31,6","29,1"
28/01/2009 11.00,"1,2","17,7","22,9","29,1"
28/01/2009 12.00,"1,2","20,3","24,6","29,1"
28/01/2009 13.00,"1,1","17,6","24,6","29,1"
28/01/2009 14.00,"1,3","6,1","14,2","29,1"
28/01/2009 15.00,"1,0","4,9","15,3","29,1"
28/01/2009 16.00,"0,9","5,5","15,5","29,1"
28/01/2009 17.00,"1,1","6,4","17,4","29,1"
28/01/2009 18.00,"1,3","9,2","20,4","29,1"
28/01/2009 19.00,"1,3","9,9","20,8","29,1"
28/01/2009 20.00,"1,2","10,9","20,2","29,1"
28/01/2009 21.00,"1,3","9,5","18,2","29,1"
28/01/2009 22.00,"1,6","7,9","13,7","29,1"
28/01/2009 23.00,"1,6","7,8","12,1","29,1"
29/01/2009 0.00,"1,2","8,3","11,5","29,1"
29/01/2009 1.00,"1,1","7,3","9,4","14,0"
29/01/2009 2.00,"1,0","7,6","8,4","14,0"
29/01/2009 3.00,"0,9","7,9","7,7","14,0"
29/01/2009 4.00,"1,0","6,5","5,3","14,0"
29/01/2009 5.00,"0,8","4,6","2,7","14,0"
29/01/2009 6.00,"0,8","3,6","1,2","14,0"
29/01/2009 7.00,"1,2",,,"14,0"
29/01/2009 8.00,"0,9","4,5","1,8","14,0"
29/01/2009 9.00,"0,4","4,9","2,7","14,0"
29/01/2009 10.00,"0,5","5,5","3,3","14,0"
29/01/2009 11.00,"1,0","5,8","3,7","14,0"
29/01/2009 12.00,"0,9","6,5","5,7","14,0"
29/01/2009 13.00,"1,0","6,3","7,2","14,0"
29/01/2009 14.00,"0,9","6,4","8,2","14,0"
29/01/2009 15.00,"1,4","4,7","7,4","14,0"
29/01/2009 16.00,"1,5","5,3","9,4","14,0"
29/01/2009 17.00,"1,6","4,7","9,2","14,0"
29/01/2009 18.00,"1,3","5,2","9,2","14,0"
29/01/2009 19.00,"1,6","5,2","8,6","14,0"
29/01/2009 20.00,"1,6","8,5","11,1","14,0"
29/01/2009 21.00,"1,7","9,0","11,0","14,0"
29/01/2009 22.00,"1,6","7,9","8,7","14,0"
29/01/2009 23.00,"1,4","7,1","7,0","14,0"
30/01/2009 0.00,"1,6","5,2","4,6","14,0"
30/01/2009 1.00,,"5,3","5,0","9,7"
30/01/2009 2.00,"1,5",,,"9,7"
30/01/2009 3.00,"2,1","4,1","3,2","9,7"
30/01/2009 4.00,"1,7","3,9","2,7","9,7"
30/01/2009 5.00,"1,5","3,9","2,3","9,7"
30/01/2009 6.00,"1,7","3,3","1,9","9,7"
30/01/2009 7.00,"1,1","3,8","2,8","9,7"
30/01/2009 8.00,"2,0","6,8","6,8","9,7"
30/01/2009 9.00,"1,4","6,8","8,0","9,7"
30/01/2009 10.00,"1,5","6,6","8,3","9,7"
30/01/2009 11.00,"1,7","6,8","7,7","9,7"
30/01/2009 12.00,"1,5","5,3","6,9","9,7"
30/01/2009 13.00,"1,8","5,9","9,2","9,7"
30/01/2009 14.00,"1,9","5,2","9,9","9,7"
30/01/2009 15.00,"1,9","6,1","12,5","9,7"
30/01/2009 16.00,"1,9","5,3","11,9","9,7"
30/01/2009 17.00,"1,2","8,0","15,4","9,7"
30/01/2009 18.00,"1,2","8,4","16,3","9,7"
30/01/2009 19.00,"1,2","6,8","13,6","9,7"
30/01/2009 20.00,"1,1","5,0","9,2","9,7"
30/01/2009 21.00,"1,3","5,1","7,2","9,7"
30/01/2009 22.00,"0,9","6,6","7,5","9,7"
30/01/2009 23.00,"0,8","6,4","6,5","9,7"
31/01/2009 0.00,"1,1","6,4","6,4","9,7"
31/01/2009 1.00,"1,4","6,0","5,8","13,7"
31/01/2009 2.00,"0,7","5,1","4,2","13,7"
31/01/2009 3.00,"0,8","3,8","2,3","13,7"
31/01/2009 4.00,"1,0","3,2","1,4","13,7"
31/01/2009 5.00,"1,2","3,1","1,0","13,7"
31/01/2009 6.00,"1,1","3,0","0,6","13,7"
31/01/2009 7.00,"1,1","3,0","0,3","13,7"
31/01/2009 8.00,"1,5","3,5","1,0","13,7"
31/01/2009 9.00,"1,4","4,0","2,1","13,7"
31/01/2009 10.00,"1,7","4,0","2,3","13,7"
31/01/2009 11.00,"1,7","4,8","3,6","13,7"
31/01/2009 12.00,"2,1","5,4","5,2","13,7"
31/01/2009 13.00,"2,3","4,4","5,5","13,7"
31/01/2009 14.00,"2,4","4,2","6,9","13,7"
31/01/2009 15.00,"2,5","5,1","10,7","13,7"
31/01/2009 16.00,"2,0","5,2","11,6","13,7"
31/01/2009 17.00,"2,6","6,5","12,9","13,7"
31/01/2009 18.00,"2,5","5,4","11,1","13,7"
31/01/2009 19.00,"2,5","5,4","10,6","13,7"
31/01/2009 20.00,"2,7","6,9","10,6","13,7"
31/01/2009 21.00,"2,1","7,3","10,0","13,7"
31/01/2009 22.00,"1,9","8,6","11,9","13,7"
31/01/2009 23.00,"1,6","7,8","9,9","13,7"
01/02/2009 0.00,"1,5","8,1","8,4","13,7"
01/02/2009 1.00,,"13,5","15,1","55,8"
01/02/2009 2.00,"2,2",,,"55,8"
01/02/2009 3.00,"2,4","14,0","14,9","55,8"
01/02/2009 4.00,"2,1","13,2","13,0","55,8"
01/02/2009 5.00,"2,6","14,9","13,6","55,8"
01/02/2009 6.00,"2,4","15,2","13,5","55,8"
01/02/2009 7.00,"1,7","10,9","9,0","55,8"
01/02/2009 8.00,"1,5","9,3","8,0","55,8"
01/02/2009 9.00,"1,4","11,7","11,8","55,8"
01/02/2009 10.00,"1,4","12,9","12,7","55,8"
01/02/2009 11.00,"1,1","13,1","13,7","55,8"
01/02/2009 12.00,"1,2","12,4","14,5","55,8"
01/02/2009 13.00,"1,7","10,6","13,8","55,8"
01/02/2009 14.00,"1,9","9,4","14,9","55,8"
01/02/2009 15.00,"2,0","8,5","15,0","55,8"
01/02/2009 16.00,"2,7","8,1","15,6","55,8"
01/02/2009 17.00,"2,3","8,0","15,6","55,8"
01/02/2009 18.00,"2,1","7,3","14,1","55,8"
01/02/2009 19.00,"2,5","7,2","13,3","55,8"
01/02/2009 20.00,"2,4","8,7","13,5","55,8"
01/02/2009 21.00,"2,9","12,2","16,5","55,8"
01/02/2009 22.00,"3,2","19,3","24,0","55,8"
01/02/2009 23.00,"3,1","15,6","19,5","55,8"
02/02/2009 0.00,"2,7","11,0","14,8","55,8"
02/02/2009 1.00,"2,6","8,2","12,0","21,0"
02/02/2009 2.00,"2,6","5,2","8,7","21,0"
02/02/2009 3.00,"0,9","4,3","7,4","21,0"
02/02/2009 4.00,"0,9","4,4","7,7","21,0"
02/02/2009 5.00,"0,5","7,4","10,9","21,0"
02/02/2009 6.00,"0,1","9,1","12,8","21,0"
02/02/2009 7.00,"0,0","7,9","11,9","21,0"
02/02/2009 8.00,"0,0","16,2","24,9","21,0"
02/02/2009 9.00,"0,2","18,8","31,4","21,0"
02/02/2009 10.00,"0,3","13,9","22,6","21,0"
02/02/2009 11.00,"0,3","11,4","20,5","21,0"
02/02/2009 12.00,"0,4","8,1","18,4","21,0"
02/02/2009 13.00,"0,9","10,1","21,4","21,0"
02/02/2009 14.00,"1,0","11,5","23,3","21,0"
02/02/2009 15.00,"1,1",,,"21,0"
02/02/2009 16.00,"1,2","9,2","21,4","21,0"
02/02/2009 17.00,"0,3","10,7","23,4","21,0"
02/02/2009 18.00,"1,0","9,8","23,4","21,0"
02/02/2009 19.00,"0,8","10,5","24,1","21,0"
02/02/2009 20.00,"0,6","11,9","25,2","21,0"
02/02/2009 21.00,"1,6","10,3","23,7","21,0"
02/02/2009 22.00,"0,9","8,4","21,7","21,0"
02/02/2009 23.00,"0,1","7,6","21,2","21,0"
03/02/2009 0.00,"0,3","5,7","18,8","21,0"
03/02/2009 1.00,,"4,6","17,9","57,9"
03/02/2009 2.00,"0,7",,,"57,9"
03/02/2009 3.00,"0,4","5,0","18,2","57,9"
03/02/2009 4.00,"0,3","4,2","17,5","57,9"
03/02/2009 5.00,"0,2","4,2","17,5","57,9"
03/02/2009 6.00,"0,2","4,3","17,4","57,9"
03/02/2009 7.00,"0,2","5,1","18,7","57,9"
03/02/2009 8.00,"0,7","5,7","19,5","57,9"
03/02/2009 9.00,"0,4","7,5","22,0","57,9"
03/02/2009 10.00,"1,0","7,0","21,6","57,9"
03/02/2009 11.00,"0,4","6,2","19,8","57,9"
03/02/2009 12.00,"0,5","6,5","19,4","57,9"
03/02/2009 13.00,"0,3","6,8","19,2","57,9"
03/02/2009 14.00,"0,2","6,8","19,1","57,9"
03/02/2009 15.00,"0,1","6,8","19,9","57,9"
03/02/2009 16.00,"0,3","6,1","19,0","57,9"
03/02/2009 17.00,"0,2","6,7","19,5","57,9"
03/02/2009 18.00,"0,6","8,1","20,7","57,9"
03/02/2009 19.00,"1,3","8,0","20,5","57,9"
03/02/2009 20.00,"1,3","9,0","22,2","57,9"
03/02/2009 21.00,"1,1","8,4","21,4","57,9"
03/02/2009 22.00,"1,4","8,3","21,0","57,9"
03/02/2009 23.00,"0,4","6,2","18,6","57,9"
04/02/2009 0.00,"0,1","5,6","18,0","57,9"
04/02/2009 1.00,"0,7","4,6","17,1","77,4"
04/02/2009 2.00,"0,5",,"17,3","77,4"
04/02/2009 3.00,"0,4","5,0","17,6","77,4"
04/02/2009 4.00,"0,0","5,3","18,7","77,4"
04/02/2009 5.00,"0,1","5,1","18,7","77,4"
04/02/2009 6.00,"0,3","5,2","19,3","77,4"
04/02/2009 7.00,"0,2","4,4","18,3","77,4"
04/02/2009 8.00,"0,4","6,8","20,8","77,4"
04/02/2009 9.00,"0,5","10,1","25,3","77,4"
04/02/2009 10.00,"0,1","10,1","25,8","77,4"
04/02/2009 11.00,"0,0","7,5","20,9","77,4"
04/02/2009 12.00,"0,0","5,4","17,5","77,4"
04/02/2009 13.00,"0,0","5,7","17,2","77,4"
04/02/2009 14.00,"0,0","5,8","17,9","77,4"
04/02/2009 15.00,"0,0","5,0","16,4","77,4"
04/02/2009 16.00,"0,0","4,3","15,3","77,4"
04/02/2009 17.00,"0,2","4,9","15,8","77,4"
04/02/2009 18.00,"0,0","6,5","17,8","77,4"
04/02/2009 19.00,"0,2","8,1","20,7","77,4"
04/02/2009 20.00,"0,3","5,5","18,7","77,4"
04/02/2009 21.00,"0,1","5,7","18,9","77,4"
04/02/2009 22.00,"0,1","8,4","21,4","77,4"
04/02/2009 23.00,"0,3","16,1","29,4","77,4"
05/02/2009 0.00,"0,3","7,6","18,4","77,4"
05/02/2009 1.00,,"7,3","17,5",
05/02/2009 2.00,"0,2",,,
05/02/2009 3.00,"0,1","5,0","13,4",
05/02/2009 4.00,"0,8","4,1","12,0",
05/02/2009 5.00,"0,9","3,6","11,1",
05/02/2009 6.00,"0,9","3,3","10,3",
05/02/2009 7.00,"0,8","3,6","10,3",
05/02/2009 8.00,"0,1","4,9","9,9",
05/02/2009 9.00,"0,7","7,7","15,6",
05/02/2009 10.00,"1,3","15,5","31,0",
05/02/2009 11.00,"0,0","7,7","12,5",
05/02/2009 12.00,"0,0","5,0","12,7",
05/02/2009 13.00,"0,2","4,9","13,3",
05/02/2009 14.00,"0,5","4,9","14,0",
05/02/2009 15.00,"0,1","5,2","14,3",
05/02/2009 16.00,"0,1","5,3","14,6",
05/02/2009 17.00,"0,0","6,5","15,8",
05/02/2009 18.00,"0,0","7,9","13,8",
05/02/2009 19.00,"0,2","16,8","23,6",
05/02/2009 20.00,"0,1","17,8","24,7",
05/02/2009 21.00,"0,2","22,1","30,0",
05/02/2009 22.00,"0,2","22,1","27,6",
05/02/2009 23.00,"1,4","18,3","21,3",
06/02/2009 0.00,"2,7","14,6","16,6",
06/02/2009 1.00,"3,0","11,2","13,1","35,3"
06/02/2009 2.00,"2,8","8,1","11,0","35,3"
06/02/2009 3.00,"4,1","5,7","9,5","35,3"
06/02/2009 4.00,"3,5","5,6","10,4","35,3"
06/02/2009 5.00,"1,9","6,2","11,9","35,3"
06/02/2009 6.00,"2,9","4,7","11,1","35,3"
06/02/2009 7.00,"2,5","3,9","10,4","35,3"
06/02/2009 8.00,"2,3","5,4","12,6","35,3"
06/02/2009 9.00,"1,5","8,2","17,4","35,3"
06/02/2009 10.00,"1,5","9,8","19,7","35,3"
06/02/2009 11.00,"0,7",,"20,9","35,3"
06/02/2009 12.00,"0,5","7,5","22,0","35,3"
06/02/2009 13.00,"1,0","9,6","23,0","35,3"
06/02/2009 14.00,"0,4","7,3","19,4","35,3"
06/02/2009 15.00,"0,5","7,6","19,4","35,3"
06/02/2009 16.00,"0,7","9,2","21,2","35,3"
06/02/2009 17.00,"0,4","9,6","21,6","35,3"
06/02/2009 18.00,"1,2","10,3","23,0","35,3"
06/02/2009 19.00,"1,0","13,0","25,6","35,3"
06/02/2009 20.00,"1,2","15,3","29,2","35,3"
06/02/2009 21.00,"1,4","18,5","33,0","35,3"
06/02/2009 22.00,"1,9","20,1","34,5","35,3"
06/02/2009 23.00,"0,6","17,1","29,2","35,3"
07/02/2009 0.00,"3,7","9,6","19,6","35,3"
07/02/2009 1.00,,"8,3","17,8","76,3"
07/02/2009 2.00,"2,4",,,"76,3"
07/02/2009 3.00,"2,1","6,0","15,5","76,3"
07/02/2009 4.00,"0,6","5,2","14,6","76,3"
07/02/2009 5.00,"0,5","4,5","13,7","76,3"
07/02/2009 6.00,"0,8","4,2","13,5","76,3"
07/02/2009 7.00,"0,2","4,1","12,9","76,3"
07/02/2009 8.00,"0,1","5,4","14,8","76,3"
07/02/2009 9.00,"0,0","8,0","19,5","76,3"
07/02/2009 10.00,"0,0","8,8","20,6","76,3"
07/02/2009 11.00,"0,0","7,2","19,4","76,3"
07/02/2009 12.00,"0,0","5,8","17,9","76,3"
07/02/2009 13.00,"0,1","5,6","17,0","76,3"
07/02/2009 14.00,"0,1","5,7","16,4","76,3"
07/02/2009 15.00,"0,1","5,4","15,3","76,3"
07/02/2009 16.00,"0,7","5,9","16,1","76,3"
07/02/2009 17.00,"1,0","5,8","16,3","76,3"
07/02/2009 18.00,"0,7","7,1","18,1","76,3"
07/02/2009 19.00,"0,6","7,7","19,3","76,3"
07/02/2009 20.00,"0,1","8,3","20,0","76,3"
07/02/2009 21.00,"0,4","8,3","20,0","76,3"
07/02/2009 22.00,"0,2","8,5","20,5","76,3"
07/02/2009 23.00,"0,8","8,0","20,2","76,3"
08/02/2009 0.00,"0,6","7,1","19,8","76,3"
08/02/2009 1.00,"1,1","4,5","16,9","11,1"
08/02/2009 2.00,"0,3","4,7","17,8","11,1"
08/02/2009 3.00,"1,1","3,8","16,2","11,1"
08/02/2009 4.00,"1,6","3,3","14,7","11,1"
08/02/2009 5.00,"1,3","3,0","12,6","11,1"
08/02/2009 6.00,"1,5","2,9","10,6","11,1"
08/02/2009 7.00,"2,4","2,8","9,2","11,1"
08/02/2009 8.00,"4,4","3,3","8,9","11,1"
08/02/2009 9.00,"3,3","3,5","8,7","11,1"
08/02/2009 10.00,"0,5","4,6","10,4","11,1"
08/02/2009 11.00,"0,4","5,0","13,0","11,1"
08/02/2009 12.00,"0,3","3,6","13,6","11,1"
08/02/2009 13.00,"1,8","4,2","14,7","11,1"
08/02/2009 14.00,"2,0","4,8","17,0","11,1"
08/02/2009 15.00,"0,9","4,9","17,4","11,1"
08/02/2009 16.00,"0,9","4,8","15,9","11,1"
08/02/2009 17.00,"1,2","4,8","15,1","11,1"
08/02/2009 18.00,"1,4","5,2","15,7","11,1"
08/02/2009 19.00,"1,9","6,3","16,5","11,1"
08/02/2009 20.00,"1,6","7,7","16,6","11,1"
08/02/2009 21.00,"2,5","12,7","20,6","11,1"
08/02/2009 22.00,"3,2","15,9","23,9","11,1"
08/02/2009 23.00,"2,7","9,6","16,4","11,1"
09/02/2009 0.00,"1,5","6,0","11,8","11,1"
09/02/2009 1.00,,"7,2","12,0","9,1"
09/02/2009 2.00,"0,5",,,"9,1"
09/02/2009 3.00,"0,4","7,4","9,8","9,1"
09/02/2009 4.00,"0,7","6,5","7,8","9,1"
09/02/2009 5.00,"0,2","4,1","4,5","9,1"
09/02/2009 6.00,"0,2","3,8","3,2","9,1"
09/02/2009 7.00,"0,5","4,3","2,7","9,1"
09/02/2009 8.00,"0,9","4,4","2,5","9,1"
09/02/2009 9.00,"0,3","7,0","6,5","9,1"
09/02/2009 10.00,"0,4","6,3","5,1","9,1"
09/02/2009 11.00,"0,6","6,0","5,7","9,1"
09/02/2009 12.00,"0,2","4,6","6,4","9,1"
09/02/2009 13.00,"0,4","3,9","8,7","9,1"
09/02/2009 14.00,"0,4","4,1","11,2","9,1"
09/02/2009 15.00,"0,2","4,0","11,8","9,1"
09/02/2009 16.00,"0,8","3,9","12,5","9,1"
09/02/2009 17.00,"0,3","4,6","14,1","9,1"
09/02/2009 18.00,"0,1","4,9","14,8","9,1"
09/02/2009 19.00,"0,1","6,2","14,7","9,1"
09/02/2009 20.00,"0,2","4,1","10,2","9,1"
09/02/2009 21.00,"0,2","4,4","8,3","9,1"
09/02/2009 22.00,"0,4","4,5","7,4","9,1"
09/02/2009 23.00,"0,3","4,6","6,4","9,1"
10/02/2009 0.00,"0,0","5,1","6,5","9,1"
10/02/2009 1.00,"0,0","5,4","6,4","31,2"
10/02/2009 2.00,"0,0","4,4","4,5","31,2"
10/02/2009 3.00,"0,0","4,8","4,2","31,2"
10/02/2009 4.00,"0,1","5,3","4,1","31,2"
10/02/2009 5.00,"0,1","3,8","1,7","31,2"
10/02/2009 6.00,"0,1",,,"31,2"
10/02/2009 7.00,"0,3",,,"31,2"
10/02/2009 8.00,"0,1","11,0","10,3","31,2"
10/02/2009 9.00,"0,0","17,0","22,6","31,2"
10/02/2009 10.00,"1,3","19,7","29,9","31,2"
10/02/2009 11.00,"0,2","16,0","18,5","31,2"
10/02/2009 12.00,"0,2","6,6","7,5","31,2"
10/02/2009 13.00,"0,2","6,5","12,2","31,2"
10/02/2009 14.00,"0,2","5,9","14,5","31,2"
10/02/2009 15.00,"0,0","6,8","15,9","31,2"
10/02/2009 16.00,"0,1","7,6","17,5","31,2"
10/02/2009 17.00,"0,0","8,1","18,2","31,2"
10/02/2009 18.00,"0,0","14,6","26,4","31,2"
