,,lecce,,
,,GUAGNANO,,
Parm,SO2,NO2,NOX,PM10



14/01/2009 13.00,,"7,8","21,7","71,7"
14/01/2009 14.00,,"7,8","21,2","71,7"
14/01/2009 15.00,,"7,5","21,2","71,7"
14/01/2009 16.00,,"7,2","20,7","71,7"
14/01/2009 17.00,,"8,0","22,6","71,7"
14/01/2009 18.00,,"11,4","27,7","71,7"
14/01/2009 19.00,,"11,3","26,9","71,7"
14/01/2009 20.00,,"12,4","28,5","71,7"
14/01/2009 21.00,,"14,4","30,8","71,7"
14/01/2009 22.00,,"10,2","26,4","71,7"
14/01/2009 23.00,,"9,6","26,1","71,7"
15/01/2009 0.00,,"6,3","22,2","71,7"
15/01/2009 1.00,,"7,4","23,6",
15/01/2009 2.00,,"4,7","19,7",
15/01/2009 3.00,,"4,4","19,0",
15/01/2009 4.00,,"4,2","18,3",
15/01/2009 5.00,,"4,1","17,7",
15/01/2009 6.00,,"4,2","17,0",
15/01/2009 7.00,,"8,1","21,5",
15/01/2009 8.00,,"11,1","23,0",
15/01/2009 9.00,,"13,1","27,4",
15/01/2009 10.00,,"18,5","39,6",
15/01/2009 11.00,,"15,8","32,4",
15/01/2009 12.00,,"5,3","18,2",
15/01/2009 13.00,,"6,2","18,9",
15/01/2009 14.00,,"4,7","16,8",
15/01/2009 15.00,,"6,0","17,9",
15/01/2009 16.00,,"7,0","19,8",
15/01/2009 17.00,,"5,1","18,4",
15/01/2009 18.00,,"7,0","21,4",
15/01/2009 19.00,,"13,7","29,9",
15/01/2009 20.00,,"17,0","36,9",
15/01/2009 21.00,,"15,9","35,7",
15/01/2009 22.00,,"13,3","33,8",
15/01/2009 23.00,,"11,1","25,2",
16/01/2009 0.00,,"11,8","21,0",
16/01/2009 1.00,,"11,9","20,4","15,6"
16/01/2009 2.00,,,,"15,6"
16/01/2009 3.00,,"7,2","12,3","15,6"
16/01/2009 4.00,,"6,2","10,5","15,6"
16/01/2009 5.00,,"8,8","12,5","15,6"
16/01/2009 6.00,,"9,9","13,7","15,6"
16/01/2009 7.00,,"11,8","16,2","15,6"
16/01/2009 8.00,,"9,3","14,7","15,6"
16/01/2009 9.00,,"9,0","16,6","15,6"
16/01/2009 10.00,,"8,7","15,1","15,6"
16/01/2009 11.00,,"8,2","14,8","15,6"
16/01/2009 12.00,"2,3","6,8","14,6","15,6"
16/01/2009 13.00,"2,4","6,0","16,0","15,6"
16/01/2009 14.00,"1,9","5,2","17,3","15,6"
16/01/2009 15.00,"1,9","5,2","18,9","15,6"
16/01/2009 16.00,"1,6","5,2","19,3","15,6"
16/01/2009 17.00,"2,3","4,7","18,0","15,6"
16/01/2009 18.00,"1,8","4,5","16,7","15,6"
16/01/2009 19.00,"1,5","4,4","13,4","15,6"
16/01/2009 20.00,"1,6","3,6","10,7","15,6"
16/01/2009 21.00,"1,4","3,4","9,6","15,6"
16/01/2009 22.00,"1,4","5,0","10,7","15,6"
16/01/2009 23.00,"1,7","8,1","13,7","15,6"
17/01/2009 0.00,"1,4","8,0","14,1","15,6"
17/01/2009 1.00,"1,6","7,1","12,8","15,9"
17/01/2009 2.00,"2,2","6,3","11,7","15,9"
17/01/2009 3.00,"1,8","5,4","10,1","15,9"
17/01/2009 4.00,"2,0","5,0","9,3","15,9"
17/01/2009 5.00,"1,7","4,5","8,4","15,9"
17/01/2009 6.00,"0,8","4,1","7,7","15,9"
17/01/2009 7.00,"1,5","4,2","7,1","15,9"
17/01/2009 8.00,"0,9","4,7","6,6","15,9"
17/01/2009 9.00,"0,8","7,8","10,3","15,9"
17/01/2009 10.00,"1,6","9,3","12,7","15,9"
17/01/2009 11.00,"1,1","6,6","9,3","15,9"
17/01/2009 12.00,"1,7","3,8","7,5","15,9"
17/01/2009 13.00,"1,0","4,4","11,4","15,9"
17/01/2009 14.00,"1,1","4,5","14,6","15,9"
17/01/2009 15.00,"0,8","4,7","16,0","15,9"
17/01/2009 16.00,"0,9","5,1","17,5","15,9"
17/01/2009 17.00,"1,2","4,8","18,1","15,9"
17/01/2009 18.00,"1,1","5,9","20,3","15,9"
17/01/2009 19.00,"1,1","6,5","19,7","15,9"
17/01/2009 20.00,"1,1","8,4","20,7","15,9"
17/01/2009 21.00,"1,7","7,8","16,2","15,9"
17/01/2009 22.00,"1,0","8,9","14,5","15,9"
17/01/2009 23.00,"1,2","8,5","13,6","15,9"
18/01/2009 0.00,"1,6","9,7","13,1","15,9"
18/01/2009 1.00,,"11,3","14,0","78,0"
18/01/2009 2.00,"0,4",,,"78,0"
18/01/2009 3.00,"0,4","8,7","12,9","78,0"
18/01/2009 4.00,"1,0","9,1","11,0","78,0"
18/01/2009 5.00,"0,7","11,2","14,6","78,0"
18/01/2009 6.00,"0,8","9,8","11,1","78,0"
18/01/2009 7.00,"0,6","7,0","6,3","78,0"
18/01/2009 8.00,"0,8","6,6","8,3","78,0"
18/01/2009 9.00,"2,2","5,6","8,7","78,0"
18/01/2009 10.00,"1,0","10,5","17,5","78,0"
18/01/2009 11.00,"1,2","16,5","23,3","78,0"
18/01/2009 12.00,"0,9","13,1","15,9","78,0"
18/01/2009 13.00,"1,2","15,2","22,2","78,0"
18/01/2009 14.00,"1,3","13,0","23,5","78,0"
18/01/2009 15.00,"2,4","11,5","25,2","78,0"
18/01/2009 16.00,"1,5","10,2","24,9","78,0"
18/01/2009 17.00,"1,3","10,4","26,2","78,0"
18/01/2009 18.00,"1,8","11,5","27,4","78,0"
