"NetC","Provincia Bari","","","","","","","","","",""
"Stat","Casamassima","","","","","","","","","",""
"","NO2","NOX","PM10"
"2012-01-14 21:00:02","31.484426","60.99603128",""
"2012-01-14 22:00:02","22.6329176","39.54214848","31.74603081"
"2012-01-14 23:00:02","11.34210063","14.59615255",""
"2012-01-15 00:00:02","5.6658621","7.27019071","23.93161964"
"2012-01-15 01:00:02","4.3024455","6.10550738",""
"2012-01-15 02:00:02","8.50820115","12.0741844","16.60560989"
"2012-01-15 03:00:02","4.09413692","6.44661201",""
"2012-01-15 04:00:02","5.20252141","7.52115601","19.04759979"
"2012-01-15 05:00:02","3.67816985","5.4849066",""
"2012-01-15 06:00:02","0.98443526","2.19966996","11.47741032"
"2012-01-15 07:00:02","5.23107522","10.2259974",""
"2012-01-15 08:00:02","8.82553197","15.35942295","6.59340715"
"2012-01-15 09:00:02","5.56462744","9.92315381",""
"2012-01-15 10:00:02","19.89766776","29.65012968","8.05860806"
"2012-01-15 11:00:02","6.32647722","10.44064617",""
"2012-01-15 12:00:02","7.61007357","18.91702399","21.24542046"
"2012-01-15 13:00:02","15.89633932","27.94200624",""
"2012-01-15 14:00:02","13.70097901","21.77878896","17.09399986"
"2012-01-15 15:00:02","10.78337217","16.08053949",""
"2012-01-15 16:00:02","15.84895805","22.1010948","25.15262032"
"2012-01-15 17:00:02","27.45322256","35.06305904",""
"2012-01-15 18:00:02","33.48315432","43.20869528","16.11721039"
"2012-01-15 19:00:02","26.69203624","46.24036248",""
"2012-01-15 20:00:02","22.89834144","35.38341464","38.0952301"
"2012-01-15 21:00:02","14.6666021","19.95913856",""
"2012-01-15 22:00:02","13.38884692","21.630934","30.76922989"
"2012-01-15 23:00:02","7.45692428","13.29334252",""
"2012-01-16 00:00:02","6.26612686","9.85765634","30.76922989"
"2012-01-16 01:00:02","1.67555252","2.86371903",""
"2012-01-16 02:00:02","","","16.11721039"
"2012-01-16 03:00:02","6.77164818","8.6261792",""
"2012-01-16 04:00:02","3.12657506","5.08608634","8.79120922"
"2012-01-16 05:00:02","1.65997737","3.81375359",""
"2012-01-16 06:00:02","1.78522293","3.14451535","5.86080599"
"2012-01-16 07:00:02","14.22143306","27.11908144",""
"2012-01-16 08:00:02","39.0432312","131.81993376","7.57020807"
"2012-01-16 09:00:02","53.25881736","192.9385816",""
"2012-01-16 10:00:02","29.27285384","65.14897176","34.18803024"
"2012-01-16 11:00:02","11.69253008","22.28265832",""
"2012-01-16 12:00:02","9.61204082","17.31980038","72.03907013"
"2012-01-16 13:00:02","10.7742787","20.38388936",""
"2012-01-16 14:00:02","14.65103078","25.7553092","44.20024109"
"2012-01-16 15:00:02","10.16428569","16.60516743",""
"2012-01-16 16:00:02","13.12992388","21.14457856","32.72283173"
"2012-01-16 17:00:02","29.37862568","39.44421584",""
"2012-01-16 18:00:02","44.6545688","65.51146784","23.68741989"
"2012-01-16 19:00:02","62.46008792","94.89898432",""
"2012-01-16 20:00:02","58.94804984","88.17738656","39.07204056"
"2012-01-16 21:00:02","38.73497856","59.71464712",""
"2012-01-16 22:00:02","29.44870048","38.045454","40.04883957"
"2012-01-16 23:00:02","23.16116496","33.13119336",""
"2012-01-17 00:00:02","10.37259044","11.8193301","37.6068306"
"2012-01-17 01:00:02","8.1512862","11.75058987",""
"2012-01-17 02:00:02","3.71905223","5.50760204","31.01342964"
"2012-01-17 03:00:02","1.04868038","2.0258749",""
"2012-01-17 04:00:02","","","22.22220993"
"2012-01-17 05:00:02","","",""
"2012-01-17 06:00:02","","","12.94260979"
"2012-01-17 07:00:02","3.81898865","10.99380498",""
"2012-01-17 08:00:02","13.73083489","29.6553112","10.98900986"
"2012-01-17 09:00:02","29.81989616","79.44811232",""
"2012-01-17 10:00:02","21.25199472","44.15289824","11.47741032"
"2012-01-17 11:00:02","25.44801256","51.43735056",""
"2012-01-17 12:00:02","27.26049296","64.72810232","17.82661057"
"2012-01-17 13:00:02","22.69848008","43.35461912",""
"2012-01-17 14:00:02","24.75300056","51.8374748","22.71062088"
"2012-01-17 15:00:02","19.74386648","33.11823",""
"2012-01-17 16:00:02","24.2468368","38.76851504","29.30401993"
"2012-01-17 17:00:02","34.68302992","50.06969696",""
"2012-01-17 18:00:02","46.00111392","66.48226672","25.39682007"
"2012-01-17 19:00:02","43.08219736","58.18032448",""
