"NetC","","","","","","",""
"Stat","GROTTAGLIE","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10
12/01/2012 5.00,,"11,290184","19,219863","0,237887","30,147005","26,29999"
12/01/2012 6.00,,"17,584863","30,829048","0,214437","33,373339","26,29999"
12/01/2012 7.00,,"28,52461","45,632748","0,434279","16,46058","26,29999"
12/01/2012 8.00,,"21,061845","37,251706","0,30828","28,524111","26,29999"
12/01/2012 9.00,,"15,949546","27,475094","0,298939","31,374947","26,29999"
12/01/2012 10.00,"0,063213","9,975444","20,533694","0,216543","39,634666","26,29999"
12/01/2012 11.00,"0,435263","8,534806","18,531173","0,183593","47,579293","26,29999"
12/01/2012 12.00,"0,106558","5,034447","13,804997","0,15255","61,756481","26,29999"
12/01/2012 13.00,"1,327461","6,071445","14,865922","0,175604","63,629689","26,29999"
12/01/2012 14.00,"1,085447","4,437425","12,916569","0,160857","67,781142","26,29999"
12/01/2012 15.00,"1,314818","5,794999","14,13832","0,469017","79,220436","26,29999"
12/01/2012 16.00,"0,207698","6,090915","14,358806","0,331015","65,509393","26,29999"
12/01/2012 17.00,,"6,055871","14,066987","0,209349","61,497513","26,29999"
12/01/2012 18.00,,"25,674487","36,308802","0,403156","42,694118","26,29999"
12/01/2012 19.00,,"21,234462","30,605996","0,427124","46,037697","26,29999"
12/01/2012 20.00,,"21,142322","31,865333","0,361223","34,741568","26,29999"
12/01/2012 21.00,,"51,437254","70,663045","0,585795","2,074351","26,29999"
12/01/2012 22.00,,"51,13225","69,689015","0,872769","14,950492","26,29999"
12/01/2012 23.00,,"13,394036","21,974634","0,323662","37,578019","26,29999"
13/01/2012 0.00,,"10,89174","18,98252","0,282921","44,428491","26,29999"
13/01/2012 1.00,,"14,464782","22,519364","0,301404","37,00683","30,9"
13/01/2012 2.00,,"10,17661","18,107065","0,262252","40,184965","30,9"
13/01/2012 3.00,"0,005419","9,236956","17,168054","0,236019","42,661021","30,9"
13/01/2012 4.00,,"12,612716","20,541476","0,286737","33,217229","30,9"
13/01/2012 5.00,,"12,237629","20,288556","0,315991","21,99663","30,9"
13/01/2012 6.00,,"24,978845","40,702943","0,380739","14,012157","30,9"
13/01/2012 7.00,"0,09211","39,507214","69,122258","0,577925","3,276261","30,9"
13/01/2012 8.00,"1,146854","52,326294","112,30371","0,917327","0,130204","30,9"
13/01/2012 9.00,"1,865668","51,827912","109,77071","0,921183","10,82984","30,9"
13/01/2012 10.00,"2,398459","34,208012","57,920271","0,675663","27,347978","30,9"
13/01/2012 11.00,"1,074611","11,896292","22,879928","0,294526","54,306056","30,9"
13/01/2012 12.00,"5,19967","22,55311","39,041529","0,409039","44,677387","30,9"
13/01/2012 13.00,"14,780863","30,756968","52,58843","0,518424","42,902713","30,9"
13/01/2012 14.00,"7,659536","19,092991","32,709692","0,297747","58,203545","30,9"
13/01/2012 15.00,"5,091307","18,057293","29,573611","0,287372","60,837843","30,9"
13/01/2012 16.00,"4,372492","17,375902","26,720256","0,352081","62,088827","30,9"
13/01/2012 17.00,"0,921095","44,212016","67,398574","2,174454","33,692018","30,9"
13/01/2012 18.00,"0,451517","58,761151","84,069874","0,799556","22,152739","30,9"
13/01/2012 19.00,"0,493057","50,78054","69,008112","0,787353","16,633801","30,9"
13/01/2012 20.00,,"46,008243","60,594623","0,811321","10,091927","30,9"
13/01/2012 21.00,"0,204085","58,759849","79,533061","1,104775","8,123897","30,9"
13/01/2012 22.00,,"24,179343","37,369714","0,540921","38,67072","30,9"
13/01/2012 23.00,,"11,683436","19,92671","0,283477","48,868402","30,9"
14/01/2012 0.00,,"8,742467","16,754319","0,269406","49,845274","30,9"
14/01/2012 1.00,,"6,089617","14,022889","0,246433","56,318811","10,1"
14/01/2012 2.00,,,,"0,213522","55,55343","10,1"
14/01/2012 3.00,,"10,964419","18,894327",,"49,673365","10,1"
14/01/2012 4.00,,"12,370017","20,298939","0,257772",,"10,1"
14/01/2012 5.00,"0,099333","9,627616","17,558442","0,211326","47,805605","10,1"
