,Provincia di TARANTO,,,
,MARTINA FRANCA,,,
Parm,NOX,NO2,CO,O3
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K
,,,,,,
,,,,,,
,,,,,
,,,,,,
11/01/2009 23.00,"49,100848","29,923717","0,831417","18,066605"
12/01/2009 0.00,"38,131053","26,707598","0,743536","18,971149"
12/01/2009 1.00,"33,830278","22,468753","0,683779","21,768741"
12/01/2009 2.00,,,"0,591674","24,086992"
12/01/2009 3.00,"20,232803","18,588121",,"33,411421"
12/01/2009 4.00,"13,148728","12,155866","0,4412",
12/01/2009 5.00,"16,232934","13,33693","0,436248","28,760041"
12/01/2009 6.00,"103,970657","39,688911","0,71696","4,891064"
12/01/2009 7.00,"91,530075","41,479977","0,770323","9,863376"
12/01/2009 8.00,"128,304514","44,968653","1,139069","4,249214"
12/01/2009 9.00,"154,38145","48,576748","1,224945","3,765796"
12/01/2009 10.00,"83,665219","37,360535","0,984492","13,017101"
12/01/2009 11.00,"59,538915","29,825096","0,657287","25,297577"
12/01/2009 12.00,"51,847857","24,682925","0,502232","35,92602"
12/01/2009 13.00,"75,125959","33,913372","0,568136","33,309877"
12/01/2009 14.00,"66,742316","32,342969","0,490249","33,227263"
12/01/2009 15.00,"57,891745","30,474009","0,423067","32,995704"
12/01/2009 16.00,"58,187454","31,577214","0,447351","31,709308"
12/01/2009 17.00,"60,402697","34,982829","0,700026","26,235986"
12/01/2009 18.00,"143,613993","62,121333","1,447181","8,096254"
12/01/2009 19.00,"164,658683","59,019425","1,775187","4,21807"
12/01/2009 20.00,"181,208076","48,690972","2,031055","5,245842"
12/01/2009 21.00,"137,551935","41,420286","1,850517","4,869398"
12/01/2009 22.00,"89,960726","34,772588","1,631873","5,393441"
12/01/2009 23.00,"80,474663","32,579179","1,735883","5,495"
13/01/2009 0.00,"69,424451","26,341604","1,474262","2,402201"
13/01/2009 1.00,"33,656477","25,739381","0,709611","7,149729"
13/01/2009 2.00,"14,15518","12,638675","0,400619","20,544631"
13/01/2009 3.00,"8,528906","7,875488","0,28247","37,766268"
13/01/2009 4.00,"7,877824","7,161658","0,281272","45,560553"
