,Bari,,,,,,
,Caldarola,,,,,,
,SO2,NO2,,CO,O3,PM10,BENZENE
,,,,
,,,,
,,,,,
,,,,,
,,,,,
09/01/2009 20.00,"5,17257997","70,25640176",,"1,50848627","37,98593715","39,30091095","3,5844165"
09/01/2009 21.00,"4,9522398","65,07660256",,"1,51173196","32,5807041","39,30091095","4,9024485"
09/01/2009 22.00,"4,30024924","60,91951304",,"1,25026169","32,7593763","39,30091095","3,53916"
09/01/2009 23.00,"4,53142554","59,742352",,"1,28122506","26,92214595","39,30091095","3,550347"
10/01/2009 0.00,"3,82705948","54,10047976",,"0,94193862","25,3541757","39,30091095","3,175074"
10/01/2009 1.00,,,,"0,81696324","20,9635797","17,87421989","2,3619825"
10/01/2009 2.00,"3,86498646",,,"0,92775241","15,71436164","17,87421989","2,5155495"
10/01/2009 3.00,"3,5001611",,,,"52,0723329","17,87421989","2,140785"
10/01/2009 4.00,"2,75244846",,,"0,30389025","66,8267145","17,87421989","1,3053195"
10/01/2009 5.00,"3,27078997",,,"0,27734223",,"17,87421989","1,1456505"
10/01/2009 6.00,"2,64227787",,,"0,30981544","70,24153605","17,87421989","1,1314125"
10/01/2009 7.00,"3,26898378",,,"0,28115062","67,88990985","17,87421989","1,114632"
10/01/2009 8.00,"2,97278863",,,"0,44436945","32,87925585","17,87421989","1,3887135"
10/01/2009 9.00,"3,55795518",,,"0,98219985","18,92381589","17,87421989","1,7883945"
10/01/2009 10.00,"3,81802852",,,"1,02879636","25,46563635","17,87421989","3,8162925"
10/01/2009 11.00,"3,17145653",,,"0,6270962","31,82677365","17,87421989","2,394018"
10/01/2009 12.00,"3,90471963",,,"0,66041753","32,77639365","17,87421989","2,238417"
10/01/2009 13.00,"4,11783605",,,"0,66403486","33,8186814","17,87421989","2,2460445"
10/01/2009 14.00,"4,06546055",,,"0,59462299","37,3213827","17,87421989","2,3701185"
10/01/2009 15.00,"3,83067085",,,"0,54910411","40,35224655","17,87421989","2,177397"
10/01/2009 16.00,"3,47848781",,,"0,41605063","45,07528935","17,87421989","1,656693"
10/01/2009 17.00,"3,49835491",,,"0,42944114","39,7903947","17,87421989","1,6104195"
10/01/2009 18.00,"3,56337274",,,"0,53155805","35,43796305","17,87421989","1,658727"
10/01/2009 19.00,"3,02335896",,,"0,71540087","28,139076","17,87421989","2,0772225"
10/01/2009 20.00,"4,07087811",,,"0,70393494","24,42500445","17,87421989","2,4189345"
10/01/2009 21.00,"3,5164148",,,"0,65937952","21,00242235","17,87421989","2,5318215"
10/01/2009 22.00,"3,92278054",,,"0,88831716","17,98342875","17,87421989","2,7220005"
