, Brindisi,,
,Via Dei Mille,,
Parm,SO2,NO2,PM10
,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
11/01/2008 10.00,"5,488496","38,173003","54,700851"
11/01/2008 11.00,"3,642074","36,318342",
11/01/2008 12.00,"3,312054","43,424194","39,072041"
11/01/2008 13.00,,,
11/01/2008 14.00,"8,306142","46,541675","39,072041"
11/01/2008 15.00,"6,674849","44,017336",
11/01/2008 16.00,"6,640721","41,708405","26,86202"
11/01/2008 17.00,"6,153939","41,430668",
11/01/2008 18.00,"6,017424","40,7934","25,88522"
11/01/2008 19.00,"6,062329","39,234659",
11/01/2008 20.00,"6,365895","39,553926","30,76923"
11/01/2008 21.00,"5,963536","36,261232",
11/01/2008 22.00,"6,031793","32,63887","43,46764"
11/01/2008 23.00,"5,670748","30,53242",
12/01/2008 0.00,"5,275574","28,692045","43,956032"
12/01/2008 1.00,,"28,695945",
12/01/2008 2.00,"1,755035",,"38,58363"
12/01/2008 3.00,"1,93763","54,112161",
12/01/2008 4.00,"1,684124","25,229336","29,79241"
12/01/2008 5.00,"1,698661","23,832812",
12/01/2008 6.00,"1,730217","24,015809","20,51281"
12/01/2008 7.00,"1,696534","26,523301",
12/01/2008 8.00,"1,898629","28,484382","22,954821"
12/01/2008 9.00,"2,985333","32,882881",
12/01/2008 10.00,"2,405639","34,910154","23,44322"
12/01/2008 11.00,"2,317001","32,385779",
12/01/2008 12.00,"1,898629","31,228083","17,094"
12/01/2008 13.00,"1,973086","31,361769",
12/01/2008 14.00,"2,650281","36,759615","21,48962"
12/01/2008 15.00,"1,700079","27,265692",
12/01/2008 16.00,"2,047541","28,781602","9,76801"
12/01/2008 17.00,"2,389685","31,413682",
12/01/2008 18.00,"2,363093","32,701166","14,16361"
12/01/2008 19.00,"2,379048","34,036679",
12/01/2008 20.00,"1,88622","32,727128","20,02442"
12/01/2008 21.00,"2,336502","33,677165",
12/01/2008 22.00,"2,276228","31,141127","21,001221"
12/01/2008 23.00,"2,272683","29,853641",
13/01/2008 0.00,"2,042222","28,109305","21,001221"
13/01/2008 1.00,"2,052859","27,542129",
13/01/2008 2.00,"1,875583","27,635568","17,582411"
13/01/2008 3.00,"2,598871","26,011938",
13/01/2008 4.00,"1,721353","24,149497","10,25641"
13/01/2008 5.00,"1,960676","23,606986",
13/01/2008 6.00,"2,038677","22,120922","7,326007"
13/01/2008 7.00,"1,769218","22,220862",
13/01/2008 8.00,"1,705398","25,58493","5,372406"
13/01/2008 9.00,"1,751489","30,13528",
13/01/2008 10.00,"1,747944","31,086614","8,791209"
13/01/2008 11.00,"1,60896","32,746613",
13/01/2008 12.00,"1,724898","33,830315","4,395605"
13/01/2008 13.00,"2,345366","34,387109",
13/01/2008 14.00,"2,146816","35,321581","7,326007"
13/01/2008 15.00,"1,762126","28,12747",
13/01/2008 16.00,"1,868492","30,731002","3,907204"
13/01/2008 17.00,"2,293955","36,128844",
13/01/2008 18.00,"1,928766","36,036707","17,094"
13/01/2008 19.00,"1,973086","38,20155",
13/01/2008 20.00,"2,708781","41,399521","31,25762"
13/01/2008 21.00,"2,34182","39,652584",
13/01/2008 22.00,"2,877194","36,84657","40,537231"
13/01/2008 23.00,"1,903947","89,684251",
14/01/2008 0.00,"1,763899","57,596952","37,606831"
14/01/2008 1.00,,"41,211325",
14/01/2008 2.00,"1,48881",,"19,0476"
14/01/2008 3.00,"1,552081","34,829679",
14/01/2008 4.00,"1,310006","30,802397","8,791209"
14/01/2008 5.00,"1,534603","30,767347",
14/01/2008 6.00,"1,578299","32,849133","4,395605"
14/01/2008 7.00,"1,600671","42,239234",
14/01/2008 8.00,"1,249531","41,503343","3,418803"
14/01/2008 9.00,"1,864945","65,577563",
14/01/2008 10.00,"1,513804","56,522313","6,837607"
