Stat,Galatina-VIALE STUDENTI,,,,,,,  ,
,,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,,,
,,,,,
,,,,,
,,,,,,,,
11/01/2014 20.00,"1,8","21,6","22,3","0,8","23,2","43,4",,,
11/01/2014 21.00,"1,7","26,5","28,1","1,0","18,2","43,4",,,
11/01/2014 22.00,"2,2","28,0","41,1","1,1","10,6","43,4",,,
11/01/2014 23.00,"3,3","29,6","75,1","1,3","8,2","43,4",,,
12/01/2014 0.00,"2,2","28,0","43,2","1,2","9,0","43,4",,,
12/01/2014 1.00,"2,2","26,2","39,1","1,2","8,0","44,8",,,
12/01/2014 2.00,"2,5",,,"1,3","8,2","44,8",,,
12/01/2014 3.00,"2,2","25,9","39,7",,"8,5","44,8",,,
12/01/2014 4.00,,"23,4","29,1","1,3","9,9","44,8",,,
12/01/2014 5.00,"2,0","19,8","23,1","1,3",,"44,8",,,
12/01/2014 6.00,"1,9","16,1","19,2","1,2","11,2","44,8",,,
12/01/2014 7.00,"1,7","14,1","16,0","1,2","9,3","44,8",,,
12/01/2014 8.00,"1,6","13,0","15,0","1,1","10,8","44,8",,,
12/01/2014 9.00,"1,5","13,6","17,6","1,1","9,9","44,8",,,
12/01/2014 10.00,"1,7","13,1","20,6","1,0","11,8","44,8",,,
12/01/2014 11.00,"1,6","15,5","22,2","1,0","21,1","44,8",,,
12/01/2014 12.00,"1,4","15,2","16,7","0,7","51,8","44,8",,,
12/01/2014 13.00,"1,6","8,6","9,0","0,6","67,9","44,8",,,
12/01/2014 14.00,"1,7","7,9","8,5","0,6","68,6","44,8",,,
12/01/2014 15.00,"1,8","7,2","7,7","0,6","71,6","44,8",,,
12/01/2014 16.00,"1,7","7,4","7,7","0,6","71,0","44,8",,,
12/01/2014 17.00,"1,6","10,1","10,7","0,7","59,4","44,8",,,
12/01/2014 18.00,"1,4","13,6","14,0","0,7","49,5","44,8",,,
12/01/2014 19.00,"1,6","22,1","23,2","0,8","35,9","44,8",,,
12/01/2014 20.00,"1,7","28,0","29,8","0,9","25,4","44,8",,,
12/01/2014 21.00,"1,8","34,0","37,2","1,0","21,2","44,8",,,
12/01/2014 22.00,"2,0","38,2","43,6","1,0","17,3","44,8",,,
12/01/2014 23.00,"1,7","41,8","47,8","1,0","13,0","44,8",,,
13/01/2014 0.00,"1,8","29,9","32,9","0,9","18,5","44,8",,,
13/01/2014 1.00,"1,9","26,4","29,2","0,9","17,4","32,1",,,
13/01/2014 2.00,"1,6","21,6","23,5","0,9","15,0","32,1",,,
13/01/2014 3.00,"1,9","19,0","20,8","0,9","13,4","32,1",,,
13/01/2014 4.00,"1,7","16,5","17,4","0,9","14,0","32,1",,,
13/01/2014 5.00,"1,7","13,1","13,7","0,8","22,7","32,1",,,
13/01/2014 6.00,"1,7","13,0","14,9","0,8","23,0","32,1",,,
13/01/2014 7.00,"1,5","14,8","15,9","0,8","21,2","32,1",,,
13/01/2014 8.00,"1,4","24,4","28,6","0,8","11,5","32,1",,,
13/01/2014 9.00,"2,0","31,3","45,7","0,8","11,2","32,1",,,
13/01/2014 10.00,"2,2","35,0","56,9","0,9","14,6","32,1",,,
13/01/2014 11.00,"2,0","27,6","37,9","0,8","24,2","32,1",,,
13/01/2014 12.00,"1,8","21,8","26,6","0,7","36,1","32,1",,,
13/01/2014 13.00,"1,9","15,8","19,1","0,7","45,9","32,1",,,
13/01/2014 14.00,"1,8","12,4","14,5","0,6","54,6","32,1",,,
13/01/2014 15.00,"2,2","14,8","23,5","0,6","55,4","32,1",,,
13/01/2014 16.00,"1,9","8,6","10,2","0,6","58,9","32,1",,,
13/01/2014 17.00,"1,8","10,0","11,6","0,6","55,7","32,1",,,
13/01/2014 18.00,"2,1","15,7","17,4","0,7","46,0","32,1",,,
13/01/2014 19.00,"2,1","23,6","25,7","0,8","29,7","32,1",,,
13/01/2014 20.00,"2,3","27,8","36,3","0,9","18,3","32,1",,,
13/01/2014 21.00,"2,5","39,1","55,5","1,0","9,0","32,1",,,
13/01/2014 22.00,"2,6","35,9","45,8","1,1","9,5","32,1",,,
13/01/2014 23.00,"2,0","33,1","39,1","1,1","10,0","32,1",,,
14/01/2014 0.00,"2,3","29,6","35,1","1,2","9,5","32,1",,,
14/01/2014 1.00,"2,4","26,6","32,1","1,1","7,6","32,2",,,
14/01/2014 2.00,"2,5",,,"1,2","7,6","32,2",,,
14/01/2014 3.00,"2,3","19,2","21,7",,"9,2","32,2",,,
14/01/2014 4.00,,"14,3","16,1","1,1","10,4","32,2",,,
14/01/2014 5.00,"2,0","12,6","14,1","1,0",,"32,2",,,
14/01/2014 6.00,"2,8","10,3","11,1","0,9","15,2","32,2",,,
14/01/2014 7.00,"2,7","9,2","10,4","0,9","17,5","32,2",,,
14/01/2014 8.00,"2,6","17,6","20,6","0,9","9,3","32,2",,,
14/01/2014 9.00,"3,4","23,9","50,5","0,9","6,9","32,2",,,
14/01/2014 10.00,"3,7","30,5","71,4","0,9","8,6","32,2",,,
14/01/2014 11.00,"2,5","11,4","14,7","0,6","46,6","32,2",,,
14/01/2014 12.00,"2,4","10,7","11,6","0,6","56,1","32,2",,,
14/01/2014 13.00,"2,9","7,3","8,1","0,6","67,8","32,2",,,
14/01/2014 14.00,"2,7","5,4","5,9","0,6","66,2","32,2",,,
14/01/2014 15.00,"3,0","4,6","5,4",,"64,8","32,2",,,
14/01/2014 16.00,"2,9","5,1","6,6","0,6","58,5","32,2",,,
14/01/2014 17.00,"2,9","3,7","3,8","0,6","60,6","32,2",,,
14/01/2014 18.00,"2,8","6,0","6,4","0,6","52,9","32,2",,,
14/01/2014 19.00,"2,4","8,5","8,8","0,7","41,9","32,2",,,
14/01/2014 20.00,"2,8","16,3","17,5","0,8","31,5","32,2",,,
14/01/2014 21.00,"3,0","19,9","21,4","0,9","25,1","32,2",,,
14/01/2014 22.00,"3,2","26,8","29,9","0,9","19,0","32,2",,,
14/01/2014 23.00,"2,9","13,7","14,5","0,8","37,5","32,2",,,
15/01/2014 0.00,"3,1","8,2","8,6","0,7","43,6","32,2",,,
15/01/2014 1.00,"2,8","5,2","5,4","0,7","50,8","15,0",,,
15/01/2014 2.00,"2,8","4,1","4,2","0,6","50,8","15,0",,,
15/01/2014 3.00,"3,0","3,4","4,0","0,6","55,6","15,0",,,
15/01/2014 4.00,"2,9","3,0","3,7","0,6","62,0","15,0",,,
15/01/2014 5.00,"3,1","2,4","2,7","0,6","62,7","15,0",,,
