Stat,MONOPOLI,,,,,
,,,,,,,
Parm,NO2,NOX,CO,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,Aver,,Aver
,,,,,,
,,,,,,,
,,,,,,,
11/01/2014 5.00,"20,0","35,2","1,2",,"2,5","31,6"
11/01/2014 6.00,"25,8","47,9","1,2","22,5","2,5",
11/01/2014 7.00,"35,4","59,0","1,3",,"2,6",
11/01/2014 8.00,"43,1","83,5","1,3","22,0","2,4",
11/01/2014 9.00,"60,0","135,6","1,6",,"2,5",
11/01/2014 10.00,"71,1","167,0","1,8","30,8","3,4",
11/01/2014 11.00,"58,4","91,4","1,5",,"5,0",
11/01/2014 12.00,"55,0","79,1","1,3","30,5","4,2",
11/01/2014 13.00,"59,1","86,3","1,4",,"4,2",
11/01/2014 14.00,"51,9","79,7","1,4","27,8","4,3",
11/01/2014 15.00,"36,2","52,7","1,2",,"3,8",
11/01/2014 16.00,"33,6","51,9","1,3","18,1","3,3",
11/01/2014 17.00,"65,6","113,8","1,7",,"3,3",
11/01/2014 18.00,"80,5","148,5","2,0","28,3","4,8",
11/01/2014 19.00,"86,3","203,3","2,2",,"4,7",
11/01/2014 20.00,"81,3","167,0","2,0","40,0","5,1",
11/01/2014 21.00,"82,7","175,0","2,0",,"5,2",
11/01/2014 22.00,"68,8","118,4","1,8","40,8","4,6",
11/01/2014 23.00,"58,4","89,3","1,6",,"4,8",
12/01/2014 0.00,"49,3","74,1","1,4","40,5","3,7",
12/01/2014 1.00,"50,0","79,6","1,4",,"2,3",
12/01/2014 2.00,"53,5","104,6","1,5","32,7","2,6",
12/01/2014 3.00,,,"1,5",,"1,9",
12/01/2014 4.00,"60,2","93,3",,"21,5","2,2",
12/01/2014 5.00,"42,4","67,7","1,3",,"1,5","36,1"
12/01/2014 6.00,"29,4","48,3","1,1","25,4","1,5",
12/01/2014 7.00,"26,8","42,7","1,3",,"1,9",
12/01/2014 8.00,"24,9","45,3","1,3","17,1","2,4",
12/01/2014 9.00,"40,0","91,1","1,4",,"2,7",
12/01/2014 10.00,"44,0","83,4","1,3","27,1","2,8",
12/01/2014 11.00,"29,5","45,9","1,2",,"2,7",
12/01/2014 12.00,"19,4","37,7","1,2","18,6","1,8",
12/01/2014 13.00,"17,5","36,2","1,2",,"2,0",
12/01/2014 14.00,"19,6","39,0","1,2","15,4","2,5",
12/01/2014 15.00,"10,3","25,0","1,1",,"3,0",
12/01/2014 16.00,"13,5","29,3","1,2","9,3","3,0",
12/01/2014 17.00,"22,4","38,7","1,3",,"3,3",
12/01/2014 18.00,"43,9","64,6","1,4","23,2","3,9",
12/01/2014 19.00,"49,4","72,4","1,5",,"3,8",
12/01/2014 20.00,"43,7","65,9","1,5","32,2","4,0",
12/01/2014 21.00,"46,1","68,9","1,5",,"4,2",
12/01/2014 22.00,"48,6","75,7","1,6","45,7","4,3",
12/01/2014 23.00,"41,7","62,2","1,6",,"3,6",
13/01/2014 0.00,"36,9","56,2","1,5","42,5","4,3",
13/01/2014 1.00,"23,7","39,8","1,3",,"4,0",
13/01/2014 2.00,"17,9","33,6","1,3","37,4","3,5",
13/01/2014 3.00,"14,1","29,6","1,3",,"3,3",
13/01/2014 4.00,"18,4","33,9","1,3","23,2","3,0",
13/01/2014 5.00,"16,5","32,0","1,2",,"2,8","35,8"
13/01/2014 6.00,"16,7","34,3","1,2","24,2","2,7",
13/01/2014 7.00,"32,9","53,9","1,3",,"2,9",
13/01/2014 8.00,"43,0","74,3","1,3","23,2","2,8",
13/01/2014 9.00,"59,7","132,1","1,6",,"2,8",
13/01/2014 10.00,"41,3","76,3","1,4","33,2","4,8",
13/01/2014 11.00,"38,3","69,3","1,3",,"3,3",
13/01/2014 12.00,"41,3","74,7","1,3","32,7","2,9",
13/01/2014 13.00,"28,5","52,4","1,3",,"2,5",
13/01/2014 14.00,"26,9","45,7","1,0","34,9","2,0",
13/01/2014 15.00,"23,7","40,4","0,9",,"3,0",
13/01/2014 16.00,"21,0","37,7","0,9","20,5","2,7",
13/01/2014 17.00,"43,3","75,8","1,1",,"2,8",
13/01/2014 18.00,"78,3","184,1","1,5","33,7","3,9",
13/01/2014 19.00,"90,0","222,0","1,8",,"5,1",
13/01/2014 20.00,"83,4","183,5","1,8","42,0","5,3",
13/01/2014 21.00,"77,5","172,1","1,8",,"6,3",
13/01/2014 22.00,"67,9","116,5","1,4","45,2","5,4",
13/01/2014 23.00,"61,4","96,6","1,3",,"4,2",
14/01/2014 0.00,"49,0","77,8","1,2","37,9","4,2",
14/01/2014 1.00,"33,5","51,7","1,0",,"2,8",
14/01/2014 2.00,"27,7","44,3","1,1","20,5","1,9",
14/01/2014 3.00,,,"1,0",,"1,7",
14/01/2014 4.00,"31,9","47,8",,"19,5","1,4",
14/01/2014 5.00,"37,4","66,1","0,8",,"1,3","41,2"
14/01/2014 6.00,"41,8","66,8","0,9","16,1","1,2",
14/01/2014 7.00,"55,9","90,8","1,1",,"1,7",
14/01/2014 8.00,"75,4","174,5","1,3","16,1","2,3",
14/01/2014 9.00,"75,4","164,1","1,5",,"3,5",
14/01/2014 10.00,"63,5","121,6","1,4","40,5","3,0",
14/01/2014 11.00,"37,4","69,3","1,1",,"3,2",
14/01/2014 12.00,"36,0","66,9","1,2","23,0","1,7",
14/01/2014 13.00,"32,7","61,5","1,1",,"1,3",
14/01/2014 14.00,"40,4","75,4","1,3","13,4","1,4",
14/01/2014 15.00,"30,8","55,4","1,1",,"1,4",
14/01/2014 16.00,"37,6","68,7","1,2","8,8","1,0",
14/01/2014 17.00,"49,5","86,9","1,3",,"1,4",
14/01/2014 18.00,"58,3","105,0","1,4","6,6","2,1",
14/01/2014 19.00,"58,8","108,5","1,4",,"2,3",
14/01/2014 20.00,"44,9","79,0","1,3","12,7","2,3",
14/01/2014 21.00,"60,3","112,7","1,4",,"2,1",
14/01/2014 22.00,"71,5","125,4","1,5","17,8","2,9",
14/01/2014 23.00,"47,6","71,5","1,3",,"2,8",
15/01/2014 0.00,"33,8","52,1","1,1","13,2","1,8",
15/01/2014 1.00,"25,7","42,5","1,1",,"1,2",
15/01/2014 2.00,"20,9","37,4","1,1","18,6","1,1",
15/01/2014 3.00,"21,1","36,7","1,2",,"1,1",
15/01/2014 4.00,"20,7","37,1","1,2","13,2","1,1",
15/01/2014 5.00,"29,5","50,8","1,2",,"1,2","12,6"
