, Bari,,,
,Corso Cavour,,,
Parm,CO,,PM10,BENZENE



17/01/2009 22.00,"1,79478735",,"46,39804077","9,53591576"
17/01/2009 23.00,"1,41330228",,,"7,71882762"
18/01/2009 0.00,"1,26501292",,"42,49084091","6,42076543"
18/01/2009 1.00,"1,24490036",,,"5,92603968"
18/01/2009 2.00,"1,0438167",,"37,6068306","5,27602311"
18/01/2009 3.00,,,,"3,87024537"
18/01/2009 4.00,"0,57250197",,"23,44322014","2,92576052"
18/01/2009 5.00,"0,41917632",,,"2,06437677"
18/01/2009 6.00,"0,3617325",,"23,44322014","1,58965643"
18/01/2009 7.00,"0,431869",,,"1,82339659"
18/01/2009 8.00,"0,42092965",,"21,48962021","1,35335648"
18/01/2009 9.00,"0,4906083",,,"1,47793898"
18/01/2009 10.00,"0,55765638",,"16,11721039","2,1208396"
18/01/2009 11.00,"0,62565743",,,"2,72586713"
18/01/2009 12.00,"0,62946931",,"19,53602028","2,75640256"
18/01/2009 13.00,"0,79379256",,,"3,21626759"
18/01/2009 14.00,"0,87696424",,"20,51280975","3,86007537"
18/01/2009 15.00,"0,62413244",,,"3,57964067"
18/01/2009 16.00,"0,48172634",,"21,97801971","2,57684104"
18/01/2009 17.00,"0,57625677",,,"2,36309408"
18/01/2009 18.00,"0,61117298",,"21,0012207","2,39626557"
18/01/2009 19.00,"0,66583245",,,"2,32269477"
18/01/2009 20.00,"0,65481738",,"22,95482063","2,44555346"
18/01/2009 21.00,"0,66659436",,,"2,38523417"
18/01/2009 22.00,"0,65359646",,"25,39682007","2,5759949"
18/01/2009 23.00,"0,55811306",,,"2,22528346"
19/01/2009 0.00,"0,48793928",,"14,16361046","1,60395748"
19/01/2009 1.00,"0,45877933",,,"1,35755974"
19/01/2009 2.00,"0,40896044",,"18,55920982","1,38760294"
19/01/2009 3.00,,,,"1,25473087"
19/01/2009 4.00,"0,27835229",,"13,67521","1,20700713"
19/01/2009 5.00,"0,2068376",,,"1,04815885"
19/01/2009 6.00,"0,22677308",,"14,16361046","1,09666161"
19/01/2009 7.00,"0,38003116",,,"1,22484124"
19/01/2009 8.00,"0,73754403",,"19,53602028","2,17327815"
19/01/2009 9.00,"1,31632418",,,"4,54910507"
19/01/2009 10.00,"1,82929815",,"30,76922989","7,85510257"
19/01/2009 11.00,"1,58532268",,,"9,8722102"
19/01/2009 12.00,"1,4430389",,"35,65322113","8,21575416"
19/01/2009 13.00,"1,64744514",,,"9,29069265"
19/01/2009 14.00,"1,27022513",,"38,58362961","7,28860712"
19/01/2009 15.00,"1,19344348",,,"7,61092188"
19/01/2009 16.00,"1,36322009",,"50,79365158","6,54017852"
19/01/2009 17.00,"1,87995235",,,"9,19425664"
19/01/2009 18.00,"3,36339461",,"55,18925095","15,2727975"
19/01/2009 19.00,"1,92616557",,,
19/01/2009 20.00,"1,22648055",,"42,97924042","8,58255962"
19/01/2009 21.00,"1,14844652",,,"5,93110027"
19/01/2009 22.00,"0,95497613",,"39,56044006","5,14292629"
19/01/2009 23.00,"0,84409609",,,"4,07047436"
20/01/2009 0.00,"0,68267369",,"31,25761986","3,31532339"
20/01/2009 1.00,"0,4372944",,,"2,24231618"
20/01/2009 2.00,"0,30097193",,"20,02441978","1,49575072"
20/01/2009 3.00,,,,"1,1528295"
20/01/2009 4.00,"0,3131054",,"17,09399986","0,87212733"
20/01/2009 5.00,"0,28935338",,,"0,67252685"
20/01/2009 6.00,"0,25227143",,"18,55920982","0,84637486"
20/01/2009 7.00,"0,33898588",,,"0,96653239"
20/01/2009 8.00,"0,5191473",,"19,53602028","1,1419832"
20/01/2009 9.00,"0,92955933",,,"2,48228343"
20/01/2009 10.00,"1,20928981",,"31,74603081","4,16351562"
20/01/2009 11.00,"1,0117093",,,"5,45964246"
20/01/2009 12.00,"0,76518132",,"23,44322014","3,92839641"
20/01/2009 13.00,"0,76114926",,,"3,53795384"
20/01/2009 14.00,"0,94846029",,"26,37360954","3,30096741"
20/01/2009 15.00,"0,56999722",,,"2,98886028"
20/01/2009 16.00,"0,57508827",,"32,72283173","2,09291074"
20/01/2009 17.00,"0,4630211",,,"2,47125203"
20/01/2009 18.00,,,"32,72283173","3,86113305"
20/01/2009 19.00,"1,2927807",,,"4,52229187"
20/01/2009 20.00,"1,49932937",,"32,72283173","5,06509629"
20/01/2009 21.00,"1,47260078",,,"5,9947543"
20/01/2009 22.00,"1,06412265",,"27,8388195","4,45473561"
20/01/2009 23.00,"0,8442324",,,"3,23662081"
21/01/2009 0.00,"0,79221981",,"27,35042","2,22253553"
21/01/2009 1.00,"0,84122437",,,"2,01556382"
21/01/2009 2.00,"0,72387392",,"20,02441978","2,13527998"
21/01/2009 3.00,,,,"1,23364134"
21/01/2009 4.00,"0,30174432",,"14,16361046","0,91827066"
21/01/2009 5.00,"0,20967903",,,"0,8645517"
21/01/2009 6.00,"0,18937891",,"12,21000957","0,57009155"
21/01/2009 7.00,"0,2720543",,,"0,4666474"
21/01/2009 8.00,"0,40181316",,"9,27960968","0,77289559"
21/01/2009 9.00,"0,68737563",,,"1,5275279"
