,ARPA Puglia,,,,
,Molfetta Verdi,,,,
Parm,SO2,NO2,,,PM10



16/01/2008 16.00,"6,1622982","58,34852595",,,"28,38636971"
16/01/2008 17.00,"6,12678099","79,40981961",,,"28,38636971"
16/01/2008 18.00,"7,24558401","112,12341921",,,"28,38636971"
16/01/2008 19.00,"7,09818602","113,14493388",,,"28,38636971"
16/01/2008 20.00,"7,74815798","110,12133924",,,"28,38636971"
16/01/2008 21.00,"7,81386614","106,74921411",,,"28,38636971"
16/01/2008 22.00,"6,44466305","96,46825122",,,"28,38636971"
16/01/2008 23.00,"6,05752182","81,21525984",,,"28,38636971"
17/01/2008 0.00,"6,92414999","59,73899877",,,"28,38636971"
17/01/2008 1.00,"6,16407394","43,1657523",,,"33,04516983"
17/01/2008 2.00,"5,80001879","31,84792578",,,"33,04516983"
17/01/2008 3.00,"6,43578386","31,01161437",,,"33,04516983"
17/01/2008 4.00,"6,64533806","27,70334919",,,"33,04516983"
17/01/2008 5.00,"6,22800589","25,73446887",,,"33,04516983"
17/01/2008 6.00,"6,40381813","32,90897907",,,"33,04516983"
17/01/2008 7.00,"6,49261189","36,54284535",,,"33,04516983"
17/01/2008 8.00,"6,66487217","48,00238641",,,"33,04516983"
17/01/2008 9.00,"6,70749283","63,81207855",,,"33,04516983"
17/01/2008 10.00,"6,89396","86,32384893",,,"33,04516983"
17/01/2008 11.00,"6,4943881","85,15172259",,,"33,04516983"
17/01/2008 12.00,"6,56542301","82,24439256",,,"33,04516983"
17/01/2008 13.00,"6,34876585","86,31237483",,,"33,04516983"
17/01/2008 14.00,"6,82114887","86,78478798",,,"33,04516983"
17/01/2008 15.00,"6,3931632","73,65132621",,,"33,04516983"
17/01/2008 16.00,"6,22445393","50,52794868",,,"33,04516983"
17/01/2008 17.00,"6,14098787","60,73237368",,,"33,04516983"
17/01/2008 18.00,"6,81049395","65,52431523",,,"33,04516983"
17/01/2008 19.00,"5,99181414","82,61338833",,,"33,04516983"
17/01/2008 20.00,"5,40754986","95,84133273",,,"33,04516983"
17/01/2008 21.00,"5,16425514","87,27508944",,,"33,04516983"
17/01/2008 22.00,"5,09144402","86,42728512",,,"33,04516983"
17/01/2008 23.00,"4,85347605","85,4888166",,,"33,04516983"
18/01/2008 0.00,"4,07919312","77,01193962",,,"33,04516983"
