Stat,Francavilla Fontana,,,,,,  ,
,,,,,,,,,,,,,,,,,,,
Parm,NO2,NOX,CO,O3,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,
08/01/2014 16.00,"19,7","22,7","0,2","65,9","0,8",,,
08/01/2014 17.00,"23,3","25,6","0,2","63,5","1,0",,,
08/01/2014 18.00,"31,8","34,6","0,4","52,0","1,4",,,
08/01/2014 19.00,"39,8","43,6","0,5","45,5","2,1",,,
08/01/2014 20.00,"41,6","47,2","0,4","43,4","1,6",,,
08/01/2014 21.00,"54,3","64,5","0,5","34,7","1,7",,,
08/01/2014 22.00,"58,8","70,6","0,5","32,1","1,8",,,
08/01/2014 23.00,"34,3","35,5","0,3","39,8","1,5",,,
09/01/2014 0.00,"18,8","20,3","0,2","45,5","1,1",,,
09/01/2014 1.00,"16,2","17,1","0,1","46,4","0,6",,,
09/01/2014 2.00,"12,7","13,2","0,1","45,8","0,5",,,
09/01/2014 3.00,"10,5","10,9","0,1","45,3","0,4",,,
09/01/2014 4.00,"9,3","9,7",,"48,4","0,9",,,
09/01/2014 5.00,"8,3","9,5","0,1","54,4","0,3",,,
09/01/2014 6.00,"14,2","15,6",,"50,4","0,3",,,
09/01/2014 7.00,"18,9","22,6","0,1","49,1","0,3",,,
09/01/2014 8.00,"42,4","50,5","0,1","33,1","0,5",,,
09/01/2014 9.00,"45,7","57,9","0,2","33,6","0,9",,,
09/01/2014 10.00,"27,6","35,8","0,1","47,0","0,6",,,
09/01/2014 11.00,"15,5","18,7","0,1","57,7","0,7",,,
09/01/2014 12.00,"17,2","25,5","0,1","63,2","0,5",,,
09/01/2014 13.00,"15,0","19,2","0,2","63,6","0,8",,,
09/01/2014 14.00,"15,8","21,2","0,3","65,6","0,7",,,
09/01/2014 15.00,"16,8","18,5","0,3","67,1","0,8",,,
09/01/2014 16.00,"20,1","22,2","0,3","63,2","0,8",,,
09/01/2014 17.00,"39,9","45,8","0,7","52,2","1,5",,,
09/01/2014 18.00,"57,9","63,5","1,1","39,2","3,0",,,
09/01/2014 19.00,"75,3","90,3","1,1","23,7","4,2",,,
09/01/2014 20.00,"87,2","122,5","1,2","17,3","3,7",,,
09/01/2014 21.00,"99,4","207,5","1,7","15,0","4,8",,,
09/01/2014 22.00,"92,3","166,4","1,6","10,5","4,9",,,
09/01/2014 23.00,"89,8","137,4","1,8","11,2","4,6",,,
10/01/2014 0.00,"83,1","131,0","1,5","7,7","4,5",,,
10/01/2014 1.00,"70,4","109,1","1,3","3,9","2,9",,,
10/01/2014 2.00,"39,0","47,0","0,4","22,9","2,0",,,
10/01/2014 3.00,"22,0","24,6","0,2","34,5","0,8",,,
10/01/2014 4.00,"18,0","19,4","0,2","38,8","0,7",,,
10/01/2014 5.00,"18,0","19,2","0,2",,"0,7",,,
10/01/2014 6.00,"25,2","34,3","0,2","31,5","0,7",,,
10/01/2014 7.00,"41,8","60,8","0,3","24,0","0,7",,,
10/01/2014 8.00,"68,3","104,1","0,5","11,3","0,9",,,
10/01/2014 9.00,"87,4","216,1","1,1","5,9","1,5",,,
10/01/2014 10.00,"59,3","89,9","0,4","23,9","1,9",,,
10/01/2014 11.00,"42,7","78,4","0,3","33,8","1,4",,,
10/01/2014 12.00,"30,5","48,4","0,3","50,1","1,3",,,
10/01/2014 13.00,"35,5","54,3","0,5","50,1","0,9",,,
10/01/2014 14.00,"32,8","49,9","0,5","53,3","2,3",,,
10/01/2014 15.00,"33,1","49,4","0,5","56,5","0,9",,,
10/01/2014 16.00,"40,1","54,4","0,6","49,7","1,0",,,
10/01/2014 17.00,"65,6","99,5","1,0","35,4","1,7",,,
10/01/2014 18.00,"94,1","151,6","1,5","15,8","3,6",,,
10/01/2014 19.00,"124,4","323,0","2,3","12,7","5,1",,,
10/01/2014 20.00,"129,3","339,6","3,1","14,3","7,5",,,
10/01/2014 21.00,"128,4","317,5","2,9","15,9","8,5",,,
10/01/2014 22.00,"117,0","267,5","2,9","12,5","7,6",,,
10/01/2014 23.00,"103,7","281,5","3,5","12,9","6,3",,,
11/01/2014 0.00,"90,9","288,6","4,0","11,6","8,2",,,
11/01/2014 1.00,"79,5","136,2","2,3","3,4","7,0",,,
11/01/2014 2.00,"44,3","47,9","1,1","7,0","2,7",,,
11/01/2014 3.00,"28,6","29,6","0,7","13,2","1,2",,,
11/01/2014 4.00,"16,6","16,9","0,5","24,4","0,7",,,
11/01/2014 5.00,"17,9","18,3","0,5","28,7","0,5",,,
11/01/2014 6.00,"26,4","27,9","0,5","24,1","0,6",,,
11/01/2014 7.00,"56,1","67,4","0,6","17,0","0,7",,,
11/01/2014 8.00,"75,7","108,0","0,8","10,4","1,3",,,
11/01/2014 9.00,"89,4","160,9","1,1","12,7","2,0",,,
11/01/2014 10.00,"76,3","110,6","0,7","13,4","2,3",,,
11/01/2014 11.00,"48,0","65,0","0,5","25,4","1,4",,,
11/01/2014 12.00,"25,4","31,3","0,4","40,7","1,1",,,
11/01/2014 13.00,"23,7","30,0","0,3","48,4","1,2",,,
11/01/2014 14.00,"32,1","41,9","0,4","49,5","1,2",,,
11/01/2014 15.00,"26,0","36,1","0,3","53,0","1,5",,,
11/01/2014 16.00,"29,5","36,7","0,4","50,4","1,3",,,
11/01/2014 17.00,"25,1","27,2","0,5","46,4","1,0",,,
11/01/2014 18.00,"50,1","56,3","1,1","36,6","2,1",,,
11/01/2014 19.00,"92,0","150,4","1,9","18,0","5,2",,,
11/01/2014 20.00,"100,0","172,3","2,1","12,9","5,9",,,
11/01/2014 21.00,"111,0","235,4","2,9","19,5","7,0",,,
11/01/2014 22.00,"101,0","205,7","2,1","8,2","7,5",,,
11/01/2014 23.00,"85,0","207,4","3,2","17,1","6,7",,,
12/01/2014 0.00,"86,0","135,5","1,6","3,8","7,3",,,
12/01/2014 1.00,"60,3","72,8","0,8","9,4","2,9",,,
12/01/2014 2.00,"47,4","59,4","0,6","18,4","1,8",,,
12/01/2014 3.00,"37,8","46,9","0,4","29,0","1,3",,,
12/01/2014 4.00,"29,3","35,8","0,4","30,2","1,1",,,
12/01/2014 5.00,"35,6","40,1","0,6",,"1,0",,,
12/01/2014 6.00,"36,6","42,9","0,5","8,0","1,3",,,
12/01/2014 7.00,"44,7","50,4","0,4","12,7","1,5",,,
12/01/2014 8.00,"45,1","58,2","0,4","10,6","1,4",,,
12/01/2014 9.00,"48,1","64,0","0,6","17,0","1,3",,,
12/01/2014 10.00,"40,7","58,4","0,6","21,8","2,1",,,
12/01/2014 11.00,"42,1","52,3","0,4","33,5","1,8",,,
12/01/2014 12.00,"33,2","42,7","0,2","49,3","0,6",,,
12/01/2014 13.00,"27,4","35,0","0,3","54,4","0,9",,,
12/01/2014 14.00,"24,3","30,8","0,4","60,1","0,9",,,
12/01/2014 15.00,"17,0","18,5","0,5","59,2","0,8",,,
12/01/2014 16.00,"22,2","24,6","0,6","50,9","1,6",,,
12/01/2014 17.00,"29,3","33,5","0,9","42,9","1,8",,,
12/01/2014 18.00,"36,2","38,3","0,9","34,9","3,0",,,
12/01/2014 19.00,"32,8","35,5","0,8","32,9","2,5",,,
12/01/2014 20.00,"34,5","38,3","0,8","34,3","2,4",,,
