MARTINA FRANCA,,,,
,NO2,CO,O3,PM10
16/01/2011 16.00,"9,0877","0,372643","52,21286",
16/01/2011 17.00,"11,639311","0,396365","49,153648",
16/01/2011 18.00,"17,012503","0,416036","42,032157",
16/01/2011 19.00,"18,01446","0,446176","37,799125",
16/01/2011 20.00,"25,19427","0,481548","31,389251",
16/01/2011 21.00,"25,329258","0,564114","28,319184",
16/01/2011 22.00,"21,843165","0,441363","31,124933",
16/01/2011 23.00,"18,759435","0,392651","31,268612",
17/01/2011 0.00,"15,615991","0,404638","33,102515",
17/01/2011 1.00,"11,527696","0,377792","34,777839",
17/01/2011 2.00,"9,643189","0,363102","37,631048",
17/01/2011 3.00,"6,502339","0,324775","37,7693",
17/01/2011 4.00,"6,045488","0,323509","33,00223",
17/01/2011 5.00,"5,61719","0,30958","33,640648",
17/01/2011 6.00,"8,78919","0,337353","31,615602",
17/01/2011 7.00,"31,021722","0,692014","17,375369",
17/01/2011 8.00,"48,594913","0,992814","7,008978",
17/01/2011 9.00,"47,278882","1,118351","9,856757",
17/01/2011 10.00,"29,536958","0,667955","25,266734",
17/01/2011 11.00,"31,99774","0,602104","28,933185",
17/01/2011 12.00,"33,440955","0,58235","32,858547",
17/01/2011 13.00,"41,895303","0,754994","36,221399",
17/01/2011 14.00,"40,766154","0,679435","40,726869",
17/01/2011 15.00,"37,769876","0,581529","39,741637",
17/01/2011 16.00,"53,929184","0,905435","26,847173",
17/01/2011 17.00,"61,726773","1,208767","15,64719",
17/01/2011 18.00,"70,539337","1,515645","4,696597",
17/01/2011 19.00,"77,97614","1,901036","3,308628",
17/01/2011 20.00,"79,946322","1,831976","2,48181",
17/01/2011 21.00,"76,704221","2,033072","1,248359",
17/01/2011 22.00,"51,390523","1,899263","1,923368",
17/01/2011 23.00,"46,52351","1,641351","1,062665",
18/01/2011 0.00,"39,473469","1,426747","1,882705",
18/01/2011 1.00,"34,757005","1,209527","2,803049",
18/01/2011 2.00,,"1,076477","6,390897",
18/01/2011 3.00,"28,462319",,"11,378905",
18/01/2011 4.00,"21,801636","0,62915",,
18/01/2011 5.00,"25,697853","0,50846","5,837879",
18/01/2011 6.00,"65,488026","0,484963","2,788138",
18/01/2011 7.00,"63,460734","0,695751","0,715672",
18/01/2011 8.00,"97,54546","1,347384","1,958609",
18/01/2011 9.00,"107,427441","2,437157","1,274113",
18/01/2011 10.00,"102,765482","2,607545","11,269123",
18/01/2011 11.00,"59,725466","0,719163","20,982194",
18/01/2011 12.00,"54,212099","0,621798","40,266022",
18/01/2011 13.00,"50,339249","0,571341","46,746382",
18/01/2011 14.00,"44,908958","0,500431","37,148515",
18/01/2011 15.00,"37,892665","0,447944","38,911937",
18/01/2011 16.00,"42,60913","0,454959","33,164881",
18/01/2011 17.00,"47,997891","0,552577","27,607589",
18/01/2011 18.00,"52,626098","0,602105","23,88418",
18/01/2011 19.00,"68,6107","0,925471","9,677837",
18/01/2011 20.00,"47,180224","0,639885","18,31469",
18/01/2011 21.00,"39,652584","0,485724","26,58557",
18/01/2011 22.00,"41,438451","0,484879","25,978331",
18/01/2011 23.00,"28,42079","0,435013","30,734571",
19/01/2011 0.00,"26,346786","0,443381","29,625831",
19/01/2011 1.00,"26,009338","0,497049","27,377146",
19/01/2011 2.00,"23,04761","0,577425","28,767839",
19/01/2011 3.00,"18,79578","0,482512","32,432936",
19/01/2011 4.00,"6,632125","0,288967","53,501889",
19/01/2011 5.00,"11,104588","0,332156","43,472985",
19/01/2011 6.00,"25,827639","0,443803","29,989079",
19/01/2011 7.00,"58,240705","0,686708","9,618196",
19/01/2011 8.00,"73,088361","1,115213","8,436255",
19/01/2011 9.00,"77,573797","0,991141","8,422701",
19/01/2011 10.00,"61,184268","0,835459","19,624046",
19/01/2011 11.00,,,"31,668471",
19/01/2011 12.00,"35,976993","0,867238","39,691321",
19/01/2011 13.00,"50,988181","0,972547","30,022975",
19/01/2011 14.00,"49,26461","0,902143","35,585694",
19/01/2011 15.00,"43,024433","0,865717","40,935624",
19/01/2011 16.00,"57,612535","1,017173","29,589221",
19/01/2011 17.00,"62,03308","1,093323","21,991982",
19/01/2011 18.00,"51,790266","1,356935","19,159132",
19/01/2011 19.00,"53,399635","1,269881","18,747077",
19/01/2011 20.00,"40,218459","1,074728","26,433769",
19/01/2011 21.00,"25,552502","0,745363","50,723235",
19/01/2011 22.00,"18,248078","0,68096","54,465614",
19/01/2011 23.00,"12,493307","0,599569","58,686435",
20/01/2011 0.00,"8,633444","0,623741","65,351136",
20/01/2011 1.00,"6,634722","0,540153","67,209455",
20/01/2011 2.00,,"0,558748","64,661222",
20/01/2011 3.00,"6,307659","0,56365","62,878809",
20/01/2011 4.00,"7,654849","0,552832",,
20/01/2011 5.00,"13,427785","0,544634","55,87255",
20/01/2011 6.00,"33,705727","0,593991","35,738848",
20/01/2011 7.00,"56,280924","0,820161","16,106681",
20/01/2011 8.00,"45,225643","0,804187","23,889606",
20/01/2011 9.00,"38,920574","0,821766","36,606333",
20/01/2011 10.00,"26,011938","0,685693","48,35122",
20/01/2011 11.00,"17,074796","0,593907","59,491577",
20/01/2011 12.00,"30,78033","0,724318","47,087945",
20/01/2011 13.00,"37,905648","0,791002","38,361635",
20/01/2011 14.00,"29,69789","0,721951","46,357377",
20/01/2011 15.00,"35,055525","0,980914","40,329724",
20/01/2011 16.00,"21,82242","0,741813","56,966389",
20/01/2011 17.00,"23,333129","0,699301","53,874635",
20/01/2011 18.00,"27,281257","0,747561","47,016107",
20/01/2011 19.00,"28,348114","0,741813","46,398035",
20/01/2011 20.00,"23,613466","0,691271","49,401688",
20/01/2011 21.00,"20,519354","0,64876","49,966891",
20/01/2011 22.00,"10,697053","0,506515","56,176167",
20/01/2011 23.00,"13,077355","0,521897","51,445683",
21/01/2011 0.00,"12,734717","0,525786","47,001202",
21/01/2011 1.00,"8,80736","0,469073","52,380938",
21/01/2011 2.00,"4,960468","0,477188","54,751599",
21/01/2011 3.00,"4,768382",,"52,610005",
21/01/2011 4.00,"4,957871","0,223894","50,025182",
21/01/2011 5.00,"7,574382","0,205517","43,329325",
21/01/2011 6.00,"37,402066","0,222956","20,83173",
21/01/2011 7.00,"65,402347","0,481962","3,682728",
21/01/2011 8.00,"73,672397","0,936789","2,316446",
21/01/2011 9.00,"58,007095","0,851157","16,613614",
21/01/2011 10.00,"35,867992","0,470702","38,559518",
21/01/2011 11.00,"34,230057","0,478208","37,422312",
21/01/2011 12.00,"44,833683","0,515589","31,589868",
21/01/2011 13.00,"48,605296","0,617721","29,815594",
21/01/2011 14.00,"47,761681","0,613811","32,919555",
21/01/2011 15.00,"39,463087","0,687792","23,323026",
21/01/2011 16.00,"44,452106","0,642669","24,30708",
