 Brindisi,,,,
,Mesagne,,,,
Parm,SO2,NO2,PM10,NOX
,,,,,,
,,,,,,,
,,,,,,,
,,,,,,
,,,,,,,
09/01/2010 8.00,"1,07423981","8,04810512","55,59999084","18,2834522"
09/01/2010 9.00,"0,75504419","11,57701851","55,59999084","25,910946"
09/01/2010 10.00,"0,77625474","11,4939555","55,59999084","29,3349556"
09/01/2010 11.00,"0,8841676","10,99037867","55,59999084","33,74337752"
09/01/2010 12.00,"0,77001952","11,8054375","55,59999084","39,38263032"
09/01/2010 13.00,"0,874321","12,49720484","55,59999084","45,4952752"
09/01/2010 14.00,"1,0148643","17,33437173","55,59999084","55,00858416"
09/01/2010 15.00,"0,65482291","16,11956914","55,59999084","55,87885008"
09/01/2010 16.00,"1,40549705","15,59133517","55,59999084","55,86066696"
09/01/2010 17.00,"1,74339632","19,76398072","55,59999084","57,66867328"
09/01/2010 18.00,"1,51667346","22,28575576","55,59999084","54,59742768"
09/01/2010 19.00,"1,59195688","26,41558016","55,59999084","54,4884628"
09/01/2010 20.00,"1,77357986","24,50640992","55,59999084","49,5716592"
09/01/2010 21.00,"2,18169281","27,36433368","55,59999084","50,60534376"
09/01/2010 22.00,"2,25447035","21,81071936","55,59999084","43,66134216"
09/01/2010 23.00,"2,28838323","26,00025552","55,59999084","46,93359632"
10/01/2010 0.00,"2,9710577","25,40065232","55,59999084","45,12822856"
10/01/2010 1.00,,"13,10720932","23,60000038","31,30248008"
10/01/2010 2.00,"0,87468814",,"23,60000038",
10/01/2010 3.00,"1,08187952","14,23245956","23,60000038","33,3931756"
10/01/2010 4.00,"0,72929884","11,21880722","23,60000038","30,2571132"
10/01/2010 5.00,"0,8378646","10,13248722","23,60000038","27,71763304"
10/01/2010 6.00,"0,60123515","9,5718066","23,60000038","26,7578664"
10/01/2010 7.00,"0,7114332","14,22597023","23,60000038","31,42698952"
10/01/2010 8.00,"0,88665009","12,99818708","23,60000038","29,996412"
10/01/2010 9.00,"0,81561875","13,12148049","23,60000038","29,65142984"
10/01/2010 10.00,"0,82266147","15,2889256","23,60000038","32,31151896"
10/01/2010 11.00,"0,92478556","15,07867443","23,60000038","31,79013568"
10/01/2010 12.00,"1,1368504","10,36999777","23,60000038","27,66706064"
10/01/2010 13.00,"1,18692443","13,7587367","23,60000038","36,59929368"
10/01/2010 14.00,"1,10567121","11,73276047","23,60000038","40,38778784"
10/01/2010 15.00,"1,01256588","12,28824427","23,60000038","42,73790352"
10/01/2010 16.00,"1,05439509","14,1338233","23,60000038","42,9895036"
10/01/2010 17.00,"1,12516914","21,97297168","23,60000038","48,59114736"
10/01/2010 18.00,"1,83205024","37,25411544","23,60000038","61,93702208"
10/01/2010 19.00,"1,79382833","40,60910184","23,60000038","64,318246"
10/01/2010 20.00,"1,85274924","37,06331696","23,60000038","58,38976496"
10/01/2010 21.00,"1,55118739","23,08783976","23,60000038","38,1102708"
10/01/2010 22.00,"1,60100411","23,26045512","23,60000038","35,82371"
10/01/2010 23.00,"1,6675688","13,72499564","23,60000038","23,48043072"
11/01/2010 0.00,"1,74461265","14,11565548","23,60000038","22,0083628"
11/01/2010 1.00,"1,27899954","9,99102025","34,20000076","16,26146822"
11/01/2010 2.00,"1,31129438","9,1136589","34,20000076","14,6493291"
11/01/2010 3.00,"1,48170086","8,79827641","34,20000076","13,84131407"
11/01/2010 4.00,"1,71145947","9,88848734","34,20000076","14,72585116"
11/01/2010 5.00,"2,03045779","17,50828916","34,20000076","21,64261632"
11/01/2010 6.00,"1,3945226","20,06898296","34,20000076","24,40646968"
11/01/2010 7.00,"1,86245549","34,0314968","34,20000076","40,32683328"
11/01/2010 8.00,"2,2850373","40,12240224","34,20000076","57,38334552"
11/01/2010 9.00,"1,78034393","46,8557588","34,20000076","69,83038904"
11/01/2010 10.00,"2,15568608","41,39692232","34,20000076","59,7152972"
11/01/2010 11.00,"2,87416201","26,02622048","34,20000076","35,17653624"
11/01/2010 12.00,"2,33657174","14,07931218","34,20000076","22,56215448"
11/01/2010 13.00,"2,30857169","17,67700978","34,20000076","30,94969696"
11/01/2010 14.00,"1,7081949","21,0475828","34,20000076","34,58901688"
11/01/2010 15.00,"1,91278682","20,37916672","34,20000076","33,44504816"
11/01/2010 16.00,"2,5592866","19,02290864","34,20000076","33,5916412"
11/01/2010 17.00,"2,32592171","24,75430072","34,20000076","41,16207136"
11/01/2010 18.00,"2,37556657","30,05222328","34,20000076","48,22540088"
11/01/2010 19.00,"1,93511912","32,8556168","34,20000076","50,54827056"
11/01/2010 20.00,"1,66954483","27,94835408","34,20000076","42,77291224"
11/01/2010 21.00,"2,51067299","38,4767056","34,20000076","57,98380912"
11/01/2010 22.00,"2,95240897","42,64417728","34,20000076","64,65804664"
11/01/2010 23.00,"2,37479365","30,68297296","34,20000076","48,0152912"
12/01/2010 0.00,"1,9632046","33,48118496","34,20000076","57,87618264"
12/01/2010 1.00,,"24,48694576","19,10000038","37,17258776"
12/01/2010 2.00,"1,61373492",,"19,10000038",
12/01/2010 3.00,"1,68106032","11,74573913","19,10000038","23,82541288"
12/01/2010 4.00,"1,4567569","10,84241855","19,10000038","22,81767416"
12/01/2010 5.00,"1,29770319","10,44916413","19,10000038","22,0887624"
12/01/2010 6.00,"0,90361569","12,06111588","19,10000038","23,21064752"
12/01/2010 7.00,"1,08482271","16,21690333","19,10000038","28,14175288"
12/01/2010 8.00,"1,289915","20,66080432","19,10000038","32,49440176"
12/01/2010 9.00,"1,38579776","21,4395428","19,10000038","31,6902528"
12/01/2010 10.00,"1,11476421","20,29480928","19,10000038","29,96010312"
12/01/2010 11.00,"1,13276409","14,83207806","19,10000038","23,18860216"
12/01/2010 12.00,"0,97007562","11,24475498","19,10000038","20,35731256"
12/01/2010 13.00,"1,33525998","11,56663253","19,10000038","24,354578"
12/01/2010 14.00,"1,39514297","13,26684602","19,10000038","30,10277656"
12/01/2010 15.00,"1,00711273","11,98584426","19,10000038","29,49579304"
12/01/2010 16.00,"1,54502437","11,2707142","19,10000038","28,53732656"
12/01/2010 17.00,"1,36520148","17,61601124","19,10000038","34,12598784"
12/01/2010 18.00,"1,3970468","18,2364017","19,10000038","32,8342024"
12/01/2010 19.00,"1,16668613","22,71144344","19,10000038","35,88598384"
12/01/2010 20.00,"1,0052089","18,6971459","19,10000038","29,07427352"
12/01/2010 21.00,"1,01126717","15,40314657","19,10000038","24,09777728"
12/01/2010 22.00,"0,75304172","17,4018615","19,10000038","24,10815944"
12/01/2010 23.00,"1,24422323","16,76590927","19,10000038","22,41429952"
13/01/2010 0.00,"1,30895324","12,17403478","19,10000038","16,88012642"
13/01/2010 1.00,"1,44550787","12,20388874","45,70000076","15,99948025"
13/01/2010 2.00,"1,5365436","8,70093458","45,70000076","12,14487104"
13/01/2010 3.00,"1,17585947","7,84174487","45,70000076","10,32780949"
13/01/2010 4.00,"1,2350509","6,69182983","45,70000076","8,30323093"
13/01/2010 5.00,"1,07045759","7,69638125","45,70000076","8,56392448"
13/01/2010 6.00,"1,12861067","8,56336044","45,70000076","8,95301648"
13/01/2010 7.00,"1,85240245","29,16836304","45,70000076","36,64990432"
13/01/2010 8.00,"1,63969588","41,3514932","45,70000076","60,73081776"
13/01/2010 9.00,"2,84342013","57,94608536","45,70000076","156,600601"
13/01/2010 10.00,"2,74390261",,"45,70000076",
13/01/2010 11.00,"1,6990602","30,9695244","45,70000076","34,01358136"
13/01/2010 12.00,"1,66236786","21,63032216","45,70000076","24,33123248"
13/01/2010 13.00,"2,16705004","23,34481256","45,70000076","30,07683072"
13/01/2010 14.00,"1,99951455","26,74912856","45,70000076","35,95862072"
13/01/2010 15.00,"1,96213064","28,07555944","45,70000076","36,50204936"
13/01/2010 16.00,"1,60283065","30,47401048","45,70000076","41,91172832"
13/01/2010 17.00,"1,35516369","32,9049464","45,70000076","44,85974552"
13/01/2010 18.00,"1,93080501","38,71161392","45,70000076","53,44051472"
13/01/2010 19.00,"1,96507384","35,71872208","45,70000076","48,87905632"
13/01/2010 20.00,"1,34200981","46,24187296","45,70000076","64,2676736"
13/01/2010 21.00,"1,67552174","54,64819128","45,70000076","79,32423384"
13/01/2010 22.00,"2,08553241","58,4833956","45,70000076","133,3523253"
13/01/2010 23.00,"2,00384188","47,32169408","45,70000076","69,81872584"
14/01/2010 0.00,"1,68521375","25,0398388","45,70000076","36,54483992"
14/01/2010 1.00,,"24,69718928","39,90000153","36,78475768"
14/01/2010 2.00,"0,71795217",,"39,90000153",
14/01/2010 3.00,"0,58096939","10,74637688","39,90000153","21,07064152"
14/01/2010 4.00,"0,6301871","9,4549987","39,90000153","20,2392848"
14/01/2010 5.00,"0,97367478","11,7029065","39,90000153","23,18342064"
14/01/2010 6.00,"0,58303491","15,34863545","39,90000153","26,57760304"
14/01/2010 7.00,"0,76682512","19,22537032","39,90000153","31,18833368"
