,ARPA Puglia,,,
,Molfetta Verdi,,,
Parm,SO2,NO2,O3,PM10
,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,
13/01/2009 1.00,"3,45862072","53,799378",,"41,67263031"
13/01/2009 2.00,"3,31774791","47,40477048",,"41,67263031"
13/01/2009 3.00,"2,16547573","42,9219144",,"41,67263031"
13/01/2009 4.00,"1,5803102","37,38520216",,"41,67263031"
13/01/2009 5.00,"1,93971698","31,9678752",,"41,67263031"
13/01/2009 6.00,"1,73743772","30,2443028",,"41,67263031"
13/01/2009 7.00,"1,71576545","32,56101584",,"41,67263031"
13/01/2009 8.00,"2,72174523","36,95171352",,"41,67263031"
13/01/2009 9.00,"3,03600128","42,53125456",,"41,67263031"
13/01/2009 10.00,"3,09740774","48,99985648",,"41,67263031"
13/01/2009 11.00,"3,052256","51,8772444",,"41,67263031"
13/01/2009 12.00,"3,3917967","55,19200232",,"41,67263031"
13/01/2009 13.00,"3,30329939","57,68521208",,"41,67263031"
13/01/2009 14.00,"3,06851071","58,11221904",,"41,67263031"
13/01/2009 15.00,"2,74883608","51,32433224",,"41,67263031"
13/01/2009 16.00,"2,58628999","39,14900304",,"41,67263031"
13/01/2009 17.00,"2,3135733","37,77066136",,"41,67263031"
13/01/2009 18.00,"1,98125736","39,30085408",,"41,67263031"
13/01/2009 19.00,"2,59712612","43,63444032",,"41,67263031"
13/01/2009 20.00,"1,98486873","41,6577956",,"41,67263031"
13/01/2009 21.00,"2,53210829","37,98610552",,"41,67263031"
13/01/2009 22.00,"3,33761399","29,53047672",,"41,67263031"
13/01/2009 23.00,"3,31232934","24,50510976",,"41,67263031"
14/01/2009 0.00,"3,32497166","23,54209272",,"41,67263031"
14/01/2009 1.00,,"20,75946352",,"36,75959015"
14/01/2009 2.00,"14,00075424",,,"36,75959015"
14/01/2009 3.00,,,,"36,75959015"
14/01/2009 4.00,"0,93734958","15,38108209",,"36,75959015"
14/01/2009 5.00,"1,42498786","16,38433143",,"36,75959015"
14/01/2009 6.00,"3,10101911","19,81589152",,"36,75959015"
14/01/2009 7.00,"3,12449859","27,62000632",,"36,75959015"
14/01/2009 8.00,"2,95292154","40,85701176",,"36,75959015"
14/01/2009 9.00,"3,06128594","45,8122848",,"36,75959015"
14/01/2009 10.00,"3,03419509","40,18859568",,"36,75959015"
14/01/2009 11.00,"2,79579402","31,05026816",,"36,75959015"
14/01/2009 12.00,"2,70549052","25,02295584",,"36,75959015"
14/01/2009 13.00,"2,79579402","23,62645016",,"36,75959015"
14/01/2009 14.00,"2,97459482","25,36170488",,"36,75959015"
14/01/2009 15.00,"3,01252181","24,7088716",,"36,75959015"
14/01/2009 16.00,"2,84816952","26,05476664",,"36,75959015"
14/01/2009 17.00,"2,97278863","31,18915584",,"36,75959015"
14/01/2009 18.00,"2,99807329","39,62142",,"36,75959015"
14/01/2009 19.00,"3,64645248","46,79086552",,"36,75959015"
14/01/2009 20.00,"4,63798375","49,19063584",,"36,75959015"
14/01/2009 21.00,"4,35262474","51,73447536",,"36,75959015"
14/01/2009 22.00,"4,59102581","50,34575152",,"36,75959015"
14/01/2009 23.00,"3,59768835","48,82854128",,"36,75959015"
15/01/2009 0.00,"3,24911669","45,14256856",,"36,75959015"
15/01/2009 1.00,"3,63200396","42,91543272",,"41,44797134"
15/01/2009 2.00,"3,12810996","41,16849568",,"41,44797134"
15/01/2009 3.00,"3,16061938","38,50915224",,"41,44797134"
15/01/2009 4.00,"2,99807329","37,18272136",,"41,44797134"
15/01/2009 5.00,"2,58087141","32,85431664",,"41,44797134"
15/01/2009 6.00,"1,71576545","26,97885536",,"41,44797134"
15/01/2009 7.00,"1,6326857","31,87053528",,"41,44797134"
15/01/2009 8.00,"1,84218973","48,3288592",,"41,44797134"
15/01/2009 9.00,"3,14617086","56,45222064",,"41,44797134"
15/01/2009 10.00,"3,00710425","60,89874872",,"41,44797134"
15/01/2009 11.00,"2,85539429","63,27643544",,"41,44797134"
15/01/2009 12.00,"2,58448379","62,5275624",,"41,44797134"
15/01/2009 13.00,"2,07697842","60,78972648",,"41,44797134"
15/01/2009 14.00,"1,81329269","61,24267928",,"41,44797134"
15/01/2009 15.00,"1,78439566","62,1265204",,"41,44797134"
15/01/2009 16.00,"1,68686841","61,83450064",,"41,44797134"
15/01/2009 17.00,"1,47917057","61,66060424",,"41,44797134"
15/01/2009 18.00,"1,4520787","63,33484704",,"41,44797134"
15/01/2009 19.00,"3,41708135","70,3251764",,"41,44797134"
15/01/2009 20.00,"4,66688079","71,78659448",,"41,44797134"
15/01/2009 21.00,"5,17619236","70,62499712",,"41,44797134"
15/01/2009 22.00,"6,40973708","73,9410552",,"41,44797134"
15/01/2009 23.00,"6,45127645","72,94819184",,"41,44797134"
16/01/2009 0.00,"5,78303117","65,81249312",,"41,44797134"
16/01/2009 1.00,,"59,97335984",,"37,63314056"
16/01/2009 2.00,"3,94445382",,,"37,63314056"
16/01/2009 3.00,"2,59351475","49,14262552",,"37,63314056"
16/01/2009 4.00,"1,64532803","40,32746424",,"37,63314056"
16/01/2009 5.00,"1,38344849","31,56813336",,"37,63314056"
16/01/2009 6.00,"1,46291585","25,41751616",,"37,63314056"
16/01/2009 7.00,"1,45388489","27,87049744",,"37,63314056"
16/01/2009 8.00,"1,40692695","37,7511972",,"37,63314056"
16/01/2009 9.00,"2,26661638","47,08288528",,"37,63314056"
16/01/2009 10.00,"1,76814095","52,63519944",,"37,63314056"
16/01/2009 11.00,"1,85844444","56,98955",,"37,63314056"
16/01/2009 12.00,"1,96319646","58,61318216",,"37,63314056"
16/01/2009 13.00,"1,6146248","60,5626",,"37,63314056"
16/01/2009 14.00,"1,67241989","60,26019808",,"37,63314056"
16/01/2009 15.00,"1,58211639","51,87204376",,"37,63314056"
16/01/2009 16.00,"1,42860024","41,89270392",,"37,63314056"
16/01/2009 17.00,"1,33468436","35,3566084",,"37,63314056"
16/01/2009 18.00,"1,04752017","52,13291704",,"37,63314056"
16/01/2009 19.00,"1,68144983","58,21084",,"37,63314056"
16/01/2009 20.00,"2,90415842","59,23226864",,"37,63314056"
16/01/2009 21.00,"3,13714092","58,69365824",,"37,63314056"
16/01/2009 22.00,"3,11727382","57,33478072",,"37,63314056"
16/01/2009 23.00,"1,59475872","54,45741192",,"37,63314056"
17/01/2009 0.00,"1,46291585","49,64228848",,"37,63314056"
17/01/2009 1.00,"1,34913288","36,00165984",,"39,12332153"
17/01/2009 2.00,"1,43401882","25,16184352",,"39,12332153"
17/01/2009 3.00,"1,37261236","19,05016802",,"39,12332153"
17/01/2009 4.00,"1,21187246","16,32592557",,"39,12332153"
17/01/2009 5.00,"1,2389633","13,67177703",,"39,12332153"
17/01/2009 6.00,"1,09989567","13,67826636",,"39,12332153"
17/01/2009 7.00,"1,26966653","16,90737815",,"39,12332153"
17/01/2009 8.00,"0,86510698","30,593434",,"39,12332153"
17/01/2009 9.00,"0,55626951","43,50595392",,"39,12332153"
17/01/2009 10.00,"1,2913388","50,21206448",,"39,12332153"
17/01/2009 11.00,"1,46110966","56,66638376",,"39,12332153"
17/01/2009 12.00,"1,30217494","59,413966",,"39,12332153"
17/01/2009 13.00,"0,89942158","58,2783336",,"39,12332153"
17/01/2009 14.00,"0,99153127","52,60663416",,"39,12332153"
17/01/2009 15.00,"1,43763018","42,40536848",,"39,12332153"
17/01/2009 16.00,"1,52070993","35,4396848",,"39,12332153"
17/01/2009 17.00,"1,48278193","36,70640392",,"39,12332153"
17/01/2009 18.00,"1,61101343","52,31071392",,"39,12332153"
17/01/2009 19.00,"1,90179","67,51270088",,"39,12332153"
17/01/2009 20.00,"2,64950264","68,61850608",,"39,12332153"
17/01/2009 21.00,"2,42916145","64,53537272",,"39,12332153"
17/01/2009 22.00,"3,14436569","63,09215688",,"39,12332153"
17/01/2009 23.00,"2,6729811","58,24070544",,"39,12332153"
18/01/2009 0.00,"1,65977654","53,39963616",,"39,12332153"
18/01/2009 1.00,,"47,774666",,"32,29154968"
18/01/2009 2.00,"1,34010293",,,"32,29154968"
18/01/2009 3.00,"1,26424796","43,19967064",,"32,29154968"
18/01/2009 4.00,"1,2732779","37,22685032",,"32,29154968"
18/01/2009 5.00,"1,46110966","27,00091984",,"32,29154968"
18/01/2009 6.00,"1,02404069","20,02615416",,"32,29154968"
18/01/2009 7.00,"1,49903664","18,04041979",,"32,29154968"
18/01/2009 8.00,"1,44846734","18,60110041",,"32,29154968"
18/01/2009 9.00,"1,46833341","21,01513616",,"32,29154968"
18/01/2009 10.00,"1,3997032","26,92694456",,"32,29154968"
18/01/2009 11.00,"1,40331559","33,195666",,"32,29154968"
18/01/2009 12.00,"1,38525468","34,94260304",,"32,29154968"
18/01/2009 13.00,"1,29314499","37,4358128",,"32,29154968"
18/01/2009 14.00,"1,94513556","38,7427604",,"32,29154968"
18/01/2009 15.00,"1,44304876","33,29430608",,"32,29154968"
18/01/2009 16.00,"1,77175333","29,59146952",,"32,29154968"
18/01/2009 17.00,"1,43401882","36,25345112",,"32,29154968"
18/01/2009 18.00,"2,04627519","53,16212752",,"32,29154968"
18/01/2009 19.00,"2,8012126","59,6592756",,"32,29154968"
18/01/2009 20.00,"2,59893231","57,33478072",,"32,29154968"
18/01/2009 21.00,"1,50987278","52,23673864",,"32,29154968"
18/01/2009 22.00,"2,05349996","47,86680528",,"32,29154968"
18/01/2009 23.00,"2,06072371","43,68765128",,"32,29154968"
19/01/2009 0.00,"1,95236033","37,86800128",,"32,29154968"
19/01/2009 1.00,"2,49056791","29,51749424",,"41,23999023"
19/01/2009 2.00,"2,57364766","22,61670384",,"41,23999023"
19/01/2009 3.00,"2,90235223","18,97488685",,"41,23999023"
19/01/2009 4.00,"2,82469106","17,13060798",,"41,23999023"
19/01/2009 5.00,"2,19256657","17,32010056",,"41,23999023"
19/01/2009 6.00,"2,23771832","20,22601552",,"41,23999023"
19/01/2009 7.00,"2,45083474","30,93346408",,"41,23999023"
19/01/2009 8.00,"2,90235223","46,48976376",,"41,23999023"
19/01/2009 9.00,"4,67771693","55,92011104",,"41,23999023"
19/01/2009 10.00,"4,81497836","63,22062416",,"41,23999023"
19/01/2009 11.00,"4,78969371","72,80152232",,"41,23999023"
19/01/2009 12.00,"4,33817622","75,96444832",,"41,23999023"
19/01/2009 13.00,"3,68979804","80,63548344",,"41,23999023"
19/01/2009 14.00,"3,83428323","76,8742544",,"41,23999023"
19/01/2009 15.00,"3,38276676","69,99942896",,"41,23999023"
19/01/2009 16.00,"3,11908001","69,20902728",,"41,23999023"
19/01/2009 17.00,"3,19493499","70,5185752",,"41,23999023"
19/01/2009 18.00,"2,89151508","71,7801128",,"41,23999023"
19/01/2009 19.00,"4,38152178","74,68474672",,"41,23999023"
19/01/2009 20.00,"4,7535719","70,11233256",,"41,23999023"
19/01/2009 21.00,"4,71022635","66,22391728",,"41,23999023"
19/01/2009 22.00,"4,86554869","64,12524872",,"41,23999023"
19/01/2009 23.00,"4,35081855","61,34650088",,"41,23999023"
20/01/2009 0.00,"3,38637812","57,29975288",,"41,23999023"
