,Provincia di TARANTO,
,TAR v.Alto Adige,
Parm,SO2,NO2



22/01/2005 12.00,"3,400067","81,116997"
22/01/2005 13.00,"2,784336","63,94745"
22/01/2005 14.00,"1,644606","58,357507"
22/01/2005 15.00,"1,303183","32,348151"
22/01/2005 16.00,"0,72464","24,528474"
22/01/2005 17.00,"0,613961","36,916666"
22/01/2005 18.00,"0,608825","47,864205"
22/01/2005 19.00,"0,640169","56,753341"
22/01/2005 20.00,"0,857986","56,744257"
22/01/2005 21.00,"1,092803","45,677295"
22/01/2005 22.00,"1,4383","39,649984"
22/01/2005 23.00,"3,090165","55,232229"
23/01/2005 0.00,"4,926554","48,597514"
23/01/2005 1.00,"4,310292","33,091824"
23/01/2005 2.00,"2,675428","18,758144"
23/01/2005 3.00,"2,180116","17,268183"
23/01/2005 4.00,"2,065364","15,060506"
23/01/2005 5.00,"2,505602","20,876266"
23/01/2005 6.00,"2,175512","12,315503"
23/01/2005 7.00,"2,204732","15,17082"
23/01/2005 8.00,"2,291681","20,403831"
23/01/2005 9.00,"2,299827","25,09695"
23/01/2005 10.00,"2,620177","25,930179"
23/01/2005 11.00,"2,651521","24,572602"
23/01/2005 12.00,"1,972748","27,159272"
23/01/2005 13.00,"0,819027","27,065812"
23/01/2005 14.00,"1,058271","25,39415"
23/01/2005 15.00,"0,656461","15,783419"
23/01/2005 16.00,"0,481854","19,516089"
23/01/2005 17.00,"0,431561","23,904206"
23/01/2005 18.00,"0,391716","36,336507"
23/01/2005 19.00,"0,369049","42,982925"
23/01/2005 20.00,"0,78361","54,492458"
23/01/2005 21.00,"1,012937","57,646283"
23/01/2005 22.00,"3,041289","52,683208"
23/01/2005 23.00,"2,316473","39,050362"
24/01/2005 0.00,"1,750681","33,193064"
24/01/2005 1.00,,"26,640106"
24/01/2005 2.00,"0,949899",
24/01/2005 3.00,"0,982967","12,157159"
24/01/2005 4.00,"0,912149","7,166849"
24/01/2005 5.00,"0,792169","8,054594"
24/01/2005 6.00,"0,462952","10,480311"
24/01/2005 7.00,"0,257814","16,141631"
24/01/2005 8.00,"0,211285","32,030167"
24/01/2005 9.00,"0,218893","60,832555"
24/01/2005 10.00,"0,124664","46,836293"
24/01/2005 11.00,"0,116177","43,293108"
24/01/2005 12.00,"5,079081","62,502918"
24/01/2005 13.00,"7,394044","77,541348"
24/01/2005 14.00,"8,264569","85,158568"
24/01/2005 15.00,"7,757063","70,370604"
24/01/2005 16.00,"7,872653","68,38876"
24/01/2005 17.00,"7,757063","76,033222"
24/01/2005 18.00,"8,363903","85,075508"
24/01/2005 19.00,"8,643843","88,087864"
24/01/2005 20.00,"8,5716","84,703011"
24/01/2005 21.00,"9,126064","88,190385"
24/01/2005 22.00,"9,205531","81,299996"
24/01/2005 23.00,"8,483103","59,00774"
25/01/2005 0.00,"8,165235","53,792893"
25/01/2005 1.00,"7,883488","42,842736"
25/01/2005 2.00,"8,136338","35,245005"
25/01/2005 3.00,"8,347648","40,420921"
25/01/2005 4.00,"8,069513","20,947642"
25/01/2005 5.00,"8,000883","13,830122"
25/01/2005 6.00,"7,977404","21,044982"
25/01/2005 7.00,"8,013525","35,682393"
25/01/2005 8.00,"8,508388","66,20833"
25/01/2005 9.00,"9,406003","78,117609"
25/01/2005 10.00,"9,498113","78,586141"
25/01/2005 11.00,"9,353628","73,699661"
25/01/2005 12.00,"9,160379","72,532865"
25/01/2005 13.00,"8,811808","67,401098"
25/01/2005 14.00,"8,692607","74,249956"
25/01/2005 15.00,"8,490327","74,723674"
25/01/2005 16.00,"8,232059","81,667292"
25/01/2005 17.00,"8,358485","83,523247"
25/01/2005 18.00,"8,50297","93,400049"
25/01/2005 19.00,"8,92559","93,553217"
25/01/2005 20.00,"8,844317","83,778921"
25/01/2005 21.00,"9,113421","75,63088"
25/01/2005 22.00,"9,308476","65,809889"
25/01/2005 23.00,"9,277774","32,464956"
26/01/2005 0.00,"9,010475","27,174835"
26/01/2005 1.00,,"31,126842"
26/01/2005 2.00,"8,880438",
26/01/2005 3.00,"9,1965","25,164424"
26/01/2005 4.00,"9,209143","23,265635"
26/01/2005 5.00,"9,241652","19,063138"
26/01/2005 6.00,"8,645649","10,145468"
26/01/2005 7.00,"8,735953","22,737407"
26/01/2005 8.00,"8,766656","46,171778"
26/01/2005 9.00,"9,142318","68,414725"
26/01/2005 10.00,"8,837093","45,522843"
26/01/2005 11.00,"8,876826","45,389179"
26/01/2005 12.00,"8,669128","39,010133"
26/01/2005 13.00,"8,524643","43,113993"
26/01/2005 14.00,"8,824451","43,973187"
26/01/2005 15.00,"8,961712","39,329419"
26/01/2005 16.00,"8,717891","36,083416"
26/01/2005 17.00,"9,846685","64,454917"
26/01/2005 18.00,"10,341547","72,497819"
