STATTE - SS7 PONTE WIND,,,,,
,SO2,NO2,PM10,CO,BENZENE
29/11/2011 10.00,"1,403875","53,864919","27,59462","0,561413","1,054342"
29/11/2011 11.00,"1,545617","52,741619",,"0,492243","1,237107"
29/11/2011 12.00,"0,923578","48,300941","60,073261","0,549606","1,098466"
29/11/2011 13.00,"0,650026","34,470815",,"0,542201","0,466872"
29/11/2011 14.00,"0,690653","46,618248","30,28083","0,335339","0,334612"
29/11/2011 15.00,"0,78635","64,715134",,"0,334102","0,464452"
29/11/2011 16.00,"0,650026","31,357221","25,88522","0,282259","0,646447"
29/11/2011 17.00,"0,569676","21,050832",,"0,313121","0,487449"
29/11/2011 18.00,"0,618427","22,161801","31,990231","0,563554","0,638855"
29/11/2011 19.00,"0,464949","17,364227",,"0,408281","2,192859"
29/11/2011 20.00,"0,127297","8,313519","40,293041","0,393391","0,757251"
29/11/2011 21.00,"0,414392","8,218776",,"0,500572","0,594291"
29/11/2011 22.00,"0,483006","10,789209","42,490841","0,356889","0,565242"
29/11/2011 23.00,"0,512798","7,035116",,"0,488039","0,480406"
30/11/2011 0.00,"0,581412","22,503799","37,851021","0,552671","0,607275"
30/11/2011 1.00,,"21,124157",,"0,311529","0,619489"
30/11/2011 2.00,"0,598565",,"36,630032","0,324573","1,897419"
30/11/2011 3.00,"0,650026","4,704785",,,"1,825126"
30/11/2011 4.00,"0,571481","5,302458","31,746031","0,376731","0,943868"
30/11/2011 5.00,"0,453213","6,647701",,"0,341075","1,221262"
30/11/2011 6.00,"0,624747","41,768115","22,22221","0,431815","1,882014"
30/11/2011 7.00,"1,500477","55,384729",,"0,533694","1,981924"
30/11/2011 8.00,"0,558841","35,664859","31,746031","0,418771","1,874423"
30/11/2011 9.00,"1,994316","67,884546",,"0,520198","0,675276"
30/11/2011 10.00,"0,916356","52,65206","30,76923","0,617244","1,066005"
30/11/2011 11.00,"1,054487","55,406143",,"0,482852","0,930664"
30/11/2011 12.00,"0,952468","50,660464","28,571421","0,511927","0,808416"
30/11/2011 13.00,"0,650026","35,489643",,"0,297582","0,384237"
30/11/2011 14.00,"0,650026","22,655632","17,582411","0,369934","1,864629"
30/11/2011 15.00,"0,54891","10,714578",,"0,274027","0,369492"
30/11/2011 16.00,"0,548008","10,84372","23,44322","0,473503","0,611236"
30/11/2011 17.00,"0,520021","11,850215",,"0,469554","0,773646"
30/11/2011 18.00,"0,595857","9,690561","37,118431","0,451716","0,743607"
30/11/2011 19.00,"0,193203","10,150008",,"0,506958","0,452568"
30/11/2011 20.00,"0,260913","11,749633","41,514042","0,537721","0,726662"
30/11/2011 21.00,"0,569676","11,304464",,"0,452658","0,648538"
30/11/2011 22.00,"0,545299","8,589318","45,909641","0,485269","0,410976"
30/11/2011 23.00,"0,49745","18,008624",,"0,555873","2,022417"
01/12/2011 0.00,"0,432448","23,479149","46,88644","0,562316","0,579327"
01/12/2011 1.00,"0,344875","21,831502",,"0,557542","2,13201"
01/12/2011 2.00,"0,505576","18,514143","61,782661","0,525208","0,649088"
01/12/2011 3.00,"0,364737","17,332428",,"0,379245","2,107804"
01/12/2011 4.00,"0,408072","28,716059","66,178261","0,227056","0,509895"
01/12/2011 5.00,"0,578703","33,788788",,"0,347304","0,49075"
01/12/2011 6.00,"0,728571","47,197758","75,45787","0,51346","0,489979"
01/12/2011 7.00,"1,461656","42,31841",,"0,36463","0,434963"
01/12/2011 8.00,"1,576312","57,660546","85,958481","0,357695","0,575585"
01/12/2011 9.00,"1,088793","57,84031",,"0,423329","0,506594"
01/12/2011 10.00,"0,708709","52,997293","42,97924","0,580429","0,75208"
01/12/2011 11.00,"0,650026","36,997123",,"0,804126","1,34461"
01/12/2011 12.00,"0,499256","12,639325","21,48962","0,573612","0,454549"
01/12/2011 13.00,"0,460435","17,554368",,"0,656985","0,278275"
01/12/2011 14.00,"0,432448","10,17531","10,74481","0,446411","0,275744"
01/12/2011 15.00,"0,518215","12,92615",,"0,325536","0,239213"
01/12/2011 16.00,"0,613011","13,782751","5,616606","0,336498","0,334832"
01/12/2011 17.00,"0,493839","20,602411",,"0,388557","0,352987"
01/12/2011 18.00,"0,462241","14,272047","19,53602","0,442188","0,348916"
01/12/2011 19.00,"0,301539","9,756105",,"0,37237","0,488329"
01/12/2011 20.00,"0,229314","15,735399","29,79241","0,402564","0,469733"
01/12/2011 21.00,,"37,202185",,"0,468061","0,485908"
01/12/2011 22.00,"0,253691","25,655024","49,572651","0,305302","0,522109"
01/12/2011 23.00,"0,236537","22,998281",,"0,40445","0,32482"
02/12/2011 0.00,"0,475783","6,80085","47,13063","0,423113","0,367622"
02/12/2011 1.00,,"6,008498",,"0,254028","0,831414"
02/12/2011 2.00,"0,510993",,"39,56044","0,450772","2,834685"
02/12/2011 3.00,"0,175146","9,144157",,,"0,336483"
02/12/2011 4.00,"0,161603","8,114296","35,409031","0,258155","0,337803"
02/12/2011 5.00,"0,284387","11,617898",,"0,286934","0,237673"
02/12/2011 6.00,"0,431545","10,162339","31,50182","0,319427","0,277285"
02/12/2011 7.00,"0,376473","12,371957",,"0,262869","0,316786"
02/12/2011 8.00,"1,66208","32,28521","33,211231","0,31485","0,273874"
02/12/2011 9.00,"0,650026","17,880783",,"0,305891","1,161955"
02/12/2011 10.00,"0,650026","35,645396","17,582411","1,043951","1,331186"
02/12/2011 11.00,"0,650026","30,904917",,"1,177262","1,964979"
02/12/2011 12.00,"0,650026","28,948367","12,94261","1,008178","0,351227"
02/12/2011 13.00,"0,650026","22,693278",,"0,890524","0,376314"
02/12/2011 14.00,"0,796282","27,804954","12,45421","0,826639","0,258689"
02/12/2011 15.00,"8,264356","55,368515",,"0,654687","0,29533"
02/12/2011 16.00,"5,898984","70,074049","16,36141","0,726627","0,356289"
02/12/2011 17.00,"0,929898","58,21734",,"0,611567","0,336483"
02/12/2011 18.00,"0,650026","30,152794","34,920631","0,658085","0,472154"
02/12/2011 19.00,"0,650026","36,742752",,"0,929658","0,845498"
02/12/2011 20.00,"0,650026","31,133345","52,503052","0,901506","1,741611"
02/12/2011 21.00,"0,650026","29,791349",,"0,816286","1,610891"
02/12/2011 22.00,"0,650026","32,175538","56,654442","1,035837","2,377936"
02/12/2011 23.00,"0,650026","19,928163",,"1,024895","1,734789"
03/12/2011 0.00,"0,620233","14,59067","60,805851","1,043381","1,24547"
03/12/2011 1.00,"0,634678","10,856701",,"0,861764","0,989532"
03/12/2011 2.00,"0,650026","8,871605","55,921841","0,775483","0,689801"
03/12/2011 3.00,"0,627455","7,331678",,"0,704644","1,950896"
03/12/2011 4.00,"0,649123","7,532199","54,21244","0,699674","0,333072"
03/12/2011 5.00,"0,636483","7,524414",,"0,797642","1,478411"
03/12/2011 6.00,"0,650026","8,070817","57,142841","0,812887","2,543426"
03/12/2011 7.00,"0,653637","11,750285",,"0,704468","0,498452"
03/12/2011 8.00,"0,883854","45,422905","52,991451","0,610191","2,008553"
03/12/2011 9.00,"0,650026","35,980243",,"0,744032","0,779258"
03/12/2011 10.00,"0,650026","22,277324","26,37361","0,846245","0,725121"
03/12/2011 11.00,"0,650026","19,510907",,"1,040572","0,651729"
03/12/2011 12.00,"0,650026","19,555687","13,18681","0,724662","0,564692"
03/12/2011 13.00,"0,650026","20,143608",,"0,499079","0,833834"
03/12/2011 14.00,"21,296732","20,655641",,"0,528634","3,31113"
03/12/2011 15.00,"0,924481","23,68096",,"0,519176","1,035636"
03/12/2011 16.00,"0,776419","26,502538",,"0,538742","0,519358"
03/12/2011 17.00,"0,694264","35,686923",,"0,546483","0,907447"
03/12/2011 18.00,"0,650026","36,227503","21,97802","0,742068","0,654259"
03/12/2011 19.00,"0,650026","25,691371",,"0,473973","0,223588"
03/12/2011 20.00,"0,709612","32,756977","25,64102","0,805737","0,211045"
03/12/2011 21.00,"0,650026","34,830978",,"0,543241","0,868935"
03/12/2011 22.00,"0,650026","36,69927","35,653221","0,541395","0,707296"
03/12/2011 23.00,"0,650026","29,577186",,"0,714192","0,4606"
04/12/2011 0.00,"0,650026","12,618553","41,025631","0,796759","0,363331"
04/12/2011 1.00,,"16,555656",,"0,521671","0,469513"
04/12/2011 2.00,"0,771906",,"33,455421","0,716882","0,517268"
04/12/2011 3.00,"0,650026","21,025517",,,"0,701904"
04/12/2011 4.00,"0,650026","14,996913","30,76923","0,723424","0,783989"
04/12/2011 5.00,"0,650026","10,227877",,"0,487097","0,561612"
04/12/2011 6.00,"0,650026","8,498467","22,710621","0,747666","0,447287"
04/12/2011 7.00,"0,650026","7,377754",,"0,751851","0,348586"
04/12/2011 8.00,"0,650026","6,636668","12,69841","0,555618","0,322619"
04/12/2011 9.00,"0,650026","13,74771",,"0,602373","0,5231"
04/12/2011 10.00,"0,670791","26,571963","7,570208","0,353118","0,661632"
04/12/2011 11.00,"0,650026","19,870403",,,"0,680337"
04/12/2011 12.00,"0,650026","10,213596","5,372406","0,13724","0,090887"
04/12/2011 13.00,"0,650026","10,475123",,"0,327795","1,736"
04/12/2011 14.00,"0,650026","9,329105","3,663004","0,226879","0,079224"
04/12/2011 15.00,"0,650026","9,877457",,"0,140521","0,079224"
04/12/2011 16.00,"0,650026","9,173361","2,442003","0,363176","1,736"
04/12/2011 17.00,"1,637705","31,825754",,"0,283379","0,079224"
04/12/2011 18.00,"1,177269","26,954189","7,570208","0,388164","0,09903"
04/12/2011 19.00,"0,650026","15,438187",,"0,375965","0,079224"
04/12/2011 20.00,"0,650026","8,839159","19,2918","0,456706","0,059418"
04/12/2011 21.00,"0,650026","9,642541",,"0,391465","0,078454"
04/12/2011 22.00,"0,650026","15,698404","20,51281","0,424605","0,054137"
04/12/2011 23.00,"0,650026","9,011126",,"0,61905","0,286308"
05/12/2011 0.00,"0,644609","7,149977","19,0476","0,453543","0,182106"
05/12/2011 1.00,"0,650026","7,505596",,"0,436726","0,166921"
05/12/2011 2.00,"0,650026","10,016329","17,826611","0,678281","0,273103"
05/12/2011 3.00,"0,650026","21,114425",,"0,641761","0,433532"
05/12/2011 4.00,"0,650026","15,10917","26,37361","0,472303","1,854176"
05/12/2011 5.00,"0,698778","12,330426",,"0,542023","0,045003"
05/12/2011 6.00,"0,650026","15,697764","22,710621","0,41111","0,136661"
05/12/2011 7.00,"0,650026","7,613318",,"0,299094","1,744582"
05/12/2011 8.00,"0,765586","27,717345","26,12941","0,407612","0,108494"
05/12/2011 9.00,"0,696972","28,845845",,"0,32198","0,168682"
05/12/2011 10.00,"0,650026","26,100844","14,40781","0,393037","0,079224"
05/12/2011 11.00,,,,"0,803536","0,079224"
05/12/2011 12.00,"0,808921","13,35769","7,326007","0,961895","0,079224"
05/12/2011 13.00,"0,650026","13,558869",,"0,753541","0,079224"
05/12/2011 14.00,"0,650026","16,196143","3,907204","0,65842","0,079224"
05/12/2011 15.00,"0,762877","19,459629",,"0,911211","0,041373"
05/12/2011 16.00,"0,650026","10,233716","1,953602","0,870821","0,054137"
05/12/2011 17.00,"0,650026","8,241486",,"0,882155","0,079224"
05/12/2011 18.00,"0,650026","8,557519","2,197802","0,852021","0,079224"
05/12/2011 19.00,"0,650026","9,992967",,"0,845459","0,079224"
05/12/2011 20.00,"0,650026","8,9047","10,25641","0,830332","0,079224"
05/12/2011 21.00,"0,650026","10,408284",,"0,884964","0,079224"
05/12/2011 22.00,"0,650026","6,169435","14,65201","0,823516","0,079114"
05/12/2011 23.00,"0,650026","7,47769",,"0,829154","0,079224"
06/12/2011 0.00,"0,650026","5,867679","19,53602","0,828408","0,079224"
06/12/2011 1.00,,"5,12919",,"0,888541","0,079224"
06/12/2011 2.00,"0,782739",,"17,094","0,81226","0,079224"
06/12/2011 3.00,"0,650026","4,715818",,,"0,079224"
06/12/2011 4.00,"0,650026","6,048732","15,38461","0,816482","0,079224"
06/12/2011 5.00,"0,650026","16,712699",,"0,810884","0,079224"
06/12/2011 6.00,"0,650026","14,022206","46,153831","0,859486","0,079224"
06/12/2011 7.00,"0,733987","25,819207",,"0,942643","0,113444"
06/12/2011 8.00,"0,650026","18,393443","37,118431","0,811689","0,113444"
06/12/2011 9.00,"0,955177","25,397402",,"0,907772","0,175283"
06/12/2011 10.00,"0,767392","27,043748","18,80341","0,912311","0,143814"
06/12/2011 11.00,"0,650026","14,697098",,"0,883335","0,090008"
06/12/2011 12.00,"0,66086","18,675722","9,523809","0,829036","0,09903"
06/12/2011 13.00,"0,650026","16,002117",,"0,86147","0,079224"
06/12/2011 14.00,"0,650026","17,782136","4,884005","0,796681","0,079224"
06/12/2011 15.00,"0,650026","17,123469",,"0,797996","0,079224"
06/12/2011 16.00,"0,650026","24,797779","2,442003","0,811945","0,079224"
06/12/2011 17.00,"0,668083","36,975727",,"0,876067","0,107833"
06/12/2011 18.00,"0,772808","45,976468","14,40781","1,050041","0,169452"
06/12/2011 19.00,"0,839617","50,282158",,"0,912015","0,152947"
06/12/2011 20.00,"0,658152","19,075475","29,79241","0,828308","0,382147"
06/12/2011 21.00,"0,650026","19,790595",,"0,922998","0,226669"
06/12/2011 22.00,"0,650026","13,399873","34,920631","0,848426","0,247356"
06/12/2011 23.00,"0,650026","5,811222",,"0,831433","0,124448"
07/12/2011 0.00,"0,650026","8,66784","26,617821","0,735565","0,09903"
07/12/2011 1.00,"0,650026","6,624988",,"0,826305","0,093419"
07/12/2011 2.00,"0,650026","14,800933","31,50182","0,836364","0,084836"
07/12/2011 3.00,"0,650026","10,120159",,"0,778096","0,079224"
07/12/2011 4.00,"0,650026","9,257722","30,28083","0,750672","0,117076"
07/12/2011 5.00,"0,775517","24,450597",,"0,834497","0,053806"
07/12/2011 6.00,"0,650026","21,784773","29,30402","0,865634","0,079224"
07/12/2011 7.00,"0,709612","22,787369",,"0,817622","0,118836"
07/12/2011 8.00,"1,271161","32,122976","31,746031","0,751497","0,105412"
07/12/2011 9.00,"2,047582","45,960885",,"1,071985","0,220287"
07/12/2011 10.00,"1,080668","34,655112","16,11721","0,998395","0,545327"
07/12/2011 11.00,"0,650026","22,779587",,"0,829174","0,319868"
07/12/2011 12.00,"0,650026","15,60172","8,058608","0,748178","0,169892"
07/12/2011 13.00,"0,650026","14,732139",,"0,763677","0,124558"
07/12/2011 14.00,"0,650026","19,319458","8,058608","0,7237","0,079224"
07/12/2011 15.00,"0,650026","19,207837",,"0,739711","0,09903"
07/12/2011 16.00,"0,650026","15,35837","7,814408","0,727236","0,079224"
07/12/2011 17.00,"0,650026","18,043664",,"0,814557","0,118836"
07/12/2011 18.00,"0,886563","37,577282","21,73382","0,936945","0,496801"
07/12/2011 19.00,"0,650026","45,016029",,"0,956099","0,838676"
07/12/2011 20.00,"0,633775","29,496079","35,89743","1,017823","0,690241"
07/12/2011 21.00,"0,650026","19,429781",,"1,060709","1,205858"
07/12/2011 22.00,"0,650026","27,514883","40,537231","1,12043","1,066886"
07/12/2011 23.00,"0,724056","26,448026",,"1,126028","1,322274"
08/12/2011 0.00,"0,650026","11,452422","46,88644","1,030436","0,866295"
08/12/2011 1.00,,"17,13775",,"1,068861","0,867175"
08/12/2011 2.00,"0,650026",,"32,96703","1,036977","0,858482"
08/12/2011 3.00,"0,650026","13,46607",,,"0,5231"
08/12/2011 4.00,"0,626552","6,487414","25,64102","0,934864","0,447506"
08/12/2011 5.00,"0,644609","4,359551",,"0,781279","0,209834"
08/12/2011 6.00,"0,650026","4,510754","13,91941","0,85597","0,138643"
08/12/2011 7.00,"0,642803","4,180446",,"0,813497","1,759657"
08/12/2011 8.00,"0,613011","6,112977","8,058608","0,622351","0,09903"
08/12/2011 9.00,"0,650026","6,865743",,"0,865928","2,298381"
08/12/2011 10.00,"0,650026","12,975474","6,593407","0,809862","0,434853"
08/12/2011 11.00,"0,650026","13,705527",,"0,720025","1,86617"
08/12/2011 12.00,"0,645512","10,04553","10,25641","0,766664","0,169782"
08/12/2011 13.00,"0,650026","11,579613",,"0,650188","0,271562"
08/12/2011 14.00,"0,650026","7,297935","9,27961","0,687416","0,175614"
08/12/2011 15.00,"0,650026","2,957202",,"0,746273","0,09903"
08/12/2011 16.00,"0,650026","3,900755","10,98901","0,768824","0,079224"
08/12/2011 17.00,"0,650026","4,380319",,"0,784383","0,079224"
08/12/2011 18.00,"0,603982","5,506871","6,593407","0,757843","0,079224"
08/12/2011 19.00,"0,594051","5,925435",,"0,832787","0,079224"
08/12/2011 20.00,"0,650026","13,169502","14,40781","0,84813","0,126979"
08/12/2011 21.00,"0,650026","7,207733",,"0,873238","0,110693"
08/12/2011 22.00,"0,500159","16,632229","29,54822","0,907399","0,399972"
08/12/2011 23.00,"0,501965","19,254566",,"0,862315","0,39502"
09/12/2011 0.00,"0,44599","11,541977","20,757021","0,801455","0,370153"
09/12/2011 1.00,"0,309665","4,242745",,"0,821944","1,828758"
09/12/2011 2.00,"0,302443","3,512042","17,582411","0,894827","0,269142"
09/12/2011 3.00,"0,440574","4,266756",,"0,816385","0,178255"
09/12/2011 4.00,"0,297928","4,528926","9,523809","0,789983","0,217867"
09/12/2011 5.00,"0,339458","5,773584",,"0,780062","0,16439"
09/12/2011 6.00,"0,222995","12,371957","5,616606","0,796523","0,118836"
09/12/2011 7.00,"0,498353","19,27208",,"0,777684","0,09903"
09/12/2011 8.00,"0,640998","28,4753","3,907204","0,77454","0,118836"
09/12/2011 9.00,"0,798088","41,986809",,"0,857207","0,158449"
09/12/2011 10.00,"0,962399","28,789385","19,53602","0,870015","0,126759"
09/12/2011 11.00,"13,738113","24,962613",,"1,031771","1,250312"
09/12/2011 12.00,"6,259208","16,932035","23,93162","0,652781","0,696623"
09/12/2011 13.00,"1,295538","15,697111",,"0,636652","0,339784"
09/12/2011 14.00,"0,673499","14,342781","16,84981","0,721774","0,267381"
09/12/2011 15.00,"0,692458","18,70104",,"0,774678","0,189258"
09/12/2011 16.00,"0,650026","27,684248","14,40781","0,81165","0,145244"
09/12/2011 17.00,"0,650026","49,867482",,"0,830058","0,178255"
09/12/2011 18.00,"0,650026","32,037968","21,001221","0,812829","0,19641"
09/12/2011 19.00,"0,650026","27,875028",,"0,843338","0,201141"
09/12/2011 20.00,"0,650026","19,780843","32,722832","0,969261","0,338023"
09/12/2011 21.00,"0,710515","28,494765",,"1,095776","0,569094"
09/12/2011 22.00,"0,650026","30,754368","42,002441","0,916455","0,927803"
09/12/2011 23.00,"0,650026","19,786044",,"0,868169","0,408004"
10/12/2011 0.00,"0,650026","10,880054","37,362621","0,919599","0,52453"
10/12/2011 1.00,,"7,567243",,"0,870861","0,603754"
10/12/2011 2.00,"0,675304",,"25,39682","0,901447","0,421759"
10/12/2011 3.00,"0,650026","4,384212",,,"0,309085"
10/12/2011 4.00,"0,585023","3,465318","18,31501","0,815343","0,178034"
10/12/2011 5.00,"0,650026","4,408223",,"0,797329","0,111244"
10/12/2011 6.00,"0,713223","9,36869","20,26862","0,735526","0,09903"
10/12/2011 7.00,"0,650026","8,794382",,"0,799372","0,092868"
10/12/2011 8.00,"0,650026","16,38368","13,91941","0,765268","0,132481"
10/12/2011 9.00,"0,757461","21,889895",,"0,893196","0,284327"
10/12/2011 10.00,"0,959691","34,884189","12,45421","1,020103","0,508685"
10/12/2011 11.00,"1,059","21,983984",,"0,890406","2,323909"
10/12/2011 12.00,"0,650026","12,713945","7,326007","0,768274","0,335382"
10/12/2011 13.00,"0,703292","15,249346",,"0,749946","0,315247"
10/12/2011 14.00,"0,650026","12,315503","4,639805","0,730241","0,235912"
10/12/2011 15.00,"0,650026","13,907996",,"0,780316","0,079224"
10/12/2011 16.00,"0,650026","20,59528","4,884005","0,845067","1,67064"
10/12/2011 17.00,"0,650026","21,251345",,"0,792673","0,432432"
10/12/2011 18.00,"0,650026","21,218897","24,42001","0,813399","0,217867"
10/12/2011 19.00,"0,650026","19,819141",,"0,759257","0,316897"
10/12/2011 20.00,"0,650026","12,035808","37,362621","0,801219","0,369933"
10/12/2011 21.00,"0,650026","12,21232",,"0,753698","0,283007"
10/12/2011 22.00,"0,650026","14,201313","22,46641","0,902213","0,277285"
10/12/2011 23.00,"0,650026","14,952126",,"1,119231","0,874437"
11/12/2011 0.00,"0,650026","11,663328","23,68742","1,04077","1,100776"
11/12/2011 1.00,"0,650026","9,255126",,"1,004976","0,561171"
11/12/2011 2.00,"0,650026","13,677626","41,75824","0,978534","0,674836"
11/12/2011 3.00,"0,650026","14,099431",,"0,91508","0,660312"
11/12/2011 4.00,"0,650026","11,536128","29,05983","0,929618","0,537624"
11/12/2011 5.00,"0,650026","6,945563",,"0,845067","0,435733"
11/12/2011 6.00,"0,650026","5,272605","15,87301","0,746173","0,316567"
11/12/2011 7.00,"0,650026","10,037095",,"0,837149","0,349467"
11/12/2011 8.00,"0,650026","13,025439","8,791209","0,905631","2,031219"
11/12/2011 9.00,"0,650026","15,000798",,"0,840782","0,423079"
11/12/2011 10.00,"0,650026","18,287015","28,08301","0,835558","0,269582"
11/12/2011 11.00,"0,650026","22,932738",,"1,042361","0,416477"
11/12/2011 12.00,"0,650026","11,991683","15,14041","0,898363","0,534323"
11/12/2011 13.00,"0,650026","12,538735",,"0,897636","1,776052"
11/12/2011 14.00,"0,650026","13,463468","8,791209","0,869877","1,73567"
11/12/2011 15.00,"0,650026","13,610135",,"0,85373","0,152506"
11/12/2011 16.00,"0,650026","6,583458","12,21001","0,804342","0,138643"
11/12/2011 17.00,"0,650026","13,266845",,"0,900621","0,199931"
11/12/2011 18.00,"0,650026","28,638833","31,50182","0,863513","0,59264"
11/12/2011 19.00,"0,650026","25,689421",,"0,885004","0,475345"
11/12/2011 20.00,"0,650026","9,429041","39,804642","0,888659","0,511546"
11/12/2011 21.00,"0,659957","15,133835",,"1,105243","1,253173"
11/12/2011 22.00,"0,650026","13,109151","50,54945","1,119388","1,187042"
11/12/2011 23.00,"0,650026","12,760676",,"1,114476","1,154142"
12/12/2011 0.00,"0,650026","13,256459","46,88644","1,061415","1,17857"
12/12/2011 1.00,,"17,3467",,"1,055031","0,901175"
12/12/2011 2.00,"0,697875",,"43,956032","0,926848","0,697173"
12/12/2011 3.00,"0,68975","20,604361",,,"0,388088"
12/12/2011 4.00,"0,650026","14,94175","22,710621","0,877932","0,401843"
12/12/2011 5.00,"0,650026","16,236373",,"0,82992","0,310845"
12/12/2011 6.00,"0,650026","7,022137","12,45421","0,840313","0,283446"
12/12/2011 7.00,"1,170046","16,018328",,"0,744248","0,204223"
12/12/2011 8.00,"0,71864","21,465488","31,01343","0,790944","0,292249"
12/12/2011 9.00,"0,727668","29,896472",,"0,811296","0,268922"
12/12/2011 10.00,"0,800796","30,778382","16,36141","1,052065","1,840971"
12/12/2011 11.00,"1,300051","38,577296",,"1,26975","1,089553"
12/12/2011 12.00,"1,148379","38,415062","18,55921","1,105579","1,202447"
12/12/2011 13.00,"0,779128","33,036662",,"0,844575","0,517268"
12/12/2011 14.00,"0,780031","34,129484","13,43101","0,878718","0,342094"
12/12/2011 15.00,"0,926287","29,457801",,"0,929362","1,851205"
12/12/2011 16.00,"0,888369","36,158712","13,43101","0,86198","0,1963"
12/12/2011 17.00,"0,761975","35,85629",,"0,750907","0,175173"
12/12/2011 18.00,"1,140253","35,771931","29,30402","0,691049","0,434853"
12/12/2011 19.00,"0,650026","27,992482",,"1,076974","0,981609"
12/12/2011 20.00,"0,650026","26,494737","26,617821","1,06395","1,748433"
12/12/2011 21.00,"0,650026","27,10604",,"1,098662","1,983906"
12/12/2011 22.00,"0,714125","29,922435","49,08424","1,018531","1,656665"
12/12/2011 23.00,"0,650026","13,652307",,"0,866028","0,88478"
13/12/2011 0.00,"0,650026","10,05851","29,30402","0,794009","0,811388"
13/12/2011 1.00,"0,650026","19,002135",,"0,860428","0,4891"
13/12/2011 2.00,"0,650026","8,856678","37,362621","1,011911","0,52321"
13/12/2011 3.00,"0,650026","16,220799",,"0,9251","0,508685"
13/12/2011 4.00,"0,693361","9,036435","19,53602","0,634375","0,270792"
13/12/2011 5.00,"0,650026","8,78854",,"0,698181","1,736"
13/12/2011 6.00,"0,650026","15,965771","16,84981","0,751458","1,820615"
13/12/2011 7.00,"1,189005","26,648537",,"0,778804","1,858137"
13/12/2011 8.00,"0,836909","18,786697","16,36141","0,757881","0,504834"
13/12/2011 9.00,"0,650026","15,232471",,"0,801611","0,519468"
13/12/2011 10.00,"1,043652","33,598638","15,38461","0,98203","0,560951"
13/12/2011 11.00,"0,728571","27,230646",,"0,802083","0,363661"
13/12/2011 12.00,"0,650026","19,801627","11,96581","0,742342","0,347266"
13/12/2011 13.00,"0,650026","17,489471",,"0,705252","0,079224"
13/12/2011 14.00,"0,672596","20,910014","11,23321","0,762027","0,079224"
13/12/2011 15.00,"0,650026","11,743144",,"0,712012","0,118836"
13/12/2011 16.00,"0,650026","5,946201","11,72161","0,667004","0,0987"
13/12/2011 17.00,"0,650026","21,860048",,"0,727609","0,159988"
13/12/2011 18.00,"1,805627","46,778552","26,617821","0,75413","0,32713"
13/12/2011 19.00,"0,650026","23,786732",,"0,67223","0,32691"
13/12/2011 20.00,"0,618427","8,414104","24,42001","0,667888","0,226559"
13/12/2011 21.00,"0,650026","19,473261",,"0,807721","0,640725"
13/12/2011 22.00,"0,650026","8,157776","30,76923","0,662722","0,46016"
13/12/2011 23.00,"0,588635","6,833945",,"0,706235","0,445306"
14/12/2011 0.00,"0,614816","4,730743","35,409031","0,608207","0,257148"
14/12/2011 1.00,,"3,772915",,"0,672367","0,212475"
14/12/2011 2.00,"0,597662",,"23,19902","0,696473","0,167471"
14/12/2011 3.00,"0,650026","5,012383",,,"0,138643"
14/12/2011 4.00,"0,647317","7,339468","21,97802","0,595968","0,144034"
14/12/2011 5.00,"0,653637","8,848892",,"0,638382","0,113444"
14/12/2011 6.00,"0,711417","8,719104","12,69841","0,708947","0,079224"
14/12/2011 7.00,"0,841422","14,292807",,"0,567543","0,104421"
14/12/2011 8.00,"0,766488","18,27079","12,45421","0,634295","0,138643"
14/12/2011 9.00,"0,650026","13,366134",,"0,722718","0,199711"
14/12/2011 10.00,"0,650026","11,913166","7,570208","0,659991","1,156343"
14/12/2011 11.00,"0,650026","22,336367",,"0,571157","0,192778"
14/12/2011 12.00,"0,702389","23,501863","7,814408","0,564517","0,226229"
14/12/2011 13.00,"0,650026","22,431104",,"0,571727","0,316897"
14/12/2011 14.00,"0,802601","19,202004","8,547009","0,5721","0,29555"
14/12/2011 15.00,"0,650026","23,194912",,"0,560529","0,157678"
14/12/2011 16.00,"0,650026","30,120997","10,25641","0,67449","0,26122"
14/12/2011 17.00,"0,759267","47,107549",,"0,707709","0,321188"
14/12/2011 18.00,"0,724959","34,356614","15,87301","0,652527","0,91746"
14/12/2011 19.00,"0,650026","23,911337",,"0,719771","0,532452"
14/12/2011 20.00,"0,650026","21,181269","25,39682","0,738433","0,370483"
14/12/2011 21.00,"0,650026","21,654987",,"0,767508","0,366632"
14/12/2011 22.00,"0,650026","33,098326","33,699631","0,747057","0,399642"
14/12/2011 23.00,"0,650026","21,541413",,"0,691168","0,404154"
15/12/2011 0.00,"0,650026","12,681506","35,89743","0,870153","0,545217"
15/12/2011 1.00,"0,650026","15,412881",,"0,793577","0,672855"
15/12/2011 2.00,"0,650026","15,984589","36,874222","0,85257","0,817549"
15/12/2011 3.00,"0,650026","13,927466",,"0,63408","0,433753"
15/12/2011 4.00,"0,65454","9,46603","30,28083","0,707315","0,158228"
15/12/2011 5.00,"0,666276","15,229878",,"0,76022","0,317887"
15/12/2011 6.00,"0,650026","6,822914","26,37361","0,727746","0,340884"
15/12/2011 7.00,"0,724959","13,477749",,"0,68667","0,222158"
15/12/2011 8.00,"0,724056","23,700425","28,08301","0,773184","0,365642"
15/12/2011 9.00,"0,850451","35,72132",,"0,857521","0,451248"
15/12/2011 10.00,"0,966011","46,177628","29,05983","0,834183","0,566783"
