,Provincia di FOGGIA,,,
,MICHELANGELO,,,
Parm,SO2,NO2,CO,PM10



15/01/2005 11.59,"0,35981562","7,20319041","0,18519423",
15/01/2005 12.59,"0,35343801","8,68795592","0,18121226",
15/01/2005 13.59,"0,23777155","9,87550868","0,1674338",
15/01/2005 14.59,"0,33911967","6,86963818","0,17328793",
15/01/2005 15.59,"0,36835943","7,6691276","0,21752531",
15/01/2005 16.59,"0,32221306","11,12146348","0,21191117",
15/01/2005 17.59,"0,35707887","12,73990456","0,27948234",
15/01/2005 18.59,"0,35761991","17,49531242","0,33928878",
15/01/2005 19.59,"0,29026502","11,60426834","0,27617723",
15/01/2005 20.59,"0,34405313","23,94833536","0,35426019",
15/01/2005 21.59,"0,30211816","23,31494712","0,40793524",
15/01/2005 22.59,"0,29814677","19,02421071","0,25256618",
15/01/2005 23.59,"0,30088454","10,30510258","0,27494233",
16/01/2005 0.59,,"10,30899732","0,26570505",
16/01/2005 1.59,"0,54875184",,"0,2610066",
16/01/2005 2.59,"0,57990967","5,60161699",,
16/01/2005 3.59,"0,5273684","4,57759568","0,22920676",
16/01/2005 4.59,"0,50258615","6,56982894","0,21589314",
16/01/2005 5.59,"0,46911261","8,56076586","0,21420855",
16/01/2005 6.59,"0,42066171","5,20706241","0,22595758",
16/01/2005 7.59,"0,36580473","10,75027162","0,19728693",
16/01/2005 8.59,"0,50399978","11,9066779","0,17098239",
16/01/2005 9.59,"0,47545869","8,74506354","0,21400817",
16/01/2005 10.59,"0,50009043","6,6087649","0,19259547",
16/01/2005 11.59,"0,54989495","6,19863708","0,22511528",
16/01/2005 12.59,"0,63882753","5,98059451","0,2394308",
16/01/2005 13.59,"0,79560927","7,4134454","0,26557573",
16/01/2005 14.59,"0,60902231","10,57765626","0,21825926",
16/01/2005 15.59,"0,57639085","9,72365764","0,19600426",
16/01/2005 16.59,"0,49741368","11,93652231","0,21637429",
16/01/2005 17.59,"0,57994018","15,57705444","0,26196656",
16/01/2005 18.59,"0,49470643","14,04557112","0,23506089",
16/01/2005 19.59,"0,56153452","30,2261388","0,39545692",
16/01/2005 20.59,"0,53187981","31,16839152","0,40532098",
16/01/2005 21.59,"0,53103774","37,37480088","0,37087542",
16/01/2005 22.59,"0,51443623","31,13594488","0,33302224",
16/01/2005 23.59,"0,56523335","39,99651616","0,47076136",
17/01/2005 0.59,"0,46857156",,"0,19335738",
17/01/2005 1.59,"0,39669204",,"0,20001419",
17/01/2005 2.59,"0,319338",,"0,14628206",
17/01/2005 3.59,"0,42015016",,"0,16103795",
17/01/2005 4.59,"0,38060208",,"0,14170944",
17/01/2005 5.59,"0,29747352","16,15071371","0,2086748",
17/01/2005 6.59,"0,36147333","26,79585784","0,25454784",
17/01/2005 7.59,"0,34261611","44,90117856","0,26637725",
17/01/2005 8.59,"0,4899245","51,5735232","0,49606516",
17/01/2005 9.59,"0,32736823","25,03335712","0,22523528",
17/01/2005 10.59,"0,34454129","12,17274418","0,18890592",
17/01/2005 11.59,"0,45702251","14,74382778","0,24139616",
17/01/2005 12.59,"0,64869243","7,00591407","0,26958566",
17/01/2005 13.59,"0,43666217","6,10648824","0,18986937",
17/01/2005 14.59,"0,46051184","4,35825486","0,19668579",
17/01/2005 15.59,"0,59479754","5,26027528","0,19977304",
17/01/2005 16.59,"1,9860454","8,8722536","0,40778612",
17/01/2005 17.59,"2,84816952","11,97416768","0,58660313",
17/01/2005 18.59,"2,99084954","31,6161628","0,87871989",
17/01/2005 19.59,"3,30510559","36,72716824","0,88195859",
17/01/2005 20.59,"2,96917625","37,0347708","0,85462653",
17/01/2005 21.59,"3,11185626","17,83405381","1,03149217",
17/01/2005 22.59,"2,98362477",,"0,59308053",
17/01/2005 23.59,"3,01613419",,"0,56401029",
18/01/2005 0.59,,,"0,57356911",
18/01/2005 1.59,"3,07754065",,"0,57783534",
18/01/2005 2.59,"2,87706656",,,
18/01/2005 3.59,"3,04503123",,"0,56333925",
18/01/2005 4.59,"2,8897099",,"0,56085197",
18/01/2005 5.59,"2,94389159",,"0,60990546",
18/01/2005 6.59,"2,98904334","28,39352504","0,68613374",
18/01/2005 7.59,"3,18048647","38,31707272","0,69383672",
18/01/2005 8.59,"3,25634145","50,49110176","0,85711497",
18/01/2005 9.59,"3,34483876","50,16923568","0,84538458",
18/01/2005 10.59,"2,76870317","32,34815288","0,68174985",
18/01/2005 11.59,"2,84816952","23,43177032","0,68570036",
18/01/2005 12.59,"2,67117491","22,91392424","0,66449037",
18/01/2005 13.59,"2,75064227","19,250016","0,66318674",
18/01/2005 14.59,"2,89512746","15,28114567","0,61812104",
18/01/2005 15.59,"2,75425466","24,93599808","0,66579284",
18/01/2005 16.59,"3,00710425","40,9167044","0,8274529",
18/01/2005 17.59,"3,28704468","47,61373296","0,98512284",
18/01/2005 18.59,"3,21480209","41,74475336","0,86924029",
18/01/2005 19.59,"3,20577113","45,30352072","0,97165544",
18/01/2005 20.59,"3,15520182","48,8583876","1,0679089",
18/01/2005 21.59,"3,33761399","42,0770016","0,90534014",
18/01/2005 22.59,"3,00710425","31,05936928","0,74676151",
18/01/2005 23.59,"3,08657059","27,55511304","0,7499606",
19/01/2005 0.59,"3,00891044","21,80163736","0,68088076",
19/01/2005 1.59,"2,84455815","17,59655282","0,6600657",
