,Regione Puglia,,
,Fraz. Villa Baldassare,,
Parm,SO2,NO2,PM10
,,,,,
,,,,
,,,,
,,,,,
,,,,
17/01/2006 9.00,0,"13,05659486","92,43209076"
17/01/2006 10.00,0,"36,91924776","92,43209076"
17/01/2006 11.00,1,"44,58059352","92,43209076"
17/01/2006 12.00,2,"24,78934768","92,43209076"
17/01/2006 13.00,3,"14,33109582","92,43209076"
17/01/2006 14.00,2,"8,74895637","92,43209076"
17/01/2006 15.00,2,"9,58478526","92,43209076"
17/01/2006 16.00,1,"9,91185006","92,43209076"
17/01/2006 17.00,1,"13,56275479","92,43209076"
17/01/2006 18.00,2,"38,6207748","92,43209076"
17/01/2006 19.00,"1,75383887","52,52487704","92,43209076"
17/01/2006 20.00,2,"51,0167488","92,43209076"
17/01/2006 21.00,2,"47,91613488","92,43209076"
17/01/2006 22.00,1,"42,38720448","92,43209076"
17/01/2006 23.00,1,"47,7318372","92,43209076"
18/01/2006 0.00,1,"41,2567536","92,43209076"
18/01/2006 1.00,,"34,5882712","33,614151"
18/01/2006 2.00,"1,06706081",,"33,614151"
18/01/2006 3.00,"1,1199082","16,08193525","33,614151"
18/01/2006 4.00,"1,0737364","9,76908485","33,614151"
18/01/2006 5.00,"1,18509485","8,44395604","33,614151"
18/01/2006 6.00,"1,10850152","7,65614703","33,614151"
18/01/2006 7.00,"1,06116933","9,4835525","33,614151"
18/01/2006 8.00,"1,30225325","26,91786256","33,614151"
18/01/2006 9.00,"1,61743985","33,05807848","33,614151"
18/01/2006 10.00,"1,34190913","27,51228424","33,614151"
18/01/2006 11.00,"1,6912293","12,1636507","33,614151"
18/01/2006 12.00,1,"7,96893494","33,614151"
18/01/2006 13.00,"1,46342029","6,46859427","33,614151"
18/01/2006 14.00,"1,63622791","6,48157484","33,614151"
18/01/2006 15.00,"1,52688922","6,64121154","33,614151"
18/01/2006 16.00,"0,59337679","6,2388713","33,614151"
18/01/2006 17.00,"0,10540697","8,27263893","33,614151"
18/01/2006 18.00,"0,3642955","9,41476448","33,614151"
18/01/2006 19.00,"1,20417783","10,03384905","33,614151"
18/01/2006 20.00,"1,28968618","10,08187084","33,614151"
18/01/2006 21.00,"1,20806684","7,85342528","33,614151"
18/01/2006 22.00,"1,04061271","8,22721172","33,614151"
18/01/2006 23.00,"1,179421","7,33427522","33,614151"
19/01/2006 0.00,"1,28052707","6,0117429","33,614151"
19/01/2006 1.00,"0,96866606","4,93321238","7,92294216"
19/01/2006 2.00,"0,98232844","4,45689303","7,92294216"
19/01/2006 3.00,"1,11556459","4,4387233","7,92294216"
19/01/2006 4.00,"0,99862484","4,34527621","7,92294216"
19/01/2006 5.00,"1,0994187","4,43093572","7,92294216"
19/01/2006 6.00,"1,16840282","7,94427587","7,92294216"
19/01/2006 7.00,"1,04207719","5,25378595","7,92294216"
19/01/2006 8.00,"0,76924965","5,92997814","7,92294216"
19/01/2006 9.00,"1,10904053","7,49910491","7,92294216"
19/01/2006 10.00,"0,86538869","6,63342397","7,92294216"
19/01/2006 11.00,"0,98713478","5,93387097","7,92294216"
19/01/2006 12.00,1,"4,61393515","7,92294216"
19/01/2006 13.00,"1,22069391","4,05065804","7,92294216"
19/01/2006 14.00,"1,3454788","4,04546696","7,92294216"
19/01/2006 15.00,"1,56840621","3,92606256","7,92294216"
19/01/2006 16.00,"1,40188568","4,46857344","7,92294216"
19/01/2006 17.00,"1,33539422","6,05846645","7,92294216"
19/01/2006 18.00,"1,32988005","6,40889207","7,92294216"
19/01/2006 19.00,"1,07188444","7,24212829","7,92294216"
19/01/2006 20.00,"0,9415864","9,08640334","7,92294216"
19/01/2006 21.00,"1,01391137","8,26874418","7,92294216"
19/01/2006 22.00,"1,02639505","7,64446662","7,92294216"
19/01/2006 23.00,"0,70683127","7,03446788","7,92294216"
20/01/2006 0.00,"0,70808625","7,46795652","7,92294216"
20/01/2006 1.00,,"6,34529704","24,35436058"
20/01/2006 2.00,"1,12912832",,"24,35436058"
20/01/2006 3.00,"1,39707629","3,63014806","24,35436058"
20/01/2006 4.00,1,"4,28687034","24,35436058"
20/01/2006 5.00,1,"3,52631881","24,35436058"
20/01/2006 6.00,1,"3,36148911","24,35436058"
20/01/2006 7.00,"1,15384549","5,21874473","24,35436058"
20/01/2006 8.00,"1,13021142","10,07408326","24,35436058"
20/01/2006 9.00,"0,37043818","14,47776342","24,35436058"
20/01/2006 10.00,"0,03722423","13,36678435","24,35436058"
20/01/2006 11.00,0,"10,95274286","24,35436058"
20/01/2006 12.00,,,"24,35436058"
20/01/2006 13.00,,,"24,35436058"
20/01/2006 14.00,"7,29678787","7,08768075","24,35436058"
20/01/2006 15.00,"8,7553469","10,65812661","24,35436058"
20/01/2006 16.00,"10,63526733","8,51144582","24,35436058"
