NetC,Foggia,,,,,
,Stat,Manfredonia - Liceo Scientifico via dei mandorli,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE
,,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,
13/01/2009 4.00,"1,65079033","8,24538146","0,59127828","80,9232648",,"1,346508"
13/01/2009 5.00,"1,66877191","8,61267857","0,55609062","79,48656555",,"1,116666"
13/01/2009 6.00,"1,64613756","13,93524872","0,59556897","71,42820195",,"1,087173"
13/01/2009 7.00,"1,75343309","25,60441416","0,80138719","59,39148915",,"1,278369"
13/01/2009 8.00,"1,69203985","40,69087808","0,89360859","51,97092705",,"1,9623015"
13/01/2009 9.00,"2,04062677","49,16597104","1,50783504","50,90795115",,"2,272995"
13/01/2009 10.00,"1,85773661","41,98874368","0,99114589","62,3800191",,"4,215465"
13/01/2009 11.00,"1,99555435","45,51766472","1,01464394","55,1653011",,"2,7423405"
13/01/2009 12.00,"1,90171678","52,04465912","1,12961662","49,2857169",,"3,0332025"
13/01/2009 13.00,"2,46548564","70,0565404","1,81193615","40,46500395",,"3,269655"
13/01/2009 14.00,"2,2501064","71,18697216","1,58667408","47,7853572",,"5,145003"
13/01/2009 15.00,"1,75758449","25,88865208","0,6968832","70,7457324",,"3,9830805"
13/01/2009 16.00,"1,66276347","20,043018","0,67594349","74,80266465",,"1,585503"
13/01/2009 17.00,"1,69861679","19,85093848","0,72978979","76,445208",,"1,4548185"
