,Regione Puglia,,,,,
,CERRATE,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE



12/01/2006 14.00,6,"4,42055165","0,51497078","82,17821955",,"1,4344785"
12/01/2006 15.00,,"3,31792228",,"84,1805811",,
12/01/2006 16.00,6,"3,59770142","0,48670904","86,2055859",,
12/01/2006 17.00,5,"3,92849271","0,3843568","85,5854202",,"2,3391"
12/01/2006 18.00,4,"3,35110504","0,36610475","81,81333405",,"1,70047485"
12/01/2006 19.00,4,"3,74565962","0,33279041","82,21201485",,"1,46076795"
12/01/2006 20.00,5,"4,10516916","0,28886874","81,6727863",,"2,296386"
12/01/2006 21.00,5,"3,45882903","0,34396043","78,6306507",,"1,776699"
12/01/2006 22.00,3,"8,50625282","0,27303756","61,98066",,"2,086884"
12/01/2006 23.00,4,"6,72038173","0,19674986","61,0859823",,"1,4070195"
13/01/2006 0.00,4,"6,06495769","0,22003006","49,5458649",,"0,96721785"
13/01/2006 1.00,4,"7,52116939","0,25343294","41,04518985",,"1,0293057"
13/01/2006 2.00,3,"9,61853014","0,32398068","46,0009893",,"1,16319375"
13/01/2006 3.00,4,"9,28757442","0,30193422","39,30451245",,"1,571265"
13/01/2006 4.00,3,"4,41665882","0,16668937","60,74812905",,"1,5036345"
13/01/2006 5.00,5,"3,75734003","0,09897025","66,65400735",,"0,90233325"
13/01/2006 6.00,5,"4,95527495","0,16734293","66,9662049",,"0,9724554"
13/01/2006 7.00,4,"5,52374506","0,04533481","66,931053",,"2,2348575"
13/01/2006 8.00,5,"3,76382936","0,02114242","69,11096955",,"1,02355965"
13/01/2006 9.00,5,"3,61846765","0,02285963","69,28800585",,"0,93172455"
13/01/2006 10.00,6,"3,41470198","0,08764645","69,8583165",,"1,36913625"
13/01/2006 11.00,7,"3,51853123","0,315136","71,5449294",,"0,9367587"
13/01/2006 12.00,6,"3,30048866","0,49524966","72,3436476",,"1,0286955"
13/01/2006 13.00,6,"3,25376512","0,41390819","74,73168255",,"1,8768735"
13/01/2006 14.00,5,"3,21093632","0,54363444","75,99934545",,"0,90477405"
13/01/2006 15.00,5,"3,26934027","0,96357966","76,981863",,
13/01/2006 16.00,5,"3,71970231","0,97690493","78,31035345",,
13/01/2006 17.00,4,"3,35499978","0,66034763","78,4076496",,
13/01/2006 18.00,4,"3,57953168","0,30544087","78,27927135",,"1,2015855"
13/01/2006 19.00,3,"3,04351013","0,20516582","78,8414823",,"1,9480635"
13/01/2006 20.00,4,"2,8008085","0,18900494","79,3469355",,"0,9616752"
13/01/2006 21.00,4,"2,68529693","0,22588768","80,11455165",,"0,99986355"
13/01/2006 22.00,3,"2,67361652","0,28591663","79,34420235",,"2,2073985"
13/01/2006 23.00,3,"2,74889387","0,33565281","78,5103522",,"1,0939869"
14/01/2006 0.00,4,"3,00457416","0,28142789","76,91293575",,"2,0701035"
14/01/2006 1.00,,"3,0344243","0,13939458","75,1952208",,"1,6225218"
14/01/2006 2.00,1,"3,39653034","0,15173543","76,96700025",,"1,5903846"
14/01/2006 3.00,2,"4,00133991",,"77,7265167",,"1,0608327"
14/01/2006 4.00,2,"3,26934027","0,59988413","77,47919655",,"1,02193245"
14/01/2006 5.00,2,"3,08763718","0,52068976","77,90085975",,"1,161414"
14/01/2006 6.00,2,"3,22910606","0,50019508","76,67912175",,"1,1222595"
14/01/2006 7.00,2,"5,04742379","0,47396161","70,48269165",,"2,248587"
14/01/2006 8.00,1,"12,32718215","0,48467845","55,5976974",,"1,6830333"
14/01/2006 9.00,1,"12,80610182","0,50853532","59,65614585",,"1,650591"
14/01/2006 10.00,1,"4,81899906","0,57338155","71,86658325",,"2,428596"
14/01/2006 11.00,3,"3,96500044","0,58486146","74,8708737",,"1,0795455"
14/01/2006 12.00,3,"3,98836126","0,63903396","76,58723205",,"1,459395"
14/01/2006 13.00,4,"3,096723","0,73876728","78,6509199",,"1,856025"
14/01/2006 14.00,2,"3,3381283","0,81558621","80,6767626",,"1,091241"
14/01/2006 15.00,2,"3,10840341","1,01622018","81,59575935",,"1,02884805"
14/01/2006 16.00,2,"3,12916964","1,10326316","81,1686897",,"2,1026475"
