Stat,Casardi,,,,,
,,,,,,,,,,
Parm,NO2,NOX,O3,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,Aver,,Aver
,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,
13/01/2014 14.00,"35,3","46,6","36,4","57,5","5,8","48,1"
13/01/2014 15.00,,,,"57,5",,"48,1"
13/01/2014 16.00,"33,5","40,1","31,5","57,5","5,4","48,1"
13/01/2014 17.00,"30,1","33,2","40,9","57,5","5,0","48,1"
13/01/2014 18.00,"54,2","64,3","17,1","57,5","5,7","48,1"
13/01/2014 19.00,"64,4","85,4","6,5","57,5","6,7","48,1"
13/01/2014 20.00,"59,6","82,1","4,1","57,5","6,9","48,1"
13/01/2014 21.00,"60,7","85,4","2,7","57,5","6,9","48,1"
13/01/2014 22.00,"60,5","93,7","2,5","57,5","7,5","48,1"
13/01/2014 23.00,"51,0","60,2","8,1","57,5","6,5","48,1"
14/01/2014 0.00,"45,9","52,7","8,8","57,5","6,0","48,1"
14/01/2014 1.00,"34,0","37,0","14,9","34,8","5,8","26,3"
14/01/2014 2.00,"21,8","23,4","25,3","34,8","5,8","26,3"
14/01/2014 3.00,,,"16,9","34,8","5,2","26,3"
14/01/2014 4.00,"35,8","41,2","3,5","34,8","5,6","26,3"
14/01/2014 5.00,"34,5","45,5",,"34,8","6,0","26,3"
14/01/2014 6.00,"40,4","60,6","2,8","34,8","5,6","26,3"
14/01/2014 7.00,"49,2","86,4",,"34,8","5,7","26,3"
14/01/2014 8.00,"58,9","144,6","0,3","34,8","6,2","26,3"
14/01/2014 9.00,"67,4","165,9","3,9","34,8","7,3","26,3"
14/01/2014 10.00,"71,1","169,9","10,0","34,8","7,5","26,3"
14/01/2014 11.00,"61,9","109,9","18,5","34,8","7,5","26,3"
14/01/2014 12.00,"55,5","84,2","29,5","34,8","7,6","26,3"
14/01/2014 13.00,"34,2","43,3","45,1","34,8","6,9","26,3"
14/01/2014 14.00,"24,2","31,0","55,0","34,8","5,2","26,3"
14/01/2014 15.00,"20,3","24,9","55,8","34,8","4,2","26,3"
14/01/2014 16.00,"26,9","30,7","47,1","34,8","3,9","26,3"
14/01/2014 17.00,"31,6","35,3","41,2","34,8","4,2","26,3"
14/01/2014 18.00,"32,8","35,8","42,5","34,8","4,7","26,3"
14/01/2014 19.00,"34,6","37,9","41,6","34,8","4,7","26,3"
14/01/2014 20.00,"34,3","37,5","41,2","34,8","4,5","26,3"
14/01/2014 21.00,"34,7","38,5","36,9","34,8","4,4","26,3"
14/01/2014 22.00,"36,5","40,2","30,7","34,8","4,5","26,3"
14/01/2014 23.00,"29,9","32,3","32,6","34,8","4,5","26,3"
15/01/2014 0.00,"22,9","24,4","36,6","34,8","4,6","26,3"
15/01/2014 1.00,"15,3","16,7","37,7","18,6","4,1","11,7"
15/01/2014 2.00,"16,4","18,0","30,6","18,6","4,1","11,7"
15/01/2014 3.00,"13,8","15,1","35,6","18,6","3,7","11,7"
15/01/2014 4.00,"10,6","12,4","42,5","18,6","3,6","11,7"
15/01/2014 5.00,"12,8","14,1","40,9","18,6","2,9","11,7"
15/01/2014 6.00,"16,0","17,7","35,9","18,6","2,5","11,7"
15/01/2014 7.00,"29,8","32,7","22,3","18,6","3,1","11,7"
15/01/2014 8.00,"44,2","54,3","13,6","18,6","3,8","11,7"
15/01/2014 9.00,"53,9","75,7","11,5","18,6","5,3","11,7"
15/01/2014 10.00,"46,7","65,1","20,8","18,6","5,8","11,7"
15/01/2014 11.00,"31,1","41,9","34,0","18,6","5,4","11,7"
15/01/2014 12.00,"20,4","28,0","49,7","18,6","4,7","11,7"
15/01/2014 13.00,"21,0","28,3","51,7","18,6","4,5","11,7"
15/01/2014 14.00,"21,0","26,1","53,0","18,6","4,2","11,7"
15/01/2014 15.00,"23,3","29,0","45,9","18,6","4,3","11,7"
15/01/2014 16.00,"26,9","32,0","37,9","18,6","4,2","11,7"
15/01/2014 17.00,"35,0","39,7","27,2","18,6","4,5","11,7"
15/01/2014 18.00,"48,6","57,1","13,5","18,6","5,0","11,7"
15/01/2014 19.00,"55,2","73,4","6,3","18,6","5,7","11,7"
15/01/2014 20.00,"49,8","67,4","7,1","18,6","5,9","11,7"
15/01/2014 21.00,"44,6","58,9","11,4","18,6","5,9","11,7"
15/01/2014 22.00,"45,9","57,9","10,8","18,6","5,6","11,7"
15/01/2014 23.00,"36,0","41,5","17,2","18,6","5,5","11,7"
16/01/2014 0.00,"27,6","30,3","23,2","18,6","5,0","11,7"
