Stat,TA V.Archimede,,,,,
,,,,,,,,,,
Parm,SO2,NOX,NO2,CO,H2S,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
17/01/2014 13.00,"1,4","23,3","19,7","0,6","1,5",
17/01/2014 14.00,"1,3","19,0","15,8","0,6","1,4","18,1"
17/01/2014 15.00,"1,2","16,6","14,0","0,6","1,4",
17/01/2014 16.00,"1,4","13,5","11,1","0,5","1,3","12,2"
17/01/2014 17.00,"1,1","13,6","11,2","0,5","1,6",
17/01/2014 18.00,"1,3","19,1","16,2","0,5","1,5","15,6"
17/01/2014 19.00,"1,1","16,9","14,8","0,5","1,6",
17/01/2014 20.00,"1,2","14,7","12,4","0,5","1,5","20,0"
17/01/2014 21.00,"1,1","11,8","10,0","0,5","1,4",
17/01/2014 22.00,"1,3","14,9","12,7","0,5","1,5","20,5"
17/01/2014 23.00,"1,2","9,5","7,3","0,5","1,4",
18/01/2014 0.00,"1,1","6,4","4,4","0,5","1,4","28,3"
18/01/2014 1.00,"1,2","6,1","3,9","0,5","1,2",
18/01/2014 2.00,"1,1","5,9","3,9","0,5",,"24,9"
18/01/2014 3.00,,"7,8","5,5",,,
18/01/2014 4.00,"1,8","4,0","2,2","0,5",,"16,6"
18/01/2014 5.00,"1,5",,,"0,5",,
18/01/2014 6.00,"1,3","19,9","17,7","0,6",,"21,5"
18/01/2014 7.00,"1,6","55,5","46,6","0,8",,
18/01/2014 8.00,"2,4","144,5","99,9","0,7",,"24,4"
18/01/2014 9.00,"1,4","42,5","39,1","0,6",,
18/01/2014 10.00,"1,8","39,4","35,3","0,6",,"23,0"
18/01/2014 11.00,"1,5","35,5","31,7","0,6",,
18/01/2014 12.00,"1,6","22,8","19,7","0,6",,"25,9"
18/01/2014 13.00,"1,5","26,4","23,1","0,6",,
18/01/2014 14.00,"1,5","23,8","20,0","0,6",,"24,4"
18/01/2014 15.00,"1,1","10,1","8,0","0,5",,
18/01/2014 16.00,"1,1","7,0","4,6","0,5",,"24,9"
18/01/2014 17.00,"1,2","7,8","5,3","0,5",,
18/01/2014 18.00,"1,1","10,2","7,8","0,5",,"25,4"
18/01/2014 19.00,"1,2","13,8","11,6","0,5",,
18/01/2014 20.00,"1,3","14,6","12,2","0,5",,"25,9"
18/01/2014 21.00,"1,4","14,4","11,9","0,5",,
18/01/2014 22.00,"1,1","11,1","9,0","0,5",,"27,8"
18/01/2014 23.00,"1,2","7,7","5,2","0,5",,
19/01/2014 0.00,"1,2","7,2","5,0","0,5",,"35,7"
19/01/2014 1.00,"1,4","6,1","3,7","0,5",,
19/01/2014 2.00,"1,7","4,5","2,5","0,5",,"25,4"
19/01/2014 3.00,"1,4","3,5","1,6","0,5",,
19/01/2014 4.00,"1,5",,,"0,5",,"32,2"
19/01/2014 5.00,"1,5",,,"0,5",,
19/01/2014 6.00,"1,7",,,"0,4",,"26,4"
19/01/2014 7.00,"1,6","3,2","1,3","0,5",,
19/01/2014 8.00,"1,4","3,4","1,5","0,4",,"27,8"
19/01/2014 9.00,"1,4","3,4","1,7","0,4",,
19/01/2014 10.00,"1,1","4,6","2,3","0,4",,"31,3"
19/01/2014 11.00,"1,1","8,2","5,6","0,5",,
19/01/2014 12.00,"1,5","10,3","7,8","0,5",,"37,6"
19/01/2014 13.00,"1,7","9,6","7,2","0,5",,
19/01/2014 14.00,"1,3","9,4","7,0","0,5",,"28,8"
19/01/2014 15.00,"2,0","6,2","3,7","0,5",,
19/01/2014 16.00,"2,0","5,8","3,7","0,5",,"29,8"
19/01/2014 17.00,"1,9","5,8","3,5","0,5",,
19/01/2014 18.00,"1,9","6,0","3,6","0,5",,"32,7"
19/01/2014 19.00,"1,8","9,1","6,8","0,5",,
19/01/2014 20.00,"2,1","8,1","5,7","0,5",,"24,9"
19/01/2014 21.00,"1,6","6,4","4,1","0,4",,
19/01/2014 22.00,"1,9","6,9","4,9","0,5",,"32,2"
19/01/2014 23.00,"2,5","6,0","3,9","0,5",,
20/01/2014 0.00,"2,1","5,1","3,3","0,5",,"29,8"
20/01/2014 1.00,"1,8","3,9","2,1","0,4",,
20/01/2014 2.00,"2,0","3,7","1,4","0,4",,"39,1"
20/01/2014 3.00,,"7,3","5,6",,"1,5",
20/01/2014 4.00,"2,6","6,0","4,3","0,5","1,2","59,6"
20/01/2014 5.00,"2,3",,,"0,5","1,4",
20/01/2014 6.00,"2,4",,,"0,5","1,5","50,8"
20/01/2014 7.00,"2,7",,,"0,5","1,4",
20/01/2014 8.00,"2,4",,,"0,5","1,5","42,5"
20/01/2014 9.00,"2,2",,,"0,5","1,4",
20/01/2014 10.00,"2,5",,,"0,5","1,6","45,9"
20/01/2014 11.00,"2,6",,,"0,5","1,4",
20/01/2014 12.00,"2,5",,,"0,5","1,4","53,7"
20/01/2014 13.00,"2,0",,,"0,4","1,2",
20/01/2014 14.00,"2,3",,,"0,5","1,3","80,1"
20/01/2014 15.00,"2,6",,,"0,5","1,2",
20/01/2014 16.00,"2,0",,,"0,5","1,4","56,7"
20/01/2014 17.00,"2,2",,,"0,5","1,5",
20/01/2014 18.00,"1,9",,,"0,5","1,4","60,6"
20/01/2014 19.00,"2,0",,,"0,5","1,3",
20/01/2014 20.00,"1,4",,,"0,5","1,5","73,3"
20/01/2014 21.00,"1,3",,,"0,4","1,4",
20/01/2014 22.00,"1,7",,,"0,5","1,4","76,2"
20/01/2014 23.00,"1,9",,,"0,5","1,3",
21/01/2014 0.00,"1,8",,,"0,5","1,5","52,7"
21/01/2014 1.00,"1,8",,,"0,4","1,3",
21/01/2014 2.00,"1,7",,,"0,5","1,4","28,8"
21/01/2014 3.00,"1,6",,,"0,4","1,6",
21/01/2014 4.00,"2,5",,,"0,5","1,4","24,9"
21/01/2014 5.00,"1,5",,,"0,4","1,4",
21/01/2014 6.00,"2,0",,,"0,4","1,5","15,6"
21/01/2014 7.00,"1,4",,,"0,4","1,4",
21/01/2014 8.00,"1,1",,,"0,4","1,3","22,0"
21/01/2014 9.00,"1,3",,,"0,5","1,5",
21/01/2014 10.00,"2,2",,,"0,5","1,6","12,7"
21/01/2014 11.00,"1,8",,,"0,5","1,4",
21/01/2014 12.00,"1,8",,,"0,5","1,4","12,2"
21/01/2014 13.00,"1,8",,,"0,5","1,2",
21/01/2014 14.00,"1,8",,,"0,6","1,4","14,7"
21/01/2014 15.00,"1,7",,,"0,5","1,5",
21/01/2014 16.00,"2,0",,,"0,5","1,5","8,3"
21/01/2014 17.00,"2,0",,,"0,5","1,5",
21/01/2014 18.00,"1,7",,,"0,5","1,3","4,9"
21/01/2014 19.00,"1,4",,,"0,5","1,4",
21/01/2014 20.00,"2,0",,,"0,5","1,3","12,2"
21/01/2014 21.00,"1,4",,,"0,5","1,5",
21/01/2014 22.00,"1,6",,,"0,5","1,7","8,8"
21/01/2014 23.00,"1,1",,,"0,6","1,8",
22/01/2014 0.00,"1,5",,,"0,5","1,6","9,3"
22/01/2014 1.00,"2,1",,,"0,5","1,4",
22/01/2014 2.00,"1,6",,,"0,6",,"23,0"
22/01/2014 3.00,,,,,,
22/01/2014 4.00,"2,5",,,"0,6",,"13,7"
22/01/2014 5.00,"1,6",,,"0,6",,
22/01/2014 6.00,"1,7","50,6","43,4","0,5",,"15,6"
22/01/2014 7.00,"1,5","80,7","59,6","0,5",,
22/01/2014 8.00,"2,4","165,3","84,0","0,6",,"17,6"
22/01/2014 9.00,"2,9",,,"0,7",,
22/01/2014 10.00,"2,3","113,5","83,0","0,5",,"17,1"
22/01/2014 11.00,"1,9","61,5","50,6","0,5","1,7",
22/01/2014 12.00,"1,9","38,2","32,5","0,5","1,5","20,0"
22/01/2014 13.00,"1,7","34,2","29,8","0,5","1,4",
22/01/2014 14.00,"1,4","32,2","28,0","0,5","1,4","15,6"
22/01/2014 15.00,"1,5","26,9","24,1","0,4","1,6",
22/01/2014 16.00,"1,8","37,0","34,3","0,4","1,5","18,1"
22/01/2014 17.00,"1,4","36,4","34,4","0,4","1,9",
22/01/2014 18.00,"1,2","45,2","43,2","0,5","2,0","12,2"
22/01/2014 19.00,"1,1","25,9","24,4","0,4","1,7",
22/01/2014 20.00,"1,2","35,2","33,4","0,4","1,8","11,7"
22/01/2014 21.00,"1,2","37,5","35,9","0,5","1,4",
22/01/2014 22.00,"1,1","30,3","28,8","0,4","1,5","12,7"
22/01/2014 23.00,"1,5","26,4","25,3","0,5","1,7",
23/01/2014 0.00,"1,1","31,1","30,0","0,5","1,4","19,5"
23/01/2014 1.00,"1,2","32,1","30,8","0,5","1,4",
23/01/2014 2.00,"1,2","26,5","25,0","0,5","1,4","24,4"
23/01/2014 3.00,"1,1","23,6","22,3","0,5","1,4",
23/01/2014 4.00,"0,9","25,5","23,8","0,5","1,4","19,0"
23/01/2014 5.00,"0,9","24,2","22,7","0,5","1,6",
23/01/2014 6.00,"1,2","58,3","49,1","0,5","1,3","18,6"
23/01/2014 7.00,"1,3","98,7","70,3","0,5","1,4",
23/01/2014 8.00,"3,2","240,5","88,8","0,6","1,6","14,2"
23/01/2014 9.00,"4,9","332,4","98,5","0,7","1,8",
23/01/2014 10.00,"2,2","144,2","78,9","0,6","1,6","9,8"
23/01/2014 11.00,"2,0","123,8","81,1","0,6","1,7",
23/01/2014 12.00,"1,9","163,1","101,6","0,6","1,8","19,5"
23/01/2014 13.00,"1,0","114,8","81,0","0,5","1,8",
23/01/2014 14.00,"1,4","51,3","46,1","0,5","1,6","22,5"
23/01/2014 15.00,"1,1","51,9","47,8","0,5","1,6",
23/01/2014 16.00,"1,1","34,2","31,6","0,5","1,4","15,1"
23/01/2014 17.00,"1,4","36,8","35,4","0,4","1,3",
23/01/2014 18.00,"1,9","114,0","81,2","0,5","1,5","13,2"
23/01/2014 19.00,"2,5","185,4","114,4","0,6","1,6",
23/01/2014 20.00,"2,1","163,3","116,9","0,7","1,7","23,9"
23/01/2014 21.00,"1,5","68,7","66,5","0,6","1,5",
23/01/2014 22.00,"1,2","108,8","95,3","0,6","1,5","21,5"
23/01/2014 23.00,"1,3","70,4","67,5","0,6","1,6",
24/01/2014 0.00,"1,5","85,3","79,2","0,6","1,6","25,9"
24/01/2014 1.00,"1,3","53,5","51,3","0,6","1,6",
24/01/2014 2.00,"1,1","27,2","25,4","0,6",,"26,4"
24/01/2014 3.00,,"24,5","23,2",,"1,5",
24/01/2014 4.00,"1,9","18,1","16,8","0,6","1,4","30,3"
24/01/2014 5.00,"1,4",,,"0,5","1,5",
24/01/2014 6.00,"1,3","32,0","29,9","0,5","1,2","22,5"
24/01/2014 7.00,"2,5","141,6","84,9","0,5","1,5",
24/01/2014 8.00,"1,6","90,3","69,3","0,5","1,5","17,6"
24/01/2014 9.00,"1,6","59,3","55,7","0,5","1,4",
24/01/2014 10.00,"1,9","35,0","32,2","0,5","1,4","18,1"
24/01/2014 11.00,"1,8","49,1","45,2","0,5","1,4",
24/01/2014 12.00,"1,7","25,8","23,4","0,4","1,5","29,8"
24/01/2014 13.00,"1,2","49,3","44,8","0,5","1,3",
24/01/2014 14.00,"1,4","23,7","22,4","0,4","1,3","18,1"
24/01/2014 15.00,"1,4","29,1","27,1","0,4","1,3",
24/01/2014 16.00,"1,8","51,0","48,4","0,4","1,3","22,0"
24/01/2014 17.00,"1,2","64,6","62,6","0,5","1,2",
24/01/2014 18.00,"1,3","49,8","48,1","0,4","1,4","16,1"
24/01/2014 19.00,"2,0","48,4","46,6","0,5","1,3",
24/01/2014 20.00,"1,8","39,2","37,5","0,5","1,5","10,7"
24/01/2014 21.00,"1,5","32,1","30,5","0,5","1,3",
24/01/2014 22.00,"2,0","17,4","15,5","0,4","1,4","7,3"
24/01/2014 23.00,"1,8","14,3","12,6","0,5","1,4",
25/01/2014 0.00,"1,8","17,2","15,9","0,5","1,4","7,8"
25/01/2014 1.00,"1,7","21,8","19,7","0,6","1,4",
25/01/2014 2.00,"2,2","15,3","13,9","0,5","1,5","10,3"
25/01/2014 3.00,"2,0","8,8","7,2","0,5","1,4",
25/01/2014 4.00,"1,7","9,0","7,7","0,5","1,3","8,3"
25/01/2014 5.00,"1,7","14,9","13,6","0,5","1,6",
25/01/2014 6.00,"1,1","26,3","24,5","0,6","1,8","5,9"
25/01/2014 7.00,"2,1","53,0","33,3","0,6","1,5",
25/01/2014 8.00,"8,6",,,,,"8,3"
25/01/2014 9.00,"5,0","69,2","21,4","1,4","2,0",
25/01/2014 10.00,"1,2","45,4","29,4","1,1","1,5","20,5"
25/01/2014 11.00,"1,8","27,0","21,6","0,8","1,6",
25/01/2014 12.00,"1,3","19,1","15,9","0,8","1,3","15,6"
25/01/2014 13.00,"1,9","56,2","38,4","1,3","2,2",
25/01/2014 14.00,"2,9","108,5","74,1","1,3","3,8","18,6"
25/01/2014 15.00,"2,7","64,3","50,4","1,2","1,4",
25/01/2014 16.00,"2,6","26,4","22,8","0,8","1,6","15,6"
25/01/2014 17.00,"2,3","26,4","23,2","0,8","1,5",
25/01/2014 18.00,"2,6","30,9","26,2","0,9","1,6","9,3"
25/01/2014 19.00,"2,6","16,7","14,3","0,8","1,6",
25/01/2014 20.00,"3,4","63,3","50,5","1,2","1,6","13,7"
25/01/2014 21.00,"4,4","84,8","65,0","1,4","2,0",
25/01/2014 22.00,"3,7","32,7","28,2","0,9","1,7","11,2"
25/01/2014 23.00,"4,1","50,2","43,3","1,1","1,9",
26/01/2014 0.00,"5,8","101,6","84,7","1,6","3,1","21,0"
26/01/2014 1.00,"11,5","111,1","94,8","1,9","3,1",
26/01/2014 2.00,"9,8","94,4","83,4","1,6",,"15,1"
26/01/2014 3.00,,"61,9","57,3",,"2,6",
26/01/2014 4.00,"4,7","39,3","35,4","1,1","2,3","29,8"
26/01/2014 5.00,"10,8",,,"1,2","2,9",
26/01/2014 6.00,"5,1",,,"1,0","2,9","30,3"
26/01/2014 7.00,"8,3",,,"1,4","4,1",
26/01/2014 8.00,"8,5",,,"1,5","3,1","25,9"
26/01/2014 9.00,"6,8",,,"1,0","2,1",
26/01/2014 10.00,"11,4",,,"1,3","2,7","27,4"
26/01/2014 11.00,"17,4",,,"1,3","3,2",
26/01/2014 12.00,"11,7",,,"0,9","1,7","28,3"
26/01/2014 13.00,"12,5",,,"1,3","2,9",
26/01/2014 14.00,"17,2",,,"1,2","3,2","45,9"
26/01/2014 15.00,"9,9",,,"0,9","1,8",
26/01/2014 16.00,"19,9",,,"1,3","4,6","39,1"
26/01/2014 17.00,"21,6",,,"1,8","2,7",
26/01/2014 18.00,"17,1",,,"1,7","3,5","48,8"
26/01/2014 19.00,"7,8",,,"0,9","2,2",
26/01/2014 20.00,"6,6",,,"1,2","3,4","36,6"
26/01/2014 21.00,"4,4",,,"1,0","2,1",
26/01/2014 22.00,"4,4",,,"1,2","2,0","19,5"
26/01/2014 23.00,"5,5",,,"1,3","3,2",
27/01/2014 0.00,"8,4",,,"1,3","2,7","14,7"
27/01/2014 1.00,"10,0",,,"1,8","4,1",
27/01/2014 2.00,"7,7",,,"1,2","1,9","31,7"
27/01/2014 3.00,"5,2",,,"0,9","1,9",
27/01/2014 4.00,"5,5",,,"1,3","3,0","31,7"
27/01/2014 5.00,"10,6",,,"1,5","3,9",
27/01/2014 6.00,"5,7",,,"0,7","2,0","27,8"
27/01/2014 7.00,"4,8",,,"0,8","3,4",
27/01/2014 8.00,"4,0",,,"0,8","1,6","23,9"
27/01/2014 9.00,"4,8",,,"1,0","2,5",
27/01/2014 10.00,"6,9",,,"1,1","2,3","26,4"
27/01/2014 11.00,"6,7",,,"0,8","2,0",
27/01/2014 12.00,"7,5",,,"1,1","3,0","22,0"
27/01/2014 13.00,"8,2",,,"0,9","1,6",
27/01/2014 14.00,"6,4",,,"1,0","2,0","27,8"
27/01/2014 15.00,"4,4",,,"0,6","1,5",
27/01/2014 16.00,"3,2",,,"0,6","1,5","24,4"
27/01/2014 17.00,"3,4",,,"0,6","1,9",
27/01/2014 18.00,"2,7",,,"0,7","1,7","14,2"
27/01/2014 19.00,"3,1",,,"0,7","1,8",
27/01/2014 20.00,"3,5",,,"0,7","1,7","24,9"
27/01/2014 21.00,"2,7",,,"0,8","1,6",
27/01/2014 22.00,"2,6",,,"0,9","1,7","15,6"
27/01/2014 23.00,"2,7",,,"0,9","1,9",
28/01/2014 0.00,"1,9",,,"0,9","1,6","22,5"
28/01/2014 1.00,"2,2",,,"0,8","1,5",
28/01/2014 2.00,"2,1",,,"0,7",,"25,9"
28/01/2014 3.00,,,,,"1,9",
28/01/2014 4.00,"2,4",,,"0,7","1,5","34,2"
28/01/2014 5.00,"1,8",,,"0,7","1,5",
28/01/2014 6.00,"1,8",,,"0,6","1,5","18,6"
28/01/2014 7.00,"2,7",,,"0,6","1,7",
28/01/2014 8.00,"3,4",,,"0,7","1,6","20,5"
28/01/2014 9.00,"3,1",,,"0,8","1,7",
28/01/2014 10.00,"3,7",,,"0,8","1,6","12,2"
28/01/2014 11.00,"3,5",,,"0,7","1,7",
28/01/2014 12.00,"2,6",,,"0,7","1,7","15,6"
28/01/2014 13.00,"2,1","51,4","44,7","0,6","2,0",
28/01/2014 14.00,"2,5","45,1","41,4","0,6","2,0","14,2"
28/01/2014 15.00,"1,6","38,2","36,5","0,6","1,6",
28/01/2014 16.00,"1,9","48,3","42,7","0,8","1,7","13,2"
28/01/2014 17.00,"2,0","34,6","34,4","0,6","1,7",
28/01/2014 18.00,"1,4","44,4","45,2","0,6","1,4","9,3"
28/01/2014 19.00,"1,1","61,5","61,3","0,7","1,6",
28/01/2014 20.00,"1,6","81,4","74,9","1,2","2,5","20,5"
28/01/2014 21.00,"1,5","54,9","52,5","0,9","2,2",
28/01/2014 22.00,"1,2","39,6","39,4","0,8","1,8","24,9"
28/01/2014 23.00,"1,6","66,8","65,1","0,9","1,9",
29/01/2014 0.00,"2,1","57,9","58,8","0,8","1,4","20,0"
29/01/2014 1.00,"1,1","89,2","90,5","0,8","1,6",
29/01/2014 2.00,"1,3","67,9","69,1","0,7","1,6","37,1"
29/01/2014 3.00,"1,1","49,9","50,8","0,7","1,6",
29/01/2014 4.00,"1,1","35,9","36,4","0,7","1,4","35,7"
29/01/2014 5.00,"1,1","62,0","59,2","0,6","1,3",
29/01/2014 6.00,"1,1","65,9","61,0","0,6","1,4","23,4"
29/01/2014 7.00,"1,1","101,9","99,2","0,6","2,0",
29/01/2014 8.00,"1,3","133,3","118,0","0,6","1,8","15,1"
29/01/2014 9.00,"2,8","301,6","165,4","0,8","1,8",
29/01/2014 10.00,"2,8","206,2","140,0","0,6","2,2","20,5"
29/01/2014 11.00,"2,7","164,1","134,2","0,5","3,0",
29/01/2014 12.00,"1,4","78,5","72,3","0,5","2,0","25,4"
29/01/2014 13.00,"1,2",,,"0,5",,
29/01/2014 14.00,"1,5","32,2","28,8","0,5",,"28,8"
29/01/2014 15.00,"1,1","28,1","25,3","0,4",,
29/01/2014 16.00,"1,9","14,9","12,9","0,4",,"16,6"
29/01/2014 17.00,"1,8","35,8","28,6","0,5","1,1",
29/01/2014 18.00,"1,2","65,2","60,9","0,5","1,2","10,7"
29/01/2014 19.00,"3,0","234,3","151,0","0,6","1,3",
29/01/2014 20.00,"1,8","139,2","115,2","0,6","1,4","8,8"
29/01/2014 21.00,"1,2","126,8","116,2","0,7","1,5",
29/01/2014 22.00,"1,1","72,8","67,5","0,6","1,3","16,6"
29/01/2014 23.00,"1,4","80,6","77,3","0,6","1,4",
30/01/2014 0.00,"1,4","60,3","57,8","0,7","1,3","23,4"
30/01/2014 1.00,"1,2","25,5","24,0","0,6","1,4",
30/01/2014 2.00,"1,0","17,2","15,1","0,5",,"24,4"
30/01/2014 3.00,,"18,2","16,5",,"1,6",
30/01/2014 4.00,"1,2","12,7","11,1","0,5","1,3","23,0"
30/01/2014 5.00,"1,4",,,"0,5","1,3",
30/01/2014 6.00,"1,1","9,8","7,7","0,4","1,1","12,7"
30/01/2014 7.00,"1,2","11,8","10,1","0,4","1,1",
30/01/2014 8.00,"1,4","21,3","19,0","0,4","1,3","21,0"
30/01/2014 9.00,"1,1","31,4","28,3","0,5","1,2",
30/01/2014 10.00,"1,4","22,6","19,9","0,5","1,4","11,7"
30/01/2014 11.00,"1,3","25,5","21,7","0,5","1,4",
30/01/2014 12.00,"1,0","20,8","17,8","0,5","1,3","26,9"
30/01/2014 13.00,"1,1","24,1","20,4","0,5","1,4",
30/01/2014 14.00,"1,1","17,9","15,7","0,5","1,4","32,2"
30/01/2014 15.00,"1,1","18,1","15,6","0,5","1,2",
30/01/2014 16.00,"1,3","13,9","11,7","0,4","1,3","17,6"
30/01/2014 17.00,"1,1","14,5","12,4","0,4","1,3",
30/01/2014 18.00,"1,2","14,9","13,1","0,4","1,3","22,5"
30/01/2014 19.00,"1,1","15,2","13,1","0,4","1,3",
30/01/2014 20.00,"1,1","16,1","14,3","0,5","1,2","28,8"
30/01/2014 21.00,"1,3","16,3","13,9","0,5","1,2",
30/01/2014 22.00,"1,1","12,2","9,9","0,5","1,2","25,9"
30/01/2014 23.00,"1,1","8,3","6,7","0,4","1,2",
31/01/2014 0.00,"1,2","6,8","5,1","0,4","1,3","25,4"
31/01/2014 1.00,"1,1","6,0","4,3","0,4","1,2",
31/01/2014 2.00,"1,2","6,5","4,5","0,5","1,2","27,4"
31/01/2014 3.00,"1,1","5,7","3,8","0,5","1,0",
31/01/2014 4.00,"1,1","4,9","3,5","0,4","1,2","23,0"
31/01/2014 5.00,,,,,,
31/01/2014 6.00,,,,,,"25,9"
31/01/2014 7.00,,"8,6","6,8","0,7","1,1",
31/01/2014 8.00,,"12,5","10,3","0,8","1,1","15,1"
31/01/2014 9.00,,,,"0,7","1,2",
31/01/2014 10.00,,"33,6","27,8","0,7","1,2","24,4"
31/01/2014 11.00,,"28,8","23,8","0,7","1,3",
31/01/2014 12.00,,"29,9","24,0","0,8","1,2","22,5"
31/01/2014 13.00,,"28,1","23,6","0,8","1,3",
31/01/2014 14.00,,"19,8","17,5","0,7","1,3","22,0"
31/01/2014 15.00,,"16,9","14,6","0,7","1,3",
31/01/2014 16.00,,"12,7","10,7","0,7","1,1","23,0"
31/01/2014 17.00,,"13,6","11,5","0,7","1,2",
31/01/2014 18.00,,"14,8","13,5","0,7","1,3","28,8"
31/01/2014 19.00,,"14,7","12,9","0,7","1,3",
31/01/2014 20.00,,"15,7","13,6","0,7","1,3","20,0"
31/01/2014 21.00,,"14,6","12,3","0,8","1,3",
31/01/2014 22.00,,"13,2","11,2","0,7","1,3","29,3"
31/01/2014 23.00,,"11,0","9,2","0,7","1,5",
01/02/2014 0.00,,"9,0","7,2","0,7","1,3","28,8"
01/02/2014 1.00,,"7,5","6,3",,"1,3",
01/02/2014 2.00,,"6,8","5,6",,,"34,2"
01/02/2014 3.00,,"6,5","5,1",,"1,5",
01/02/2014 4.00,,"5,5","4,2",,"1,2","27,8"
01/02/2014 5.00,,"5,6","4,1",,"1,3",
01/02/2014 6.00,,"5,9","4,2",,"1,4","30,3"
01/02/2014 7.00,,"11,4","9,3",,"1,2",
01/02/2014 8.00,,"15,7","12,1",,"1,4","27,8"
01/02/2014 9.00,,"21,6","15,9",,"1,5",
01/02/2014 10.00,,"22,9","16,5",,"1,4","34,2"
01/02/2014 11.00,,"25,4","18,0",,"1,3",
01/02/2014 12.00,,"21,5","15,0",,"1,3","26,4"
01/02/2014 13.00,,"14,5","10,1",,"1,1",
01/02/2014 14.00,,"11,0","8,4",,"1,4","23,0"
01/02/2014 15.00,,"9,2","6,4",,"1,4",
01/02/2014 16.00,,"6,5","4,3",,"1,3","13,2"
01/02/2014 17.00,,"7,2","5,6",,"1,4",
01/02/2014 18.00,,"10,8","8,2",,"1,3","14,7"
01/02/2014 19.00,,"8,3","6,4",,"1,5",
01/02/2014 20.00,,"8,7","7,0",,"1,2","19,5"
01/02/2014 21.00,,"10,2","7,7",,"1,3",
01/02/2014 22.00,,"15,8","10,3",,"1,3","19,5"
01/02/2014 23.00,,"9,3","7,2",,"1,3",
02/02/2014 0.00,,"13,1","10,5",,"1,4","10,7"
02/02/2014 1.00,,"11,8","9,9",,"1,5",
02/02/2014 2.00,,"10,3","8,5",,"1,2","19,0"
02/02/2014 3.00,,"12,0","10,8",,"1,4",
02/02/2014 4.00,,"6,9","5,6",,"1,5","14,2"
02/02/2014 5.00,,"5,2","3,9",,"1,5",
02/02/2014 6.00,,"5,3","4,0",,"1,6","13,2"
02/02/2014 7.00,,"5,7","4,2",,"1,5",
02/02/2014 8.00,,"8,1","5,5",,"1,3","18,1"
02/02/2014 9.00,,"6,0","4,1",,"1,3",
02/02/2014 10.00,,"6,8","4,5",,"1,2","10,7"
02/02/2014 11.00,,"7,9","5,6",,"1,3",
02/02/2014 12.00,,"7,9","5,3",,"1,1","11,2"
02/02/2014 13.00,,"8,3","5,8",,"1,2",
02/02/2014 14.00,,"8,8","6,2",,"1,2","11,7"
02/02/2014 15.00,,"7,1","4,8",,"1,3",
02/02/2014 16.00,,"6,8","5,2",,"1,2","15,6"
02/02/2014 17.00,,"7,6","5,5",,"1,3",
02/02/2014 18.00,,"7,3","5,2",,"1,3","10,3"
02/02/2014 19.00,,"10,5","8,5",,"1,1",
02/02/2014 20.00,,"13,6","11,3",,"1,4","10,3"
02/02/2014 21.00,,"12,6","10,3",,"1,3",
02/02/2014 22.00,,"11,1","9,1",,"1,1","10,7"
02/02/2014 23.00,,"8,7","6,9",,"1,2",
03/02/2014 0.00,,"11,9","9,0",,"1,3","15,1"
03/02/2014 1.00,,"5,7","4,0",,"1,3",
03/02/2014 2.00,,"12,8","7,9",,,"9,3"
03/02/2014 3.00,,"5,2","3,9",,"1,4",
03/02/2014 4.00,,"5,3","3,8",,"1,3","6,3"
03/02/2014 5.00,,"5,3","3,9",,"1,1",
03/02/2014 6.00,,"13,4","10,9",,"1,3","9,8"
03/02/2014 7.00,,"34,7","28,2",,"1,2",
03/02/2014 8.00,,"36,8","31,0",,"1,4","15,6"
03/02/2014 9.00,,"51,8","41,7",,"1,4",
03/02/2014 10.00,,"54,5","40,8",,"1,5","9,3"
03/02/2014 11.00,,"51,7","39,1",,"1,4",
03/02/2014 12.00,,"35,5","28,2",,"1,6","6,8"
03/02/2014 13.00,,"41,5","32,4",,"1,4",
03/02/2014 14.00,,"44,8","34,6",,"1,3","7,8"
03/02/2014 15.00,,"25,5","21,5",,"1,3",
03/02/2014 16.00,,"15,7","12,6",,"1,3","5,9"
03/02/2014 17.00,,"14,5","12,4",,"1,3",
03/02/2014 18.00,,"18,1","15,3",,"1,2","6,8"
03/02/2014 19.00,,"16,0","13,7",,"1,3",
03/02/2014 20.00,,"16,6","14,3",,"1,4","15,6"
03/02/2014 21.00,,"16,5","14,2",,"1,5",
03/02/2014 22.00,,"15,8","13,9",,"1,4","18,6"
03/02/2014 23.00,,"14,3","12,4",,"1,4",
04/02/2014 0.00,,"10,3","8,6",,"1,3","14,7"
04/02/2014 1.00,,"7,2","5,9",,"1,4",
04/02/2014 2.00,,"5,7","4,2",,"1,3","15,1"
04/02/2014 3.00,,"5,9","4,2",,"1,2",
04/02/2014 4.00,,"5,5","3,9",,"1,2","9,8"
04/02/2014 5.00,,"5,5","4,0",,"1,4",
04/02/2014 6.00,,"13,6","10,9",,"1,3","8,8"
04/02/2014 7.00,,"29,2","24,7",,"1,2",
04/02/2014 8.00,,"21,8","18,6",,"1,2","7,8"
04/02/2014 9.00,,,,,"1,3",
04/02/2014 10.00,,"39,7","32,5","0,2","1,5","8,3"
04/02/2014 11.00,,"64,4","50,9","0,3","1,6",
04/02/2014 12.00,,"81,4","65,6","0,3","1,3","8,3"
