Stat,Campi Salentina,,,,,,  ,
Parm,NO2,NOX,CO,O3,PM10,PM2.5,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,ug/m3,,
Field,,,Aver,Aver,Aver,Aver,,
11/01/2014 5.00,,,"1,08","6,51","66,18","40,73",,
11/01/2014 6.00,,,"1,01","5,80","66,18","40,73",,
11/01/2014 7.00,,,"0,82","7,89","66,18","40,73",,
11/01/2014 8.00,,,"0,91","5,70","66,18","40,73",,
11/01/2014 9.00,,,"1,17","4,97","66,18","40,73",,
11/01/2014 10.00,,,"1,52","7,63","66,18","40,73",,
11/01/2014 11.00,,,"1,31","10,92","66,18","40,73",,
11/01/2014 12.00,,,"0,76","32,14","66,18","40,73",,
11/01/2014 13.00,,,"0,52","52,78","66,18","40,73",,
11/01/2014 14.00,,,"0,51","62,05","66,18","40,73",,
11/01/2014 15.00,,,"0,44","66,62","66,18","40,73",,
11/01/2014 16.00,,,"0,40","65,65","66,18","40,73",,
11/01/2014 17.00,,,"0,44","53,72","66,18","40,73",,
11/01/2014 18.00,,,"0,72","14,42","66,18","40,73",,
11/01/2014 19.00,,,"1,52","4,99","66,18","40,73",,
11/01/2014 20.00,,,"0,91","6,27","66,18","40,73",,
11/01/2014 21.00,,,"1,15","6,16","66,18","40,73",,
11/01/2014 22.00,,,"1,32","5,54","66,18","40,73",,
11/01/2014 23.00,,,"1,29","5,15","66,18","40,73",,
12/01/2014 0.00,,,"1,26","4,22","66,18","40,73",,
12/01/2014 1.00,,,"1,29","4,98","62,76","37,70",,
12/01/2014 2.00,,,"1,30","5,09","62,76","37,70",,
12/01/2014 3.00,,,,"5,17","62,76","37,70",,
12/01/2014 4.00,,,"1,05","5,44","62,76","37,70",,
12/01/2014 5.00,,,"1,05",,"62,76","37,70",,
12/01/2014 6.00,,,"1,02","5,60","62,76","37,70",,
12/01/2014 7.00,,,"0,93","6,15","62,76","37,70",,
12/01/2014 8.00,,,"0,98","5,73","62,76","37,70",,
12/01/2014 9.00,,,"1,17","7,47","62,76","37,70",,
12/01/2014 10.00,,,"1,23","15,74","62,76","37,70",,
12/01/2014 11.00,,,"1,33","32,70","62,76","37,70",,
12/01/2014 12.00,,,"0,62","62,92","62,76","37,70",,
12/01/2014 13.00,,,"0,52","74,02","62,76","37,70",,
12/01/2014 14.00,,,"0,51","72,28","62,76","37,70",,
12/01/2014 15.00,,,"0,52","71,25","62,76","37,70",,
12/01/2014 16.00,,,"0,54","76,73","62,76","37,70",,
12/01/2014 17.00,,,"0,76","44,76","62,76","37,70",,
12/01/2014 18.00,,,"1,07","35,08","62,76","37,70",,
12/01/2014 19.00,,,"0,98","37,39","62,76","37,70",,
12/01/2014 20.00,,,"0,97","37,35","62,76","37,70",,
12/01/2014 21.00,,,"1,01","28,30","62,76","37,70",,
12/01/2014 22.00,,,"0,76","34,06","62,76","37,70",,
12/01/2014 23.00,,,"0,77","35,77","62,76","37,70",,
13/01/2014 0.00,,,"0,68","36,86","62,76","37,70",,
13/01/2014 1.00,,,"0,68","40,94","60,32","31,84",,
13/01/2014 2.00,,,"0,61","44,31","60,32","31,84",,
13/01/2014 3.00,,,"0,55","44,57","60,32","31,84",,
13/01/2014 4.00,,,"0,52","46,04","60,32","31,84",,
13/01/2014 5.00,,,"0,53","46,03","60,32","31,84",,
13/01/2014 6.00,,,"0,53","45,50","60,32","31,84",,
13/01/2014 7.00,,,"0,57","30,07","60,32","31,84",,
13/01/2014 8.00,,,"0,60","24,59","60,32","31,84",,
13/01/2014 9.00,,,"0,73","25,07","60,32","31,84",,
13/01/2014 10.00,,,"0,65","31,54","60,32","31,84",,
13/01/2014 11.00,,,"0,65","39,33","60,32","31,84",,
13/01/2014 12.00,,,"0,47","55,37","60,32","31,84",,
13/01/2014 13.00,,,"0,45","66,77","60,32","31,84",,
13/01/2014 14.00,,,"0,45","65,62","60,32","31,84",,
13/01/2014 15.00,,,"0,43","64,50","60,32","31,84",,
13/01/2014 16.00,,,"0,51","54,79","60,32","31,84",,
13/01/2014 17.00,,,"0,56","39,79","60,32","31,84",,
13/01/2014 18.00,,,"0,74","10,98","60,32","31,84",,
13/01/2014 19.00,,,"1,02","11,78","60,32","31,84",,
13/01/2014 20.00,,,"1,23","8,36","60,32","31,84",,
13/01/2014 21.00,,,"1,28","7,02","60,32","31,84",,
13/01/2014 22.00,,,"1,28","6,28","60,32","31,84",,
13/01/2014 23.00,,,"1,00","5,09","60,32","31,84",,
14/01/2014 0.00,,,"1,01","5,99","60,32","31,84",,
14/01/2014 1.00,,,"0,96","5,65","39,15","24,76",,
14/01/2014 2.00,,,"0,91","5,55","39,15","24,76",,
14/01/2014 3.00,,,,"6,50","39,15","24,76",,
14/01/2014 4.00,,,"0,71","6,49","39,15","24,76",,
14/01/2014 5.00,,,"0,78",,"39,15","24,76",,
14/01/2014 6.00,,,"0,73","6,94","39,15","24,76",,
14/01/2014 7.00,,,"0,70","7,41","39,15","24,76",,
14/01/2014 8.00,,,"0,74","7,95","39,15","24,76",,
14/01/2014 9.00,,,"0,90","9,54","39,15","24,76",,
14/01/2014 10.00,,,"0,56","21,63","39,15","24,76",,
14/01/2014 11.00,,,"0,52","46,33","39,15","24,76",,
14/01/2014 12.00,,,"0,37","55,21","39,15","24,76",,
14/01/2014 13.00,,,"0,42","62,16","39,15","24,76",,
14/01/2014 14.00,,,"0,49","59,13","39,15","24,76",,
14/01/2014 15.00,,,"0,37","65,46","39,15","24,76",,
14/01/2014 16.00,,,"0,43","62,34","39,15","24,76",,
14/01/2014 17.00,,,"0,47","49,23","39,15","24,76",,
14/01/2014 18.00,,,"0,56","31,94","39,15","24,76",,
14/01/2014 19.00,,,"0,57","31,51","39,15","24,76",,
14/01/2014 20.00,,,"0,52","36,50","39,15","24,76",,
14/01/2014 21.00,,,"0,48","40,41","39,15","24,76",,
14/01/2014 22.00,,,"0,52","31,92","39,15","24,76",,
14/01/2014 23.00,,,"0,41","39,82","39,15","24,76",,
