Stat,TA V. Machiavelli,,,,,,,,
Parm,SO2,NOX,NO2,CO,BENZENE,PM10  orario,IPA TOT ,PM10,PM2.5
Unit,ug/m3 293K,,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,ng/m3,ug/m3,ug/m3
11/01/2014 15.00,"3,4","36,6","28,3","0,3","1,5",,"5,5","39,4","31,2"
11/01/2014 16.00,"3,6","51,7","42,1","0,3","1,3",,"3,4","39,4","31,2"
11/01/2014 17.00,"3,5","48,5","38,9","0,4","1,2",,"7,3","39,4","31,2"
11/01/2014 18.00,"3,8","63,5","52,2","0,5","1,5",,"13,5","39,4","31,2"
11/01/2014 19.00,"3,9","89,5","58,7","0,7","1,7",,"20,7","39,4","31,2"
11/01/2014 20.00,"4,6","130,6","74,9","0,8","2,7",,"34,2","39,4","31,2"
11/01/2014 21.00,"4,0","97,5","65,1","0,6","2,4",,"22,9","39,4","31,2"
11/01/2014 22.00,"3,5","64,4","49,8","0,5","2,0",,"12,9","39,4","31,2"
11/01/2014 23.00,"3,5","54,5","45,4","0,5","1,7",,"11,3","39,4","31,2"
12/01/2014 0.00,"3,3","36,0","29,8","0,5","1,6",,"6,7","39,4","31,2"
12/01/2014 1.00,,"41,7","33,2","0,5","1,6",,"11,9","40,3","31,7"
12/01/2014 2.00,"3,3",,,"0,5","1,9",,"7,7","40,3","31,7"
12/01/2014 3.00,"3,5","46,4","31,6",,"1,7",,"7,7","40,3","31,7"
12/01/2014 4.00,"3,3","29,8","23,1","0,4","1,6",,"4,4","40,3","31,7"
12/01/2014 5.00,"3,5","26,3","21,1","0,4","1,3",,"5,2","40,3","31,7"
12/01/2014 6.00,"3,4","34,4","24,9","0,4","1,4",,"10,4","40,3","31,7"
12/01/2014 7.00,"3,8","56,0","35,5","0,5","1,3",,"10,0","40,3","31,7"
12/01/2014 8.00,"3,8","67,3","37,7","0,5","1,4",,"18,1","40,3","31,7"
12/01/2014 9.00,"4,5","141,2","44,4","0,7","1,7",,"36,8","40,3","31,7"
12/01/2014 10.00,"3,7","43,5","29,4","0,4","1,9",,"8,5","40,3","31,7"
12/01/2014 11.00,"3,7","30,3","21,1","0,4","1,2",,"5,7","40,3","31,7"
12/01/2014 12.00,"3,4","25,2","18,3","0,3","1,6",,"3,8","40,3","31,7"
12/01/2014 13.00,"3,7","25,5","18,6","0,3","1,0",,"3,0","40,3","31,7"
12/01/2014 14.00,"3,5","14,8","9,9","0,2","1,0",,"2,0","40,3","31,7"
12/01/2014 15.00,"3,2","13,5","8,6","0,2","0,8",,"2,1","40,3","31,7"
12/01/2014 16.00,"3,6","13,6","8,8","0,3","0,8",,"3,0","40,3","31,7"
12/01/2014 17.00,"3,3","13,9","9,5","0,3","0,9",,"2,5","40,3","31,7"
12/01/2014 18.00,"3,2","27,5","19,5","0,3","1,0",,"5,9","40,3","31,7"
12/01/2014 19.00,"3,7","36,5","30,4","0,4","1,3",,"7,5","40,3","31,7"
12/01/2014 20.00,"3,2","41,2","35,3","0,4","1,2",,"8,5","40,3","31,7"
12/01/2014 21.00,"3,7","39,8","32,1","0,5","1,5",,"7,7","40,3","31,7"
12/01/2014 22.00,"3,5","34,7","28,5","0,5","1,8",,"6,3","40,3","31,7"
