,Regione Puglia,,,,,
,Bari Via Caldarola,,,,,
,SO2,NO2,CO,O3,PM10,BENZENE
,,,,,
,,,
,,,,
,,,,,
,,,,
08/01/2008 22.00,"0,695364","23,00716935","1,2926828","19,15881032","27,73489952","3,97799993"
08/01/2008 23.00,"0,728374","21,05999577","1,0262922","18,44988086","27,73489952","3,98000002"
09/01/2008 0.00,"0,45100001","20,51736489","0,899208","19,6789581","27,73489952","3,11599994"
09/01/2008 1.00,"0,49815801","19,45247436","0,7758889","19,24165184","45,24610138","2,88499999"
09/01/2008 2.00,"0,38455099","15,97695818","0,5970409","18,6698858","45,24610138","2,44400001"
09/01/2008 3.00,"0,33182001","14,23281222","0,52117885","18,01256872","45,24610138","2,20950007"
09/01/2008 4.00,"0,48915499","13,17303989","0,62210745","18,10220661","45,24610138","1,93550003"
09/01/2008 5.00,"0,442426","12,66231641","0,63239075","19,76452092","45,24610138","3,33200002"
09/01/2008 6.00,"0,57704002","14,61713814","0,4978189","19,85822604","45,24610138","2,23149991"
09/01/2008 7.00,"0,78496403","14,31836198","0,69506","19,10719795","45,24610138","2,3605001"
09/01/2008 8.00,"1,01860905","16,21572292","0,94744245","19,83377952","45,24610138","2,74000001"
09/01/2008 9.00,"1,26640201","20,50203474","1,34297345","20,908053","45,24610138","3,34450006"
09/01/2008 10.00,"1,62222898","22,42878066","1,6962845","21,5789589","45,24610138","5,33799982"
09/01/2008 11.00,"1,29812706","28,83845745","1,4645848","23,34040326","45,24610138","5,73000002"
09/01/2008 12.00,"1,11378205","25,72553412","0,94410515","26,1693522","45,24610138","4,96649981"
09/01/2008 13.00,"0,87098098","20,44391184","0,5567426","34,61701788","45,24610138","3,30299997"
09/01/2008 14.00,"0,69579202","14,6860862","0,4422118","48,90542022","45,24610138","2,27049994"
09/01/2008 15.00,"0,53931397","9,9477776","0,4223835","53,47817514","45,24610138","1,85950005"
09/01/2008 16.00,"0,521308","8,14617085","0,36879465","57,27678372","45,24610138","1,50950003"
09/01/2008 17.00,"0,422277","7,96486126","0,3987119","56,29623498","45,24610138","1,43350005"
09/01/2008 18.00,"0,45485899","12,69167694","0,4696462","40,26649878","45,24610138","1,49100006"
09/01/2008 19.00,"0,70994002","22,07379834","0,94410515","24,2000928","45,24610138","1,95550001"
09/01/2008 20.00,"1,10092103","24,31974996","1,25376105","22,7265327","45,24610138","4,98699999"
09/01/2008 21.00,"1,41730702","23,29829172","1,56819175","23,85513396","45,24610138","4,73549986"
09/01/2008 22.00,"1,25954294","24,70663404","1,349686","20,8116207","45,24610138","6,65899992"
09/01/2008 23.00,"0,70951098","21,1008699","0,8995576","20,79939744","45,24610138","3,93449998"
10/01/2008 0.00,"0,64349002","19,48311585","0,8253642","21,23398044","45,24610138","2,96799994"
10/01/2008 1.00,,"21,42773127","0,9309503","19,0596685","84,97219086","2,83450007"
10/01/2008 2.00,"0,58426797",,"0,7261813","21,8315664","84,97219086","3,00250006"
10/01/2008 3.00,"0,530653","14,96699097",,"29,6092287","84,97219086","2,31850004"
10/01/2008 4.00,"0,51346898","13,60333745","0,6909407","25,4536146","84,97219086","2,6875"
10/01/2008 5.00,"0,50178301","12,75168837","0,5770608",,"84,97219086","2,84200001"
10/01/2008 6.00,"0,571895","11,91408847","0,67434045","22,07469744","84,97219086","2,67849994"
10/01/2008 7.00,"0,85509402","14,17790395","0,8163114","17,85729407","84,97219086","4,04699993"
10/01/2008 8.00,"1,25961399","18,98515872","1,00054025","15,88055945","84,97219086","3,20650005"
10/01/2008 9.00,"1,70640695","26,67167712","1,94764115","17,50222505","84,97219086","4,65749979"
10/01/2008 10.00,"1,68750405","28,04554071","1,703127","17,42195374","84,97219086","7,12599993"
10/01/2008 11.00,"1,93667698","32,32035774","1,52064155","19,44222514","84,97219086","5,67399979"
10/01/2008 12.00,"1,21321595","32,99964327","1,22048235","20,61220302","84,97219086","6,51550007"
10/01/2008 13.00,"1,23658597","29,62497879","0,8816682","28,60758846","84,97219086","4,57399988"
10/01/2008 14.00,"0,84478301","21,94229763","0,65998385","41,17545414","84,97219086","4,12849998"
10/01/2008 15.00,"0,78566903","17,54235084","0,54084155","45,03641508","84,97219086","2,70149994"
10/01/2008 16.00,"0,57602","13,33265027","0,4334235","45,82549224","84,97219086","2,08400011"
10/01/2008 17.00,"0,52549797","15,51858106","0,5066739","36,35945046","84,97219086","2,09850001"
10/01/2008 18.00,"1,16647398","26,42141007","1,1917703","18,20694013","84,97219086","2,82150006"
10/01/2008 19.00,"1,74455595","29,94930081","1,50257045","17,12672964","84,97219086","4,85949993"
10/01/2008 20.00,"3,36297894","40,16266056","2,21579815","17,12672964","84,97219086","6,80000019"
10/01/2008 21.00,"4,38201189","47,90152719","2,8466065","18,58921817","84,97219086","9,80350018"
10/01/2008 22.00,"3,91459703","40,49208009","2,6526659","18,18516782","84,97219086","11,18000031"
10/01/2008 23.00,"2,02225494","29,21001138","1,51708","15,61119255","84,97219086","7,35100079"
11/01/2008 0.00,"2,160074","28,02511305","1,4910003","15,77716402","84,97219086","6,28499985"
11/01/2008 1.00,"1,77583206","25,49315538","1,61257945","15,66968762","49,18111038","6,14900017"
11/01/2008 2.00,"1,43180096","22,65732216","1,3265066","15,14183114","49,18111038","6,29199982"
11/01/2008 3.00,"1,07161701","20,35774323","0,93982715","14,26162693","49,18111038","4,44150019"
11/01/2008 4.00,"0,996005","16,556641","0,79475925","13,59908699","49,18111038","3,58599997"
11/01/2008 5.00,"0,81522602","13,95957252","0,72003915","13,68342749","49,18111038","3,04250002"
11/01/2008 6.00,"0,72139901","13,0581296","0,6462471","13,7977081","49,18111038","2,75999999"
11/01/2008 7.00,"0,97504097","13,71186175","0,63336135","14,02353823","49,18111038","2,34599996"
