Stat,COSTA Morena Diga,,  ,
Parm,PM10,,,
Unit,ug/m3,,,
Field,Aver,,,
23/01/2014 9.00,,,,
23/01/2014 10.00,"37,3",,,
23/01/2014 11.00,,,,
23/01/2014 12.00,"53,4",,,
23/01/2014 13.00,,,,
23/01/2014 14.00,"44,9",,,
23/01/2014 15.00,,,,
23/01/2014 16.00,"32,5",,,
23/01/2014 17.00,,,,
23/01/2014 18.00,"29,1",,,
23/01/2014 19.00,,,,
23/01/2014 20.00,"45,6",,,
23/01/2014 21.00,,,,
23/01/2014 22.00,"65,8",,,
23/01/2014 23.00,,,,
24/01/2014 0.00,"72,4",,,
24/01/2014 1.00,,,,
24/01/2014 2.00,"69,8",,,
24/01/2014 3.00,,,,
24/01/2014 4.00,"65,4",,,
24/01/2014 5.00,,,,
24/01/2014 6.00,"58,4",,,
24/01/2014 7.00,,,,
24/01/2014 8.00,"60,1",,,
24/01/2014 9.00,,,,
24/01/2014 10.00,"73,3",,,
24/01/2014 11.00,,,,
24/01/2014 12.00,"69,0",,,
24/01/2014 13.00,,,,
24/01/2014 14.00,"39,5",,,
24/01/2014 15.00,,,,
24/01/2014 16.00,"27,8",,,
24/01/2014 17.00,,,,
24/01/2014 18.00,"20,1",,,
24/01/2014 19.00,,,,
24/01/2014 20.00,"24,3",,,
24/01/2014 21.00,,,,
24/01/2014 22.00,"29,4",,,
24/01/2014 23.00,,,,
25/01/2014 0.00,"18,9",,,
25/01/2014 1.00,,,,
25/01/2014 2.00,"23,1",,,
25/01/2014 3.00,,,,
25/01/2014 4.00,"22,6",,,
25/01/2014 5.00,,,,
25/01/2014 6.00,"14,2",,,
25/01/2014 7.00,,,,
25/01/2014 8.00,"11,3",,,
25/01/2014 9.00,,,,
25/01/2014 10.00,"10,2",,,
25/01/2014 11.00,,,,
25/01/2014 12.00,"10,0",,,
25/01/2014 13.00,,,,
25/01/2014 14.00,"8,0",,,
25/01/2014 15.00,,,,
25/01/2014 16.00,"6,3",,,
25/01/2014 17.00,,,,
25/01/2014 18.00,"10,0",,,
25/01/2014 19.00,,,,
25/01/2014 20.00,"16,4",,,
25/01/2014 21.00,,,,
25/01/2014 22.00,"18,7",,,
25/01/2014 23.00,,,,
26/01/2014 0.00,"19,1",,,
26/01/2014 1.00,,,,
26/01/2014 2.00,"13,6",,,
26/01/2014 3.00,,,,
26/01/2014 4.00,"8,8",,,
26/01/2014 5.00,,,,
26/01/2014 6.00,"5,5",,,
26/01/2014 7.00,,,,
26/01/2014 8.00,"5,5",,,
26/01/2014 9.00,,,,
26/01/2014 10.00,"5,1",,,
26/01/2014 11.00,,,,
26/01/2014 12.00,"6,2",,,
26/01/2014 13.00,,,,
26/01/2014 14.00,"6,6",,,
26/01/2014 15.00,,,,
26/01/2014 16.00,"3,6",,,
26/01/2014 17.00,,,,
26/01/2014 18.00,"2,1",,,
26/01/2014 19.00,,,,
26/01/2014 20.00,"1,6",,,
26/01/2014 21.00,,,,
26/01/2014 22.00,"1,0",,,
26/01/2014 23.00,,,,
27/01/2014 0.00,,,,
27/01/2014 1.00,,,,
27/01/2014 2.00,,,,
27/01/2014 3.00,,,,
27/01/2014 4.00,,,,
27/01/2014 5.00,,,,
27/01/2014 6.00,,,,
27/01/2014 7.00,,,,
27/01/2014 8.00,,,,
27/01/2014 9.00,,,,
27/01/2014 10.00,,,,
27/01/2014 11.00,,,,
27/01/2014 12.00,,,,
27/01/2014 13.00,,,,
27/01/2014 14.00,,,,
27/01/2014 15.00,,,,
27/01/2014 16.00,,,,
27/01/2014 17.00,,,,
27/01/2014 18.00,,,,
