Stat,Mesagne2_Via_Antonucci,,,,,
Parm,NOX,NO,NO2,CO,O3,BENZENE
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver,Aver
12/01/2014 14.00,"26,464756","9,268335","12,253816","0,8","46,3","1,0"
12/01/2014 15.00,"25,870735","8,894454","12,233064","0,8","42,8","0,9"
12/01/2014 16.00,"26,562689","8,497736","13,533281","0,9","40,3","1,0"
12/01/2014 17.00,"27,310377","8,393693","14,440515","0,8","36,3","1,0"
12/01/2014 18.00,"30,07683","8,72993","16,691414","0,9","31,5","1,0"
12/01/2014 19.00,"30,888721","8,690596","17,563629","0,9","30,9","1,1"
12/01/2014 20.00,"31,408824","8,792526","17,927432","1,0","29,6","1,2"
12/01/2014 21.00,"33,064407","9,130457","19,064877","1,0","29,1","1,1"
12/01/2014 22.00,"35,758853","9,112269","21,78722","1,1","25,9","1,2"
12/01/2014 23.00,"37,195282","9,891327","22,029107","1,4","23,2","1,4"
13/01/2014 0.00,"30,878361","9,30217","16,615541","1,1","26,1","1,3"
13/01/2014 1.00,"26,845416","8,611506","13,641578","1,0","28,6","1,1"
13/01/2014 2.00,"25,919377","8,631809","12,684412","1,0","27,7","1,0"
13/01/2014 3.00,"23,925276","8,427528","11,003533","0,8","29,0","0,9"
13/01/2014 4.00,"22,486285","8,189834","9,928989","0,7","30,2","0,7"
13/01/2014 5.00,"21,854007","7,911539","9,723419","0,7","30,1","0,6"
13/01/2014 6.00,"22,29692","7,733481","10,439347","0,7","29,7","0,6"
13/01/2014 7.00,"27,362268","8,337018","14,580589","0,7","24,1","0,6"
13/01/2014 8.00,"37,216029","10,960522","20,410485","0,8","15,1","0,7"
13/01/2014 9.00,"45,351281","15,466529","21,636766","1,0","13,7","0,9"
13/01/2014 10.00,"41,191898","14,042916","19,660178","1,0","18,1","0,9"
13/01/2014 11.00,"32,410731","11,77976","14,349077","0,8","27,9","0,8"
13/01/2014 12.00,"27,901796","10,044008","12,501539","0,8","37,4","0,7"
13/01/2014 13.00,"28,069764","9,567354","13,400341","0,7","40,7","0,7"
13/01/2014 14.00,"29,714333","9,379991","15,332185","0,8","41,3","0,7"
13/01/2014 15.00,"26,95048","8,773493","13,498265","0,8","42,4","0,8"
13/01/2014 16.00,"38,085011","12,187475","19,411158","0,9","34,4","0,8"
13/01/2014 17.00,"46,819448","15,63698","22,878628","1,0","27,7","1,0"
13/01/2014 18.00,"48,934198","17,944965","21,419523","0,8","20,7","0,9"
13/01/2014 19.00,"56,098691","20,187408","25,155457","0,9","17,1","0,9"
13/01/2014 20.00,"56,614203","20,208969","25,628218","1,0","16,2","1,0"
13/01/2014 21.00,"54,388617","19,327565","24,754052","1,1","15,6","1,3"
13/01/2014 22.00,"47,953666","17,744074","20,748335","1,0","17,3","1,3"
13/01/2014 23.00,"35,350986","14,103819","13,725883","0,8","24,3","1,0"
14/01/2014 0.00,"61,651006","25,880187","22,145089","0,9","14,5","0,9"
14/01/2014 1.00,"35,27965","13,950712","13,889301","0,9","15,1","1,0"
14/01/2014 2.00,"32,840684","13,42373","12,258355","0,9","12,6","0,9"
14/01/2014 3.00,"37,644009","17,348625","11,697553",,"12,2","0,8"
14/01/2014 4.00,"26,901189","11,86604","8,70724","0,7",,"0,7"
14/01/2014 5.00,"27,438135","11,686713","9,519144","0,7","20,3","0,7"
14/01/2014 6.00,"27,735146","11,617774","9,934178","0,8","18,8","0,7"
14/01/2014 7.00,"32,441189","14,499268","10,675221","0,7","23,4","0,7"
14/01/2014 8.00,"46,725454","20,707195","16,419481","0,8","22,5","0,6"
