, Brindisi,,,,,,
,Filzi,,,,,,
Parm,SO2,NO2,NOX,CO,O3,,Benzene
,,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
08/01/2010 20.00,"0,99243437","9,30644203","13,60591246","0,22154922","90,07271385",,"0,38368664"
08/01/2010 21.00,"0,86330079","12,60140502","21,43120648","0,308379","85,28347695",,"0,42098817"
08/01/2010 22.00,"1,36990307","14,52806241","22,50445032","0,3009894","82,79750745",,"0,50439437"
08/01/2010 23.00,"1,58843705","12,49051475","20,48700352","0,31165847","86,77477935",,"1,27451864"
09/01/2010 0.00,"1,10712044","9,96335934","13,83353223","0,25063111","92,3644701",,"0,31249562"
09/01/2010 1.00,"1,18839298","5,65740342","7,20080423","0,18128565","95,0974206",,"0,60925622"
09/01/2010 2.00,"1,31301209","4,84679381","5,86427034","0,15595739","94,47356415",,"0,15239643"
09/01/2010 3.00,"0,87774931","2,37930045","3,31312125","0,11840012","94,46139465",,"0,12631852"
09/01/2010 4.00,"1,29766047","1,49930245","2,43312516","0,12492062","96,6814506",,"0,1296197"
09/01/2010 5.00,"1,71305616","1,5044897","2,43831242","0,06685586","99,078084",,"0,12279767"
09/01/2010 6.00,"1,67874054","1,36571483","2,29953563","0,06102736","101,9463354",,"0,11960632"
09/01/2010 7.00,"2,23591315","4,87143566","8,0360557","0,10844286","89,54288175",,"0,12246714"
09/01/2010 8.00,"1,37170926","2,78655071","3,79235449","0,06100756","85,65087615",,"0,0529257"
09/01/2010 9.00,"1,85392896","4,35459338","6,97577904","0,15741946","85,6853697",,"0,35045718"
09/01/2010 10.00,"1,9722264","10,51327731","14,02613182","0,12213511","78,1882395",,"0,13380059"
09/01/2010 11.00,"1,64532803","17,7925462","31,3498212","0,46196561","67,11030375",,"0,59088005"
09/01/2010 12.00,"1,39157534","9,78761978","15,46901688","0,21481202","72,7514256",,"0,49052961"
09/01/2010 13.00,"1,60830414","12,22268944","20,5356448","0,19108447","74,49651195",,"0,22875991"
09/01/2010 14.00,"1,67964364","22,10562624","39,3949436","0,45266075","64,8760434",,"0,41042561"
09/01/2010 15.00,"2,40477989","19,36641856","32,06640056","0,25313936","73,55594925",,"0,81292776"
09/01/2010 16.00,"1,44666114","22,5076816","35,98844792","0,45167283","68,14287585",,"0,55676987"
09/01/2010 17.00,"1,9388149","23,42530776","31,25965128","0,58307318","62,232429",,"1,09285396"
09/01/2010 18.00,"1,42498786","26,5484068","36,55197168","0,83273501","55,6088295",,"3,59160567"
09/01/2010 19.00,"1,57218233","24,94859816","35,06954072","0,61482176","58,6699176",,"1,29740622"
09/01/2010 20.00,"1,82954741","21,37478336","32,3283828","0,54996155","65,11897455",,"1,00878773"
09/01/2010 21.00,"1,85844444","25,44468568","37,78993432","0,6195237","59,7647337",,"1,56159638"
09/01/2010 22.00,"1,34100603","22,18797608","32,46132416","0,47077767","68,84320065",,"1,63047779"
09/01/2010 23.00,"1,53877083","22,59263176","34,86201224","0,58036572","66,41540535",,"1,12630411"
10/01/2010 0.00,"0,89671331","37,4222376","52,56764848","0,89951281","45,9687501",,"1,04058728"
10/01/2010 1.00,"0,81905214","24,14251808","29,07557368","0,58058358","51,4393593",,"1,13059483"
10/01/2010 2.00,"0,87052454","25,76050984","30,75450088","0,71909625","44,60059905",,"0,76297272"
