Stat,TA -S.VITO Colonia Marina,,,,,
Parm,SO2,NOX,NO2,PM10,CO,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,mg/m3 293K,ng/m3
08/01/2014 22.00,"1,5","14,8","3,8","18,8","0,3","2,0"
08/01/2014 23.00,"1,1","17,1","4,5","18,8","0,3","1,8"
09/01/2014 0.00,"0,9","11,5","4,0","18,8","0,3","2,1"
09/01/2014 1.00,"1,3","10,7","4,1","47,2","0,3","1,9"
09/01/2014 2.00,"1,3","20,0","10,5","47,2","0,3","1,8"
09/01/2014 3.00,"1,2","10,0","2,6","47,2","0,3","1,5"
09/01/2014 4.00,"1,2","17,4","7,9","47,2","0,3","1,5"
09/01/2014 5.00,"1,0","18,2","8,4","47,2","0,3","2,1"
09/01/2014 6.00,"1,5","22,4","8,4","47,2","0,3","12,5"
09/01/2014 7.00,"1,3","46,5","18,9","47,2","0,4","53,8"
09/01/2014 8.00,"1,7","180,3","49,0","47,2","0,8","155,4"
09/01/2014 9.00,"1,8","205,1","63,6","47,2","0,9","135,4"
09/01/2014 10.00,"1,6","51,7","25,8","47,2","0,4","10,0"
09/01/2014 11.00,"1,3","40,6","18,5","47,2","0,4","4,9"
09/01/2014 12.00,"1,2","33,9","15,0","47,2","0,3","2,7"
09/01/2014 13.00,"1,9","23,1","8,3","47,2","0,3","2,7"
09/01/2014 14.00,"1,8","17,3","4,7","47,2","0,3","2,8"
09/01/2014 15.00,"1,6","20,7","8,3","47,2","0,3","6,2"
09/01/2014 16.00,"1,5","19,5","8,7","47,2","0,4","9,8"
09/01/2014 17.00,"1,7","142,7","55,4","47,2","0,8","132,4"
09/01/2014 18.00,"2,1","158,0","66,6","47,2","0,8","150,1"
09/01/2014 19.00,"2,1","132,4","64,6","47,2","1,1","98,7"
09/01/2014 20.00,"2,7","184,5","69,8","47,2","1,7","141,4"
09/01/2014 21.00,"3,1","213,7","68,9","47,2","2,3","181,9"
09/01/2014 22.00,"2,2","150,1","62,9","47,2","1,4","88,9"
09/01/2014 23.00,"1,7","52,5","35,8","47,2","0,6","32,8"
10/01/2014 0.00,"1,7","47,4","29,6","47,2","0,6","29,9"
10/01/2014 1.00,,"38,8","23,3","34,7","0,6","17,6"
10/01/2014 2.00,"0,5",,,"34,7","0,6","12,2"
10/01/2014 3.00,"0,6","32,2","12,1","34,7",,"9,7"
10/01/2014 4.00,"0,4","22,7","7,7","34,7","0,5","6,3"
10/01/2014 5.00,"0,6","19,3","4,9","34,7","0,5","5,6"
10/01/2014 6.00,"0,5","16,3","3,4","34,7","0,4","6,8"
10/01/2014 7.00,"0,6","42,6","18,9","34,7","0,4","22,2"
10/01/2014 8.00,"0,6","74,3","31,6","34,7","0,5","74,4"
10/01/2014 9.00,"0,4","69,4","35,1","34,7","0,4","44,9"
10/01/2014 10.00,"0,7","38,6","21,1","34,7","0,4","19,7"
10/01/2014 11.00,"0,4","22,6","8,4","34,7","0,3","10,6"
10/01/2014 12.00,"0,4","19,6","6,0","34,7","0,3","9,2"
