"NetC","SIMAGE Brindisi","","","","","","","","","","","","",""
"Stat","Francavilla F.na Via F.Filzi","","","","","","","","","","","","",""
,NOX,NO2,CO,O3,SO2,Benzene
15/01/2011 1.00,,,"0,2",28,"9,4","1,2"
15/01/2011 2.00,,,"0,5","16,8","9,3","0,9"
15/01/2011 3.00,,,"0,4","15,6",9,"1,5"
15/01/2011 4.00,,,"0,2","32,1","8,4","0,8"
15/01/2011 5.00,,,"0,2","22,9","5,1","0,8"
15/01/2011 6.00,,,"0,3","17,4","1,7","0,7"
15/01/2011 7.00,,,"0,5","7,4","1,7","0,9"
15/01/2011 8.00,,,"2,5","5,6",3,"2,1"
15/01/2011 9.00,,,"2,9","6,3","5,4","6,8"
15/01/2011 10.00,,,"0,6","21,7","4,1","3,8"
15/01/2011 11.00,,,"0,5","40,8","3,6","1,5"
15/01/2011 12.00,,,"0,2","58,7","3,5","1,3"
15/01/2011 13.00,,,"0,3","59,9","4,3","1,4"
15/01/2011 14.00,,,"0,2","72,6","3,1",1
15/01/2011 15.00,,,"0,2","68,3","2,6","0,6"
15/01/2011 16.00,,,"0,3","66,8","2,2","0,7"
15/01/2011 17.00,,,"0,4","68,3",2,"0,7"
15/01/2011 18.00,,,"0,5","53,4",2,"0,9"
15/01/2011 19.00,,,"0,4","48,9",2,"1,1"
15/01/2011 20.00,,,"0,3","47,3","1,7","0,8"
15/01/2011 21.00,,,"0,3",45,"1,7","0,8"
15/01/2011 22.00,,,"0,3","45,6","1,6","0,7"
15/01/2011 23.00,,,"0,3",44,"1,1","0,6"
16/01/2011 0.00,,,"0,2","41,7","1,2","0,5"
16/01/2011 1.00,,,"0,2","38,2",1,"0,4"
16/01/2011 2.00,,,"0,3","38,2","0,8","0,4"
16/01/2011 3.00,,,,"37,1","0,7","0,4"
16/01/2011 4.00,,,"0,1","35,4",,"0,4"
16/01/2011 5.00,,,"0,1",,"1,2","0,4"
16/01/2011 6.00,,,"0,1","31,9","1,5","0,4"
16/01/2011 7.00,,,"0,1",33,"1,4","0,4"
16/01/2011 8.00,,,"0,1","32,9","0,9","0,4"
16/01/2011 9.00,,,"0,1","33,6","1,1","0,5"
16/01/2011 10.00,,,"0,1","43,7","1,1","0,5"
16/01/2011 11.00,,,"0,1","48,2","1,1","0,5"
16/01/2011 12.00,,,"0,2",54,"1,2","0,5"
16/01/2011 13.00,,,"0,2","58,3","1,3","0,7"
16/01/2011 14.00,,,"0,2","56,5","1,2","0,8"
16/01/2011 15.00,,,0,"62,5","1,5","0,7"
16/01/2011 16.00,,,"0,1","61,6",2,"0,7"
16/01/2011 17.00,,,"0,1","58,2","2,4","0,8"
16/01/2011 18.00,,,"0,2","52,8","3,5",1
16/01/2011 19.00,,,"0,1","49,1","3,6",1
16/01/2011 20.00,,,"0,1","45,2","4,1","0,9"
16/01/2011 21.00,,,"0,1","42,9","4,2","0,8"
16/01/2011 22.00,,,"0,1","39,8","4,3","0,8"
16/01/2011 23.00,,,0,"41,8","4,4","0,7"
17/01/2011 0.00,,,"0,1","42,9","4,1","0,5"
17/01/2011 1.00,,,0,"44,8","3,9","0,5"
17/01/2011 2.00,,,0,"43,4","3,5","0,4"
17/01/2011 3.00,,,0,"43,5","3,5","0,4"
17/01/2011 4.00,,,0,"43,3","3,1","0,3"
17/01/2011 5.00,,,"0,1","43,9","2,3","0,3"
17/01/2011 6.00,,,0,"40,5",2,"0,3"
17/01/2011 7.00,,,"0,1","39,3","1,4","0,4"
17/01/2011 8.00,,,"0,1","34,1","1,6","0,5"
17/01/2011 9.00,,,"0,1","31,6","1,2","0,6"
17/01/2011 10.00,,,"0,1","38,5","1,7","0,7"
17/01/2011 11.00,,,"0,1","50,4","1,6","0,6"
17/01/2011 12.00,,,"0,1","55,7","1,7","0,6"
17/01/2011 13.00,,,"0,1",62,"1,7","0,6"
17/01/2011 14.00,,,"0,1","68,1","1,7","0,6"
17/01/2011 15.00,,,"0,1","70,6","1,7","0,7"
17/01/2011 16.00,,,"0,1","69,2",2,"0,7"
17/01/2011 17.00,,,"0,2",57,"2,3",1
17/01/2011 18.00,,,"0,3","44,6","3,2","1,6"
17/01/2011 19.00,,,"0,3","45,2","3,5","1,8"
17/01/2011 20.00,,,"0,2","42,1","4,1","1,7"
17/01/2011 21.00,,,"0,2","40,7","4,7","1,4"
17/01/2011 22.00,,,"0,4","36,6","5,3","1,2"
17/01/2011 23.00,,,"0,7","14,5","6,4","1,7"
18/01/2011 0.00,,,"0,4","17,4","6,8",2
18/01/2011 1.00,,,"0,2","21,5","7,1","1,3"
18/01/2011 2.00,,,"0,2","12,4","7,1","1,1"
18/01/2011 3.00,,,,"12,6","7,2","1,5"
18/01/2011 4.00,,,0,17,,"1,3"
18/01/2011 5.00,,,0,,"4,7",1
18/01/2011 6.00,,,0,"20,3","1,8","0,8"
18/01/2011 7.00,,,0,"5,6","1,6","0,9"
18/01/2011 8.00,,,"0,5","5,5","2,1","1,3"
18/01/2011 9.00,,,"0,5","12,7","2,7","3,1"
18/01/2011 10.00,,,"0,4","16,8","2,9",2
18/01/2011 11.00,,,0,"39,6","2,7","1,4"
18/01/2011 12.00,,,"0,1","63,4","3,1","0,8"
18/01/2011 13.00,,,"0,1","77,2",3,"0,7"
18/01/2011 14.00,,,0,"79,6","2,8","0,9"
18/01/2011 15.00,,,"0,1","68,2",2,"0,9"
18/01/2011 16.00,,,"0,1","61,2","1,6",1
18/01/2011 17.00,,,"0,2","55,4","2,1","1,3"
18/01/2011 18.00,,,"0,4","46,2","2,9","1,7"
18/01/2011 19.00,,,"0,5","37,7","3,5","2,1"
18/01/2011 20.00,,,"0,7","33,5","4,2","2,3"
18/01/2011 21.00,,,"0,7","26,8","4,9","2,6"
18/01/2011 22.00,,,"0,5","27,1","6,5","2,4"
18/01/2011 23.00,,,"0,3","31,1","6,9","1,7"
