"NetC","SIMAGE Brindisi","","","","","","","","","","","","",""
"Stat","Francavilla F.na Via F.Filzi","","","","","","","","","","","","",""
,NOX,NO2,CO,O3,SO2,Benzene
10/03/2011 3.00,"10,6","8,6","0,2","79,5","4,1","0,7"
10/03/2011 4.00,"9,9","8,1","0,2","84,8","3,8","0,8"
10/03/2011 5.00,"10,6","9,1","0,1","81,1","2,5","0,5"
10/03/2011 6.00,"23,4","19,5","0,2","66,6","1,5","1,5"
10/03/2011 7.00,39,33,"0,3","55,2","1,7","0,7"
10/03/2011 8.00,"69,9","51,6","0,4","41,3","1,9",1
10/03/2011 9.00,"69,4","40,7","0,8","60,9","1,7","1,6"
10/03/2011 10.00,"34,2","22,9","0,2","85,6","1,4","1,3"
10/03/2011 11.00,"20,9","14,8","0,3","101,2","1,3","0,8"
10/03/2011 12.00,"20,4","14,3","0,2","111,3",1,"0,8"
10/03/2011 13.00,"20,6",15,"0,1","115,9",1,1
10/03/2011 14.00,"18,1","13,8","0,2","114,7",1,1
10/03/2011 15.00,"15,7","11,7","0,2",116,"0,9","0,9"
10/03/2011 16.00,"16,8","13,1","0,2","115,2","0,7","1,1"
10/03/2011 17.00,"18,9","14,7","0,2",111,"1,3","1,2"
10/03/2011 18.00,"24,4","20,5","0,5","105,3","2,1","1,4"
10/03/2011 19.00,"44,2","37,4","0,7","86,3","2,6","2,6"
10/03/2011 20.00,"52,4",44,"0,6","75,1","3,5","3,1"
10/03/2011 21.00,"61,9","51,3","0,5","65,3","4,7","2,8"
10/03/2011 22.00,"60,3","49,3","0,6","61,7",5,3
10/03/2011 23.00,"46,4",39,"0,3","67,3","6,5","2,2"
11/03/2011 0.00,"32,3","27,4","0,3","81,5","6,6","1,4"
11/03/2011 1.00,"26,2","22,7","0,2","82,2","6,4","1,3"
11/03/2011 2.00,,,"0,2","85,4","5,9","1,1"
11/03/2011 3.00,"26,4","23,9",,"80,4","5,6","0,8"
11/03/2011 4.00,"17,2","15,2","0,1","87,1",,"0,8"
11/03/2011 5.00,"17,2","15,2","0,1",,"2,9","0,7"
11/03/2011 6.00,"28,8","25,7","0,2",,1,"0,7"
11/03/2011 7.00,"57,9",48,"0,2",,"0,8","0,9"
11/03/2011 8.00,"95,2","72,1","0,4",,1,"1,3"
11/03/2011 9.00,"73,7","53,7","0,5",,"0,9","1,8"
11/03/2011 10.00,"34,2",24,"0,3",,"0,9","1,9"
11/03/2011 11.00,"37,3","27,1","0,2",,"1,1","0,8"
11/03/2011 12.00,"22,8","17,8","0,2",,1,"1,2"
11/03/2011 13.00,"19,3","15,6","0,1",,"1,1","0,8"
11/03/2011 14.00,"28,5","21,7","0,2",,"0,9","0,7"
11/03/2011 15.00,"17,2","14,7","0,1",,"0,8","0,9"
11/03/2011 16.00,"21,3",18,"0,1",,"0,8",1
11/03/2011 17.00,,,,,,
11/03/2011 18.00,"33,8","29,9","0,3",,,
11/03/2011 19.00,"51,5","45,2","0,5",,3,
11/03/2011 20.00,116,"87,6","1,3",,"3,9",
11/03/2011 21.00,"258,3","127,2","2,5",,"7,3",
11/03/2011 22.00,"400,9","132,6","3,6",,"11,8",
11/03/2011 23.00,"218,5",105,"2,3",,"13,7",
12/03/2011 0.00,"92,2","65,5","1,1",,"14,8",
12/03/2011 1.00,"54,3","42,5","0,3",,"16,3",
12/03/2011 2.00,35,"28,3","0,1",,16,
12/03/2011 3.00,"26,1","21,3","0,1",,"16,1",
12/03/2011 4.00,"27,3","21,4","0,6",,"15,6",
12/03/2011 5.00,"20,9","17,3","0,1",,"9,7",
12/03/2011 6.00,"37,2","31,1","0,1",,"3,8",
12/03/2011 7.00,125,80,"0,3",,"2,4",
12/03/2011 8.00,"100,8","68,2","0,6",,"1,2",
12/03/2011 9.00,"96,5","51,6","0,6",,"0,6",
12/03/2011 10.00,"54,3","32,9","0,2",,"0,2",
12/03/2011 11.00,"29,3","20,2","0,1",,0,
12/03/2011 12.00,"25,6",18,0,,0,
12/03/2011 13.00,"27,1","18,4",0,,0,
12/03/2011 14.00,"33,9","22,7","0,1",,0,
12/03/2011 15.00,"19,1","14,1","0,2",,0,
12/03/2011 16.00,"20,4","14,1","0,1",,0,
12/03/2011 17.00,"17,1","12,5","0,1",,"1,1",
12/03/2011 18.00,"25,9","19,6","0,2",,"2,5",
12/03/2011 19.00,"40,4","30,4","0,3",,"2,5",
12/03/2011 20.00,"57,3","39,7","0,5",,"2,8",
12/03/2011 21.00,"48,5","34,6","0,2",,"3,1",
12/03/2011 22.00,"32,5","24,2","0,2",,"3,1",
12/03/2011 23.00,"21,2","16,3","0,1",,3,
13/03/2011 0.00,14,"10,7","0,1",,"2,5",
13/03/2011 1.00,10,"7,9","0,1",,"2,1",
13/03/2011 2.00,,,0,,"1,8",
13/03/2011 3.00,"17,9","16,2",,,"1,7",
13/03/2011 4.00,"8,2","7,1",,,,
13/03/2011 5.00,"6,5","5,4",,,"1,5",
13/03/2011 6.00,"6,7","5,5",,,"2,5",
13/03/2011 7.00,"7,3","6,3",,,2,
13/03/2011 8.00,"8,8","6,6",,,2,
13/03/2011 9.00,"9,6","6,9",,,"1,9",
13/03/2011 10.00,"10,7","7,4",,,"1,8",
13/03/2011 11.00,"14,1","9,6",,,"1,9",
13/03/2011 12.00,"13,6","9,1",,,2,
13/03/2011 13.00,"16,5","10,7",,,"2,6",
13/03/2011 14.00,"15,4","10,4",,,"2,4",
13/03/2011 15.00,"9,1","6,5",,,"2,7",
13/03/2011 16.00,"12,8","9,1",,,"2,8",
13/03/2011 17.00,"12,9","9,4",,,"2,4",
13/03/2011 18.00,"15,9","11,4",,,"2,8",
13/03/2011 19.00,"18,4","13,1",,,"2,7",
13/03/2011 20.00,"26,4","19,5",,,"3,1",
13/03/2011 21.00,"28,1","20,7",,,"3,5",
13/03/2011 22.00,"18,3","12,6",,,"3,8",
13/03/2011 23.00,"11,8","8,8",,,"3,6",
14/03/2011 0.00,"8,7","6,3",,,"3,5",
14/03/2011 1.00,"6,9","4,8",,,"3,8",
14/03/2011 2.00,"4,8","3,4",,,"3,1",
14/03/2011 3.00,"3,1","2,3",,,"3,2",
14/03/2011 4.00,"2,4",2,,,3,
14/03/2011 5.00,"3,5","2,7",,,"2,4",
14/03/2011 6.00,"4,1","3,3",,,"2,5",
14/03/2011 7.00,"12,3",9,,,"2,5",
14/03/2011 8.00,"18,5",13,,,"2,2",
14/03/2011 9.00,"37,9","21,3",,,"2,4",
14/03/2011 10.00,"21,8","13,5",,,"2,5",
14/03/2011 11.00,"18,6","11,8",,,"2,7",
14/03/2011 12.00,"18,7","11,3",,,"2,6",
14/03/2011 13.00,"20,9",13,,,,"0,5"
14/03/2011 14.00,"27,9","16,8","0,1",,"2,7","0,5"
14/03/2011 15.00,"16,1","10,6","0,1",,"2,7","0,4"
14/03/2011 16.00,"22,7","14,6","0,2",,"3,3","0,5"
14/03/2011 17.00,20,"12,6","0,1",,"2,4","0,6"
14/03/2011 18.00,"24,8","16,4","0,1",,"2,2","0,5"
14/03/2011 19.00,"33,5","22,1","0,3",,"2,3","0,9"
14/03/2011 20.00,"40,3","25,1","0,2",,"2,7","1,1"
14/03/2011 21.00,"32,7","21,5","0,2",,3,"0,8"
14/03/2011 22.00,"21,6","15,4","0,1",,"2,9","0,6"
14/03/2011 23.00,"13,1","9,6","0,1",,3,"0,4"
15/03/2011 0.00,"8,5","6,5",0,,"2,7","0,3"
15/03/2011 1.00,"5,5","3,7",0,,"2,6","0,3"
15/03/2011 2.00,,,0,,"2,5","0,3"
15/03/2011 3.00,"5,6",5,,,"2,2","0,3"
15/03/2011 4.00,"3,4","3,2","0,1",,,"0,3"
15/03/2011 5.00,"3,6","3,2",0,,"1,1","0,3"
15/03/2011 6.00,4,"3,4",0,,"0,8","0,3"
15/03/2011 7.00,"9,9","8,1","0,1",,"0,8","0,3"
15/03/2011 8.00,"18,4","13,9","0,1",,"1,1","0,3"
15/03/2011 9.00,"38,2","23,4","0,2",,"1,3","0,6"
15/03/2011 10.00,"19,8","12,8","0,1",,"1,1","0,6"
15/03/2011 11.00,"22,3","14,6","0,1",,"0,9","0,4"
15/03/2011 12.00,"19,4",13,"0,1",,"1,2","0,5"
15/03/2011 13.00,23,"14,9","0,1",,"1,1","0,4"
15/03/2011 14.00,"26,8",17,"0,1",,"1,5","0,6"
15/03/2011 15.00,"14,3","9,8","0,1",,"1,2","0,6"
15/03/2011 16.00,"14,8","9,7","0,2",,"1,7","0,4"
15/03/2011 17.00,"19,2","12,4","0,3",,"1,1","0,5"
15/03/2011 18.00,"20,8","13,6","0,2",,"0,6","0,5"
15/03/2011 19.00,"25,3","16,2","0,2",,"0,9","0,6"
15/03/2011 20.00,"28,1","19,1","0,3",,"0,9","0,8"
15/03/2011 21.00,"29,4","19,3","0,2",,"1,2","0,6"
15/03/2011 22.00,"19,3","13,2","0,1",,"1,5","0,5"
15/03/2011 23.00,"9,8","7,1","0,1",,"1,4","0,5"
16/03/2011 0.00,"6,5","4,9","0,1",,"1,2","0,3"
16/03/2011 1.00,"3,9","2,9","0,1",,"0,8","0,3"
16/03/2011 2.00,,,,,,
16/03/2011 3.00,"2,6","1,9","0,1",,"0,8","0,3"
16/03/2011 4.00,"1,9","1,6","0,1",,"0,7","0,3"
16/03/2011 5.00,"2,5","1,9","0,1",,"1,3","0,3"
16/03/2011 6.00,"2,9","2,4","0,1",,"1,7","0,3"
16/03/2011 7.00,"6,7","5,2","0,1",,"1,8","0,3"
16/03/2011 8.00,"12,2","8,9","0,1",,"1,7","0,3"
16/03/2011 9.00,"27,2","16,7","0,4",,2,"0,8"
16/03/2011 10.00,"15,6","10,3","0,2",,"2,1","0,6"
16/03/2011 11.00,"16,7","10,8","0,2",,2,"0,4"
16/03/2011 12.00,"20,1","14,1","0,3",,2,"0,5"
16/03/2011 13.00,"15,9","9,6","0,1",,"1,5","0,5"
16/03/2011 14.00,"18,3","10,6","0,1",,"1,5","0,4"
16/03/2011 15.00,"10,3","7,3",0,"95,5","1,5","0,4"
16/03/2011 16.00,"10,1","6,5",0,"94,7","1,6","0,4"
16/03/2011 17.00,"11,1","7,4",0,"93,8","1,5","0,3"
16/03/2011 18.00,"12,4","7,9",0,"92,7","1,9","0,4"
16/03/2011 19.00,17,"10,8",0,"90,3","1,9","0,5"
16/03/2011 20.00,"16,2","10,4","0,1","90,3","2,1","0,6"
16/03/2011 21.00,"17,7","10,9",0,"89,9",2,"0,4"
16/03/2011 22.00,10,"6,5",0,"95,2","2,2","0,3"
16/03/2011 23.00,"7,2","4,8",0,"94,7",2,"0,3"
17/03/2011 0.00,"5,1","3,6",0,"95,6",2,"0,3"
17/03/2011 1.00,"2,6","1,9",0,"100,6","1,8","0,3"
17/03/2011 2.00,,,0,"102,2","1,4","0,3"
17/03/2011 3.00,"4,9","4,5",,101,"1,3","0,3"
17/03/2011 4.00,"3,2","2,5","0,1","100,6",,"0,3"
17/03/2011 5.00,"2,9","2,4","0,1",,"1,1","0,3"
17/03/2011 6.00,4,"3,4","0,2","96,9","0,8","0,2"
17/03/2011 7.00,"8,7","6,6","0,1","96,9",1,"0,3"
17/03/2011 8.00,"11,4","8,1","0,1","92,2",1,"0,3"
17/03/2011 9.00,"18,6","12,8","0,2","83,2","1,2","0,3"
17/03/2011 10.00,"15,6","9,8","0,2","84,5","1,2","0,3"
17/03/2011 11.00,"18,8","11,3","0,2","85,2",1,"0,4"
17/03/2011 12.00,"17,3","10,9","0,1","89,2","1,3","0,4"
17/03/2011 13.00,"24,2","14,5","0,2","87,8","1,4","0,5"
17/03/2011 14.00,"17,5","10,8","0,1","92,6","1,1","0,5"
17/03/2011 15.00,"10,4","7,2",0,"99,7","1,2","0,4"
17/03/2011 16.00,"14,4","9,5","0,1","97,7","1,1","0,4"
17/03/2011 17.00,"14,6","10,4","0,1","93,8","1,4","0,4"
17/03/2011 18.00,"20,7","14,5","0,1","87,9","1,7","0,4"
17/03/2011 19.00,"32,8","23,2","0,2","72,1","2,2","0,5"
17/03/2011 20.00,"36,8","27,2","0,3","60,2","2,5",1
17/03/2011 21.00,"43,8","32,6","0,2","47,3","2,9","0,8"
17/03/2011 22.00,"47,8","35,9","0,2","42,5","3,4","0,8"
17/03/2011 23.00,"34,9","27,5","0,1","53,7","3,6","0,7"
18/03/2011 0.00,"32,4","24,3","0,1","53,9",4,"0,5"
18/03/2011 1.00,"16,3",13,"0,1","63,9","3,7","0,4"
18/03/2011 2.00,"10,6",8,0,"64,6","3,5","0,3"
18/03/2011 3.00,"5,4","4,4","0,1","67,9","3,6","0,3"
18/03/2011 4.00,"3,6","2,9",0,74,"3,4","0,3"
18/03/2011 5.00,"5,9","4,3",0,"72,2","2,2","0,3"
18/03/2011 6.00,"7,6",6,0,"70,7","0,7","0,3"
18/03/2011 7.00,"23,3","17,5","0,1","66,7","0,9","0,3"
18/03/2011 8.00,"43,1","30,9","0,2","56,1","0,8","0,7"
18/03/2011 9.00,"86,4","47,6","0,7","48,6","1,3","1,1"
18/03/2011 10.00,"54,1","31,9","0,2","58,3","1,1","1,4"
18/03/2011 11.00,"30,8","19,3","0,1",73,"1,2","0,6"
18/03/2011 12.00,"30,3","17,3","0,2","76,4","1,2","0,4"
18/03/2011 13.00,"33,3","19,6","0,2","76,9","1,6","0,5"
18/03/2011 14.00,"42,5","24,4","0,2","77,3","1,4","0,6"
18/03/2011 15.00,"22,6","15,5","0,2","83,9","1,2","0,5"
18/03/2011 16.00,"32,7","23,3","0,2",74,"1,5","0,7"
18/03/2011 17.00,"41,4","30,2","0,3","62,9","1,6","0,8"
18/03/2011 18.00,"42,3","34,2","0,5","56,9","2,2","0,9"
18/03/2011 19.00,"64,2","47,9","0,6","47,3","2,6","1,2"
18/03/2011 20.00,"64,6","49,8","0,5","32,7","3,2","1,6"
18/03/2011 21.00,"72,8","52,6","0,7","29,2","4,5","1,2"
18/03/2011 22.00,"72,8","53,8","0,7",24,5,"1,9"
18/03/2011 23.00,"51,5","40,1","0,4","25,7","5,4","1,4"
19/03/2011 0.00,"31,1","25,1","0,2",31,"5,6",1
19/03/2011 1.00,"16,6","13,2","0,1","55,4","5,6","0,6"
19/03/2011 2.00,,,0,"69,2","5,7","0,4"
19/03/2011 3.00,"12,9","11,4",,71,5,"0,3"
19/03/2011 4.00,"9,4","8,2",0,71,,"0,3"
19/03/2011 5.00,"10,3","9,2","0,1",,"2,3","0,3"
19/03/2011 6.00,"14,1","11,9","0,1","61,6","0,6","0,3"
19/03/2011 7.00,20,"17,5","0,1","73,2","0,3","0,3"
19/03/2011 8.00,"27,2","22,5","0,2","62,2","0,3","0,3"
19/03/2011 9.00,"24,9",19,"0,1",67,0,"0,4"
19/03/2011 10.00,15,"11,3","0,1","77,6",0,"0,7"
19/03/2011 11.00,"12,3","9,1","0,1","86,2",0,"0,4"
19/03/2011 12.00,"21,3","12,3","0,1","81,5",0,"0,3"
19/03/2011 13.00,"19,6","14,4","0,1","59,2",0,"0,5"
19/03/2011 14.00,"15,5","11,2","0,1","70,3",0,"0,7"
19/03/2011 15.00,"9,5","6,9","0,2","80,9",0,"0,4"
19/03/2011 16.00,"10,7","8,7","0,2","76,2",0,"0,5"
19/03/2011 17.00,"11,8","9,4","0,2","70,8","0,9","0,6"
19/03/2011 18.00,"15,7","12,7","0,2","70,8","1,9","0,6"
19/03/2011 19.00,"20,9","17,3","0,3","63,4","2,1","0,8"
19/03/2011 20.00,"24,7","19,7","0,3","54,2",2,"0,8"
19/03/2011 21.00,"26,7","20,7","0,3","51,6","2,1","0,8"
19/03/2011 22.00,"22,8","18,8","0,3","59,1","2,1","0,8"
19/03/2011 23.00,"15,3","12,8","0,2","70,7","2,3","0,7"
20/03/2011 0.00,"9,4","8,2","0,2","79,2","1,9","0,6"
20/03/2011 1.00,"9,2",8,"0,1","75,3","1,9","0,5"
20/03/2011 2.00,"9,3","8,3","0,1","68,9","1,6","0,5"
20/03/2011 3.00,"9,2","7,9","0,2","66,1","1,7","0,4"
20/03/2011 4.00,"6,7",6,"0,2","66,6","1,4","0,4"
20/03/2011 5.00,6,"5,3","0,2","67,4","1,5","0,3"
20/03/2011 6.00,"6,5","5,7","0,2","65,9","1,2","0,3"
20/03/2011 7.00,"5,8","5,1","0,1","72,1","0,9","0,3"
20/03/2011 8.00,"7,4","5,9","0,2","68,7","0,7","0,5"
20/03/2011 9.00,"7,8","5,9","0,2","69,8","0,7","0,5"
20/03/2011 10.00,"7,1","5,3","0,2","75,5","0,9","0,5"
20/03/2011 11.00,"8,5","6,3","0,2","76,8",1,"0,5"
20/03/2011 12.00,10,"7,3","0,2","76,8",1,"0,5"
20/03/2011 13.00,"13,6","9,3","0,3","75,7","0,9","0,6"
20/03/2011 14.00,11,8,"0,3","80,3","1,2","0,7"
20/03/2011 15.00,"7,4","5,6","0,4","77,8",1,"0,6"
20/03/2011 16.00,"8,9","6,8","0,3","68,7","0,7","0,6"
20/03/2011 17.00,"9,8","7,6","0,3",70,"1,7","0,7"
20/03/2011 18.00,"12,4","9,5","0,3","71,7",3,"0,8"
20/03/2011 19.00,"17,7","13,6","0,4","60,1","3,6",1
20/03/2011 20.00,"14,4","11,5","0,3","72,9","3,7","1,2"
20/03/2011 21.00,"16,3","13,4","0,3","81,3",4,"0,9"
20/03/2011 22.00,"15,7","12,9","0,3",77,4,"0,7"
20/03/2011 23.00,"12,3","10,1","0,3","78,8","3,8","0,6"
21/03/2011 0.00,"8,9","7,4","0,2","79,3","3,7","0,6"
21/03/2011 1.00,"6,4","5,8","0,2","75,2","3,8","0,5"
21/03/2011 2.00,,,"0,1","69,5","3,9","0,5"
21/03/2011 3.00,"11,9","11,5",,64,"3,2","0,5"
21/03/2011 4.00,"8,7","8,2","0,1","58,9",,"0,5"
21/03/2011 5.00,"6,5","5,9","0,1",,"2,7","0,5"
21/03/2011 6.00,"6,3","5,7",0,"67,8","2,2","0,5"
21/03/2011 7.00,"9,7","8,5",0,"64,7",2,"0,4"
21/03/2011 8.00,"16,5","13,6",0,"58,8",2,"0,5"
21/03/2011 9.00,"24,2","19,3","0,1","48,5","2,4","0,6"
21/03/2011 10.00,23,"16,8","0,1","46,8","2,7","0,7"
21/03/2011 11.00,"20,6",15,"0,1","49,2","2,6","0,8"
21/03/2011 12.00,"16,7","12,1","0,1","54,9","2,6","0,8"
21/03/2011 13.00,"17,7","12,9","0,2",56,"3,3","0,9"
21/03/2011 14.00,"18,3","13,6","0,1","57,9","3,7","0,9"
21/03/2011 15.00,"12,6","8,7",0,"64,6","3,9","0,9"
21/03/2011 16.00,"12,7","9,3","0,1","70,3","4,7","0,8"
21/03/2011 17.00,"13,8","10,3",0,68,"2,8","0,3"
21/03/2011 18.00,"15,3","11,8",0,67,"2,4","0,9"
21/03/2011 19.00,"18,4","14,5",0,63,"2,8",1
21/03/2011 20.00,21,"16,2","0,1","62,1","2,8","1,1"
21/03/2011 21.00,"21,6","16,3",0,"63,1",3,"1,1"
21/03/2011 22.00,"16,3","12,5",0,"67,7","3,3","0,9"
21/03/2011 23.00,10,"7,7",0,"72,4","3,3","0,7"
22/03/2011 0.00,"7,6","6,2",0,75,"3,3","0,5"
22/03/2011 1.00,"6,6","5,8",0,"73,2","2,9","0,4"
22/03/2011 2.00,"6,7","5,9",0,"66,7","2,6","0,4"
22/03/2011 3.00,"5,8","5,1","0,1","62,8","2,1","0,4"
22/03/2011 4.00,"3,9","3,5","0,2","64,4","1,9","0,4"
22/03/2011 5.00,"3,9","3,7","0,1","67,4","1,6","0,4"
22/03/2011 6.00,"6,1","5,6","0,1",64,"0,7","0,4"
22/03/2011 7.00,"12,2","10,4","0,1","61,9","0,8","0,4"
22/03/2011 8.00,"20,1","15,4","0,1","62,5","0,8","0,5"
22/03/2011 9.00,"18,9","12,7","0,2","70,2","0,8","0,5"
22/03/2011 10.00,14,"9,6","0,2","77,3","0,9","0,6"
22/03/2011 11.00,"9,8","7,2","0,1",84,"0,8","0,5"
22/03/2011 12.00,"8,9","6,6","0,1","88,7","0,8","0,4"
22/03/2011 13.00,"9,3","6,8","0,1","91,4","0,9","0,4"
22/03/2011 14.00,"11,8","8,5","0,1","93,7","1,2","0,5"
22/03/2011 15.00,"9,9","7,4",0,"94,8","1,3","0,5"
22/03/2011 16.00,10,"7,5",0,"94,4","1,4","0,6"
22/03/2011 17.00,"10,9","8,6",0,"94,5","1,8","0,5"
22/03/2011 18.00,"12,9","10,8",0,89,"1,9","0,7"
22/03/2011 19.00,"18,9","15,7",0,"83,2","1,8","0,9"
22/03/2011 20.00,"26,6","21,6","0,1","70,6",2,"1,2"
22/03/2011 21.00,"29,1","23,8",0,"66,5","2,6",1
22/03/2011 22.00,"23,2","18,9",0,"71,5","2,8",1
22/03/2011 23.00,"13,9","11,3",0,"75,5","3,3","0,9"
23/03/2011 0.00,10,"8,5",0,"80,8","3,4","0,6"
23/03/2011 1.00,"7,4","6,2",0,81,"3,3","0,5"
23/03/2011 2.00,,,0,"74,8","2,9","0,4"
23/03/2011 3.00,"14,1","13,1",,"70,8","3,2","0,4"
23/03/2011 4.00,"8,7","7,9","0,1",74,,"0,4"
23/03/2011 5.00,"7,1","6,3","0,2",,"1,3","0,4"
23/03/2011 6.00,"8,9","8,2","0,1","71,5","0,5","0,4"
23/03/2011 7.00,"23,7","18,9","0,1","59,8","0,3","0,4"
23/03/2011 8.00,"34,6","25,3","0,3","50,5","0,3","0,5"
23/03/2011 9.00,20,"14,9","0,2","77,6","0,5","0,6"
23/03/2011 10.00,"11,3","8,4","0,2",95,1,"0,5"
23/03/2011 11.00,"9,6","7,5","0,1","96,2","1,6","0,4"
23/03/2011 12.00,"10,3","7,9","0,1","94,9",1,"0,4"
23/03/2011 13.00,"11,3","8,5","0,1","95,1","0,9","0,5"
23/03/2011 14.00,"13,2","9,7","0,2","97,3","1,2","0,5"
23/03/2011 15.00,"10,3",8,"0,1","103,8",2,"0,5"
23/03/2011 16.00,"11,3","8,8","0,2",106,"3,4","0,5"
23/03/2011 17.00,"10,7","8,5","0,2","107,2","3,9","0,4"
23/03/2011 18.00,"12,1","10,3","0,2","108,9","6,5","0,5"
23/03/2011 19.00,17,"14,5","0,2",97,"4,5","0,6"
23/03/2011 20.00,"22,3","18,8","0,3","96,2","3,3","0,9"
23/03/2011 21.00,"22,1","18,7","0,2","99,8","3,4","0,9"
23/03/2011 22.00,"21,6","18,3","0,2","97,3","3,6","0,7"
23/03/2011 23.00,"14,7","12,7","0,1","98,8","3,6","0,6"
24/03/2011 0.00,"10,3",9,"0,1","100,5","3,9","0,4"
24/03/2011 1.00,"5,4","4,8","0,1","111,6","4,5","0,4"
24/03/2011 2.00,"4,6","4,2","0,1","111,7","3,8","0,3"
24/03/2011 3.00,"5,6","5,2","0,3","107,4","3,1","0,3"
24/03/2011 4.00,"5,5",5,"0,3","104,7","3,1","0,3"
24/03/2011 5.00,"7,3","6,3","0,3","98,6","1,9","0,3"
24/03/2011 6.00,7,"6,3","0,4",97,1,"0,3"
24/03/2011 7.00,"13,4","11,7","0,4","90,6","1,3","0,3"
24/03/2011 8.00,"18,8","15,3","0,4","88,4","0,9","0,4"
24/03/2011 9.00,21,"16,1","0,5","92,3","1,7","0,4"
24/03/2011 10.00,"14,6","11,3","0,5",100,"1,8","0,4"
24/03/2011 11.00,"14,3","11,4","0,5","105,2","2,4","0,4"
24/03/2011 12.00,"15,1","11,2","0,5","106,5","3,4","0,4"
24/03/2011 13.00,"13,4","10,1","0,5","112,8","4,9","0,5"
24/03/2011 14.00,"13,6","10,5","0,4","114,6","5,3","0,5"
24/03/2011 15.00,"9,6","7,7","0,3","118,8","5,5","0,4"
24/03/2011 16.00,"11,1","8,9","0,3","117,7","4,5","0,5"
24/03/2011 17.00,"11,5","9,8","0,4","118,2","3,3","0,5"
24/03/2011 18.00,"15,3","13,5","0,4","110,9","3,1","0,5"
24/03/2011 19.00,"26,2","23,3","0,6","97,4","2,4","0,7"
24/03/2011 20.00,"42,4",37,"0,8","81,8","2,6","1,3"
24/03/2011 21.00,"51,8","43,3","0,8","64,3","2,8","1,8"
24/03/2011 22.00,"42,2","34,1","0,6",77,"3,5","1,1"
24/03/2011 23.00,"20,6","17,8","0,5","86,8","3,8","0,9"
25/03/2011 0.00,"13,2","11,6","0,3","93,4","3,8","0,6"
25/03/2011 1.00,"13,2","11,8","0,3","88,7","3,3","0,4"
25/03/2011 2.00,,,"0,2","91,3","3,6","0,3"
25/03/2011 3.00,"18,9","17,8",,"89,5","3,1","0,3"
25/03/2011 4.00,"16,5","15,4","0,1","81,9",,"0,3"
25/03/2011 5.00,"18,1","15,6","0,1",,2,"0,4"
25/03/2011 6.00,20,"18,4","0,1","74,9","1,1","0,3"
25/03/2011 7.00,"48,3","40,9","0,2","54,4",1,"0,5"
25/03/2011 8.00,"95,8","60,4","0,3","34,8","1,1","0,4"
25/03/2011 9.00,"139,2","69,3","0,8",38,2,"1,2"
25/03/2011 10.00,46,"30,9","0,5","74,1","2,2","2,4"
25/03/2011 11.00,"58,1","36,3","0,3",82,"2,9","0,9"
25/03/2011 12.00,"23,3","16,8","0,1",105,"2,8","0,6"
25/03/2011 13.00,"27,2","20,7","0,1","105,7","4,3","0,4"
25/03/2011 14.00,"36,9","24,8","0,3","101,3","5,5","0,4"
25/03/2011 15.00,"23,1","16,4","0,3","105,7",3,"0,5"
25/03/2011 16.00,"31,2","21,1","0,4","101,8","2,3","0,8"
25/03/2011 17.00,"23,8","17,9","0,2","102,8","1,9","0,8"
25/03/2011 18.00,"36,7","28,1","0,3","96,2","2,1","0,5"
25/03/2011 19.00,"62,8","46,2","0,6","78,3","2,1","1,1"
25/03/2011 20.00,"79,9","58,4","0,9","61,6","2,4","1,4"
25/03/2011 21.00,"85,5",60,"0,9",56,"3,3","3,5"
25/03/2011 22.00,"66,4","52,1","0,8",63,4,2
25/03/2011 23.00,"51,8","41,5","0,8","66,5","4,7","1,7"
26/03/2011 0.00,"34,7",26,"0,5","77,7","4,7",1
26/03/2011 1.00,"18,4","15,8","0,3",87,"4,9","0,6"
26/03/2011 2.00,"9,6","8,6","0,3","91,6","4,9","0,5"
26/03/2011 3.00,"8,2","7,6","0,5","92,3","4,9","0,3"
26/03/2011 4.00,"8,6","7,6","0,4","82,8","4,7","0,4"
26/03/2011 5.00,15,13,"0,5","65,9","3,4","0,5"
26/03/2011 6.00,"18,6","15,8","0,4","61,9","1,9","0,4"
26/03/2011 7.00,60,"48,3","0,5","37,7","1,7","0,5"
26/03/2011 8.00,"64,9","46,4","0,7","56,8","1,5","0,8"
26/03/2011 9.00,"81,1","54,2",1,"54,2","2,9",1
26/03/2011 10.00,"62,9","40,4","0,6","73,5","4,6","1,3"
26/03/2011 11.00,"32,9","23,9","0,4",93,"2,5","1,1"
26/03/2011 12.00,"24,5","17,6","0,4","103,7","2,4","0,7"
26/03/2011 13.00,"24,3","17,4","0,5","107,6","2,4","0,7"
26/03/2011 14.00,"29,7",19,"0,3","106,4",2,"0,5"
26/03/2011 15.00,"15,2","11,2","0,1","114,5","1,6","0,4"
26/03/2011 16.00,21,"15,3","0,2","114,2","1,5","0,5"
26/03/2011 17.00,"18,5","14,8","0,2","114,4","1,7","0,5"
26/03/2011 18.00,"25,3","19,4","0,3","104,9",2,"0,4"
26/03/2011 19.00,"52,2","39,5","0,5","79,9","2,3","0,5"
26/03/2011 20.00,"55,6","42,9","0,5","72,1","2,3","1,3"
26/03/2011 21.00,73,"52,8","0,6","59,4",3,1
26/03/2011 22.00,"65,3","49,4","0,6","61,2","3,3",1
26/03/2011 23.00,"46,6","38,5","0,5","68,1","3,8",1
27/03/2011 0.00,"41,4","35,1","0,5","63,3","4,3","0,8"
27/03/2011 1.00,"45,4","38,1","0,4","51,2","4,6","0,8"
