,Bari,,
,Ex Ciapi,,
Parm,SO2,NO2,PM10



18/01/2010 6.00,"4,03295113","18,26235902","28,70000076"
18/01/2010 7.00,"4,00585927","27,27347544","28,70000076"
18/01/2010 8.00,"4,10338753","39,2359608","28,70000076"
18/01/2010 9.00,"4,30386061","42,7324352","28,70000076"
18/01/2010 10.00,"4,13409076","46,61955032","28,70000076"
18/01/2010 11.00,"4,06365436","33,43317464","28,70000076"
18/01/2010 12.00,"4,15395684","27,06711328","28,70000076"
18/01/2010 13.00,"4,05823578","27,82766864","28,70000076"
18/01/2010 14.00,"3,96251371","22,49081776","28,70000076"
18/01/2010 15.00,"4,04920482","22,28833696","28,70000076"
18/01/2010 16.00,"3,95709615","32,1729372","28,70000076"
18/01/2010 17.00,"3,81441614","35,72520376","28,70000076"
18/01/2010 18.00,"3,84873175","33,39812768","28,70000076"
18/01/2010 19.00,"3,86679265","32,27287744","28,70000076"
18/01/2010 20.00,"3,6952156","28,88154392","28,70000076"
18/01/2010 21.00,"3,84873175","29,0749236","28,70000076"
18/01/2010 22.00,"3,97154467","26,86335144","28,70000076"
18/01/2010 23.00,"3,81622233","21,30975624","28,70000076"
19/01/2010 0.00,"3,91375059","14,85673521","28,70000076"
19/01/2010 1.00,"3,91013821","13,01894758","16,60000038"
19/01/2010 2.00,"3,90291344","9,42644489","16,60000038"
19/01/2010 3.00,"3,93361667","7,52116939","16,60000038"
19/01/2010 4.00,"3,83789561","6,6684671","16,60000038"
19/01/2010 5.00,"3,89027111","7,45238328","16,60000038"
19/01/2010 6.00,"3,98599319","18,86067544","16,60000038"
19/01/2010 7.00,"4,00405409","19,90284928","16,60000038"
19/01/2010 8.00,"3,99321694","31,2761136","16,60000038"
19/01/2010 9.00,"4,12686599","31,70830208","16,60000038"
19/01/2010 10.00,"4,05281721","35,10093576","16,60000038"
19/01/2010 11.00,"4,11241748","28,67648192","16,60000038"
19/01/2010 12.00,"4,16118161","23,14623224","16,60000038"
19/01/2010 13.00,"4,12686599","20,00020832","16,60000038"
19/01/2010 14.00,"4,02211398","21,26950864","16,60000038"
19/01/2010 15.00,"4,13950832","22,30652008","16,60000038"
19/01/2010 16.00,"4,06545953","17,14358663","16,60000038"
19/01/2010 17.00,"4,09435759","21,36684856","16,60000038"
19/01/2010 18.00,"4,04017488","20,61799464","16,60000038"
19/01/2010 19.00,"4,10699992","16,35708161","16,60000038"
19/01/2010 20.00,"4,04559346","23,97298104","16,60000038"
19/01/2010 21.00,"4,02572636","20,54270008","16,60000038"
19/01/2010 22.00,"4,06004198","20,61149384","16,60000038"
19/01/2010 23.00,"4,0022479","15,00469533","16,60000038"
20/01/2010 0.00,"4,10519372","11,40440124","16,60000038"
20/01/2010 1.00,,"10,51016649","25,89999962"
20/01/2010 2.00,"4,01669642",,"25,89999962"
20/01/2010 3.00,"3,92278054","8,94493637","25,89999962"
20/01/2010 4.00,"3,87762879","7,75867994","25,89999962"
20/01/2010 5.00,"3,85415033","9,83138163","25,89999962"
20/01/2010 6.00,"3,97696223","14,38171984","25,89999962"
