,Foggia,,,
,manfredonia - viale Michelangelo - Zona 167,,,
Parm,SO2,NO2,CO,PM10



11/01/2010 7.00,"3,76384683","21,24486296","0,7175736","27,89999962"
11/01/2010 8.00,"3,95528996","29,44740032","0,43817398","27,89999962"
11/01/2010 9.00,"3,96973848","31,06325064","0,42099372","27,89999962"
11/01/2010 10.00,"3,97696223","20,66730512","0,6524035","27,89999962"
11/01/2010 11.00,"3,8938835","21,73286272","0,58423352","27,89999962"
11/01/2010 12.00,"3,69160423","19,81201016","0,96118791","27,89999962"
11/01/2010 13.00,"3,72772502","20,20527032","1,10689097","27,89999962"
11/01/2010 14.00,"3,48751776","21,22537968","1,14863874","27,89999962"
11/01/2010 15.00,"3,86137408","28,85817928","1,06056125","27,89999962"
11/01/2010 16.00,"4,03114494","40,62986616","1,35101905","27,89999962"
11/01/2010 17.00,"4,44834681","29,98084832","1,02382996","27,89999962"
11/01/2010 18.00,"4,23161801","22,15206872","0,98018673","27,89999962"
11/01/2010 19.00,"4,4844676","17,03586838","0,76662825","27,89999962"
11/01/2010 20.00,"4,17563013","17,2500162","0,76350838","27,89999962"
11/01/2010 21.00,"4,40680745","15,83273473","0,5746747","27,89999962"
11/01/2010 22.00,"4,33456384","11,01113917","0,4483654","27,89999962"
11/01/2010 23.00,"4,31469776","9,67174302","0,41589918","27,89999962"
12/01/2010 0.00,"4,32192151","5,42770147","0,40906529","27,89999962"
12/01/2010 1.00,,"4,39589258","0,40720944","17,5"
12/01/2010 2.00,"4,12144844",,"0,66334401","17,5"
12/01/2010 3.00,"4,10880509","6,74633904",,"17,5"
12/01/2010 4.00,"4,03295113","2,83195689","0,75292203","17,5"
12/01/2010 5.00,"4,06907192","6,38423301","0,69272997","17,5"
12/01/2010 6.00,"4,29302447","11,5796131","0,77563254","17,5"
12/01/2010 7.00,"4,22258807","29,36952456","0,80525616","17,5"
12/01/2010 8.00,"4,1973024","37,11782808","0,52759472","17,5"
12/01/2010 9.00,"4,53684412","31,08791544","0,6465983","17,5"
12/01/2010 10.00,"4,0022479","28,30656728","0,7994498","17,5"
12/01/2010 11.00,"3,63561533","15,56537594","1,2065008","17,5"
12/01/2010 12.00,"3,44597839","9,67304126","1,00751763","17,5"
12/01/2010 13.00,"3,17687409","10,03774379","0,87500704","17,5"
12/01/2010 14.00,"2,94931017","9,62372314","0,97678959","17,5"
12/01/2010 15.00,"3,22563822","8,48938134","1,03481009","17,5"
12/01/2010 16.00,"3,41888755","14,55303504","0,91932247","17,5"
12/01/2010 17.00,"3,67715571","9,68731817","1,26238934","17,5"
12/01/2010 18.00,"4,02753255","23,97298104","1,33431178","17,5"
12/01/2010 19.00,"4,00405409","11,89369925","0,94222987","17,5"
12/01/2010 20.00,"3,7132765","18,70104065","0,90064053","17,5"
12/01/2010 21.00,"4,19007865","33,43577496","0,9084204","17,5"
12/01/2010 22.00,"4,36165468","9,79504025","0,39188503","17,5"
12/01/2010 23.00,"4,13589594","7,79761591","0,12852164","17,5"
13/01/2010 0.00,"4,05642959","4,82029731","0,21892913","17,5"
13/01/2010 1.00,"3,89027111","4,89297817","0,41901905","31,39999962"
13/01/2010 2.00,"3,87221021","3,7391703","0,53636367","31,39999962"
13/01/2010 3.00,"3,64825868","3,70542541","0,66433193","31,39999962"
13/01/2010 4.00,"3,76745921","3,23559538","0,70351205","31,39999962"
13/01/2010 5.00,"3,68257327","3,19276658","0,75339618","31,39999962"
13/01/2010 6.00,"3,49835491","10,47512335","0,80276772","31,39999962"
13/01/2010 7.00,"3,78913148","25,06448448","0,44279553","31,39999962"
13/01/2010 8.00,"5,08588886","41,59678368","0,59675378","31,39999962"
13/01/2010 9.00,"4,35081855","31,02432232","0,49967083","31,39999962"
13/01/2010 10.00,"4,27676976","33,93803824","0,67124388","31,39999962"
13/01/2010 11.00,"3,87221021","33,18788416","0,51009758","31,39999962"
13/01/2010 12.00,"3,03961265","22,90094176","0,57672859","31,39999962"
13/01/2010 13.00,"3,34122638","21,65498696","0,78471721","31,39999962"
13/01/2010 14.00,"3,47848781","31,47857528","0,86501367","31,39999962"
13/01/2010 15.00,"2,95292154","16,83988838","0,87196522","31,39999962"
13/01/2010 16.00,"3,25272907","17,22924614","0,67373232","31,39999962"
