,Provincia di Lecce,,,,,,
,Campi Salentina,,,,,,
Parm,NOX,NO2,PM10,PM2.5,CO,O3,BENZENE



06/01/2010 10.00,"7,26305895","5,2872058","55,53113174","15,82417011","0,18384865","58,39658265","0,48913022"
06/01/2010 11.00,"5,23410382","4,33164938","55,53113174","15,82417011","0,17035213","65,18429085","0,37985357"
06/01/2010 12.00,"7,0125793","4,83944217","55,53113174","15,82417011","0,20547921","68,70231375","0,51786759"
06/01/2010 13.00,"6,4030012","5,44457296","55,53113174","15,82417011","0,20416159","73,0388253","0,56978035"
06/01/2010 14.00,"6,71265534","5,26611644","55,53113174","15,82417011","0,22738703","75,9098298","0,68533291"
06/01/2010 15.00,"4,89689012","3,83845663","55,53113174","15,82417011","0,19524352","78,85514805","0,59950828"
06/01/2010 16.00,"6,54323684","5,83474715","55,53113174","15,82417011","0,25815235","65,36503785","0,62923621"
06/01/2010 17.00,"8,33387264","7,0417679","55,53113174","15,82417011","0,22893881","63,0726432","0,7250254"
06/01/2010 18.00,"9,57248345","8,21147405","55,53113174","15,82417011","0,22875824","58,5874842","0,94633172"
06/01/2010 19.00,"13,55500546","11,34745041","55,53113174","15,82417011","0,25423446","45,0821721","0,82411781"
06/01/2010 20.00,"23,3690376","18,97001507","55,53113174","15,82417011","0,35930115","28,85957025","1,20066817"
06/01/2010 21.00,"21,1544636","18,13937918","55,53113174","15,82417011","0,42793829","26,02403685","1,46821748"
06/01/2010 22.00,"16,37268353","13,0436162","55,53113174","15,82417011","0,28818605","25,36437015","1,70840643"
06/01/2010 23.00,"14,01543226","12,55610018","55,53113174","15,82417011","0,33082855","33,90304995","1,18580471"
07/01/2010 0.00,"10,96754174","8,98938654","55,53113174","15,82417011","0,22418561","47,97091215","1,12469725"
07/01/2010 1.00,"3,48805204","3,10353737","25,64101982","11,91697025","0,18034666","78,39649755","0,68208563"
07/01/2010 2.00,"4,40647168","3,84819062","25,64101982","11,91697025","0,20992718","64,64456355","0,47894598"
07/01/2010 3.00,"6,55134372","5,5054128","25,64101982","11,91697025","0,22910657","44,3903859","0,46738574"
07/01/2010 4.00,"8,1612133","7,58525007","25,64101982","11,91697025","0,23728021","31,403694","0,6523577"
07/01/2010 5.00,"10,83784505","9,40389476","25,64101982","11,91697025","0,24970843","27,39240735","0,69364587"
07/01/2010 6.00,"22,44737712","13,82071227","25,64101982","11,91697025","0,23122454","17,24885379","0,72172219"
07/01/2010 7.00,"11,69384745","9,84841755","25,64101982","11,91697025","0,22630009","27,32481675","0,65527547"
07/01/2010 8.00,"24,8103032","17,47665703","25,64101982","11,91697025","0,26612911","16,36956153","0,68704045"
07/01/2010 9.00,"37,40390152","22,82145992","25,64101982","11,91697025","0,47256594","11,99335547","0,96246134"
07/01/2010 10.00,"26,04243424","17,71676026","25,64101982","11,91697025","0,35133022","24,8997945","1,34270035"
07/01/2010 11.00,"15,2718763","11,30446482","25,64101982","11,91697025","0,27356647","49,712607","1,499477"
