Comune Lecce,,,,,,
,Via_Romagna,,,,,,
Parm,NOX,NO2,PM10,CO,BENZENE,O3



10/01/2010 3.00,"55,22647568","49,55404968",,,,"16,743239"
10/01/2010 4.00,"21,99538032","20,99307168",,"0,34778745",,"44,6968179"
10/01/2010 5.00,"17,36259858","15,74318047",,"0,35302529",,
10/01/2010 6.00,"22,23143584","20,69715144",,"0,3683765",,"27,9049428"
10/01/2010 7.00,"18,67643512","16,90478357",,"0,21314258",,"58,82498895"
10/01/2010 8.00,"8,6067246","6,88910617",,"0,11508802",,"74,93441445"
10/01/2010 9.00,"9,25650824","7,43810446",,"0,16779146",,"65,506623"
10/01/2010 10.00,"14,00602905","11,5315913",,"0,2503154",,"65,7363672"
10/01/2010 11.00,"7,80000591","5,83912563",,"0,14446233",,"79,9429218"
10/01/2010 12.00,"13,32122713","10,01438106",,"0,45891214",,"81,9511686"
10/01/2010 13.00,"10,18384545","7,36412727",,"0,23675713",,"77,610288"
10/01/2010 14.00,"7,70402925","5,7469787",,"0,21620653",,"79,5928791"
10/01/2010 15.00,"6,65607352","4,80212758",,"0,1854016",,"78,87390105"
10/01/2010 16.00,"6,65088626","5,13957263",,"0,14636944",,"79,7942544"
10/01/2010 17.00,"12,19285842","10,43618547",,"0,22651678",,"71,99091165"
10/01/2010 18.00,"24,83317072","23,43047016",,"0,33594057",,"54,11922285"
10/01/2010 19.00,"49,310958","44,0822116",,"0,62515182",,"35,28390915"
10/01/2010 20.00,"58,21730256","52,34708016",,"0,75447381",,"29,75508585"
10/01/2010 21.00,"45,28904688","41,72917056",,"0,62141683",,"33,14183775"
10/01/2010 22.00,"26,58278456","24,641378",,"0,43469995",,"44,59952175"
10/01/2010 23.00,"20,06808432","18,0663771",,"0,37926342",,"50,5310757"
11/01/2010 0.00,"21,10565024","19,13971272",,"0,42399593",,"47,6065254"
11/01/2010 1.00,"22,30017224","20,74776208",,"0,44280835",,"42,0155379"
11/01/2010 2.00,"21,69188856","20,19618832",,"0,42722997",,"37,2502809"
11/01/2010 3.00,"18,82040107","17,39018301",,"0,44481215",,"32,43233595"
11/01/2010 4.00,"13,08517734","11,33171465",,"0,33863172",,"43,47781305"
11/01/2010 5.00,"11,95680863","10,81905391",,"0,31986473",,"39,77617035"
11/01/2010 6.00,"16,45731247","14,83726722",,"0,328064",,"28,0914354"
11/01/2010 7.00,"26,69433064","24,00672784",,"0,36227306",,"19,67860419"
