,Comune Bari,,,,,
,Stadio S.Nicola,,,,,
Parm,SO2,NO2,PM10,CO,O3,BENZENE



10/01/2010 20.00,"2,75876912","8,46537044","8,79120922","0,1354231","36,5193129",
10/01/2010 21.00,"2,94614933","9,9790148",,"0,14979104","33,67202895",
10/01/2010 22.00,"3,27124152","10,78368574","7,81440783","0,1699269","32,89318095",
10/01/2010 23.00,"3,35251406","8,74441346",,"0,15981004","36,1249812",
11/01/2010 0.00,"3,49925699","7,21454769","19,04759979","0,18004376","33,26365245",
11/01/2010 1.00,"3,40895349","5,33425438",,"0,18287821","31,6175979",
11/01/2010 2.00,"3,44959078","4,66098374","22,46640968","0,18561479","30,702651",
11/01/2010 3.00,"3,44055982","10,04390808",,"0,19880958","26,4661089",
11/01/2010 4.00,"3,10643769","1,6547882","13,67521","0,17530338","40,75443855",
11/01/2010 5.00,"2,91002753","1,91760598",,"0,17642644","42,3822588",
11/01/2010 6.00,"3,55569744","2,10417512","19,53602028","0,17706253","45,52703715",
11/01/2010 7.00,"3,31639327","10,37161532",,"0,18517442","36,5782452",
11/01/2010 8.00,"3,56246964","20,95412424","15,14041042","0,19983595","28,49667975","0,47576277"
11/01/2010 9.00,"3,83563787","36,3306768",,"0,24396731","17,2311741","0,55555151"
11/01/2010 10.00,"3,82434917","29,70016672","19,53602028","0,29860581","15,14447592","0,64591297"
11/01/2010 11.00,"3,42701439","10,25967537",,"0,27646732","31,3130811",
11/01/2010 12.00,"3,40895349","10,21587336","19,04759979","0,18204756","37,16060565",
11/01/2010 13.00,"3,5602119","8,70385611",,"0,15042713","39,8129781",
11/01/2010 14.00,"3,48571157","10,96376937","10,7448101","0,14514852","36,6287586",
11/01/2010 15.00,"3,44055982","8,29502654",,"0,15370078","35,92725675","0,53490234"
11/01/2010 16.00,"3,31864999","13,12635226","6,34920597","0,12042023","33,7042881","0,50483677"
11/01/2010 17.00,"3,1811882","27,07711304",,"0,24485737","22,06695435","0,22285114"
11/01/2010 18.00,"3,47893936","33,95394608",,"0,34361675","20,97971925","0,47521156"
11/01/2010 19.00,"3,84466782","32,85238552",,"0,33262032","17,49464378","0,44679759"
11/01/2010 20.00,"3,63696998","33,0211004","30,28083038","0,40890918","13,10071014","0,74569084"
11/01/2010 21.00,"3,52409111","46,82883784",,"0,35568848","2,41066623",
11/01/2010 22.00,"3,49700027","33,15088696","16,11721039","0,29640629","6,29104697",
11/01/2010 23.00,"3,3367109","16,60464354",,"0,33359775","14,7325962",
12/01/2010 0.00,"3,2644683","13,59844801","29,30401993","0,31962008","13,79164647",
12/01/2010 1.00,"3,41121123","14,89308042",,"0,31541793","10,82856873",
12/01/2010 2.00,"3,14255848","8,14901474","22,46640968","0,33223004","12,04995761",
12/01/2010 3.00,"3,19222571","5,26611644",,"0,28853905","9,73220451",
12/01/2010 4.00,"3,69340941","4,80699362","13,67521","0,28501958","8,76844395",
12/01/2010 5.00,"3,79725833","4,66584978",,"0,28985783","11,06001068",
12/01/2010 6.00,"3,70469811","8,29502654","13,18680954","0,2792039","14,05180445",
12/01/2010 7.00,"3,54892422","21,38243136",,"0,28565451","6,45322251",
12/01/2010 8.00,"3,87853188","33,57754976","17,09399986","0,39845097","1,48829594",
12/01/2010 9.00,"3,95754668","32,27320248",,"0,50660375","1,70453",
12/01/2010 10.00,"4,16524554","41,2642104","45,42124176","0,49096479","0,98740929",
12/01/2010 11.00,"3,81306149","24,94508008",,"0,36746663","10,04303948",
12/01/2010 12.00,"3,62342455","13,60169267","32,72283173","0,28423787","27,02919765",
12/01/2010 13.00,"3,78371291","12,91220444",,"0,23639132","31,02614025",
12/01/2010 14.00,"4,00721391","13,30317976","21,48962021","0,22710627","30,36391995",
12/01/2010 15.00,"3,87627414","18,37461445",,"0,20198654","21,87335955",
12/01/2010 16.00,"3,64825766","38,48676272","17,58241081","0,28164691","4,98266412",
12/01/2010 17.00,"2,97098244","28,87764344",,"0,40954527","19,05389588",
12/01/2010 18.00,"3,52634783","34,22650168","19,04759979","0,46130039","13,08719402",
12/01/2010 19.00,"3,55118196","25,4853348",,"0,42865243","22,397067",
12/01/2010 20.00,"3,42701439","27,94967336","14,65200996","0,37680061","22,6268112",
12/01/2010 21.00,"3,37734818","23,67803592",,"0,45123246","12,98077473",
12/01/2010 22.00,"3,42249891","18,6601487","15,62880993","0,47337096","12,31687065",
12/01/2010 23.00,"3,27575598","8,89042525",,"0,32020724","21,21285495","0,82074544"
13/01/2010 0.00,"3,35702954","8,13928075","18,07081032","0,29557565","21,49327215","0,6737208"
13/01/2010 1.00,"3,35702954","5,51108953",,"0,28311364","24,9800334","0,62416239"
13/01/2010 2.00,"3,21480107",,"13,67521","0,27788396","21,62841345","0,59497856"
13/01/2010 3.00,"3,75662206",,,"0,28091412","25,4767086","0,6847339"
13/01/2010 4.00,"3,23286197",,"12,21000957","0,26889132","25,26047055",
13/01/2010 5.00,"3,542151",,,"0,28819654","21,91222215","0,86286958"
13/01/2010 6.00,"2,9619525","9,92547689","26,86202049","0,2807184","16,96588698","0,90169051"
13/01/2010 7.00,"3,53537879","23,66505344",,"0,27113977","3,09062009","0,72217882"
13/01/2010 8.00,"3,51957563","35,1901688","19,53602028","0,36062342","0,18244674","0,62559433"
13/01/2010 9.00,"3,77016748","30,736834",,"0,46364554","0,05067899",
13/01/2010 10.00,"3,62116681","22,43370632","35,16482162","0,44126239","4,48262535",
13/01/2010 11.00,"3,50377247","19,91097528",,"0,4666757","10,03965995",
13/01/2010 12.00,"3,73856116","18,38110378","39,07204056","0,47884413","17,2091493",
13/01/2010 13.00,"3,50377247","4,73074306",,"0,32993266","33,59897205",
13/01/2010 14.00,"3,24189293","4,39978733","27,8388195","0,29552672","29,5800645",
13/01/2010 15.00,"3,21480107","6,33523801",,"0,51383607","34,9707141","0,68655128"
13/01/2010 16.00,"3,56924286","12,35898062","39,56044006","0,40524409","37,8104769","0,78082311"
13/01/2010 17.00,"3,48345383","23,366552",,"0,4942396","25,8128661","0,80483143"
13/01/2010 18.00,"3,52634783","16,85935636","34,67642975","0,50406288","21,33953745","1,17002291"
13/01/2010 19.00,"4,00947165","52,29612536",,"0,58562919","4,3457883","1,08990263"
13/01/2010 20.00,"3,79725833","51,15238608","33,69963074","0,63875319",,
13/01/2010 21.00,"4,2713522","58,76600832",,"0,75809696",,
13/01/2010 22.00,"4,20813853","64,9146944","38,0952301","0,84592048",,
13/01/2010 23.00,"3,9643199","52,73414544",,"0,64960167",,
14/01/2010 0.00,"3,40895349","34,76836248","39,07204056","0,50782583","1,4553545",
14/01/2010 1.00,"3,6505154","19,44699024",,"0,39576332","11,01777852",
14/01/2010 2.00,"3,18771023","14,65134626","24,90842056","0,36306759","8,65441374",
14/01/2010 3.00,"3,54666648","7,23888171",,"0,34620771","11,28130805",
14/01/2010 4.00,"3,12449859","7,76938906","26,37360954","0,33115358","12,08711249",
14/01/2010 5.00,"3,5782728","15,36517616",,"0,34581511","5,64234678",
14/01/2010 6.00,"3,19899893","15,47388101","22,46640968","0,34576734","2,39799599",
14/01/2010 7.00,"3,42701439","21,24616312",,"0,37689847","0,18075897",
14/01/2010 8.00,"3,48571157","33,14278008","26,37360954","0,43657094",,
14/01/2010 9.00,"3,84784391","40,37644968",,"0,48139431",,
14/01/2010 10.00,"3,83338013","24,21341504","49,81684113","0,53675744","6,2395221",
14/01/2010 11.00,"3,75662206","21,87238136",,"0,3975714","15,10256895",
14/01/2010 12.00,"3,35025632","18,64068072","35,65322113","0,33877851","21,41387115",
14/01/2010 13.00,"3,52634783","22,67544048",,"0,34439847","15,31879902","0,15082313"
14/01/2010 14.00,"3,72275799","23,29355184","33,69963074","0,29347399","16,38983073","0,04019794"
14/01/2010 15.00,"3,43152987","14,18411273",,"0,28638729","25,5527181","0,03964673"
