,Comune Lecce,,,,,
,SAN PIETRO IN LAMA,,,,,
Parm,NOX,NO2,PM10,CO,BENZENE,O3



08/01/2010 7.00,"5,82082206","4,45948762",,,"1,19080225","77,8620969"
08/01/2010 8.00,"12,56379406","9,57310485","30,28083038",,"1,30093928","77,73487575"
08/01/2010 9.00,"19,35215504","13,40311809",,,"1,11612902","74,6128803"
08/01/2010 10.00,"14,72325658","10,9981586","40,53723145",,"0,572272","75,5358072"
08/01/2010 11.00,"13,14354114","9,26421169",,,"0,75223625","75,03105225"
08/01/2010 12.00,"11,806361","8,56076586","41,02563095",,"0,81523432","76,51154175"
08/01/2010 13.00,"12,07353623","8,52182989",,,"0,77646628","74,8848786"
08/01/2010 14.00,"15,89701999","10,96182486","35,65322113",,"0,61830956","75,5966946"
08/01/2010 15.00,"11,18381189","8,30768015",,,"0,73527473","79,95694665"
08/01/2010 16.00,"12,0268471","8,44655254","45,90964127",,"0,93902864","84,564858"
08/01/2010 17.00,"11,42634718","7,47963884",,,"0,49825983","87,0589671"
08/01/2010 18.00,"11,43283268","7,95725453","44,93283081",,"0,80311982","87,81138135"
08/01/2010 19.00,"9,23445906","6,10389174",,,"0,88396013","91,90639815"
08/01/2010 20.00,"8,41347494","5,79370225","47,86323166",,"0,89915919","90,48140955"
08/01/2010 21.00,"8,40958402","5,66261744",,,"1,27957211","91,04707185"
08/01/2010 22.00,"5,93495698","4,05325454","48,35165024",,"1,54213914","94,33012365"
08/01/2010 23.00,"4,21127751","2,23363855",,,"1,41019457","96,695655"
09/01/2010 0.00,"2,87409546","2,03766046","38,58362961",,"1,25556278","97,97044005"
09/01/2010 1.00,"3,80013633","2,5165744",,,"1,45425","96,6455805"
09/01/2010 2.00,"3,54333561","2,33616955","51,28205109",,"1,20886417","95,00267805"
09/01/2010 3.00,"2,18799529","1,12914881",,,"1,6861982","93,7021974"
09/01/2010 4.00,"2,57449462","1,12655231","61,05006027",,"1,5930227","91,35426195"
09/01/2010 5.00,"3,44995162","2,33616955",,,"1,66483205","84,6880293"
09/01/2010 6.00,"4,61333861","3,36408561","54,21244049",,"1,42076832","80,62275795"
09/01/2010 7.00,"6,22029048","5,25118946",,,"1,27714962","79,5090093"
09/01/2010 8.00,"10,78693805","8,17918993","72,28327179",,"0,58130296","73,2853275"
09/01/2010 9.00,"18,1148463","13,04750138",,,"0,76192826","69,5218398"
09/01/2010 10.00,"14,81274774","9,28108509","89,37728119",,"0,54782129","70,96987065"
09/01/2010 11.00,"12,90360044","8,28172284",,,"0,65487478","69,6720633"
09/01/2010 12.00,"10,09305604","5,36799927","107,4479981",,"0,52006736","72,3867396"
09/01/2010 13.00,"11,54048019","7,04744654",,,"0,42226552","76,42220565"
