 Brindisi,,,,
,Casale,,,,
Parm,SO2,NO2,NOX,PM10



12/01/2010 11.00,,"12,87228953","19,95393792",
12/01/2010 12.00,,"9,29146725","14,96190094","6,34920597"
12/01/2010 13.00,,"6,28300026","11,46006912",
12/01/2010 14.00,,"3,97927543","8,4640569","3,90720391"
12/01/2010 15.00,,"6,19474425","12,05408354",
12/01/2010 16.00,,"3,62625522","7,72218751","3,41880298"
12/01/2010 17.00,,"6,95789228","12,34330796",
12/01/2010 18.00,,"2,3997665","6,30718706","3,90720391"
12/01/2010 19.00,,"5,06170261","9,49904162",
12/01/2010 20.00,,"6,6256383","11,44450544","4,39560509"
12/01/2010 21.00,,"11,41477766","16,20180809",
12/01/2010 22.00,,"18,22342114","23,41945704","2,93040299"
12/01/2010 23.00,,"14,19352168","19,1978184",
13/01/2010 0.00,,"12,77624786","17,5830866","7,81440783"
13/01/2010 1.00,,"10,67629252","14,86462603",
13/01/2010 2.00,,"12,13250231","23,19378368","7,32600689"
13/01/2010 3.00,,"14,59846225","23,19248352",
13/01/2010 4.00,,"12,45438178","17,30942395","6,83760691"
13/01/2010 5.00,,"6,98904258","11,29275765",
13/01/2010 6.00,,"6,80085016","11,26941213","6,83760691"
13/01/2010 7.00,,"14,34018929","19,9760024",
13/01/2010 8.00,,"24,4518988","33,81339496","9,27960968"
13/01/2010 9.00,,"52,23155712","118,5551278",
13/01/2010 10.00,,"44,780474","85,2916432","11,72161007"
13/01/2010 11.00,,"63,79948216","156,6589552",
13/01/2010 12.00,,"41,011444","67,00430008","15,62880993"
13/01/2010 13.00,,"18,78798885","26,68913",
13/01/2010 14.00,,"26,17677136","36,267294","13,18680954"
13/01/2010 15.00,,"27,777058","36,30880352",
13/01/2010 16.00,,"22,41942368","28,2247528","10,7448101"
13/01/2010 17.00,,"54,07713424","76,2192988",
13/01/2010 18.00,,"45,89016056","54,7375008","13,67521"
13/01/2010 19.00,,"41,01404432","48,6585836",
13/01/2010 20.00,,"33,7251944","40,05705008","12,21000957"
13/01/2010 21.00,,"46,83629464","57,37944504",
13/01/2010 22.00,,"72,14870816","114,7913176","24,42000961"
13/01/2010 23.00,,"72,28757672","123,5082977",
14/01/2010 0.00,,"33,42149232","38,59922656","33,21123123"
14/01/2010 1.00,,"23,01774584","27,75136072",
14/01/2010 2.00,,,,"27,8388195"
14/01/2010 3.00,,"8,21423306","11,99701608",
14/01/2010 4.00,,"6,36346869","10,10083979","22,95482063"
14/01/2010 5.00,,"5,85729728","9,77529885",
14/01/2010 6.00,,"8,26225486","12,01647068","15,14041042"
14/01/2010 7.00,,"13,39662876","17,49878078",
14/01/2010 8.00,,"13,38625425","20,07326584","8,79120922"
14/01/2010 9.00,,"14,51409716","23,59325784",
14/01/2010 10.00,,"16,42067664","24,55302448","9,76801014"
14/01/2010 11.00,"2,89084487","15,24869712","23,81374968",
14/01/2010 12.00,"1,90160491","11,65877946","17,85415275","11,72161007"
14/01/2010 13.00,"0,98785888","8,8722536","14,68694196",
14/01/2010 14.00,"2,5207423","5,00589324","9,84144449","5,86080599"
14/01/2010 15.00,"2,94608323","5,87676526","10,97110954",
14/01/2010 16.00,"2,87949007","10,14157304","15,70376842","8,79120922"
14/01/2010 17.00,"2,07698859","12,21815991","18,1018753",
14/01/2010 18.00,"1,70865153","18,03262839","22,63997288","17,09399986"
14/01/2010 19.00,"1,90758893","51,77990448","63,61269888",
14/01/2010 20.00,"0,60701577","48,62996096","61,8760484","29,7924099"
14/01/2010 21.00,"0,95072516","21,0073352","25,920028",
14/01/2010 22.00,"1,03933841","45,80318368","54,61559168","22,46640968"
14/01/2010 23.00,"1,4402815","58,4743136","80,28661992",
15/01/2010 0.00,"0,69432421","30,17940952","38,02857104","25,88521957"
15/01/2010 1.00,"0,89548681","32,69986528","39,750958",
15/01/2010 2.00,"0,52523168","24,65436048","29,67607552","27,35042"
15/01/2010 3.00,"0,82574705","22,1222224","28,8952912",
15/01/2010 4.00,"1,11621242","14,98522543","19,05255802","30,76922989"
15/01/2010 5.00,"1,20421139","19,587484","24,27805976",
15/01/2010 6.00,"0,74741466","23,07355712","29,99253064","30,28083038"
15/01/2010 7.00,"1,51347398","31,95359256","44,9557088",
15/01/2010 8.00,"1,02967182","41,0516916","64,83446688","30,76922989"
15/01/2010 9.00,"3,87594158","60,04993544","178,4325626",
15/01/2010 10.00,"5,43184175","62,92990456","209,3624704","30,76922989"
15/01/2010 11.00,"3,18913606","41,48388008","93,4898212",
15/01/2010 12.00,"2,26664282","13,07346061","21,02525064","17,58241081"
15/01/2010 13.00,"1,84590585","12,09097176","19,34307304",
15/01/2010 14.00,"1,87628669","7,4445957","12,86858216","14,65200996"
15/01/2010 15.00,"1,60745698","7,89365758","14,41846657",
15/01/2010 16.00,"1,09005111","10,2181429","17,01760495","8,79120922"
15/01/2010 17.00,"1,46751778","10,3323524","16,33798838",
15/01/2010 18.00,"0,74342598","7,51338182","12,54304122","11,72161007"
15/01/2010 19.00,"0,73015312","7,09936116","12,16432564",
15/01/2010 20.00,"1,39202384","7,3109144","13,04756448","10,7448101"
15/01/2010 21.00,"0,98739818","8,44655254","14,37177553",
15/01/2010 22.00,"0,35951357","6,30376458","11,71168067","13,18680954"
15/01/2010 23.00,"0,57440974","5,13308522","9,67024401",
16/01/2010 0.00,"0,56044633","3,33423355","7,24100977","18,07081032"
16/01/2010 1.00,"0,05400982","4,90076574","9,10865328",
16/01/2010 2.00,"0,07542987",,,"16,60560989"
