,Bari,,,
,ENAIP,,,
Parm,SO2,NO2,CO,PM10
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3


11/01/2010 7.00,"8,06409505","13,77950676","1,18703015","15,19999981"
11/01/2010 8.00,"8,24108966","21,86913096","1,25180299","15,19999981"
11/01/2010 9.00,"7,97018018","26,48307376","1,25318701","15,19999981"
11/01/2010 10.00,"7,86542817","35,200876","1,24931571","15,19999981"
11/01/2010 11.00,"7,70830065","32,8893636","1,29347271","15,19999981"
11/01/2010 12.00,"7,49699042","14,77626486","1,2316613","15,19999981"
11/01/2010 13.00,"6,87209071","12,36093086","1,19966924","15,19999981"
11/01/2010 14.00,"6,81610282","12,46736043","1,21582196","15,19999981"
11/01/2010 15.00,"6,98767886","11,84567746","1,21566469","15,19999981"
11/01/2010 16.00,"7,15744972","13,9754772","1,21925871","15,19999981"
11/01/2010 17.00,"7,02380066","16,48296769","1,21072742","15,19999981"
11/01/2010 18.00,"7,15564353","28,10280544","1,28004375","15,19999981"
11/01/2010 19.00,"7,47892952","35,32676208","1,30484777","15,19999981"
11/01/2010 20.00,"7,75164519","47,10755008","1,32621503","15,19999981"
11/01/2010 21.00,"7,80944028","44,0822116","1,30749348","15,19999981"
11/01/2010 22.00,"7,86723436","22,12352256","1,23351715","15,19999981"
11/01/2010 23.00,"7,55117212","13,9625081","1,19559989","15,19999981"
12/01/2010 0.00,"7,787767","11,28499493","1,19990573","15,19999981"
12/01/2010 1.00,,"11,14222398","1,1782612","21,7999897"
12/01/2010 2.00,"7,67217884",,"1,16107978","21,7999897"
12/01/2010 3.00,"7,47892952",,,"21,7999897"
12/01/2010 4.00,"7,65953652","10,72041766","1,27802947","21,7999897"
12/01/2010 5.00,"7,74803382","10,75027162","1,2545687","21,7999897"
12/01/2010 6.00,"7,77151229","8,70093458","1,23572948","21,7999897"
12/01/2010 7.00,"8,01713813","14,63609806","1,26377103","21,7999897"
12/01/2010 8.00,"8,08576834","37,21776832","1,38996267","21,7999897"
12/01/2010 9.00,"8,29165999","41,35279336","1,55659844","21,7999897"
12/01/2010 10.00,"8,47949073","32,5376512","1,41686019","21,7999897"
12/01/2010 11.00,"8,46684841","28,80496832","1,35848437","21,7999897"
12/01/2010 12.00,"8,11647157","16,99952508","1,25397571","21,7999897"
12/01/2010 13.00,"7,7534524","14,48035801","1,25219909","21,7999897"
12/01/2010 14.00,"7,36875893","12,71265474","1,24817052","21,7999897"
12/01/2010 15.00,"7,20801903","15,90931606","1,26661596","21,7999897"
12/01/2010 16.00,"7,1050732","32,97242088","1,27854323","21,7999897"
12/01/2010 17.00,"7,56923302","38,92187656","1,33427217","21,7999897"
12/01/2010 18.00,"7,58548773","47,29834856","1,43107901","21,7999897"
12/01/2010 19.00,"7,48795946","31,96527488","1,4263794","21,7999897"
12/01/2010 20.00,"7,63244465","17,60563482","1,28008336","21,7999897"
12/01/2010 21.00,"7,82569398","24,614132","1,36997826","21,7999897"
12/01/2010 22.00,"7,76428752","14,94239281","1,37969319","21,7999897"
12/01/2010 23.00,"7,90154896","9,08770158","1,32273984","21,7999897"
13/01/2010 0.00,"7,77151229","8,56336044","1,31357711","21,7999897"
13/01/2010 1.00,"8,4686546","7,97931901","1,3099027","26,39999962"
13/01/2010 2.00,"8,42530904","6,54646621","1,29892258","26,39999962"
13/01/2010 3.00,"8,48852169","5,12010656","1,30603257","26,39999962"
13/01/2010 4.00,"8,71247425","6,04938254","1,29035284","26,39999962"
13/01/2010 5.00,"9,01408797","5,78201993","1,27017038","26,39999962"
13/01/2010 6.00,"9,24345808","7,0435537","1,25630688","26,39999962"
13/01/2010 7.00,"9,55048937","25,183908","1,28908881","26,39999962"
13/01/2010 8.00,"9,8864187","37,02178832","1,42424512","26,39999962"
13/01/2010 9.00,"10,44809865","43,2554628","1,54072182","26,39999962"
13/01/2010 10.00,"10,21692438","45,92130704","0,71291243","26,39999962"
13/01/2010 11.00,"8,14898099","37,76157936",,"26,39999962"
13/01/2010 12.00,,"22,38049536",,"26,39999962"
13/01/2010 13.00,,"31,199538","0,88037885","26,39999962"
13/01/2010 14.00,"2,14380346","18,57124644","0,74435229","26,39999962"
13/01/2010 15.00,"1,56405549","19,16305824","0,63754975","26,39999962"
13/01/2010 16.00,"2,36956118","1,67295794",,"26,39999962"
13/01/2010 17.00,"4,06907192",,"1,32293789","26,39999962"
13/01/2010 18.00,"5,09967633",,,"26,39999962"
13/01/2010 19.00,"5,6873091",,"1,42582603","26,39999962"
13/01/2010 20.00,"5,93497199",,,"26,39999962"
13/01/2010 21.00,"5,55546623",,"1,56426065","26,39999962"
13/01/2010 22.00,"5,20147701","76,66395352","1,49328535","26,39999962"
13/01/2010 23.00,"4,99739155","68,84215272","1,3891728","26,39999962"
14/01/2010 0.00,"4,53503793","57,01291464","1,28881271","26,39999962"
14/01/2010 1.00,,"53,40093632","1,2516061","36,90000153"
14/01/2010 2.00,"4,26412743",,"1,22557767","36,90000153"
14/01/2010 3.00,"4,05823578",,,"36,90000153"
14/01/2010 4.00,"4,46098914",,"1,24339169","36,90000153"
14/01/2010 5.00,"4,15756922",,"1,20966144","36,90000153"
14/01/2010 6.00,"4,37971559",,"1,21139962","36,90000153"
14/01/2010 7.00,"4,40138887",,"1,20993755","36,90000153"
14/01/2010 8.00,"4,40319506",,"1,2631396","36,90000153"
14/01/2010 9.00,"4,35623712",,"1,33865723","36,90000153"
14/01/2010 10.00,"4,24426136",,"1,42357408","36,90000153"
14/01/2010 11.00,"4,41222501",,"1,27806908","36,90000153"
14/01/2010 12.00,"4,86013011",,"1,16186965","36,90000153"
14/01/2010 13.00,"4,8077536",,"1,24335208","36,90000153"
14/01/2010 14.00,"4,29483066","24,44021648","1,21159651","36,90000153"
14/01/2010 15.00,"3,89027111","24,17804304","1,18789808","36,90000153"
14/01/2010 16.00,"3,61314268","34,94491656","1,23853713","36,90000153"
14/01/2010 17.00,"4,02572636","36,44163016","1,26061155","36,90000153"
14/01/2010 18.00,"4,30205543","62,24074328","1,57113298","36,90000153"
14/01/2010 19.00,"3,67173714","54,46777496","1,49190366","36,90000153"
14/01/2010 20.00,"4,0369398","47,77759136","1,48243454","36,90000153"
14/01/2010 21.00,"4,00947165","44,4806724","1,76834069","36,90000153"
14/01/2010 22.00,"4,01339625","39,71095896","1,69329954","36,90000153"
14/01/2010 23.00,"3,74036735","35,51756056","1,60818115","36,90000153"
15/01/2010 0.00,"3,81067866","30,69316392","1,42986508","36,90000153"
15/01/2010 1.00,"3,7726988","27,78189536","1,31022308",36
15/01/2010 2.00,"3,85234413","28,214428","1,32720295",36
15/01/2010 3.00,"3,7166326","29,923756","1,30314337",36
15/01/2010 4.00,"3,93908813","21,32249016","1,23210866",36
15/01/2010 5.00,"3,90472472","17,24540828","1,18614941",36
15/01/2010 6.00,"4,12144844","22,72184472","1,17379808",36
15/01/2010 7.00,"4,0365625","28,93605504","1,18481782",36
15/01/2010 8.00,"4,23703659","41,2995824","1,16068484",36
15/01/2010 9.00,"4,76137941","49,58014848","1,27271823",36
15/01/2010 10.00,"4,63279197",,"1,40860849",36
15/01/2010 11.00,"4,02572636",,"1,36081437",36
15/01/2010 12.00,"3,74759212",,"1,24615623",36
15/01/2010 13.00,"3,60269199","27,58304736","1,14129691",36
15/01/2010 14.00,"3,07820373","21,5395404","1,11721054",36
15/01/2010 15.00,"2,93760348","22,2801536","1,11310275",36
15/01/2010 16.00,"2,82288487","27,11772392","1,09804396",36
15/01/2010 17.00,"2,98415768","43,05829736","1,2755352",36
15/01/2010 18.00,"3,0504498","56,64820064","1,2733683",36
