NetC,Provincia Bari,,,,
Stat,Altamura,,,,
Parm,O3,NO2,CO,Benzene,PM10
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3


12/01/2010 5.00,,"14,25322962",,"0,91459624",
12/01/2010 6.00,,"12,26748378","0,36992129","1,10069503","7,32600689"
12/01/2010 7.00,,"23,29938344","0,41498698","1,19738631",
12/01/2010 8.00,,"39,24634296","0,55297541","1,31769842","10,25640965"
12/01/2010 9.00,,"47,70457208","0,83256958","2,2460923",
12/01/2010 10.00,,"47,89667072","0,96304725","3,31963343","6,34920597"
12/01/2010 11.00,,"33,25277744","0,71357532","3,02293589",
12/01/2010 12.00,,"27,56679536","0,66158836","4,7909792","22,95482063"
12/01/2010 13.00,,"25,33445888","0,61219702","2,72259646",
12/01/2010 14.00,,"33,01006816","0,68392374","2,48749047","20,51280975"
12/01/2010 15.00,,"27,51746576","0,61321989","2,86641959",
12/01/2010 16.00,"35,6367648","32,01330432","0,62529278","2,42435409","34,18803024"
12/01/2010 17.00,"35,238483","33,83811712","0,63767906","2,89147541",
12/01/2010 18.00,"19,28997819","51,67088224","0,89509513","2,77513672","24,90842056"
12/01/2010 19.00,"9,9015062","58,45744976","0,94735587","3,34778094",
12/01/2010 20.00,"14,3230247","58,51716152","0,98542224","4,26072048","21,0012207"
12/01/2010 21.00,"11,66471313","68,99876464","1,03697582","3,12106316",
12/01/2010 22.00,"5,83910765","75,980012","1,17889612","4,40035052","15,62880993"
12/01/2010 23.00,"27,0326889","37,64477528","0,70704666","3,61445461",
13/01/2010 0.00,"85,27302315","23,80426616","0,67063342","2,77701308","22,95482063"
13/01/2010 1.00,"34,26374595","22,94767104","0,62784879","2,64323487",
13/01/2010 2.00,"46,878909","12,38428594","0,54562076","2,40238893","15,14041042"
13/01/2010 3.00,"51,8890722","7,96633844","0,48223078","1,79409275",
13/01/2010 4.00,"49,0187859","8,38425384","0,45478338","1,44551702","20,51280975"
13/01/2010 5.00,"54,764745","8,0558927","0,44554144","1,5669336",
13/01/2010 6.00,"33,2228148","14,71137923","0,5037029","1,56042073","14,65200996"
13/01/2010 7.00,"10,53199403","36,60258232","0,71424286","2,30194391",
13/01/2010 8.00,"4,3229655","61,59569184","1,24543277","2,75217794","8,30280876"
13/01/2010 9.00,"1,90226642","80,5264612","1,93910988","5,95282339",
13/01/2010 10.00,"2,89457742","81,63224728","1,61079308","6,45857749","19,04759979"
13/01/2010 11.00,"17,37826346","58,17969352","1,17854313","5,09540391",
13/01/2010 12.00,"23,720949","35,21904","0,79332423","3,63774493","57,63124084"
13/01/2010 13.00,"31,61622135","31,61096216","0,67047614","2,86597821",
13/01/2010 14.00,"34,8510141","36,15741136","0,89025805","2,60029713","48,35165024"
13/01/2010 15.00,"41,540688","26,45840896","0,6011866","3,12304937",
13/01/2010 16.00,"39,31979415","27,85751496","0,66379021","2,04343776","42,00244141"
13/01/2010 17.00,"23,4117639","38,95692352","0,91432462","2,71233086",
13/01/2010 18.00,"11,42034359","52,13551736","0,8470016","3,36544115","39,07204056"
13/01/2010 19.00,"13,04584565","44,16656904","0,69847342","2,45040251",
13/01/2010 20.00,"15,58265573","41,22170664","0,75191547","2,83783172","25,88521957"
13/01/2010 21.00,"19,76655377","42,20808832","0,81565961","2,78849196",
13/01/2010 22.00,"11,31234227","52,04595928","0,87975791",,"16,60560989"
13/01/2010 23.00,"13,11335246","40,03286328","0,75447148",,
14/01/2010 0.00,"16,29279393","37,64605632","0,79631245",,"22,46640968"
14/01/2010 1.00,"17,92099323","32,9931852","0,69741211",,
14/01/2010 2.00,"29,70991905","15,194186","0,56268801",,"26,86202049"
14/01/2010 3.00,,"9,87161585","0,56732937",,
14/01/2010 4.00,"38,08177695",,"0,54459906",,"21,48962021"
14/01/2010 5.00,"43,4483469","21,3201384",,,
14/01/2010 6.00,"42,67610235","16,35708161","0,6801503",,"13,67521"
14/01/2010 7.00,"30,57666675","17,9729281","0,59403001",,
14/01/2010 8.00,"23,57513445","30,57006936","0,72611887",,"12,69841003"
14/01/2010 9.00,"6,0254187","57,0479616","1,06615558",,
14/01/2010 10.00,"8,96994893","61,6463216","1,29761661",,"7,81440783"
14/01/2010 11.00,"22,03603185","36,0886176","0,82250282",,
14/01/2010 12.00,"30,033927","23,18387952","0,73158505",,"13,18680954"
14/01/2010 13.00,"33,43342695","25,60181384","0,69281152",,
14/01/2010 14.00,"25,23708915","41,64351296","1,03154925",,"18,55920982"
14/01/2010 15.00,"52,57086345","20,28312696","0,55222748",,
14/01/2010 16.00,"50,9602002","23,73287208","0,5134155",,"23,44322014"
14/01/2010 17.00,"43,00821","33,1800832","0,6686669",,
14/01/2010 18.00,"16,06598039","58,76763352","0,90748141",,"17,09399986"
14/01/2010 19.00,"17,23514615","49,8045408","0,86127635",,
14/01/2010 20.00,"13,70738366","53,29581456","0,93721105",,"23,93161964"
14/01/2010 21.00,"4,63078403","72,65097144","1,24838255",,
14/01/2010 22.00,"4,43232143","73,12858904","1,28129729",,"28,32722092"
14/01/2010 23.00,"2,99718426","68,42638832","1,12502303",,
15/01/2010 0.00,"8,27870736","48,81035816","0,93622779",,"42,00244141"
15/01/2010 1.00,"15,65555502","42,89076792","0,78687479",,
15/01/2010 2.00,"21,83756925","36,0276248","0,69560403",,"45,42124176"
15/01/2010 3.00,"33,32541765","17,77305145","0,59532782",,
15/01/2010 4.00,"52,22927955","11,46799627","0,54695818",,"33,69963074"
15/01/2010 5.00,,"11,65099762","0,52953794",,
15/01/2010 6.00,,"16,677659","0,60315196",,"24,42000961"
15/01/2010 7.00,,"25,41103448","0,62478135",,
15/01/2010 8.00,,"40,20936","0,85750175",,"21,0012207"
15/01/2010 9.00,,"48,43658128","0,99639421",,
15/01/2010 10.00,,"43,4670256","0,86316365",,"16,60560989"
15/01/2010 11.00,,"32,78294168","0,84586107",,
15/01/2010 12.00,,"24,94638024","0,91692024",,"22,95482063"
15/01/2010 13.00,,"31,59279816","0,79627284",,
15/01/2010 14.00,,"44,85574944","0,99183207","0,12285157","19,04759979"
15/01/2010 15.00,"37,85279085","42,32359224","0,83221542","3,03044236",
15/01/2010 16.00,,"36,81802648","0,79867274","2,10800912","26,86202049"
15/01/2010 17.00,"32,5612728","47,18932632","0,90496618","6,83386473",
15/01/2010 18.00,"22,41540105","60,66514056","1,08479441",,"27,8388195"
15/01/2010 19.00,,"63,0017384","1,15145105","5,91867965",
15/01/2010 20.00,,"73,26875776","1,42007093",,"27,35042"
15/01/2010 21.00,,"73,787904","1,20677807","3,6957841",
15/01/2010 22.00,,"53,31007808","0,90972287","2,37476009","32,72283173"
15/01/2010 23.00,,"45,13608688","0,69469999",,
16/01/2010 0.00,,"24,22607248","0,59367585",,"35,65322113"
16/01/2010 1.00,,"14,66205537","0,53347098","0,60251758",
16/01/2010 2.00,,"9,50561698","0,48128713","0,17051937","24,90842056"
16/01/2010 3.00,,"9,41736098","0,47165258",,
16/01/2010 4.00,,,"0,48191623","0,0678278","17,58241081"
16/01/2010 5.00,,"21,45510648",,"0,03285215",
16/01/2010 6.00,,"14,28567817","0,48384431","0,02011423","16,11721039"
16/01/2010 7.00,,"15,6627216","0,5432628","0,24427018",
16/01/2010 8.00,,"25,93926272","0,62014115","0,18705783","22,46640968"
16/01/2010 9.00,,"40,12240224","0,86721435","0,94255153",
16/01/2010 10.00,,"34,40139232","0,8945837","2,02399882","18,07081032"
16/01/2010 11.00,,"27,29684008","0,75447148","1,8150399",
16/01/2010 12.00,,"29,69659128","0,80169941","1,18156891","24,90842056"
16/01/2010 13.00,,"31,36047104","0,76386953",,
16/01/2010 14.00,,"33,46432112","0,76973065",,"29,30401993"
16/01/2010 15.00,,"24,12873256","0,67578505",,
16/01/2010 16.00,,"19,15917688","0,63795517",,"32,72283173"
16/01/2010 17.00,,"21,80163736","0,66139147",,
16/01/2010 18.00,,"40,50918072","0,87618019",,"25,88521957"
16/01/2010 19.00,,"53,22183928","1,03489164",,
16/01/2010 20.00,,"57,95256704","1,02281991","2,69602022","26,86202049"
16/01/2010 21.00,,"68,13566872","1,06973329","2,59422259",
16/01/2010 22.00,,"71,12856056","1,13210157","2,95649324","27,8388195"
