,Provincia di TARANTO,,,,,,
,TA V. Machiavelli,,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE,PM2.5



12/01/2010 9.00,"2,916801","62,312115","1,209161",,"29,1","3,729847","16,4"
12/01/2010 10.00,"3,364706","73,146769","1,515033",,"29,1","2,478937","16,4"
12/01/2010 11.00,"2,515853","62,226458","1,570715",,"29,1","12,849795","16,4"
12/01/2010 12.00,"3,082959","57,805913","1,755949",,"29,1","2,283673","16,4"
12/01/2010 13.00,"3,660901","56,441856","1,442579",,"29,1","3,04083","16,4"
12/01/2010 14.00,"4,182855","40,459851","1,276444",,"29,1","3,185244","16,4"
12/01/2010 15.00,"3,832477","46,62863","1,423322",,"29,1","1,961793","16,4"
12/01/2010 16.00,"3,749398","31,572032","1,014533",,"29,1","1,954674","16,4"
12/01/2010 17.00,"3,012522","30,150843","0,947882",,"29,1","2,727594","16,4"
12/01/2010 18.00,"3,214802","33,674583","0,95747",,"29,1","1,295658","16,4"
12/01/2010 19.00,"3,218413","58,688455","1,725169",,"29,1","1,24735","16,4"
12/01/2010 20.00,"3,23828","63,010377","1,434569",,"29,1","2,541991","16,4"
12/01/2010 21.00,"3,216608","57,055741","1,160069",,"29,1","2,311132","16,4"
12/01/2010 22.00,"3,064898","63,815062","1,159636",,"29,1","2,228755","16,4"
12/01/2010 23.00,"2,972788","57,955164","1,074595",,"29,1","2,107224","16,4"
13/01/2010 0.00,"2,793988","37,36962","1,021479",,"29,1","2,013151","16,4"
13/01/2010 1.00,"2,691042","46,167898","1,022465",,"31,5","1,680084","22,1"
13/01/2010 2.00,"2,577259","50,889559","0,975426",,"31,5","3,84426","22,1"
13/01/2010 3.00,"2,420131","43,551381","0,98328",,"31,5","1,43397","22,1"
13/01/2010 4.00,"2,503211","36,812844","0,982885",,"31,5","1,536687","22,1"
13/01/2010 5.00,"2,680206","22,568675","0,942555",,"31,5","1,574824","22,1"
13/01/2010 6.00,"2,914994","42,575382","1,097878",,"31,5","1,212264","22,1"
13/01/2010 7.00,"4,394165","60,744294","1,726511",,"31,5","1,660252","22,1"
13/01/2010 8.00,"4,636177","66,522418","1,693994",,"31,5","3,464919","22,1"
13/01/2010 9.00,"4,57116","70,785929","1,859734",,"31,5","3,424239","22,1"
13/01/2010 10.00,"2,849976","52,428836","1,088289",,"31,5","4,035964","22,1"
13/01/2010 11.00,"2,768703","51,409987","1,119424",,"31,5","1,743138","22,1"
13/01/2010 12.00,"2,790375","50,812986","1,07503",,"31,5","1,823989","22,1"
13/01/2010 13.00,"2,678399","42,76488","1,082251",,"31,5","1,741612","22,1"
13/01/2010 14.00,"2,196179","47,184126","1,139588",,"31,5","1,671948","22,1"
13/01/2010 15.00,"2,579065","46,387223","1,131145",,"31,5","2,122479","22,1"
13/01/2010 16.00,"2,616993","29,028193","1,012245",,"31,5","1,982641","22,1"
13/01/2010 17.00,"2,593167","33,678923","1,080017",,"31,5","1,731951","22,1"
13/01/2010 18.00,"2,859007","42,821993","1,125264",,"31,5","1,860093","22,1"
13/01/2010 19.00,"2,822885","35,243703","1,122659",,"31,5","1,865686","22,1"
13/01/2010 20.00,"2,70549","53,186791","1,297438",,"31,5","1,961793","22,1"
13/01/2010 21.00,"2,662145","65,40107","1,368312",,"31,5","4,630401","22,1"
13/01/2010 22.00,"3,158813","59,999322","1,403709",,"31,5","4,609045","22,1"
13/01/2010 23.00,"2,682012","54,330206","1,253556",,"31,5","2,809462","22,1"
14/01/2010 0.00,"2,784958","32,820567","1,129171",,"31,5","2,296895","22,1"
14/01/2010 1.00,,"22,432406","1,070018",,"36,900002","2,012643",22
14/01/2010 2.00,"2,638665",,"1,018835",,"36,900002","1,624149",22
14/01/2010 3.00,"2,156446","34,986731",,,"36,900002","1,469056",22
14/01/2010 4.00,"2,682012","28,71151","1,058534",,"36,900002","1,352101",22
14/01/2010 5.00,"2,598932","26,847769","1,029608",,"36,900002","4,383778",22
14/01/2010 6.00,"2,512241","26,332521","1,007864",,"36,900002","1,364305",22
14/01/2010 7.00,"2,611575","32,950355","1,088881",,"36,900002","4,12546",22
14/01/2010 8.00,"2,989043","68,753474","1,482239",,"36,900002","5,12568",22
14/01/2010 9.00,"3,487518","63,513964","1,305527",,"36,900002","7,485628",22
14/01/2010 10.00,"3,967932","74,979362","1,448381",,"36,900002","11,345133",22
14/01/2010 11.00,"3,825253","75,120816","1,313539",,"36,900002","5,760289",22
14/01/2010 12.00,"3,146171","63,05581","1,30099",,"36,900002","2,700135",22
14/01/2010 13.00,"2,3186","48,237522","1,121218",,"36,900002","3,964266",22
14/01/2010 14.00,"2,262906","36,781944","1,141996",,"36,900002","1,979082",22
14/01/2010 15.00,"2,086009","30,825759","1,016033",,"36,900002","2,112309",22
14/01/2010 16.00,,,,,"36,900002","1,792971",22
14/01/2010 17.00,"2,351501","38,690848","1,062401",,"36,900002","4,417339",22
