,Foggia,,
,Manfredonia - Scuola Elementare Ungaretti,,
Parm,SO2,NO2,PM10



15/01/2010 4.00,"4,04198107","4,47116994","20,89999962"
15/01/2010 5.00,"4,31469776","5,3887655","20,89999962"
15/01/2010 6.00,"4,36707326","15,18899874","20,89999962"
15/01/2010 7.00,"4,38332797","22,76595456","20,89999962"
15/01/2010 8.00,"4,48266243","39,83168264","20,89999962"
15/01/2010 9.00,"4,76260286","38,31577256","20,89999962"
15/01/2010 10.00,"5,04796188","37,20738616","20,89999962"
15/01/2010 11.00,"4,62895381","13,16431502","20,89999962"
15/01/2010 12.00,"4,83484546","7,67950976","20,89999962"
15/01/2010 13.00,"4,73370583","6,14023313","20,89999962"
15/01/2010 14.00,"4,6831355","5,39785133","20,89999962"
15/01/2010 15.00,"4,9341789","5,65353162","20,89999962"
15/01/2010 16.00,"4,85471154","2,72812764","20,89999962"
15/01/2010 17.00,"4,916118",,"20,89999962"
15/01/2010 18.00,,,"20,89999962"
15/01/2010 19.00,,,"20,89999962"
15/01/2010 20.00,"4,48807999",,"20,89999962"
15/01/2010 21.00,"4,10158134","38,08604576","20,89999962"
15/01/2010 22.00,"4,24787272","5,66910486","20,89999962"
15/01/2010 23.00,"4,3959703","8,90470024","20,89999962"
16/01/2010 0.00,"4,35623712","13,77820469","20,89999962"
16/01/2010 1.00,,"16,12735098","29,7999897"
16/01/2010 2.00,"4,24064897","4,1090639","29,7999897"
16/01/2010 3.00,"4,36707326","4,16616961","29,7999897"
16/01/2010 4.00,"4,34540099","5,60031874","29,7999897"
16/01/2010 5.00,"4,28941209","4,73853254","29,7999897"
16/01/2010 6.00,"4,44834681","11,48486202","29,7999897"
16/01/2010 7.00,"4,49891612","24,8776056","29,7999897"
16/01/2010 8.00,"4,5223956","23,36297656","29,7999897"
16/01/2010 9.00,"4,68132931","17,12152598","29,7999897"
16/01/2010 10.00,"4,89444573","32,9568572","29,7999897"
16/01/2010 11.00,"4,8818034","38,56754472","29,7999897"
16/01/2010 12.00,"4,90347567","28,81014984","29,7999897"
16/01/2010 13.00,"4,94140367","22,76077304","29,7999897"
16/01/2010 14.00,"4,82942688","14,47386677","29,7999897"
16/01/2010 15.00,"4,72467487","9,01502073","29,7999897"
16/01/2010 16.00,"4,83303927","4,13761771","29,7999897"
16/01/2010 17.00,"4,7210635","3,82223331","29,7999897"
16/01/2010 18.00,"4,78066275","3,99095775","29,7999897"
16/01/2010 19.00,"4,41041882","3,42897698","29,7999897"
16/01/2010 20.00,"4,26593363","19,46027864","29,7999897"
16/01/2010 21.00,"4,35623712","32,97762152","29,7999897"
16/01/2010 22.00,"4,37429803","38,00038816","29,7999897"
16/01/2010 23.00,"4,40861262","25,0761668","29,7999897"
17/01/2010 0.00,"4,64159614","13,97288262","29,7999897"
17/01/2010 1.00,"4,24606653","8,30119082","35,59999084"
17/01/2010 2.00,"4,28218834","9,98193442","35,59999084"
17/01/2010 3.00,"4,26412743","8,7839995","35,59999084"
17/01/2010 4.00,"3,9300053","4,86961735","35,59999084"
17/01/2010 5.00,"4,23161801","7,3706166","35,59999084"
17/01/2010 6.00,"4,57657729","17,2993305","35,59999084"
17/01/2010 7.00,"4,35081855","17,93009548","35,59999084"
17/01/2010 8.00,"4,20813955","21,12155808","35,59999084"
17/01/2010 9.00,"4,37971559","27,7614752","35,59999084"
17/01/2010 10.00,"4,49349856","28,4350728","35,59999084"
17/01/2010 11.00,"4,64881989","21,69133408","35,59999084"
17/01/2010 12.00,"4,53142554","22,91392424","35,59999084"
17/01/2010 13.00,"4,73731719","19,48104296","35,59999084"
17/01/2010 14.00,"4,5567102","13,89112358","35,59999084"
17/01/2010 15.00,"4,75899048","12,24801388","35,59999084"
17/01/2010 16.00,"4,56212877","10,52573973","35,59999084"
17/01/2010 17.00,"4,58741343","23,59010304","35,59999084"
17/01/2010 18.00,"4,87457863","31,12684376","35,59999084"
17/01/2010 19.00,"5,02990097","30,62846184","35,59999084"
17/01/2010 20.00,"5,01725865","29,53955872","35,59999084"
17/01/2010 21.00,"5,20689559","39,08801024","35,59999084"
17/01/2010 22.00,"4,85832392","44,80772","35,59999084"
17/01/2010 23.00,"4,66868698","26,2248008","35,59999084"
18/01/2010 0.00,"4,43389829","20,31817392","35,59999084"
18/01/2010 1.00,,"14,57120095","20,7999897"
18/01/2010 2.00,"4,64340233","10,17142318","20,7999897"
18/01/2010 3.00,"4,15395684","4,76059511","20,7999897"
18/01/2010 4.00,"4,16118161","4,47116994","20,7999897"
18/01/2010 5.00,"4,61992285","8,23629754","20,7999897"
18/01/2010 6.00,"4,5223956","13,01765698","20,7999897"
18/01/2010 7.00,"4,49710993","22,77505568","20,7999897"
18/01/2010 8.00,"4,48266243","21,209816","20,7999897"
18/01/2010 9.00,"4,6470137","23,25397344","20,7999897"
18/01/2010 10.00,"4,70480777","19,8535388","20,7999897"
18/01/2010 11.00,"4,90166948","18,44795303","20,7999897"
18/01/2010 12.00,"4,94682123","12,87878077","20,7999897"
18/01/2010 13.00,"4,96126975","6,63602046","20,7999897"
