,TARANTO,,
,TA Carcere,,
,SO2,NO2,PM10



18/01/2010 18.00,"4,462795","12,649059","19,53602"
18/01/2010 19.00,"3,789131","28,564859",
18/01/2010 20.00,"4,18466","40,930966","21,48962"
18/01/2010 21.00,"4,128672","48,855787",
18/01/2010 22.00,"4,766214","34,74144","27,83882"
18/01/2010 23.00,"5,261077","37,087981",
19/01/2010 0.00,"4,415837","32,00162","32,234421"
19/01/2010 1.00,"3,59227","26,815321",
19/01/2010 2.00,"3,395408","9,647084","21,97802"
19/01/2010 3.00,"2,49418","7,96504",
19/01/2010 4.00,"1,858444","6,318041","26,86202"
19/01/2010 5.00,"4,881803","22,793218",
19/01/2010 6.00,"4,70842","23,945714","15,62881"
19/01/2010 7.00,"6,31221","24,912633",
19/01/2010 8.00,"2,835527","16,372654","20,51281"
19/01/2010 9.00,"2,409295","20,341538",
19/01/2010 10.00,"5,19967","34,021114","20,02442"
19/01/2010 11.00,"4,222588","17,836656",
19/01/2010 12.00,"3,455008","9,884594","20,02442"
19/01/2010 13.00,"2,566423","7,698977",
19/01/2010 14.00,"2,010154","10,250589","12,69841"
19/01/2010 15.00,"2,900546","7,273274",
19/01/2010 16.00,"1,849414","9,379723","14,65201"
19/01/2010 17.00,"2,039051","9,307042",
19/01/2010 18.00,"1,898178","10,86319","11,72161"
19/01/2010 19.00,"2,649503","14,042966",
19/01/2010 20.00,"2,277452","16,384331","7,326007"
19/01/2010 21.00,"2,288288","31,108678",
19/01/2010 22.00,"3,521833","33,943239","15,62881"
19/01/2010 23.00,"7,459062","23,104703",
20/01/2010 0.00,"7,623415","26,724481","14,65201"
20/01/2010 1.00,,"18,349307",
20/01/2010 2.00,"4,139508",,"17,094"
20/01/2010 3.00,"3,489324","6,290786",
20/01/2010 4.00,"10,46797","27,427926","17,094"
20/01/2010 5.00,"3,740367","14,123437",
20/01/2010 6.00,"5,575333","31,930247","35,164822"
20/01/2010 7.00,"3,776489","30,215755",
20/01/2010 8.00,"6,727605","57,903255","42,490841"
20/01/2010 9.00,"11,262634","54,945411",
20/01/2010 10.00,"15,161944","35,961432","59,58485"
20/01/2010 11.00,"17,186546","30,451964",
20/01/2010 12.00,"5,961832","10,259675","40,537231"
20/01/2010 13.00,"4,182855","8,486786",
20/01/2010 14.00,"3,792744","9,792445","22,46641"
20/01/2010 15.00,"3,563373","10,443976",
20/01/2010 16.00,"3,418887","15,416125","22,954821"
20/01/2010 17.00,"2,358725","33,548676",
20/01/2010 18.00,"1,889148","39,670749","20,02442"
20/01/2010 19.00,"2,943891","27,638169",
20/01/2010 20.00,"2,728969","36,013341","21,001221"
20/01/2010 21.00,"2,600738","26,479172",
20/01/2010 22.00,"4,208139","57,587872","22,46641"
20/01/2010 23.00,"2,521271","47,099767",
