,Provincia di TARANTO,,
,Massafra (TA) Via Frappietro,,
Parm,SO2,O3,BENZENE



21/04/2010 21.00,"0,36573","36,989056","0,526196"
21/04/2010 22.00,"0,148549","75,678646","0,370849"
21/04/2010 23.00,,"100,781062","0,176958"
22/04/2010 0.00,"0,139971","113,162301","0,126566"
22/04/2010 1.00,"0,013094","108,41862","0,10709"
22/04/2010 2.00,,"100,599403","0,10887"
22/04/2010 3.00,"0,081726","114,790894","0,098649"
22/04/2010 4.00,"0,039733",,"0,101903"
22/04/2010 5.00,"0,037475","101,56666","0,108717"
22/04/2010 6.00,"0,016255","98,875727","0,152092"
22/04/2010 7.00,"0,134552","63,449484","0,324118"
22/04/2010 8.00,"0,25014","90,621489","0,236046"
22/04/2010 9.00,"0,476352","79,019158","0,298795"
22/04/2010 10.00,"0,083531","93,409012","0,203095"
22/04/2010 11.00,"0,130939","108,039885","0,219265"
22/04/2010 12.00,"0,195958","109,839855","0,216468"
22/04/2010 13.00,"0,048764","116,647972","0,214994"
22/04/2010 14.00,"0,003613","119,91573","0,130634"
22/04/2010 15.00,"1,590243","116,5911","0,179297"
22/04/2010 16.00,"5,733816","114,068979","0,201264"
22/04/2010 17.00,"1,37803","105,645031","0,221401"
22/04/2010 18.00,"1,074611","83,855799","0,349594"
22/04/2010 19.00,"0,479512","77,712961","0,377053"
22/04/2010 20.00,"0,232533","106,617234","0,297269"
22/04/2010 21.00,"0,022125","107,172392","0,275556"
22/04/2010 22.00,"0,105204","116,610058","0,163584"
22/04/2010 23.00,"0,023478","114,670172","0,129871"
23/04/2010 0.00,"0,015802","115,377886","0,111921"
23/04/2010 1.00,"0,00271","120,406794","0,091225"
23/04/2010 2.00,,"115,153115","0,101954"
23/04/2010 3.00,"0,031154","116,168644","0,113345"
23/04/2010 4.00,"0,092562","103,225809","0,126413"
23/04/2010 5.00,,"103,771941","0,13282"
23/04/2010 6.00,"0,050569","87,027865","0,27937"
23/04/2010 7.00,"0,057795","69,570656","0,265488"
23/04/2010 8.00,"0,057795","78,455881","0,276929"
23/04/2010 9.00,"0,067729","94,555431","0,265945"
23/04/2010 10.00,"0,083078","103,012773","0,277641"
23/04/2010 11.00,"0,201829","110,16302","0,205129"
23/04/2010 12.00,"0,325995","104,687272","0,19684"
23/04/2010 13.00,"0,107461","102,359222","0,245148"
