,Bari,,,,,
,Caldarola,,,,,
Parm,SO2,NO2,CO,O3,BENZENE,PM10



09/01/2010 13.00,"5,82095815","57,6475648","0,68988621","40,8478644","1,541772","36,59999084"
09/01/2010 14.00,"6,39528856","56,86884544","0,61855559","45,92260575","1,516347","36,59999084"
09/01/2010 15.00,"6,84138748","49,66565312","0,54027341","50,3864781","1,321083","36,59999084"
09/01/2010 16.00,"5,55727243","44,60655848","0,48912525","55,12334625","0,9821169","36,59999084"
09/01/2010 17.00,"6,04491071","45,46833512","0,52427796","50,81083455","0,9156051","36,59999084"
09/01/2010 18.00,"5,8137344","47,25551976","0,61385598","42,6736884","1,061748","36,59999084"
09/01/2010 19.00,"5,98711663","56,06546128","0,76204631","32,2877184","1,3013532","36,59999084"
09/01/2010 20.00,"6,06116542","48,21463632","0,56792119","45,40633965","1,466514","36,59999084"
09/01/2010 21.00,"5,51573306","50,08227792","0,6105765","41,1924807","1,1253105","36,59999084"
09/01/2010 22.00,"6,39889993","48,92328088","0,56815769","45,97667025","1,239723","36,59999084"
09/01/2010 23.00,"6,31762739","41,72268888","0,54260341","41,82228225","1,0539171","36,59999084"
10/01/2010 0.00,"6,82513277","39,35406504","0,50543758","46,5550806","0,97932015","36,59999084"
10/01/2010 1.00,,"41,76421752","0,51882693","41,0059881","0,923436","11,39999962"
10/01/2010 2.00,"7,60896619",,"0,48414954","44,608998","0,9248598","11,39999962"
10/01/2010 3.00,"6,44044031","51,02973128",,"38,6436288","0,82910925","11,39999962"
10/01/2010 4.00,"6,98767886","35,8835556","0,44484943","53,28535275","0,93996225","11,39999962"
10/01/2010 5.00,"5,94377107","34,44422112","0,42826099",,"0,6616602","11,39999962"
10/01/2010 6.00,"4,0546234","32,25731376","0,4227319","58,5398436","0,61116615","11,39999962"
10/01/2010 7.00,"4,87819102","33,57722472","0,41965164","54,47465205","0,63272655","11,39999962"
10/01/2010 8.00,"7,34889183","34,5116956","0,42308723","53,2204953","0,6532191","11,39999962"
10/01/2010 9.00,"5,75413413","36,44943112","0,46325526","53,2515774","0,75141045","11,39999962"
10/01/2010 10.00,"6,29414893","38,88942992","0,54659237","48,6241749","0,9933039","11,39999962"
10/01/2010 11.00,"7,7859608","46,3080664","0,56440639","51,34872645","1,307862","11,39999962"
10/01/2010 12.00,"6,43682793","51,06995976","0,5593899","56,97753915","1,3205745","11,39999962"
10/01/2010 13.00,"7,10326701","54,74813152","0,51266524","59,31017295","1,426851","11,39999962"
10/01/2010 14.00,"6,12799045","54,51320408","0,51215264","58,95338715","1,0653075","11,39999962"
10/01/2010 15.00,"7,64869937","49,99532016","0,46147864","63,4172595","1,0317465","11,39999962"
10/01/2010 16.00,"7,72094298","42,5455372","0,469615","57,6329964","0,81609165","11,39999962"
10/01/2010 17.00,"7,79318557","46,7272724","0,47155006","57,6248967","0,8618058","11,39999962"
10/01/2010 18.00,"8,38918825","53,50087656","0,66610972","42,39935595","0,91555425","11,39999962"
10/01/2010 19.00,"8,76846213","55,45415664","0,61464468","39,9505134","1,5432975","11,39999962"
10/01/2010 20.00,"8,60049848","54,4729756","0,6009804","37,63681215","1,416681","11,39999962"
10/01/2010 21.00,"7,77151229","56,13295488","0,62258416","32,4458421","1,347525","11,39999962"
10/01/2010 22.00,"7,21885516","53,17511","0,62005727","29,89968345","1,490922","11,39999962"
