, Brindisi,,,
,S. Pancrazio S.,,,
Parm,SO2,NO2,NOX,PM10
,,,,,,
,,,,,
,,,,,,
,,,,,,,
,,,,,,,,
13/01/2009 13.00,"0,0","11,9","15,3","25,1"
13/01/2009 14.00,"0,5","13,4","17,8","25,1"
13/01/2009 15.00,"0,2","9,3","12,6","25,1"
13/01/2009 16.00,"0,3","9,1","12,1","25,1"
13/01/2009 17.00,"0,4","10,9","14,3","25,1"
13/01/2009 18.00,"0,3","10,5","13,8","25,1"
13/01/2009 19.00,"0,2","10,8","13,6","25,1"
13/01/2009 20.00,"0,4","11,3","15,2","25,1"
13/01/2009 21.00,"0,5","9,6","12,8","25,1"
13/01/2009 22.00,"0,8","10,1","13,0","25,1"
13/01/2009 23.00,"1,9","11,4","14,4","25,1"
14/01/2009 0.00,"1,0","5,3","7,8","25,1"
14/01/2009 1.00,,"4,3","6,7","71,1"
14/01/2009 2.00,"0,4",,,"71,1"
14/01/2009 3.00,"0,4","4,4","7,0","71,1"
14/01/2009 4.00,"0,4","4,3","6,8","71,1"
14/01/2009 5.00,"0,5","4,8","7,2","71,1"
14/01/2009 6.00,"0,5","6,2","8,7","71,1"
14/01/2009 7.00,"0,2","9,2","12,8","71,1"
14/01/2009 8.00,"0,3","23,0","33,8","71,1"
14/01/2009 9.00,"0,5","17,1","23,9","71,1"
14/01/2009 10.00,"0,3","12,0","16,0","71,1"
14/01/2009 11.00,"0,2","13,2","16,9","71,1"
14/01/2009 12.00,"0,3","10,5","14,3","71,1"
14/01/2009 13.00,"0,2","8,2","12,3","71,1"
14/01/2009 14.00,"0,4","14,0","20,9","71,1"
14/01/2009 15.00,"0,2","9,1","12,4","71,1"
14/01/2009 16.00,"0,3","12,5","16,2","71,1"
14/01/2009 17.00,"0,4","12,7","17,0","71,1"
14/01/2009 18.00,"0,3","11,8","15,3","71,1"
14/01/2009 19.00,"0,3","14,0","18,2","71,1"
14/01/2009 20.00,"0,2","12,8","17,0","71,1"
14/01/2009 21.00,"0,2","13,8","17,4","71,1"
14/01/2009 22.00,"0,3","15,9","19,2","71,1"
14/01/2009 23.00,"0,3","11,9","14,4","71,1"
15/01/2009 0.00,"0,4","8,5","11,0","71,1"
15/01/2009 1.00,"0,2","7,0","9,5","44,9"
15/01/2009 2.00,"0,2","6,1","8,5","44,9"
15/01/2009 3.00,"0,1","4,9","7,3","44,9"
15/01/2009 4.00,"0,1","5,5","7,9","44,9"
15/01/2009 5.00,"0,1","8,0","10,5","44,9"
15/01/2009 6.00,"0,1","6,8","9,3","44,9"
15/01/2009 7.00,"0,2","23,5","29,4","44,9"
15/01/2009 8.00,"0,4","43,4","57,1","44,9"
15/01/2009 9.00,"0,4","58,0","108,2","44,9"
15/01/2009 10.00,"0,4","44,6","63,0","44,9"
15/01/2009 11.00,"0,3","24,6","31,6","44,9"
15/01/2009 12.00,"0,3","19,3","25,4","44,9"
15/01/2009 13.00,"0,2","12,0","16,3","44,9"
15/01/2009 14.00,"0,1","13,6","18,4","44,9"
15/01/2009 15.00,"0,1","19,9","25,0","44,9"
15/01/2009 16.00,"0,1","17,1","20,5","44,9"
15/01/2009 17.00,"0,1","22,4","25,2","44,9"
15/01/2009 18.00,"0,7","51,8","57,3","44,9"
15/01/2009 19.00,"0,6","49,1","52,8","44,9"
15/01/2009 20.00,"0,3","68,3","77,9","44,9"
15/01/2009 21.00,"0,4","46,5","54,8","44,9"
15/01/2009 22.00,"0,7","54,2","64,2","44,9"
15/01/2009 23.00,"0,8","33,4","40,0","44,9"
16/01/2009 0.00,"0,8","23,7","27,7","44,9"
16/01/2009 1.00,,"17,9","20,9","17,6"
16/01/2009 2.00,"0,2",,,"17,6"
16/01/2009 3.00,"0,1","18,6","21,6","17,6"
16/01/2009 4.00,"0,0","18,2","21,1","17,6"
16/01/2009 5.00,"0,2","14,9","17,7","17,6"
16/01/2009 6.00,"0,3","15,1","17,8","17,6"
16/01/2009 7.00,"0,3","16,9","20,1","17,6"
16/01/2009 8.00,"0,0","21,1","28,9","17,6"
16/01/2009 9.00,"0,0","19,8","26,5","17,6"
16/01/2009 10.00,"0,0","15,6","20,1","17,6"
16/01/2009 11.00,"0,1","14,4","18,5","17,6"
16/01/2009 12.00,"0,1","12,8","16,2","17,6"
16/01/2009 13.00,"0,2","11,8","16,3","17,6"
16/01/2009 14.00,"0,2","16,6","23,8","17,6"
16/01/2009 15.00,"0,2","8,8","11,8","17,6"
16/01/2009 16.00,"0,1","7,4","10,2","17,6"
16/01/2009 17.00,"0,1","10,0","13,5","17,6"
16/01/2009 18.00,"0,1","8,7","11,5","17,6"
16/01/2009 19.00,"0,1","10,6","13,7","17,6"
16/01/2009 20.00,"0,1","10,0","13,1","17,6"
16/01/2009 21.00,"0,1","14,8","18,3","17,6"
16/01/2009 22.00,"0,2","18,1","22,4","17,6"
16/01/2009 23.00,"0,2","17,3","21,1","17,6"
17/01/2009 0.00,"0,1","13,5","16,3","17,6"
17/01/2009 1.00,"0,1","12,7","15,5","43,0"
17/01/2009 2.00,"0,1","13,3","16,0","43,0"
17/01/2009 3.00,"0,1","12,0","14,7","43,0"
17/01/2009 4.00,"0,2","10,5","13,0","43,0"
17/01/2009 5.00,"0,3","10,4","12,8","43,0"
17/01/2009 6.00,"0,2","10,4","12,9","43,0"
17/01/2009 7.00,"0,2","16,3","18,9","43,0"
17/01/2009 8.00,"0,2","30,9","39,1","43,0"
17/01/2009 9.00,"0,2","40,2","55,5","43,0"
17/01/2009 10.00,"0,1","30,8","42,1","43,0"
17/01/2009 11.00,"0,1","13,3","18,7","43,0"
17/01/2009 12.00,"0,2","8,8","12,0","43,0"
17/01/2009 13.00,"0,2","8,6","12,0","43,0"
17/01/2009 14.00,"0,1","11,0","15,8","43,0"
17/01/2009 15.00,"0,2","9,4","12,7","43,0"
17/01/2009 16.00,"0,1","9,3","12,1","43,0"
17/01/2009 17.00,"0,4","12,5","15,5","43,0"
17/01/2009 18.00,"0,3","16,1","19,4","43,0"
17/01/2009 19.00,"0,2","18,9","22,3","43,0"
17/01/2009 20.00,"0,3","22,9","26,9","43,0"
17/01/2009 21.00,"0,3","35,1","40,2","43,0"
17/01/2009 22.00,"0,2","57,3","67,2","43,0"
17/01/2009 23.00,"0,2","40,8","45,4","43,0"
18/01/2009 0.00,"0,2","43,1","47,0","43,0"
18/01/2009 1.00,,"42,2","48,6","74,7"
18/01/2009 2.00,"1,1",,,"74,7"
18/01/2009 3.00,"0,5","35,2","45,9","74,7"
18/01/2009 4.00,"0,4","28,8","37,8","74,7"
18/01/2009 5.00,"0,4","30,4","34,6","74,7"
18/01/2009 6.00,"0,3","28,1","37,8","74,7"
18/01/2009 7.00,"0,5","26,7","40,6","74,7"
18/01/2009 8.00,"0,6","25,2","46,5","74,7"
18/01/2009 9.00,"0,6","23,2","35,1","74,7"
18/01/2009 10.00,"0,6","32,2","41,4","74,7"
18/01/2009 11.00,"0,5","25,4","30,8","74,7"
18/01/2009 12.00,"0,6","17,5","21,5","74,7"
18/01/2009 13.00,"0,4","18,0","22,6","74,7"
18/01/2009 14.00,"0,5","19,0","23,3","74,7"
18/01/2009 15.00,"0,5","12,9","16,1","74,7"
18/01/2009 16.00,"0,5","10,9","14,0","74,7"
18/01/2009 17.00,"0,6","16,1","20,3","74,7"
18/01/2009 18.00,"0,7","22,5","25,5","74,7"
18/01/2009 19.00,"0,5","37,2","41,0","74,7"
18/01/2009 20.00,"0,8","54,1","63,9","74,7"
18/01/2009 21.00,"0,7","65,2","74,9","74,7"
18/01/2009 22.00,"0,9","53,1","59,8","74,7"
18/01/2009 23.00,"0,7","33,1","38,2","74,7"
19/01/2009 0.00,"0,6","19,9","23,3","74,7"
19/01/2009 1.00,"0,3","13,9","16,7","48,4"
19/01/2009 2.00,"0,2","13,0","15,8","48,4"
19/01/2009 3.00,"0,4","9,9","12,6","48,4"
19/01/2009 4.00,"0,4","7,9","10,5","48,4"
19/01/2009 5.00,"0,1","6,6","9,2","48,4"
19/01/2009 6.00,"0,1","7,7","10,5","48,4"
19/01/2009 7.00,"0,1","20,5","24,6","48,4"
19/01/2009 8.00,"0,3","60,6","81,1","48,4"
19/01/2009 9.00,"0,5","60,6","83,6","48,4"
19/01/2009 10.00,"0,7","64,2","92,3","48,4"
19/01/2009 11.00,"0,5","49,6","62,9","48,4"
19/01/2009 12.00,"0,2","40,5","50,6","48,4"
19/01/2009 13.00,"0,3","19,3","24,4","48,4"
19/01/2009 14.00,"0,3","21,9","27,6","48,4"
19/01/2009 15.00,"0,4","18,3","23,1","48,4"
19/01/2009 16.00,"0,2","26,1","30,5","48,4"
19/01/2009 17.00,"0,3","45,3","50,7","48,4"
19/01/2009 18.00,"0,5","52,9","60,4","48,4"
19/01/2009 19.00,"0,5","52,2","64,4","48,4"
19/01/2009 20.00,"0,4","42,0","47,2","48,4"
19/01/2009 21.00,"0,3","34,8","40,2","48,4"
19/01/2009 22.00,"0,4","34,7","40,3","48,4"
19/01/2009 23.00,"0,5","32,8","37,8","48,4"
20/01/2009 0.00,"0,2","23,3","27,1","48,4"
20/01/2009 1.00,,"18,5","21,4","25,5"
20/01/2009 2.00,"0,5",,,"25,5"
20/01/2009 3.00,"0,5","11,1","14,0","25,5"
20/01/2009 4.00,"0,8","7,6","10,2","25,5"
20/01/2009 5.00,"0,9","6,3","9,0","25,5"
20/01/2009 6.00,"1,0","9,1","12,1","25,5"
20/01/2009 7.00,"0,7","17,2","23,6","25,5"
20/01/2009 8.00,"0,8","27,0","33,4","25,5"
20/01/2009 9.00,"0,7","35,1","52,0","25,5"
20/01/2009 10.00,"0,9","28,0","35,1","25,5"
20/01/2009 11.00,"0,9","25,5","31,3","25,5"
20/01/2009 12.00,"1,1","18,4","23,1","25,5"
20/01/2009 13.00,"0,8","12,2","16,1","25,5"
20/01/2009 14.00,"1,0","17,4","24,2","25,5"
20/01/2009 15.00,"1,1","12,1","17,0","25,5"
20/01/2009 16.00,"0,8","18,5","24,4","25,5"
20/01/2009 17.00,"0,9","19,4","25,8","25,5"
20/01/2009 18.00,"0,4","16,8","23,5","25,5"
20/01/2009 19.00,"0,5","13,9","19,5","25,5"
20/01/2009 20.00,"0,5","12,8","18,0","25,5"
20/01/2009 21.00,"0,4","11,5","16,4","25,5"
20/01/2009 22.00,"0,8","9,5","14,0","25,5"
20/01/2009 23.00,"0,8","8,0","12,4","25,5"
21/01/2009 0.00,"0,7","5,8","10,0","25,5"
21/01/2009 1.00,"0,7","5,3","9,5","60,1"
21/01/2009 2.00,"0,8","5,0","9,3","60,1"
21/01/2009 3.00,"0,8","4,9","9,5","60,1"
