, TARANTO,,,,,
,TA V.Archimede,,,,,
,SO2,NOX,NO2,CO,H2S,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3


08/01/2009 0.00,"1,201011","23,738511","20,281846","0,732813","1,250922","26,86202"
08/01/2009 1.00,"1,24123","17,020198","14,072822","0,636998","1,174179",
08/01/2009 2.00,"1,61202","10,633895","7,762575","0,621332","1,171301","26,86202"
08/01/2009 3.00,,"9,449757","6,687935","0,634433","1,26723",
08/01/2009 4.00,"1,283865","13,792028","10,973503","0,539607","1,013018","22,46641"
08/01/2009 5.00,"1,722207","15,946304","12,625694","0,540198",,
08/01/2009 6.00,"1,557327","32,27001","19,091689","0,581672","1,629843","16,60561"
08/01/2009 7.00,"1,622594","58,798338","29,549941","0,874009","1,437986",
08/01/2009 8.00,"1,614333","101,811189","37,434512","0,821444","1,318074","14,16361"
08/01/2009 9.00,"2,178487","161,994717","44,054946","1,169935","1,945452",
08/01/2009 10.00,"1,630974","99,965613","43,630558","1,022781","1,863912","10,74481"
08/01/2009 11.00,"1,868085","96,913811","42,099063","1,255806","1,597228",
08/01/2009 12.00,"1,94421","68,075575","38,618174","0,996539","1,345894","20,51281"
08/01/2009 13.00,"1,716069","108,978264","51,369758","1,206952","1,70371",
08/01/2009 14.00,"1,978909","91,61566","55,651452","0,783126","2,194869","19,0476"
08/01/2009 15.00,"1,857344","74,981966","50,520965","0,670462","1,725774",
08/01/2009 16.00,"2,325073","59,380678","46,282099","0,673777","1,959843","33,211231"
08/01/2009 17.00,"1,689867","41,225624","35,111318","0,627843","1,41688",
08/01/2009 18.00,"1,556146","356,548603","65,18258","0,535028","1,000545","33,211231"
08/01/2009 19.00,"1,719492",,,,"0,904617",
08/01/2009 20.00,"1,817688","26,951532","25,160046",,"1,127173","18,07081"
08/01/2009 21.00,"1,560631","64,357174","39,238561","1,013034","1,173219",
08/01/2009 22.00,"1,745339","34,64737","29,31243","0,789165","0,994791","18,07081"
08/01/2009 23.00,"1,692346","46,447239","37,024387","0,948908","1,221185",
09/01/2009 0.00,"1,254831","41,623798","33,379962","0,908498","1,239412","22,46641"
09/01/2009 1.00,"1,359518","22,236616","17,653654","0,776498","1,272986",
09/01/2009 2.00,"1,197826","10,013941","7,152574","0,641497","1,24037","27,83882"
09/01/2009 3.00,"1,440247","10,39655","7,504297","0,632815","1,055226",
09/01/2009 4.00,"1,562992","10,545701","7,573084","0,625515","1,162667","23,93162"
09/01/2009 5.00,"1,259199","11,069678","8,203849","0,691102","1,131969",
09/01/2009 6.00,"1,399647","13,118899","9,409574","0,59726","1,209672","23,44322"
09/01/2009 7.00,"1,789953","20,992823","16,337611","0,677724","1,003424",
09/01/2009 8.00,"1,943265","22,700946","17,911927","0,650416","1,145399","21,48962"
09/01/2009 9.00,"1,521566","29,565828","21,562828","0,650495","1,161708",
09/01/2009 10.00,"1,587069","15,900908","11,443329","0,62733","1,148279","18,55921"
09/01/2009 11.00,"1,844243","14,09941","9,683423","0,615216","1,101271",
09/01/2009 12.00,"1,716895","13,120196","9,27719","0,566163","1,255719","18,07081"
09/01/2009 13.00,"1,952707","16,494924","11,783374","0,578437","1,178016",
09/01/2009 14.00,"1,273833","14,116271","10,323268","0,523584","1,159789","16,11721"
09/01/2009 15.00,"1,458659","15,994291","12,372609","0,597615","1,192406",
09/01/2009 16.00,"1,520268","14,118865","10,924191","0,611624","1,238452","18,07081"
09/01/2009 17.00,"1,704857","14,214842","11,247359","0,645601","1,254759",
09/01/2009 18.00,"1,681724","11,747997","8,968297","0,653178","1,175138","18,07081"
09/01/2009 19.00,"1,498669","11,886771","9,020211","0,657677","1,33438",
09/01/2009 20.00,"1,350548","9,205926","6,390722","0,66328","1,154992","16,60561"
09/01/2009 21.00,"1,464088","8,940045","5,907913","0,615966","1,177057",
09/01/2009 22.00,"1,230991","9,325248","6,564638","0,666358","1,214468","15,14041"
09/01/2009 23.00,"1,544935","5,944035","3,182382","0,658031","1,286416",
10/01/2009 0.00,"1,312427","4,514769","1,648299","0,657361","1,130052","24,42001"
10/01/2009 1.00,"1,273833","4,280016","1,531489","0,64497","1,229819",
10/01/2009 2.00,"1,1492",,,"0,63684","1,02165","14,65201"
10/01/2009 3.00,,"3,666547","0,77483",,"1,429352",
10/01/2009 4.00,"0,737417","3,252813","0,476319","0,702387","1,325747","9,27961"
10/01/2009 5.00,"0,945556","4,016731","1,238171","0,708701",,
10/01/2009 6.00,"0,809774","6,552317","3,281021","0,686444","2,133475","6,349206"
10/01/2009 7.00,"1,148334","23,663293","16,066351","0,652034","1,626967",
10/01/2009 8.00,"1,099203","11,030769","7,255107","0,528833","1,641356","5,372406"
10/01/2009 9.00,"1,094736","14,328977","8,924168","0,651126","1,578042",
10/01/2009 10.00,"1,159947","18,703671","12,088377","0,609494","1,545427","13,18681"
10/01/2009 11.00,"1,186746","23,634767","13,679568","0,757595","1,518566",
10/01/2009 12.00,"1,670914","35,614919","21,423959","1,023609","1,576123","8,791209"
10/01/2009 13.00,"1,776769","46,141167","27,644671","1,063821","1,476357",
10/01/2009 14.00,"1,458755","23,908431","16,141631","0,641182","1,442781","11,72161"
10/01/2009 15.00,"1,262677","17,02798","11,190243","0,53787","1,464845",
10/01/2009 16.00,,"15,310786","12,408952","0,556773",,"20,02442"
10/01/2009 17.00,"1,616869","16,632402","13,165605","0,696468","1,47252",
10/01/2009 18.00,"1,456968","14,260235","10,730801","0,661505","1,37659",
10/01/2009 19.00,"1,492254","21,336524","17,876887","0,72717","1,530078",
10/01/2009 20.00,"1,787042","25,33379","21,094293","0,781114","1,612576","8,302809"
10/01/2009 21.00,"1,629375","25,423289","20,5453","0,859605","1,396736",
10/01/2009 22.00,"1,14744","22,536227","18,604986","0,763594","1,156911","20,51281"
10/01/2009 23.00,"1,151907","11,39003","8,615275","0,651008","1,228858",
11/01/2009 0.00,"1,129128","13,965823","11,050076","0,674014","1,386183","23,44322"
11/01/2009 1.00,"1,373445","14,48591","11,650997","0,744771","1,448537",
11/01/2009 2.00,"1,33012","12,513212","9,637998","0,710279","1,44566","12,69841"
11/01/2009 3.00,"1,284115","5,779318","3,085041","0,671843","1,278742",
11/01/2009 4.00,"1,385058","5,632762","3,03183","0,66328","1,292172","8,791209"
11/01/2009 5.00,"1,423023","5,43173","2,772255","0,693588","1,381387",
11/01/2009 6.00,"1,075977","5,648325","2,998085","0,692048","1,414961","16,11721"
11/01/2009 7.00,"1,3462","5,921986","3,466617","0,645049","1,468682",
11/01/2009 8.00,"1,350219","6,98291","3,952022","0,669278","1,210631","15,62881"
11/01/2009 9.00,"1,33682","5,966084","3,329042","0,697218","1,464845",
11/01/2009 10.00,"1,218905","7,250088","4,197318","0,675119","1,139645","9,27961"
11/01/2009 11.00,"1,263123","7,766284","4,89168","0,656334","1,455253",
11/01/2009 12.00,"1,036672","6,951783","4,145403","0,635223","1,373712","13,67521"
11/01/2009 13.00,"1,490467","7,52375","4,754106","0,698875","1,393858",
11/01/2009 14.00,"1,24213","6,397976","3,636637","0,65527","1,226939","13,18681"
11/01/2009 15.00,"1,51012","5,845464","3,44585","0,626383","1,287376",
11/01/2009 16.00,"1,384164","6,020557","3,639234","0,62445","1,297928","18,07081"
11/01/2009 17.00,"0,977268","10,576828","8,285615","0,671725","1,251881",
11/01/2009 18.00,"1,538706","19,116108","16,346695","0,66549","1,126213","21,97802"
11/01/2009 19.00,"1,598556","16,108425","13,439463","0,702032","1,411125",
11/01/2009 20.00,"1,475728","26,536092","23,106003","0,892162","1,611618","24,42001"
11/01/2009 21.00,"1,436869","39,634248","32,166454","0,933636","1,588594",
11/01/2009 22.00,"1,267143","20,785314","17,534247","0,806094","1,342055","24,42001"
11/01/2009 23.00,"1,130021","24,83057","21,169588","0,823063","1,350689",
12/01/2009 0.00,"1,161287","44,121771","32,279379","0,865365","1,763186","35,653221"
12/01/2009 1.00,"1,393991","48,320083","33,224212","0,862052","1,410166",
12/01/2009 2.00,"1,351113",,,"0,706176","1,569408","25,88522"
12/01/2009 3.00,,"10,798611","7,936488",,"1,506095",
12/01/2009 4.00,"0,897013","10,537919","7,693784","0,755385","1,340136","26,37361"
12/01/2009 5.00,"0,953612","9,653382","6,834595","0,747098",,
12/01/2009 6.00,"0,833161","20,370275","15,02806","0,743823","1,968477","26,86202"
12/01/2009 7.00,"1,032182","29,845976","22,585556","0,860512","1,617374",
12/01/2009 8.00,"1,128872","66,003005","30,514257","1,087223","1,74496","17,582411"
12/01/2009 9.00,"1,280727","220,309242","52,74422","1,275497","2,804023",
12/01/2009 10.00,"0,947822","117,420278","42,092564","1,13517","2,321497","22,954821"
12/01/2009 11.00,"1,212964","111,091059","41,918668","1,139234","2,479781",
12/01/2009 12.00,"1,346551","48,301918","27,338368","0,779299","1,98958","30,76923"
12/01/2009 13.00,"0,861759","24,056267","17,539436","0,754241","1,889813",
12/01/2009 14.00,"1,279145","19,287299","15,211061","0,696191","1,875424","34,18803"
12/01/2009 15.00,"1,033048","14,715475","11,638019","0,588934","1,960802",
12/01/2009 16.00,"1,37482","17,415775","13,562755","0,6413","1,742083","33,699631"
12/01/2009 17.00,"1,042242","27,564595","23,823729","0,744533","1,468682",
12/01/2009 18.00,"1,377417","117,952025","51,208826","0,983003","1,943535","23,93162"
12/01/2009 19.00,"1,713248","119,140081","55,88116","1,095786","1,951209",
12/01/2009 20.00,"1,368192","80,276238","42,60913","1,033119","1,834175","29,79241"
12/01/2009 21.00,"1,263383","52,70514","35,774531","0,907276","1,821704",
12/01/2009 22.00,"1,143708","58,616758","34,359863","0,980398","1,832256","37,118431"
12/01/2009 23.00,"1,050004","44,728752","32,061333","0,889675","2,00397",
13/01/2009 0.00,"0,975374","24,127603","19,121529","0,808619","1,996295","44,932831"
13/01/2009 1.00,"0,952986","15,411949","12,020887","0,744257","2,032749",
13/01/2009 2.00,"0,818981","11,000939","8,036425","0,646706","1,693158","38,09523"
13/01/2009 3.00,"0,957643","8,08923","5,321275","0,632185","1,867751",
13/01/2009 4.00,"0,57569","7,291592","4,419255","0,617267","1,660543","25,88522"
13/01/2009 5.00,"0,934896","6,119127","3,266744","0,63325","2,03179",
13/01/2009 6.00,"0,880207","15,002106","10,26357","0,67425","1,896528","23,93162"
13/01/2009 7.00,"0,800056","23,826712","17,164359","0,706925","1,691239",
13/01/2009 8.00,"1,091139","20,498666","16,254549","0,696587","2,072079","17,094"
13/01/2009 9.00,"1,065019","33,410059","22,659532","0,787074","1,655745",
13/01/2009 10.00,"0,860505","25,33899","19,458978","0,735694","1,800599","15,62881"
13/01/2009 11.00,"0,982001","21,554414","15,042331","0,733444","1,715222",
13/01/2009 12.00,"0,857371","29,087236","22,203979","0,750846","1,941616","20,51281"
13/01/2009 13.00,"0,816146","18,432603","13,460221","0,710004","1,914755",
13/01/2009 14.00,"0,570615","15,361367","11,055273","0,694259","1,646152","17,094"
13/01/2009 15.00,"0,700858","9,703964","5,98968","0,646706","1,621211",
13/01/2009 16.00,"0,787308","10,850489","6,94102","0,645996","1,710425","10,74481"
13/01/2009 17.00,"0,881431","9,605395","6,24536","0,659491","1,673012",
13/01/2009 18.00,"0,75095","4,209979","2,016894","0,57015","1,612576","11,72161"
13/01/2009 19.00,"0,809698","4,962225","2,586659","0,594063","1,96176",
13/01/2009 20.00,"0,955344","6,733892","3,78719","0,651245","1,525282","8,302809"
13/01/2009 21.00,"0,949852","5,361693","2,716447","0,628001","1,696036",
13/01/2009 22.00,"0,89779","4,203496","1,561339","0,582304","1,626008","10,25641"
13/01/2009 23.00,"0,801787","3,361759","0,826745","0,568217","1,546386",
14/01/2009 0.00,"1,020898","3,020654","0,595724","0,514627","1,623128","9,27961"
14/01/2009 1.00,"0,772472","3,088096","0,606106","0,563915","1,833216",
14/01/2009 2.00,"0,86361",,,"0,575162","1,347811","20,51281"
14/01/2009 3.00,,"2,829999","0,607404",,"1,670134",
14/01/2009 4.00,"0,816617","1,770371","0,055809","0,666753","1,374671","32,722832"
14/01/2009 5.00,"0,654354","2,191886","0,429596","0,581634",,
14/01/2009 6.00,"0,509171","3,171104","0,733298","0,54229","1,797721","65,445663"
14/01/2009 7.00,"0,692197","7,119095","4,032488","0,617583","1,751676",
14/01/2009 8.00,"0,880817","11,580688","7,641872","0,659295","1,620252","104,5177"
14/01/2009 9.00,"0,910412","16,031903","11,037098","0,659177","1,695076",
14/01/2009 10.00,"1,065902","19,982483","12,340161","0,676697","1,889813","123,076797"
14/01/2009 11.00,"0,913799","14,524819","9,108468","0,707834","1,732489",
14/01/2009 12.00,"0,98374","17,171943","10,982587","0,75945","1,91955","101,587303"
14/01/2009 13.00,"0,96666","12,069645","7,756083","0,650534","1,668216",
14/01/2009 14.00,"0,972696","9,972438","6,659381","0,638657","1,515688","73,260071"
14/01/2009 15.00,"1,114051","5,851949","3,277128","0,608704","1,723856",
