, Brindisi,,,,
,Via Taranto,,,,
Parm,SO2,NO2,CO,O3,BENZENE
,,,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,
16/01/2008 9.00,"1,919841","49,438525","0,931882","16,396389","2,585214"
16/01/2008 10.00,"1,548665","36,1003","0,628265","26,39383","2,355626"
16/01/2008 11.00,"0,899916","25,893833","0,573634","44,891271","1,461581"
16/01/2008 12.00,"0,03609","21,732862","0,533423","52,821933","0,690543"
16/01/2008 13.00,0,"21,873031","0,474296","61,877279","1,223756"
16/01/2008 14.00,0,"18,386953","0,453265","72,418856","0,485567"
16/01/2008 15.00,0,"19,774363","0,395019","72,536367","0,76275"
16/01/2008 16.00,0,,"0,404522","69,129501","0,328796"
16/01/2008 17.00,"0,014084","35,481211","0,442082","52,897485","0,236249"
16/01/2008 18.00,"0,334203","47,93948","0,578265","40,589172","0,910673"
16/01/2008 19.00,"0,57334","41,103601","0,69361","41,874692","1,393036"
16/01/2008 20.00,"0,63848","40,244406","0,643301","37,868432","1,529212"
16/01/2008 21.00,"0,916054","45,982299","0,71554","26,657509","2,430121"
16/01/2008 22.00,"0,664593","39,469567","0,747358","25,10901","2,241468"
16/01/2008 23.00,"0,578035","40,097756","0,669521","21,68956","2,024338"
17/01/2008 0.00,"0,507908","29,843261","0,590479","29,554488","0,858348"
17/01/2008 1.00,,"29,161881","0,598106","26,356064","1,943487"
17/01/2008 2.00,"0,448425","20,093646","0,43296","36,475904","1,575689"
17/01/2008 3.00,"0,306642","8,1727","0,299872","52,644278","1,339897"
17/01/2008 4.00,"0,361822","4,990318","0,266138","55,3895","0,854585"
17/01/2008 5.00,"0,215622","5,017573","0,24709","56,479887","0,649812"
17/01/2008 6.00,"0,206263","7,388786","0,242638","57,760518","0,523704"
17/01/2008 7.00,"0,283215","14,610138","0,257456","56,248385","0,493042"
17/01/2008 8.00,"0,461831","25,697853","0,359834","48,300927","0,405071"
17/01/2008 9.00,"0,435914","29,151479","0,349075","48,670918","1,073443"
17/01/2008 10.00,"0,490472","25,146259","0,341976","52,592528","0,800328"
