Stat,San Vito dei Normanni,,,,,,,
,,,,,,,,,
Parm,NO2,NOX,CO,O3,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,
,,,,,
,,,,,,,
11/01/2014 15.00,"6,1","8,8","0,4","53,4","1,2",,,
11/01/2014 16.00,"5,6","8,0","0,4","57,6","1,0",,,
11/01/2014 17.00,"4,7","7,1","0,3","60,6","1,3",,,
11/01/2014 18.00,"16,4","22,4","0,5","42,5","1,1",,,
11/01/2014 19.00,"33,4","52,4","0,9","18,0","3,0",,,
11/01/2014 20.00,"34,5","57,8","1,1","6,7","6,5",,,
11/01/2014 21.00,"48,2","107,7","3,7","17,9","11,9",,,
11/01/2014 22.00,"37,4","80,8","3,8","13,1","24,2",,,
11/01/2014 23.00,"30,3","78,4","4,1","12,3","19,4",,,
12/01/2014 0.00,"23,1","39,9","3,6","6,8","20,2",,,
12/01/2014 1.00,"14,4","19,4","2,1","3,1","10,1",,,
12/01/2014 2.00,"9,8","12,8","0,8","11,5","5,4",,,
12/01/2014 3.00,"6,2","8,7",,"19,9","3,0",,,
12/01/2014 4.00,"6,0","8,5","0,4","22,0","2,0",,,
12/01/2014 5.00,"9,6","11,9","0,5","20,3","2,2",,,
12/01/2014 6.00,"10,8","13,2","0,6","10,7","2,7",,,
12/01/2014 7.00,"9,1","12,1","0,4","12,6","2,3",,,
12/01/2014 8.00,"10,8","13,7","0,4","21,1","2,1",,,
12/01/2014 9.00,"11,9","16,2","0,4","15,9","2,6",,,
12/01/2014 10.00,"22,4","31,4","0,7","14,8","3,2",,,
12/01/2014 11.00,"12,4","17,6","0,5","28,6","7,8",,,
12/01/2014 12.00,"4,8","7,7","0,2","50,4","1,6",,,
12/01/2014 13.00,"6,2","9,9","0,2","58,6","0,9",,,
12/01/2014 14.00,"7,4","10,5","0,2","52,8","1,6",,,
12/01/2014 15.00,"6,6","9,2","0,2","50,3","1,5",,,
12/01/2014 16.00,"5,1","7,6","0,2","53,0","1,6",,,
12/01/2014 17.00,"6,9","9,4","0,2","48,4","1,4",,,
12/01/2014 18.00,"9,2","12,3","0,3","43,0","2,2",,,
12/01/2014 19.00,"10,7","13,6","0,3","42,4","3,1",,,
12/01/2014 20.00,"11,6","14,5","0,4","40,7","2,9",,,
12/01/2014 21.00,"11,6","14,2","0,4","40,9","3,7",,,
12/01/2014 22.00,"8,8","11,5","0,3","48,4","2,7",,,
12/01/2014 23.00,"10,6","13,1","0,4","45,2","2,3",,,
13/01/2014 0.00,"10,8","13,1","0,6","39,7","3,2",,,
13/01/2014 1.00,"4,6","6,9","0,5","47,0","3,3",,,
13/01/2014 2.00,"5,7","8,0","0,4","46,0","1,9",,,
13/01/2014 3.00,"5,4","7,7","0,4","39,9","1,7",,,
13/01/2014 4.00,"3,7","6,1","0,3","38,9","1,4",,,
13/01/2014 5.00,"3,8","6,1","0,3","44,1","1,2",,,
13/01/2014 6.00,"4,3","6,7","0,3","44,1","1,1",,,
13/01/2014 7.00,"8,6","11,2","0,3","39,2","1,1",,,
13/01/2014 8.00,"21,6","27,4","0,3","19,4","1,3",,,
13/01/2014 9.00,"15,9","24,3","0,3","22,8","2,4",,,
13/01/2014 10.00,"10,8","15,0","0,4","32,9","1,5",,,
13/01/2014 11.00,"8,8","12,1","0,3","38,1","2,1",,,
13/01/2014 12.00,"6,6","10,0","0,3","45,0","2,1",,,
