,Comune Lecce,,,,,,
,Via Garilliano,,,,,,
Parm,NOX,NO2,CO,Benzene,SO2,PM10,PM2.5



09/01/2010 21.00,"106,9783311","78,91181544","0,78935507","1,75644748","3,61655167","52,64915085","12,02902985"
09/01/2010 22.00,"74,94565824","61,68928424","0,69290472","1,78260167","3,86620584","52,64915085","12,02902985"
09/01/2010 23.00,"80,50059184","64,00827256","0,6511919","1,70084504","3,90085097","52,64915085","12,02902985"
10/01/2010 0.00,"53,90356288","43,3967596","0,53321468","1,40777411","3,53769857","52,64915085","12,02902985"
10/01/2010 1.00,"67,1742004","56,925498","0,60648852","1,20338254","3,48461321","14,53872967","7,19495296"
10/01/2010 2.00,,,"0,6088092","1,38293897","3,30822269","14,53872967","7,19495296"
10/01/2010 3.00,"46,35255864","38,98705664","0,42086674","1,25755711",,"14,53872967","7,19495296"
10/01/2010 4.00,"26,0756648","20,60503128",,"0,74844691","2,67057895","14,53872967","7,19495296"
10/01/2010 5.00,"24,74367","19,5985736","0,33688655","0,72591935","2,33469537","14,53872967","7,19495296"
10/01/2010 6.00,"25,6360004","19,8229468","0,34827908","0,65866819","2,67116169","14,53872967","7,19495296"
10/01/2010 7.00,"26,89793952","21,21331496","0,27310396","0,55009835","2,40180415","14,53872967","7,19495296"
10/01/2010 8.00,"26,38045672","20,03435664","0,33885773","0,47130933","2,551892","14,53872967","7,19495296"
10/01/2010 9.00,"44,03228928","33,81599528","0,49263656","0,69130473","2,35982138","14,53872967","7,19495296"
10/01/2010 10.00,"30,4698232","19,5894916","0,40449266","1,00558418","2,5513062","14,53872967","7,19495296"
10/01/2010 11.00,"26,98225872","16,6272147","0,36597893","0,88976211","2,41589164","14,53872967","7,19495296"
10/01/2010 12.00,"23,567312","14,27190794","0,35080247","0,72416095","2,72246324","14,53872967","7,19495296"
10/01/2010 13.00,"28,33888008","17,82561998","0,36392853","0,69350247","2,50683483","14,53872967","7,19495296"
10/01/2010 14.00,"20,8916592","13,12408654","0,3046009","0,70789811","2,57529825","14,53872967","7,19495296"
10/01/2010 15.00,"16,4196977","9,72601322","0,31508707","0,57965847","2,61657014","14,53872967","7,19495296"
10/01/2010 16.00,"24,68531576","17,74261432","0,35833187","0,55844996","2,61109258","14,53872967","7,19495296"
10/01/2010 17.00,"35,1894996","27,56719688","0,41805326","0,73317157","1,92825844","14,53872967","7,19495296"
10/01/2010 18.00,"44,22681616","36,31916656","0,49050811","1,05184649","2,27438422","14,53872967","7,19495296"
10/01/2010 19.00,"54,89443776","45,18270144","0,59903252","1,27096321","2,25882209","14,53872967","7,19495296"
10/01/2010 20.00,"57,5156368","46,40703152","0,63864951","1,62007693","2,43056186","14,53872967","7,19495296"
10/01/2010 21.00,"61,567356","46,81428752","0,69474542","1,85589686","2,69361501","14,53872967","7,19495296"
10/01/2010 22.00,"38,42026336","30,75775128","0,52586819","1,66579007","2,41044662","14,53872967","7,19495296"
10/01/2010 23.00,"34,77318072","27,75266088","0,49437125","1,25854564","2,14207151","14,53872967","7,19495296"
11/01/2010 0.00,"28,76560024","22,77356432","0,49429203","1,16327308","2,2361857","14,53872967","7,19495296"
11/01/2010 1.00,"38,08564424","29,73833024","0,594736","1,31063333","2,70846932","21,93935013","19,20796967"
11/01/2010 2.00,"28,82395448","23,2080472","0,52228115","1,53381499","2,07456406","21,93935013","19,20796967"
11/01/2010 3.00,"28,3116532","22,99145584","0,5090351","1,35546675","1,83635927","21,93935013","19,20796967"
11/01/2010 4.00,"31,5501988","23,9953132","0,46449016","1,26502901","2,40423478","21,93935013","19,20796967"
11/01/2010 5.00,"30,97562368","25,29359944","0,49169058","1,13327361","1,19741682","21,93935013","19,20796967"
11/01/2010 6.00,"63,11076064","48,86481192","0,56280451","1,15371328","2,614049","21,93935013","19,20796967"
11/01/2010 7.00,"142,3027606","72,37767016","0,86795879","1,43612502","2,61475683","21,93935013","19,20796967"
11/01/2010 8.00,"319,9777888","96,99941192","1,49533459","2,19391206","4,64201819","21,93935013","19,20796967"
11/01/2010 9.00,"290,0291768","103,6217769","1,5819803","3,50124827","4,33972003","21,93935013","19,20796967"
11/01/2010 10.00,"166,1229728","80,77815688","0,95271254","3,2742193","3,25253584","21,93935013","19,20796967"
11/01/2010 11.00,"76,94559112","51,75185544","0,62985958","2,30489829","2,63788545","21,93935013","19,20796967"
11/01/2010 12.00,"80,75353032","50,709108","0,6665198","1,90776386","2,57769735","21,93935013","19,20796967"
