TARANTO - TALSANO,,,,
,,,,,,,
,SO2,NO2,PM10,O3
19/01/2011 2.00,,"16,874929","53,799992","19,74732"
19/01/2011 3.00,,"12,466708","53,799992","23,294477"
19/01/2011 4.00,,"10,859945","53,799992","23,68069"
19/01/2011 5.00,,"8,318062","53,799992","31,622126"
19/01/2011 6.00,,"7,694434","53,799992","35,182202"
19/01/2011 7.00,,"10,584798","53,799992","30,880525"
19/01/2011 8.00,,"18,880144","53,799992","20,031596"
19/01/2011 9.00,"0,442379","22,667333","53,799992","25,1926"
19/01/2011 10.00,"0,646414","21,13129","53,799992","30,077199"
19/01/2011 11.00,"1,812221","22,299254","53,799992","34,409382"
19/01/2011 12.00,"2,586561","20,433677","53,799992","42,547882"
19/01/2011 13.00,"2,234464","16,447285","53,799992","53,5533"
19/01/2011 14.00,"2,508017","14,90022","53,799992","59,58728"
19/01/2011 15.00,"0,706903","12,000767","53,799992","62,819258"
19/01/2011 16.00,"0,650026","12,664633","53,799992","65,780617"
19/01/2011 17.00,"0,650026","17,982012","53,799992","60,562912"
19/01/2011 18.00,"0,650026","33,058076","53,799992","44,694403"
19/01/2011 19.00,"0,637386","38,819334","53,799992","36,500999"
19/01/2011 20.00,"0,650026","45,371645","53,799992","31,75208"
19/01/2011 21.00,"0,553425","23,52976","53,799992","35,900822"
19/01/2011 22.00,"0,316888","18,544638","53,799992","24,240646"
19/01/2011 23.00,"0,344875","23,512246","53,799992","19,140696"
20/01/2011 0.00,"0,325013","22,101456","53,799992","15,963973"
20/01/2011 1.00,,"18,050803","38,099991","26,411606"
