,bari,,,
,ASM,,,
Parm,SO2,NO2,O3,PM10
,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
16/01/2010 6.00,"3,49113014","7,83655188","29,61028875","50,29999161"
16/01/2010 7.00,"3,07754065","16,37265485","23,65210155","50,29999161"
16/01/2010 8.00,"3,5001611","19,73803488","20,3702268","50,29999161"
16/01/2010 9.00,"3,53808808","23,82373032","16,43923092","50,29999161"
16/01/2010 10.00,"3,83428323","22,84513048","18,1412153","50,29999161"
16/01/2010 11.00,"3,87762879","25,14106008","23,0291229","50,29999161"
16/01/2010 12.00,"4,39958268","23,05799344","33,9300423","50,29999161"
16/01/2010 13.00,"4,66146221","19,48234312","40,83144555","50,29999161"
16/01/2010 14.00,"4,53864929","14,30643866","45,8489304","50,29999161"
16/01/2010 15.00,"4,21897568","11,45242303","51,35858175","50,29999161"
16/01/2010 16.00,"3,8740164","14,15329129","51,45825195","50,29999161"
16/01/2010 17.00,"3,88846492","17,51608056","46,1504547","50,29999161"
16/01/2010 18.00,"3,86859884","26,54146624","43,943865","50,29999161"
16/01/2010 19.00,"3,89749588","23,47459912","50,5175496","50,29999161"
16/01/2010 20.00,"3,71869508","20,36618424","50,68826175","50,29999161"
16/01/2010 21.00,"3,45320316","16,0300168","24,0881886","50,29999161"
16/01/2010 22.00,"2,79579402","11,3524847","22,4360493","50,29999161"
16/01/2010 23.00,"2,42555009","10,36220637","22,0921512","50,29999161"
