,Provincia di BARI,,
,VERDI,,
Parm,SO2,NO2,PM10
,,,,,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,
17/01/2005 20.00,"0,16334546","81,45963192",
17/01/2005 21.00,"0,04691828","78,92619368",
17/01/2005 22.00,"0,03996708","73,12990832",
17/01/2005 23.00,0,"61,11159256",
18/01/2005 0.00,0,"49,90058056",
18/01/2005 1.00,,"33,1216716",
18/01/2005 2.00,"0,97242896",,
18/01/2005 3.00,"0,51824998","20,93986072",
18/01/2005 4.00,"0,76122959",,
18/01/2005 5.00,"0,71437233",,
18/01/2005 6.00,"0,95882658","29,35916152",
18/01/2005 7.00,"0,65231906","32,56619736",
18/01/2005 8.00,"1,05320113","62,23036112",
18/01/2005 9.00,"1,71078621","84,42267744",
18/01/2005 10.00,"4,83009404","94,97437448",
18/01/2005 11.00,"3,02806258","89,58821312",
18/01/2005 12.00,"2,65790611","70,56400432",
18/01/2005 13.00,"2,2083016","64,90268704",
18/01/2005 14.00,"2,47192529","69,65159792",
18/01/2005 15.00,"2,58387461","60,65603944",
18/01/2005 16.00,"2,21371814","64,51590856",
18/01/2005 17.00,"2,47192529","58,36919184",
18/01/2005 18.00,"2,29677755","114,80711072",
18/01/2005 19.00,"5,44762355","142,43495624",
18/01/2005 20.00,"2,52609376","95,3014412",
18/01/2005 21.00,"2,4917873","82,6445748",
18/01/2005 22.00,"2,40511652","73,73729336",
18/01/2005 23.00,"1,29825745","60,70276872",
19/01/2005 0.00,"1,26575617","51,38924464",
19/01/2005 1.00,"2,0078753",,
19/01/2005 2.00,"1,64560262",,
19/01/2005 3.00,"1,96995646",,
19/01/2005 4.00,"1,24228279",,
19/01/2005 5.00,"1,40659541",,
19/01/2005 6.00,"2,08551715",,
19/01/2005 7.00,"1,52757366",,
19/01/2005 8.00,"1,82403018",,
19/01/2005 9.00,"1,93384381","57,23615976",
19/01/2005 10.00,"1,86884022","54,6533728",
19/01/2005 11.00,"2,39247623","53,89283656",
19/01/2005 12.00,"2,07468407","58,62486448",
19/01/2005 13.00,"2,62540482","45,43460744",
19/01/2005 14.00,"2,43761781","54,87791808",
19/01/2005 15.00,"2,31483438","54,87271744",
19/01/2005 16.00,"2,41595062","55,403546",
19/01/2005 17.00,"2,58929217","51,81623248",
19/01/2005 18.00,"2,16316002","69,90727056",
19/01/2005 19.00,"1,87819967","44,57929336",
19/01/2005 20.00,"2,02231976","67,56203048",
19/01/2005 21.00,"1,96273373","82,75879768",
19/01/2005 22.00,"2,123436","66,0396196",
19/01/2005 23.00,"1,9013415","49,92522624",
20/01/2005 0.00,"1,64021557","41,99524448",
20/01/2005 1.00,,,
20/01/2005 2.00,"0,46167325",,
20/01/2005 3.00,"0,1715801",,
20/01/2005 4.00,"0,02653251",,
20/01/2005 5.00,"0,04599077",,
20/01/2005 6.00,"0,03183922",,
20/01/2005 7.00,"0,22287657","46,19904416",
20/01/2005 8.00,"0,08490526","51,31136888",
20/01/2005 9.00,"0,46167325","24,85164064",
20/01/2005 10.00,"0,06721658","24,29226592",
20/01/2005 11.00,"0,06721658","20,80747384",
20/01/2005 12.00,"0,31131997","21,65888744",
20/01/2005 13.00,"1,040092","29,94190088",
20/01/2005 14.00,"0,75707311","36,81672632",
20/01/2005 15.00,"0,90565782","27,29812112",
20/01/2005 16.00,"0,67570599","26,25722832",
20/01/2005 17.00,"0,04599077","30,79979616",
20/01/2005 18.00,"0,16273526","43,39823184",
20/01/2005 19.00,"0,16981052","49,79025816",
20/01/2005 20.00,"0,62440851","80,96645064",
20/01/2005 21.00,"0,85082322","86,120304",
20/01/2005 22.00,"1,15152978","85,60113864",
20/01/2005 23.00,"0,16096669","70,2187736",
21/01/2005 0.00,"0,50766403","61,75274352",
21/01/2005 1.00,"0,04068407","48,23410048",
21/01/2005 2.00,"0,20518789","35,9510492",
21/01/2005 3.00,"0,07252329","23,28640096",
21/01/2005 4.00,"0,18042394","24,12873256",
21/01/2005 5.00,"0,13620274","18,97488685",
21/01/2005 6.00,"0,22287657","17,2331428",
21/01/2005 7.00,"0,77653137","41,3787392",
21/01/2005 8.00,"0,44044745","63,59312",
21/01/2005 9.00,"1,51591579","83,75556152",
21/01/2005 10.00,"1,84315588","86,78220016",
21/01/2005 11.00,"3,8826548","79,57382632",
21/01/2005 12.00,"3,82074493","74,152618",
21/01/2005 13.00,"3,26001486","57,75658704",
21/01/2005 14.00,"2,5277057","61,30367208",
21/01/2005 15.00,"2,41096122","65,48802672",
21/01/2005 16.00,"1,37440634","46,43785296",
21/01/2005 17.00,"2,09433454","69,57760352",
21/01/2005 18.00,"1,58843908","79,5374792",
21/01/2005 19.00,"2,07133916","82,28248024",
21/01/2005 20.00,"1,43101053","85,02618112",
21/01/2005 21.00,"2,6108424","94,06974992",
21/01/2005 22.00,"2,03773036","81,40122032",
21/01/2005 23.00,"1,68926446","65,72293504",
